Start Training:
Iter: 0, Loss: 2.72544e-01, Loss0: 7.09757e-02, Loss_b: 1.21066e-02, Loss_f: 1.89461e-01, Loss_prev: 0.00000e+00
Iter: 100, Loss: 1.23974e-02, Loss0: 1.23103e-02, Loss_b: 3.25578e-05, Loss_f: 5.45666e-05, Loss_prev: 0.00000e+00
Iter: 200, Loss: 1.21089e-02, Loss0: 1.19347e-02, Loss_b: 4.85954e-05, Loss_f: 1.25638e-04, Loss_prev: 0.00000e+00
Iter: 300, Loss: 1.17453e-02, Loss0: 1.14081e-02, Loss_b: 4.81531e-05, Loss_f: 2.89030e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 1.05307e-02, Loss0: 9.91430e-03, Loss_b: 5.43961e-05, Loss_f: 5.62024e-04, Loss_prev: 0.00000e+00
Iter: 500, Loss: 6.58259e-03, Loss0: 6.03934e-03, Loss_b: 9.45497e-06, Loss_f: 5.33795e-04, Loss_prev: 0.00000e+00
Iter: 600, Loss: 6.44295e-03, Loss0: 5.90056e-03, Loss_b: 1.40044e-05, Loss_f: 5.28386e-04, Loss_prev: 0.00000e+00
Iter: 700, Loss: 6.34756e-03, Loss0: 5.84092e-03, Loss_b: 1.42081e-05, Loss_f: 4.92427e-04, Loss_prev: 0.00000e+00
Iter: 800, Loss: 6.74690e-03, Loss0: 5.82619e-03, Loss_b: 5.19304e-04, Loss_f: 4.01413e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 6.14125e-03, Loss0: 5.70353e-03, Loss_b: 1.42540e-05, Loss_f: 4.23460e-04, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 6.03915e-03, Loss0: 5.62996e-03, Loss_b: 2.01799e-05, Loss_f: 3.89013e-04, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 5.93995e-03, Loss0: 5.58653e-03, Loss_b: 1.21552e-05, Loss_f: 3.41263e-04, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 5.84023e-03, Loss0: 5.46920e-03, Loss_b: 1.49013e-05, Loss_f: 3.56125e-04, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 5.86692e-03, Loss0: 5.42308e-03, Loss_b: 1.14348e-04, Loss_f: 3.29489e-04, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 5.63481e-03, Loss0: 5.26999e-03, Loss_b: 1.70211e-05, Loss_f: 3.47805e-04, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 5.47773e-03, Loss0: 5.11365e-03, Loss_b: 1.78580e-05, Loss_f: 3.46223e-04, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 5.29049e-03, Loss0: 4.94172e-03, Loss_b: 1.71847e-05, Loss_f: 3.31591e-04, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 5.02333e-03, Loss0: 4.67030e-03, Loss_b: 1.47283e-05, Loss_f: 3.38307e-04, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 4.75381e-03, Loss0: 4.36302e-03, Loss_b: 3.37043e-05, Loss_f: 3.57078e-04, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 4.47788e-03, Loss0: 4.09733e-03, Loss_b: 1.07705e-05, Loss_f: 3.69774e-04, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 4.22599e-03, Loss0: 3.80541e-03, Loss_b: 1.11216e-05, Loss_f: 4.09453e-04, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 4.00641e-03, Loss0: 3.57226e-03, Loss_b: 1.03118e-05, Loss_f: 4.23840e-04, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 3.85595e-03, Loss0: 3.45078e-03, Loss_b: 1.15649e-05, Loss_f: 3.93604e-04, Loss_prev: 0.00000e+00
