Start Training:
Iter: 0, Loss: 2.92098e-02, Loss0: 2.63825e-02, Loss_b: 1.27032e-08, Loss_f: 7.69536e-07, Loss_prev: 2.82656e-03
Iter: 100, Loss: 3.98722e-04, Loss0: 4.29739e-05, Loss_b: 2.53110e-06, Loss_f: 1.48171e-04, Loss_prev: 2.05046e-04
Iter: 200, Loss: 2.21734e-04, Loss0: 2.18456e-05, Loss_b: 4.03143e-07, Loss_f: 8.61161e-05, Loss_prev: 1.13369e-04
Iter: 300, Loss: 1.29711e-04, Loss0: 1.44096e-05, Loss_b: 4.16110e-07, Loss_f: 4.84858e-05, Loss_prev: 6.63994e-05
Iter: 400, Loss: 1.17210e-03, Loss0: 2.21847e-04, Loss_b: 8.47263e-05, Loss_f: 2.40444e-04, Loss_prev: 6.25088e-04
Iter: 500, Loss: 3.37860e-04, Loss0: 2.43418e-05, Loss_b: 1.72901e-07, Loss_f: 1.42016e-04, Loss_prev: 1.71329e-04
Iter: 600, Loss: 1.41281e-04, Loss0: 1.34147e-05, Loss_b: 9.22346e-08, Loss_f: 5.50142e-05, Loss_prev: 7.27600e-05
Iter: 700, Loss: 4.16621e-03, Loss0: 5.51339e-05, Loss_b: 1.07503e-04, Loss_f: 3.72781e-03, Loss_prev: 2.75766e-04
Iter: 800, Loss: 1.87196e-04, Loss0: 1.32053e-05, Loss_b: 7.30195e-08, Loss_f: 6.32210e-05, Loss_prev: 1.10697e-04
Iter: 900, Loss: 7.61290e-05, Loss0: 5.80795e-06, Loss_b: 2.01561e-07, Loss_f: 3.00775e-05, Loss_prev: 4.00419e-05
Iter: 1000, Loss: 3.05739e-04, Loss0: 8.37121e-06, Loss_b: 9.59895e-06, Loss_f: 2.23681e-04, Loss_prev: 6.40877e-05
Iter: 1100, Loss: 2.01979e-04, Loss0: 5.55943e-06, Loss_b: 4.99801e-06, Loss_f: 1.53057e-04, Loss_prev: 3.83645e-05
Iter: 1200, Loss: 1.29257e-04, Loss0: 4.28814e-06, Loss_b: 2.28470e-06, Loss_f: 8.51861e-05, Loss_prev: 3.74983e-05
Iter: 1300, Loss: 1.58485e-04, Loss0: 4.82296e-06, Loss_b: 5.84288e-06, Loss_f: 9.37795e-05, Loss_prev: 5.40401e-05
Iter: 1400, Loss: 9.71229e-05, Loss0: 2.79004e-06, Loss_b: 2.62181e-06, Loss_f: 4.53791e-05, Loss_prev: 4.63319e-05
Iter: 1500, Loss: 6.09407e-05, Loss0: 2.65706e-06, Loss_b: 5.61214e-07, Loss_f: 1.58286e-05, Loss_prev: 4.18938e-05
Iter: 1600, Loss: 6.97357e-05, Loss0: 2.62266e-06, Loss_b: 1.57578e-06, Loss_f: 2.91879e-05, Loss_prev: 3.63494e-05
Iter: 1700, Loss: 6.30557e-04, Loss0: 1.89901e-05, Loss_b: 6.34843e-05, Loss_f: 5.08216e-04, Loss_prev: 3.98663e-05
Iter: 1800, Loss: 9.91917e-05, Loss0: 2.74662e-06, Loss_b: 3.16513e-06, Loss_f: 6.72781e-05, Loss_prev: 2.60019e-05
Iter: 1900, Loss: 4.44694e-04, Loss0: 9.47678e-06, Loss_b: 2.49269e-05, Loss_f: 3.53285e-04, Loss_prev: 5.70047e-05
Iter: 2000, Loss: 4.40892e-05, Loss0: 2.19273e-06, Loss_b: 6.44807e-09, Loss_f: 1.04980e-05, Loss_prev: 3.13920e-05
