Start Training:
Iter: 0, Loss: 1.60695e-02, Loss_0: 6.19741e-03, Loss_b: 8.07596e-03, Loss_f: 1.79613e-03
Iter: 100, Loss: 2.87459e-03, Loss_0: 2.63404e-03, Loss_b: 7.18790e-05, Loss_f: 1.68671e-04
Iter: 200, Loss: 2.69692e-03, Loss_0: 2.42317e-03, Loss_b: 7.64101e-05, Loss_f: 1.97338e-04
Iter: 300, Loss: 2.15272e-03, Loss_0: 1.92491e-03, Loss_b: 5.45728e-05, Loss_f: 1.73238e-04
Iter: 400, Loss: 1.48086e-03, Loss_0: 1.23747e-03, Loss_b: 1.51227e-04, Loss_f: 9.21640e-05
Iter: 500, Loss: 1.19506e-03, Loss_0: 6.06005e-04, Loss_b: 5.45270e-04, Loss_f: 4.37823e-05
Iter: 600, Loss: 3.99282e-04, Loss_0: 2.78857e-04, Loss_b: 9.33756e-06, Loss_f: 1.11087e-04
Iter: 700, Loss: 3.03879e-04, Loss_0: 1.89857e-04, Loss_b: 7.87447e-06, Loss_f: 1.06148e-04
Iter: 800, Loss: 2.12598e-04, Loss_0: 1.12342e-04, Loss_b: 4.07322e-06, Loss_f: 9.61826e-05
Iter: 900, Loss: 1.53990e-04, Loss_0: 7.51655e-05, Loss_b: 4.68078e-06, Loss_f: 7.41441e-05
Iter: 1000, Loss: 9.43633e-05, Loss_0: 4.15062e-05, Loss_b: 4.83338e-06, Loss_f: 4.80238e-05
Iter: 1100, Loss: 9.91185e-05, Loss_0: 4.60377e-05, Loss_b: 2.45151e-05, Loss_f: 2.85657e-05
Iter: 1200, Loss: 4.21879e-05, Loss_0: 1.53285e-05, Loss_b: 2.02679e-06, Loss_f: 2.48326e-05
Iter: 1300, Loss: 3.26600e-05, Loss_0: 1.01093e-05, Loss_b: 1.38639e-06, Loss_f: 2.11643e-05
Iter: 1400, Loss: 5.95984e-04, Loss_0: 1.41266e-04, Loss_b: 4.25275e-04, Loss_f: 2.94427e-05
Iter: 1500, Loss: 2.51227e-05, Loss_0: 6.94683e-06, Loss_b: 7.48447e-07, Loss_f: 1.74275e-05
Iter: 1600, Loss: 2.20604e-05, Loss_0: 5.07410e-06, Loss_b: 6.42349e-07, Loss_f: 1.63440e-05
Iter: 1700, Loss: 1.97833e-05, Loss_0: 4.03838e-06, Loss_b: 5.63547e-07, Loss_f: 1.51813e-05
Iter: 1800, Loss: 2.10640e-05, Loss_0: 6.27776e-06, Loss_b: 1.10758e-06, Loss_f: 1.36786e-05
Iter: 1900, Loss: 1.74306e-05, Loss_0: 3.30907e-06, Loss_b: 4.12261e-07, Loss_f: 1.37093e-05
Iter: 2000, Loss: 1.60767e-05, Loss_0: 2.72748e-06, Loss_b: 3.95455e-07, Loss_f: 1.29538e-05
Iter: 2100, Loss: 3.29295e-04, Loss_0: 5.43090e-05, Loss_b: 2.43135e-04, Loss_f: 3.18507e-05
Iter: 2200, Loss: 1.47882e-05, Loss_0: 2.70273e-06, Loss_b: 3.31435e-07, Loss_f: 1.17540e-05
Iter: 2300, Loss: 1.37237e-05, Loss_0: 2.07994e-06, Loss_b: 3.12302e-07, Loss_f: 1.13314e-05
Iter: 2400, Loss: 1.28556e-05, Loss_0: 1.79067e-06, Loss_b: 3.06929e-07, Loss_f: 1.07580e-05
