Start Training:
Iter: 0, Loss: 3.80067e-01, Loss_0: 3.45674e-02, Loss_b: 3.06649e-01, Loss_f: 3.88502e-02
Iter: 100, Loss: 1.16090e-02, Loss_0: 1.14711e-02, Loss_b: 4.35227e-05, Loss_f: 9.43174e-05
Iter: 200, Loss: 1.10729e-02, Loss_0: 1.08415e-02, Loss_b: 3.77308e-05, Loss_f: 1.93702e-04
Iter: 300, Loss: 1.06439e-02, Loss_0: 1.02688e-02, Loss_b: 2.91723e-05, Loss_f: 3.45899e-04
Iter: 400, Loss: 1.02000e-02, Loss_0: 9.68914e-03, Loss_b: 2.13778e-05, Loss_f: 4.89532e-04
Iter: 500, Loss: 9.52955e-03, Loss_0: 8.97503e-03, Loss_b: 1.47126e-05, Loss_f: 5.39802e-04
Iter: 600, Loss: 8.34593e-03, Loss_0: 7.85254e-03, Loss_b: 1.57009e-05, Loss_f: 4.77686e-04
Iter: 700, Loss: 7.19280e-03, Loss_0: 6.67770e-03, Loss_b: 4.58465e-05, Loss_f: 4.69253e-04
Iter: 800, Loss: 6.86284e-03, Loss_0: 6.39687e-03, Loss_b: 4.96810e-05, Loss_f: 4.16282e-04
Iter: 900, Loss: 6.64974e-03, Loss_0: 6.27960e-03, Loss_b: 2.80948e-05, Loss_f: 3.42047e-04
Iter: 1000, Loss: 6.44892e-03, Loss_0: 6.13938e-03, Loss_b: 1.30679e-05, Loss_f: 2.96471e-04
Iter: 1100, Loss: 6.25912e-03, Loss_0: 5.99269e-03, Loss_b: 5.65377e-06, Loss_f: 2.60783e-04
Iter: 1200, Loss: 6.33534e-03, Loss_0: 5.77244e-03, Loss_b: 3.22085e-04, Loss_f: 2.40819e-04
Iter: 1300, Loss: 5.81651e-03, Loss_0: 5.56674e-03, Loss_b: 5.35408e-06, Loss_f: 2.44414e-04
Iter: 1400, Loss: 5.63696e-03, Loss_0: 5.38449e-03, Loss_b: 4.75291e-06, Loss_f: 2.47717e-04
Iter: 1500, Loss: 5.46237e-03, Loss_0: 5.19927e-03, Loss_b: 4.57287e-06, Loss_f: 2.58534e-04
Iter: 1600, Loss: 5.39681e-03, Loss_0: 5.10915e-03, Loss_b: 2.13607e-05, Loss_f: 2.66305e-04
Iter: 1700, Loss: 5.32217e-03, Loss_0: 5.03707e-03, Loss_b: 1.61697e-06, Loss_f: 2.83477e-04
Iter: 1800, Loss: 5.28251e-03, Loss_0: 4.98806e-03, Loss_b: 1.09223e-06, Loss_f: 2.93359e-04
Iter: 1900, Loss: 5.26266e-03, Loss_0: 4.97186e-03, Loss_b: 2.06890e-06, Loss_f: 2.88736e-04
Iter: 2000, Loss: 5.22728e-03, Loss_0: 4.92991e-03, Loss_b: 2.47677e-06, Loss_f: 2.94895e-04
Iter: 2100, Loss: 5.19737e-03, Loss_0: 4.89906e-03, Loss_b: 3.62619e-06, Loss_f: 2.94691e-04
Iter: 2200, Loss: 5.20714e-03, Loss_0: 4.89869e-03, Loss_b: 2.39161e-05, Loss_f: 2.84535e-04
Iter: 2300, Loss: 5.14009e-03, Loss_0: 4.84887e-03, Loss_b: 4.95375e-06, Loss_f: 2.86261e-04
Iter: 2400, Loss: 5.10633e-03, Loss_0: 4.81648e-03, Loss_b: 5.41807e-06, Loss_f: 2.84431e-04
Iter: 2500, Loss: 5.62339e-03, Loss_0: 4.88169e-03, Loss_b: 4.29867e-04, Loss_f: 3.11833e-04
Iter: 2600, Loss: 5.04681e-03, Loss_0: 4.76653e-03, Loss_b: 5.14018e-06, Loss_f: 2.75146e-04
Iter: 2700, Loss: 5.01403e-03, Loss_0: 4.73508e-03, Loss_b: 4.75734e-06, Loss_f: 2.74194e-04
Iter: 2800, Loss: 4.98218e-03, Loss_0: 4.70658e-03, Loss_b: 4.35092e-06, Loss_f: 2.71253e-04
Iter: 2900, Loss: 4.96450e-03, Loss_0: 4.69187e-03, Loss_b: 4.26978e-06, Loss_f: 2.68361e-04
Iter: 3000, Loss: 4.93038e-03, Loss_0: 4.66009e-03, Loss_b: 3.75196e-06, Loss_f: 2.66545e-04
Iter: 3100, Loss: 4.90167e-03, Loss_0: 4.63280e-03, Loss_b: 3.68505e-06, Loss_f: 2.65186e-04
Iter: 3200, Loss: 1.38251e-02, Loss_0: 5.75280e-03, Loss_b: 7.05623e-03, Loss_f: 1.01602e-03
Iter: 3300, Loss: 4.85398e-03, Loss_0: 4.58933e-03, Loss_b: 3.26459e-06, Loss_f: 2.61391e-04
Iter: 3400, Loss: 4.82050e-03, Loss_0: 4.55542e-03, Loss_b: 4.09051e-06, Loss_f: 2.60997e-04
Iter: 3500, Loss: 4.77921e-03, Loss_0: 4.51508e-03, Loss_b: 4.55426e-06, Loss_f: 2.59574e-04
Iter: 3600, Loss: 4.71983e-03, Loss_0: 4.45610e-03, Loss_b: 5.27199e-06, Loss_f: 2.58454e-04
Iter: 3700, Loss: 4.73055e-03, Loss_0: 4.38861e-03, Loss_b: 5.66069e-05, Loss_f: 2.85329e-04
Iter: 3800, Loss: 4.47463e-03, Loss_0: 4.19786e-03, Loss_b: 6.75175e-06, Loss_f: 2.70021e-04
Iter: 3900, Loss: 4.22472e-03, Loss_0: 3.86650e-03, Loss_b: 4.14702e-05, Loss_f: 3.16749e-04
Iter: 4000, Loss: 3.75784e-03, Loss_0: 3.39177e-03, Loss_b: 1.20906e-05, Loss_f: 3.53981e-04
Iter: 4100, Loss: 3.22058e-03, Loss_0: 2.83446e-03, Loss_b: 1.81494e-05, Loss_f: 3.67968e-04
