Start Training:
Iter: 0, Loss: 6.00775e-01, Loss_0: 9.96953e-02, Loss_b: 3.71158e-01, Loss_f: 1.29922e-01
Iter: 100, Loss: 1.11604e-02, Loss_0: 1.11010e-02, Loss_b: 1.88278e-05, Loss_f: 4.05370e-05
Iter: 200, Loss: 9.98957e-03, Loss_0: 9.78531e-03, Loss_b: 5.20440e-05, Loss_f: 1.52215e-04
Iter: 300, Loss: 8.90405e-03, Loss_0: 8.40219e-03, Loss_b: 7.98592e-05, Loss_f: 4.22003e-04
Iter: 400, Loss: 7.01279e-03, Loss_0: 6.35317e-03, Loss_b: 1.55407e-04, Loss_f: 5.04206e-04
Iter: 500, Loss: 5.65346e-03, Loss_0: 5.06174e-03, Loss_b: 1.39066e-05, Loss_f: 5.77819e-04
Iter: 600, Loss: 5.15751e-03, Loss_0: 4.68672e-03, Loss_b: 1.58632e-05, Loss_f: 4.54936e-04
Iter: 700, Loss: 3.48183e-03, Loss_0: 2.63951e-03, Loss_b: 1.59173e-05, Loss_f: 8.26398e-04
Iter: 800, Loss: 1.91924e-03, Loss_0: 1.27974e-03, Loss_b: 3.34936e-05, Loss_f: 6.06000e-04
Iter: 900, Loss: 9.68319e-04, Loss_0: 4.71411e-04, Loss_b: 1.42609e-05, Loss_f: 4.82647e-04
Training time: 109.9731
