Start Training:
Iter: 0, Loss: 1.37222e+00, Loss_0: 1.48254e-01, Loss_b: 8.24320e-01, Loss_f: 3.99642e-01
Iter: 100, Loss: 1.54340e-02, Loss_0: 1.51214e-02, Loss_b: 2.26895e-04, Loss_f: 8.57694e-05
Iter: 200, Loss: 1.53278e-02, Loss_0: 1.50313e-02, Loss_b: 2.13251e-04, Loss_f: 8.32691e-05
Iter: 300, Loss: 1.52304e-02, Loss_0: 1.49462e-02, Loss_b: 1.96126e-04, Loss_f: 8.80620e-05
Iter: 400, Loss: 1.51332e-02, Loss_0: 1.48591e-02, Loss_b: 1.78503e-04, Loss_f: 9.55584e-05
Iter: 500, Loss: 1.50335e-02, Loss_0: 1.47719e-02, Loss_b: 1.58883e-04, Loss_f: 1.02710e-04
Iter: 600, Loss: 1.49249e-02, Loss_0: 1.46808e-02, Loss_b: 1.37535e-04, Loss_f: 1.06629e-04
Iter: 700, Loss: 1.48022e-02, Loss_0: 1.45819e-02, Loss_b: 1.14483e-04, Loss_f: 1.05854e-04
Iter: 800, Loss: 1.46643e-02, Loss_0: 1.44737e-02, Loss_b: 9.01007e-05, Loss_f: 1.00474e-04
Iter: 900, Loss: 1.45170e-02, Loss_0: 1.43595e-02, Loss_b: 6.58275e-05, Loss_f: 9.16549e-05
Iter: 1000, Loss: 1.43717e-02, Loss_0: 1.42451e-02, Loss_b: 4.44778e-05, Loss_f: 8.20559e-05
Iter: 1100, Loss: 1.42342e-02, Loss_0: 1.41294e-02, Loss_b: 2.90353e-05, Loss_f: 7.57584e-05
Iter: 1200, Loss: 1.40935e-02, Loss_0: 1.39966e-02, Loss_b: 2.04996e-05, Loss_f: 7.64646e-05
Iter: 1300, Loss: 1.39246e-02, Loss_0: 1.38199e-02, Loss_b: 1.77282e-05, Loss_f: 8.69875e-05
Iter: 1400, Loss: 1.36896e-02, Loss_0: 1.35598e-02, Loss_b: 1.93228e-05, Loss_f: 1.10492e-04
Iter: 1500, Loss: 1.32958e-02, Loss_0: 1.31220e-02, Loss_b: 2.46596e-05, Loss_f: 1.49132e-04
Iter: 1600, Loss: 1.24269e-02, Loss_0: 1.21883e-02, Loss_b: 3.32169e-05, Loss_f: 2.05439e-04
Iter: 1700, Loss: 1.03422e-02, Loss_0: 9.93057e-03, Loss_b: 4.29301e-05, Loss_f: 3.68743e-04
Iter: 1800, Loss: 7.95863e-03, Loss_0: 7.07215e-03, Loss_b: 1.52910e-04, Loss_f: 7.33576e-04
Iter: 1900, Loss: 6.08757e-03, Loss_0: 5.31135e-03, Loss_b: 3.47033e-05, Loss_f: 7.41516e-04
Iter: 2000, Loss: 5.09768e-03, Loss_0: 4.31576e-03, Loss_b: 9.60723e-06, Loss_f: 7.72320e-04
Iter: 2100, Loss: 4.63105e-03, Loss_0: 3.69992e-03, Loss_b: 2.11577e-04, Loss_f: 7.19557e-04
Iter: 2200, Loss: 3.87274e-03, Loss_0: 3.27929e-03, Loss_b: 8.18821e-06, Loss_f: 5.85265e-04
