Start Training:
Iter: 0, Loss: 1.61645e+00, Loss_0: 1.91618e-01, Loss_b: 8.09477e-02, Loss_f: 1.34389e+00
Iter: 100, Loss: 6.33345e-03, Loss_0: 6.14247e-03, Loss_b: 1.69021e-06, Loss_f: 1.89284e-04
Iter: 200, Loss: 5.69492e-03, Loss_0: 5.62457e-03, Loss_b: 9.03118e-06, Loss_f: 6.13220e-05
Iter: 300, Loss: 5.21507e-03, Loss_0: 5.04810e-03, Loss_b: 1.18406e-05, Loss_f: 1.55130e-04
Iter: 400, Loss: 4.66873e-03, Loss_0: 4.36556e-03, Loss_b: 1.30099e-05, Loss_f: 2.90158e-04
Iter: 500, Loss: 3.87806e-03, Loss_0: 3.44688e-03, Loss_b: 1.16110e-05, Loss_f: 4.19569e-04
Iter: 600, Loss: 2.96826e-03, Loss_0: 2.39067e-03, Loss_b: 7.05866e-06, Loss_f: 5.70528e-04
Iter: 700, Loss: 2.27307e-03, Loss_0: 1.65970e-03, Loss_b: 4.62222e-06, Loss_f: 6.08748e-04
Iter: 800, Loss: 1.82672e-03, Loss_0: 1.29566e-03, Loss_b: 7.00420e-06, Loss_f: 5.24056e-04
Iter: 900, Loss: 1.54942e-03, Loss_0: 1.09207e-03, Loss_b: 9.96733e-06, Loss_f: 4.47375e-04
Iter: 1000, Loss: 1.33897e-03, Loss_0: 9.34513e-04, Loss_b: 1.08273e-05, Loss_f: 3.93633e-04
Iter: 1100, Loss: 1.12281e-03, Loss_0: 7.73709e-04, Loss_b: 1.01177e-05, Loss_f: 3.38986e-04
Iter: 1200, Loss: 8.62414e-04, Loss_0: 5.83287e-04, Loss_b: 8.53612e-06, Loss_f: 2.70591e-04
Iter: 1300, Loss: 5.75434e-04, Loss_0: 3.66561e-04, Loss_b: 6.83847e-06, Loss_f: 2.02035e-04
Iter: 1400, Loss: 4.01907e-04, Loss_0: 2.04862e-04, Loss_b: 6.63559e-06, Loss_f: 1.90409e-04
Iter: 1500, Loss: 3.50462e-04, Loss_0: 1.46935e-04, Loss_b: 5.91699e-06, Loss_f: 1.97610e-04
Iter: 1600, Loss: 3.23427e-04, Loss_0: 1.28185e-04, Loss_b: 4.53286e-06, Loss_f: 1.90709e-04
Iter: 1700, Loss: 3.00813e-04, Loss_0: 1.16033e-04, Loss_b: 3.42522e-06, Loss_f: 1.81355e-04
Iter: 1800, Loss: 2.79468e-04, Loss_0: 1.05094e-04, Loss_b: 2.63148e-06, Loss_f: 1.71742e-04
Iter: 1900, Loss: 2.58237e-04, Loss_0: 9.44469e-05, Loss_b: 2.06998e-06, Loss_f: 1.61721e-04
Iter: 2000, Loss: 2.36479e-04, Loss_0: 8.37583e-05, Loss_b: 1.67627e-06, Loss_f: 1.51044e-04
Iter: 2100, Loss: 2.30613e-04, Loss_0: 7.64572e-05, Loss_b: 1.20198e-05, Loss_f: 1.42136e-04
Iter: 2200, Loss: 1.91054e-04, Loss_0: 6.22371e-05, Loss_b: 1.25186e-06, Loss_f: 1.27565e-04
Iter: 2300, Loss: 1.70803e-04, Loss_0: 5.27052e-05, Loss_b: 3.36404e-06, Loss_f: 1.14734e-04
Iter: 2400, Loss: 1.41305e-04, Loss_0: 4.06374e-05, Loss_b: 1.11788e-06, Loss_f: 9.95499e-05
Iter: 2500, Loss: 2.27063e-04, Loss_0: 4.68963e-05, Loss_b: 9.26412e-05, Loss_f: 8.75251e-05
Iter: 2600, Loss: 8.60207e-05, Loss_0: 1.98970e-05, Loss_b: 1.32143e-06, Loss_f: 6.48023e-05
Iter: 2700, Loss: 2.52583e-04, Loss_0: 3.11538e-05, Loss_b: 1.41718e-04, Loss_f: 7.97110e-05
Iter: 2800, Loss: 4.43995e-05, Loss_0: 6.85288e-06, Loss_b: 1.76118e-06, Loss_f: 3.57855e-05
Iter: 2900, Loss: 1.90497e-03, Loss_0: 1.82051e-04, Loss_b: 1.45005e-03, Loss_f: 2.72869e-04
