Start Training:
Iter: 0, Loss: 1.10024e+00, Loss_0: 1.04577e-01, Loss_b: 1.73046e-04, Loss_f: 9.95490e-01
Iter: 100, Loss: 6.04752e-03, Loss_0: 5.49699e-03, Loss_b: 9.99218e-05, Loss_f: 4.50612e-04
Iter: 200, Loss: 5.88312e-03, Loss_0: 5.58400e-03, Loss_b: 8.41387e-05, Loss_f: 2.14987e-04
Iter: 300, Loss: 5.79059e-03, Loss_0: 5.54800e-03, Loss_b: 8.21613e-05, Loss_f: 1.60426e-04
Iter: 400, Loss: 5.67099e-03, Loss_0: 5.44590e-03, Loss_b: 7.92756e-05, Loss_f: 1.45810e-04
Iter: 500, Loss: 5.47197e-03, Loss_0: 5.26083e-03, Loss_b: 7.46632e-05, Loss_f: 1.36477e-04
Iter: 600, Loss: 5.07196e-03, Loss_0: 4.88657e-03, Loss_b: 6.44100e-05, Loss_f: 1.20983e-04
Iter: 700, Loss: 4.30786e-03, Loss_0: 4.15116e-03, Loss_b: 3.92154e-05, Loss_f: 1.17481e-04
Iter: 800, Loss: 3.60741e-03, Loss_0: 3.46948e-03, Loss_b: 1.29436e-05, Loss_f: 1.24990e-04
Iter: 900, Loss: 3.42773e-03, Loss_0: 3.31596e-03, Loss_b: 5.23388e-06, Loss_f: 1.06543e-04
Iter: 1000, Loss: 3.37410e-03, Loss_0: 3.28670e-03, Loss_b: 2.93497e-06, Loss_f: 8.44641e-05
Iter: 1100, Loss: 3.33928e-03, Loss_0: 3.26450e-03, Loss_b: 2.17641e-06, Loss_f: 7.25988e-05
Iter: 1200, Loss: 3.30818e-03, Loss_0: 3.23929e-03, Loss_b: 2.06740e-06, Loss_f: 6.68219e-05
Iter: 1300, Loss: 3.27292e-03, Loss_0: 3.20796e-03, Loss_b: 2.19571e-06, Loss_f: 6.27638e-05
Iter: 1400, Loss: 3.22735e-03, Loss_0: 3.16724e-03, Loss_b: 2.33887e-06, Loss_f: 5.77663e-05
Iter: 1500, Loss: 3.16480e-03, Loss_0: 3.11255e-03, Loss_b: 2.26075e-06, Loss_f: 4.99898e-05
Iter: 1600, Loss: 3.07783e-03, Loss_0: 3.03761e-03, Loss_b: 1.67632e-06, Loss_f: 3.85429e-05
Iter: 1700, Loss: 2.96211e-03, Loss_0: 2.93349e-03, Loss_b: 1.01400e-06, Loss_f: 2.75995e-05
Iter: 1800, Loss: 2.85204e-03, Loss_0: 2.80155e-03, Loss_b: 2.00556e-05, Loss_f: 3.04372e-05
Iter: 1900, Loss: 2.68602e-03, Loss_0: 2.63593e-03, Loss_b: 2.43526e-06, Loss_f: 4.76571e-05
Iter: 2000, Loss: 2.51052e-03, Loss_0: 2.43562e-03, Loss_b: 5.34348e-06, Loss_f: 6.95534e-05
Iter: 2100, Loss: 2.25640e-03, Loss_0: 2.13867e-03, Loss_b: 1.91028e-05, Loss_f: 9.86348e-05
Iter: 2200, Loss: 1.88956e-03, Loss_0: 1.77488e-03, Loss_b: 4.43030e-06, Loss_f: 1.10252e-04
Iter: 2300, Loss: 1.64835e-03, Loss_0: 1.33224e-03, Loss_b: 1.78076e-04, Loss_f: 1.38043e-04
Iter: 2400, Loss: 1.28603e-03, Loss_0: 1.15097e-03, Loss_b: 4.23326e-06, Loss_f: 1.30821e-04
Iter: 2500, Loss: 1.13681e-03, Loss_0: 1.00677e-03, Loss_b: 4.31027e-06, Loss_f: 1.25730e-04
Iter: 2600, Loss: 3.20001e-03, Loss_0: 1.07522e-03, Loss_b: 1.95672e-03, Loss_f: 1.68070e-04
Iter: 2700, Loss: 9.65043e-04, Loss_0: 8.29041e-04, Loss_b: 5.14068e-06, Loss_f: 1.30862e-04
Iter: 2800, Loss: 8.99247e-04, Loss_0: 7.55810e-04, Loss_b: 5.70401e-06, Loss_f: 1.37734e-04
Iter: 2900, Loss: 8.37988e-04, Loss_0: 6.90534e-04, Loss_b: 5.95622e-06, Loss_f: 1.41499e-04
Iter: 3000, Loss: 8.03215e-04, Loss_0: 6.51620e-04, Loss_b: 2.26062e-05, Loss_f: 1.28988e-04
Iter: 3100, Loss: 7.29636e-04, Loss_0: 5.84278e-04, Loss_b: 4.66926e-06, Loss_f: 1.40689e-04
Iter: 3200, Loss: 6.77191e-04, Loss_0: 5.31338e-04, Loss_b: 3.84183e-06, Loss_f: 1.42012e-04
Iter: 3300, Loss: 4.46327e-03, Loss_0: 8.53042e-04, Loss_b: 3.40788e-03, Loss_f: 2.02349e-04
Iter: 3400, Loss: 5.95648e-04, Loss_0: 4.57908e-04, Loss_b: 2.41891e-06, Loss_f: 1.35321e-04
Iter: 3500, Loss: 5.58749e-04, Loss_0: 4.23054e-04, Loss_b: 1.39999e-06, Loss_f: 1.34295e-04
Iter: 3600, Loss: 5.24558e-04, Loss_0: 3.93606e-04, Loss_b: 9.95446e-07, Loss_f: 1.29957e-04
Iter: 3700, Loss: 5.09501e-04, Loss_0: 3.79525e-04, Loss_b: 7.88610e-06, Loss_f: 1.22090e-04
Iter: 3800, Loss: 4.62921e-04, Loss_0: 3.48473e-04, Loss_b: 7.57556e-07, Loss_f: 1.13690e-04
Iter: 3900, Loss: 4.28544e-04, Loss_0: 3.24153e-04, Loss_b: 7.23972e-07, Loss_f: 1.03667e-04
Iter: 4000, Loss: 9.74719e-04, Loss_0: 3.72090e-04, Loss_b: 4.67000e-04, Loss_f: 1.35629e-04
