Start Training:
Iter: 0, Loss: 3.45226e-01, Loss_0: 3.03010e-02, Loss_b: 2.94568e-01, Loss_f: 2.03563e-02
Iter: 100, Loss: 2.93103e-03, Loss_0: 2.81539e-03, Loss_b: 6.35363e-05, Loss_f: 5.21048e-05
Iter: 200, Loss: 2.61408e-03, Loss_0: 2.50465e-03, Loss_b: 4.87436e-05, Loss_f: 6.06821e-05
Iter: 300, Loss: 2.40659e-03, Loss_0: 2.28748e-03, Loss_b: 4.94223e-05, Loss_f: 6.96859e-05
Iter: 400, Loss: 2.26764e-03, Loss_0: 2.15067e-03, Loss_b: 4.59751e-05, Loss_f: 7.10010e-05
Iter: 500, Loss: 2.15165e-03, Loss_0: 2.04868e-03, Loss_b: 3.79548e-05, Loss_f: 6.50142e-05
Iter: 600, Loss: 2.03696e-03, Loss_0: 1.95430e-03, Loss_b: 2.69395e-05, Loss_f: 5.57175e-05
Iter: 700, Loss: 1.91812e-03, Loss_0: 1.85688e-03, Loss_b: 1.53594e-05, Loss_f: 4.58814e-05
Iter: 800, Loss: 1.80007e-03, Loss_0: 1.75687e-03, Loss_b: 5.94529e-06, Loss_f: 3.72589e-05
Iter: 900, Loss: 1.69916e-03, Loss_0: 1.66478e-03, Loss_b: 1.85964e-06, Loss_f: 3.25181e-05
Iter: 1000, Loss: 1.62934e-03, Loss_0: 1.59217e-03, Loss_b: 4.05516e-06, Loss_f: 3.31186e-05
Iter: 1100, Loss: 1.58048e-03, Loss_0: 1.53629e-03, Loss_b: 8.71054e-06, Loss_f: 3.54725e-05
Iter: 1200, Loss: 1.53352e-03, Loss_0: 1.48464e-03, Loss_b: 1.25681e-05, Loss_f: 3.63154e-05
Iter: 1300, Loss: 1.68015e-03, Loss_0: 1.52426e-03, Loss_b: 1.00971e-04, Loss_f: 5.49256e-05
Iter: 1400, Loss: 1.40638e-03, Loss_0: 1.35344e-03, Loss_b: 1.70330e-05, Loss_f: 3.59066e-05
Iter: 1500, Loss: 1.30548e-03, Loss_0: 1.24861e-03, Loss_b: 2.19926e-05, Loss_f: 3.48777e-05
Iter: 1600, Loss: 1.14819e-03, Loss_0: 1.08732e-03, Loss_b: 2.76778e-05, Loss_f: 3.31916e-05
Iter: 1700, Loss: 9.80959e-04, Loss_0: 8.52025e-04, Loss_b: 9.79559e-05, Loss_f: 3.09780e-05
Iter: 1800, Loss: 6.76379e-04, Loss_0: 6.25952e-04, Loss_b: 5.41948e-06, Loss_f: 4.50075e-05
Iter: 1900, Loss: 5.34867e-04, Loss_0: 4.62303e-04, Loss_b: 3.86808e-06, Loss_f: 6.86961e-05
Iter: 2000, Loss: 4.42156e-04, Loss_0: 3.47187e-04, Loss_b: 1.53528e-06, Loss_f: 9.34338e-05
