Start Training:
Iter: 0, Loss: 1.79484e+00, Loss_0: 1.60082e-01, Loss_b: 9.00210e-01, Loss_f: 7.34550e-01
Iter: 100, Loss: 7.15060e-03, Loss_0: 7.01221e-03, Loss_b: 6.76675e-05, Loss_f: 7.07302e-05
Iter: 200, Loss: 6.86040e-03, Loss_0: 6.70635e-03, Loss_b: 8.63563e-05, Loss_f: 6.76994e-05
Iter: 300, Loss: 6.58263e-03, Loss_0: 6.40939e-03, Loss_b: 1.07450e-04, Loss_f: 6.57848e-05
Iter: 400, Loss: 6.28725e-03, Loss_0: 6.09598e-03, Loss_b: 1.12713e-04, Loss_f: 7.85619e-05
Iter: 500, Loss: 5.97692e-03, Loss_0: 5.75553e-03, Loss_b: 1.10504e-04, Loss_f: 1.10891e-04
Iter: 600, Loss: 5.67299e-03, Loss_0: 5.40225e-03, Loss_b: 1.08585e-04, Loss_f: 1.62163e-04
Iter: 700, Loss: 5.39235e-03, Loss_0: 5.06832e-03, Loss_b: 1.06098e-04, Loss_f: 2.17931e-04
Iter: 800, Loss: 5.12643e-03, Loss_0: 4.77901e-03, Loss_b: 9.80611e-05, Loss_f: 2.49356e-04
Iter: 900, Loss: 4.85644e-03, Loss_0: 4.53655e-03, Loss_b: 8.11495e-05, Loss_f: 2.38745e-04
Iter: 1000, Loss: 4.59621e-03, Loss_0: 4.33835e-03, Loss_b: 5.72306e-05, Loss_f: 2.00630e-04
Iter: 1100, Loss: 4.39928e-03, Loss_0: 4.19847e-03, Loss_b: 3.44262e-05, Loss_f: 1.66378e-04
Iter: 1200, Loss: 4.29663e-03, Loss_0: 4.12517e-03, Loss_b: 2.05971e-05, Loss_f: 1.50862e-04
Iter: 1300, Loss: 4.25291e-03, Loss_0: 4.09420e-03, Loss_b: 1.45933e-05, Loss_f: 1.44110e-04
Iter: 1400, Loss: 4.22754e-03, Loss_0: 4.07831e-03, Loss_b: 1.18857e-05, Loss_f: 1.37338e-04
