Start Training:
Iter: 0, Loss: 3.31873e-01, Loss_0: 1.07744e-01, Loss_b: 6.53857e-02, Loss_f: 1.58743e-01
Iter: 100, Loss: 1.60099e-02, Loss_0: 1.59340e-02, Loss_b: 5.58942e-05, Loss_f: 2.00379e-05
Iter: 200, Loss: 1.54885e-02, Loss_0: 1.53451e-02, Loss_b: 6.21717e-05, Loss_f: 8.12883e-05
Iter: 300, Loss: 1.48727e-02, Loss_0: 1.47483e-02, Loss_b: 4.13584e-05, Loss_f: 8.30268e-05
Iter: 400, Loss: 1.47155e-02, Loss_0: 1.46211e-02, Loss_b: 1.91846e-05, Loss_f: 7.53008e-05
Iter: 500, Loss: 1.46247e-02, Loss_0: 1.45209e-02, Loss_b: 1.91393e-05, Loss_f: 8.46534e-05
Iter: 600, Loss: 1.45298e-02, Loss_0: 1.44160e-02, Loss_b: 2.13356e-05, Loss_f: 9.24859e-05
Iter: 700, Loss: 1.43811e-02, Loss_0: 1.42415e-02, Loss_b: 2.88851e-05, Loss_f: 1.10651e-04
Iter: 800, Loss: 1.40160e-02, Loss_0: 1.37182e-02, Loss_b: 1.16851e-04, Loss_f: 1.80992e-04
Iter: 900, Loss: 1.12143e-02, Loss_0: 1.08382e-02, Loss_b: 7.19769e-05, Loss_f: 3.04102e-04
Iter: 1000, Loss: 7.84331e-03, Loss_0: 7.06585e-03, Loss_b: 8.84946e-05, Loss_f: 6.88961e-04
Iter: 1100, Loss: 6.80163e-03, Loss_0: 5.91199e-03, Loss_b: 2.56528e-05, Loss_f: 8.63991e-04
Iter: 1200, Loss: 5.50843e-03, Loss_0: 4.60653e-03, Loss_b: 1.80532e-04, Loss_f: 7.21370e-04
Iter: 1300, Loss: 1.47009e-02, Loss_0: 3.10074e-03, Loss_b: 8.62404e-03, Loss_f: 2.97616e-03
Iter: 1400, Loss: 2.71280e-03, Loss_0: 2.34472e-03, Loss_b: 4.75424e-06, Loss_f: 3.63321e-04
Iter: 1500, Loss: 2.56980e-03, Loss_0: 2.21680e-03, Loss_b: 2.98898e-05, Loss_f: 3.23111e-04
Iter: 1600, Loss: 2.25510e-03, Loss_0: 1.97071e-03, Loss_b: 7.56296e-06, Loss_f: 2.76822e-04
Iter: 1700, Loss: 2.49530e-03, Loss_0: 1.86647e-03, Loss_b: 6.96667e-05, Loss_f: 5.59164e-04
Iter: 1800, Loss: 1.90456e-03, Loss_0: 1.67798e-03, Loss_b: 3.26725e-06, Loss_f: 2.23321e-04
Iter: 1900, Loss: 1.15330e-02, Loss_0: 1.97883e-03, Loss_b: 1.47593e-03, Loss_f: 8.07822e-03
Iter: 2000, Loss: 1.59385e-03, Loss_0: 1.40988e-03, Loss_b: 4.70767e-06, Loss_f: 1.79266e-04
Iter: 2100, Loss: 1.46006e-03, Loss_0: 1.22967e-03, Loss_b: 7.42008e-06, Loss_f: 2.22976e-04
Iter: 2200, Loss: 1.43105e-03, Loss_0: 1.12658e-03, Loss_b: 4.14099e-05, Loss_f: 2.63059e-04
Iter: 2300, Loss: 1.39117e-03, Loss_0: 1.03548e-03, Loss_b: 3.67745e-05, Loss_f: 3.18914e-04
Iter: 2400, Loss: 4.04439e-03, Loss_0: 8.37201e-04, Loss_b: 6.89060e-04, Loss_f: 2.51813e-03
Iter: 2500, Loss: 9.42621e-04, Loss_0: 7.26993e-04, Loss_b: 1.05809e-05, Loss_f: 2.05047e-04
Iter: 2600, Loss: 1.04886e-03, Loss_0: 6.52974e-04, Loss_b: 4.49352e-05, Loss_f: 3.50946e-04
Iter: 2700, Loss: 6.72893e-04, Loss_0: 4.84805e-04, Loss_b: 1.90298e-06, Loss_f: 1.86185e-04
Iter: 2800, Loss: 7.04759e-04, Loss_0: 5.12750e-04, Loss_b: 2.47734e-05, Loss_f: 1.67236e-04
Iter: 2900, Loss: 1.13402e-03, Loss_0: 4.37283e-04, Loss_b: 8.84309e-05, Loss_f: 6.08308e-04
Iter: 3000, Loss: 4.67436e-04, Loss_0: 3.28249e-04, Loss_b: 1.10454e-06, Loss_f: 1.38082e-04
Iter: 3100, Loss: 3.88227e-04, Loss_0: 2.51062e-04, Loss_b: 1.81749e-06, Loss_f: 1.35348e-04
Iter: 3200, Loss: 4.01688e-04, Loss_0: 2.09596e-04, Loss_b: 9.45668e-06, Loss_f: 1.82635e-04
Iter: 3300, Loss: 6.00717e-04, Loss_0: 2.37857e-04, Loss_b: 3.84281e-05, Loss_f: 3.24432e-04
Iter: 3400, Loss: 1.36233e-03, Loss_0: 3.62218e-04, Loss_b: 2.18717e-04, Loss_f: 7.81400e-04
Iter: 3500, Loss: 5.57385e-04, Loss_0: 2.23480e-04, Loss_b: 5.96904e-05, Loss_f: 2.74215e-04
Iter: 3600, Loss: 4.64523e-04, Loss_0: 2.52443e-04, Loss_b: 9.92443e-05, Loss_f: 1.12836e-04
Iter: 3700, Loss: 3.42801e-04, Loss_0: 1.59650e-04, Loss_b: 2.38975e-06, Loss_f: 1.80761e-04
Iter: 3800, Loss: 3.63973e-04, Loss_0: 1.47426e-04, Loss_b: 1.37902e-06, Loss_f: 2.15168e-04
Iter: 3900, Loss: 3.49533e-03, Loss_0: 1.95409e-04, Loss_b: 3.78079e-04, Loss_f: 2.92184e-03
Iter: 4000, Loss: 3.47853e-04, Loss_0: 6.99858e-05, Loss_b: 1.21660e-05, Loss_f: 2.65702e-04
Iter: 4100, Loss: 1.28247e-04, Loss_0: 5.44427e-05, Loss_b: 2.21646e-06, Loss_f: 7.15878e-05
Iter: 4200, Loss: 8.83742e-05, Loss_0: 4.77207e-05, Loss_b: 1.58124e-07, Loss_f: 4.04953e-05
Iter: 4300, Loss: 8.44635e-05, Loss_0: 4.43658e-05, Loss_b: 1.17972e-07, Loss_f: 3.99797e-05
Iter: 4400, Loss: 9.08587e-05, Loss_0: 5.29291e-05, Loss_b: 1.88738e-07, Loss_f: 3.77408e-05
Iter: 4500, Loss: 1.17289e-04, Loss_0: 6.78729e-05, Loss_b: 4.46694e-06, Loss_f: 4.49491e-05
Iter: 4600, Loss: 1.48137e-04, Loss_0: 6.06988e-05, Loss_b: 1.81508e-05, Loss_f: 6.92871e-05
Iter: 4700, Loss: 2.09173e-04, Loss_0: 6.85829e-05, Loss_b: 4.32766e-05, Loss_f: 9.73137e-05
Iter: 4800, Loss: 1.92389e-04, Loss_0: 1.17531e-04, Loss_b: 1.84676e-05, Loss_f: 5.63897e-05
Iter: 4900, Loss: 9.83344e-04, Loss_0: 2.80364e-05, Loss_b: 5.39623e-05, Loss_f: 9.01346e-04
Iter: 5000, Loss: 4.36253e-05, Loss_0: 1.99949e-05, Loss_b: 3.71906e-08, Loss_f: 2.35932e-05
Iter: 5100, Loss: 5.39766e-05, Loss_0: 3.10581e-05, Loss_b: 3.22197e-08, Loss_f: 2.28863e-05
Iter: 5200, Loss: 7.44375e-05, Loss_0: 4.88936e-05, Loss_b: 1.25424e-06, Loss_f: 2.42896e-05
Iter: 5300, Loss: 3.11467e-04, Loss_0: 8.69694e-05, Loss_b: 1.23999e-04, Loss_f: 1.00498e-04
Iter: 5400, Loss: 5.06897e-04, Loss_0: 2.62164e-05, Loss_b: 2.69102e-05, Loss_f: 4.53771e-04
Iter: 5500, Loss: 3.56888e-05, Loss_0: 1.61860e-05, Loss_b: 1.06055e-07, Loss_f: 1.93968e-05
Iter: 5600, Loss: 4.46758e-05, Loss_0: 2.31977e-05, Loss_b: 1.06953e-07, Loss_f: 2.13712e-05
Iter: 5700, Loss: 1.01376e-04, Loss_0: 5.74527e-05, Loss_b: 1.34329e-05, Loss_f: 3.04904e-05
Iter: 5800, Loss: 2.38419e-04, Loss_0: 5.37001e-05, Loss_b: 2.55668e-05, Loss_f: 1.59152e-04
Iter: 5900, Loss: 2.83601e-05, Loss_0: 1.02725e-05, Loss_b: 7.13164e-08, Loss_f: 1.80163e-05
Iter: 6000, Loss: 3.28910e-05, Loss_0: 1.49331e-05, Loss_b: 6.44767e-08, Loss_f: 1.78934e-05
Iter: 6100, Loss: 4.39543e-05, Loss_0: 2.37822e-05, Loss_b: 5.91030e-07, Loss_f: 1.95811e-05
Iter: 6200, Loss: 1.05040e-04, Loss_0: 3.55749e-05, Loss_b: 1.95365e-05, Loss_f: 4.99289e-05
Iter: 6300, Loss: 7.39704e-04, Loss_0: 1.11486e-04, Loss_b: 2.77808e-04, Loss_f: 3.50410e-04
Iter: 6400, Loss: 2.68781e-05, Loss_0: 1.00799e-05, Loss_b: 8.51968e-08, Loss_f: 1.67130e-05
Iter: 6500, Loss: 1.14883e-04, Loss_0: 5.47575e-05, Loss_b: 2.84943e-06, Loss_f: 5.72765e-05
Iter: 6600, Loss: 2.52786e-05, Loss_0: 5.81236e-06, Loss_b: 2.39896e-07, Loss_f: 1.92264e-05
Iter: 6700, Loss: 2.71753e-05, Loss_0: 1.03263e-05, Loss_b: 6.57699e-08, Loss_f: 1.67832e-05
Iter: 6800, Loss: 5.57364e-05, Loss_0: 3.04116e-05, Loss_b: 4.31309e-06, Loss_f: 2.10116e-05
Iter: 6900, Loss: 1.06172e-04, Loss_0: 5.29990e-05, Loss_b: 1.81943e-05, Loss_f: 3.49785e-05
Iter: 7000, Loss: 3.26702e-04, Loss_0: 7.20934e-06, Loss_b: 2.09674e-05, Loss_f: 2.98525e-04
Iter: 7100, Loss: 2.29126e-05, Loss_0: 7.28066e-06, Loss_b: 1.13167e-07, Loss_f: 1.55188e-05
Iter: 7200, Loss: 3.71482e-05, Loss_0: 1.77122e-05, Loss_b: 1.53994e-07, Loss_f: 1.92820e-05
Iter: 7300, Loss: 1.32986e-04, Loss_0: 3.90705e-05, Loss_b: 8.63768e-06, Loss_f: 8.52781e-05
Iter: 7400, Loss: 2.01953e-03, Loss_0: 3.09545e-05, Loss_b: 1.62552e-04, Loss_f: 1.82602e-03
Iter: 7500, Loss: 2.16641e-05, Loss_0: 6.80170e-06, Loss_b: 9.12350e-08, Loss_f: 1.47712e-05
Iter: 7600, Loss: 2.89808e-05, Loss_0: 1.32232e-05, Loss_b: 3.17491e-07, Loss_f: 1.54401e-05
Iter: 7700, Loss: 6.79886e-05, Loss_0: 3.26495e-05, Loss_b: 8.49246e-06, Loss_f: 2.68466e-05
Iter: 7800, Loss: 2.56966e-04, Loss_0: 6.23039e-05, Loss_b: 1.07571e-04, Loss_f: 8.70917e-05
Iter: 7900, Loss: 1.15386e-03, Loss_0: 7.57325e-05, Loss_b: 2.64159e-04, Loss_f: 8.13968e-04
Iter: 8000, Loss: 4.88021e-05, Loss_0: 6.50432e-06, Loss_b: 2.62866e-06, Loss_f: 3.96691e-05
Iter: 8100, Loss: 2.04222e-05, Loss_0: 6.00269e-06, Loss_b: 7.64636e-08, Loss_f: 1.43431e-05
Iter: 8200, Loss: 2.38327e-05, Loss_0: 9.06469e-06, Loss_b: 2.43674e-07, Loss_f: 1.45244e-05
