Start Training:
Iter: 0, Loss: 2.35548e-01, Loss_0: 3.37022e-02, Loss_b: 1.82804e-01, Loss_f: 1.90422e-02
Iter: 100, Loss: 1.56251e-02, Loss_0: 1.53909e-02, Loss_b: 9.67373e-05, Loss_f: 1.37483e-04
Iter: 200, Loss: 1.55094e-02, Loss_0: 1.52281e-02, Loss_b: 9.51637e-05, Loss_f: 1.86098e-04
Iter: 300, Loss: 1.53613e-02, Loss_0: 1.50663e-02, Loss_b: 8.77896e-05, Loss_f: 2.07245e-04
Iter: 400, Loss: 1.49909e-02, Loss_0: 1.47653e-02, Loss_b: 7.19440e-05, Loss_f: 1.53597e-04
Iter: 500, Loss: 1.42483e-02, Loss_0: 1.41214e-02, Loss_b: 2.26989e-05, Loss_f: 1.04196e-04
Iter: 600, Loss: 1.34967e-02, Loss_0: 1.32570e-02, Loss_b: 5.71575e-05, Loss_f: 1.82554e-04
Iter: 700, Loss: 1.00479e-02, Loss_0: 9.33389e-03, Loss_b: 3.26048e-04, Loss_f: 3.87998e-04
Iter: 800, Loss: 4.95593e-03, Loss_0: 4.46205e-03, Loss_b: 2.69049e-05, Loss_f: 4.66974e-04
Iter: 900, Loss: 3.67540e-03, Loss_0: 2.77222e-03, Loss_b: 2.48954e-04, Loss_f: 6.54229e-04
Iter: 1000, Loss: 2.95687e-03, Loss_0: 2.44420e-03, Loss_b: 2.24184e-05, Loss_f: 4.90249e-04
Iter: 1100, Loss: 2.54440e-03, Loss_0: 2.29726e-03, Loss_b: 2.04462e-06, Loss_f: 2.45093e-04
Iter: 1200, Loss: 2.38946e-03, Loss_0: 2.04064e-03, Loss_b: 3.08396e-05, Loss_f: 3.17986e-04
Iter: 1300, Loss: 2.52530e-03, Loss_0: 1.91123e-03, Loss_b: 1.71633e-04, Loss_f: 4.42440e-04
Iter: 1400, Loss: 2.12279e-03, Loss_0: 1.83524e-03, Loss_b: 1.51341e-05, Loss_f: 2.72421e-04
Iter: 1500, Loss: 2.37724e-03, Loss_0: 1.87675e-03, Loss_b: 4.85385e-05, Loss_f: 4.51951e-04
Iter: 1600, Loss: 1.92894e-03, Loss_0: 1.65548e-03, Loss_b: 1.56062e-05, Loss_f: 2.57852e-04
Iter: 1700, Loss: 1.76709e-03, Loss_0: 1.48174e-03, Loss_b: 3.57564e-05, Loss_f: 2.49591e-04
Iter: 1800, Loss: 1.63531e-03, Loss_0: 1.38470e-03, Loss_b: 3.88213e-05, Loss_f: 2.11790e-04
Iter: 1900, Loss: 3.38006e-03, Loss_0: 1.40898e-03, Loss_b: 4.09503e-04, Loss_f: 1.56157e-03
Iter: 2000, Loss: 1.28481e-03, Loss_0: 1.04675e-03, Loss_b: 1.45414e-05, Loss_f: 2.23520e-04
Iter: 2100, Loss: 1.99353e-03, Loss_0: 8.75081e-04, Loss_b: 1.66658e-04, Loss_f: 9.51790e-04
Iter: 2200, Loss: 2.06084e-03, Loss_0: 7.30051e-04, Loss_b: 2.33330e-04, Loss_f: 1.09746e-03
Iter: 2300, Loss: 1.10956e-03, Loss_0: 6.16880e-04, Loss_b: 5.80084e-05, Loss_f: 4.34676e-04
Iter: 2400, Loss: 7.64971e-04, Loss_0: 5.67595e-04, Loss_b: 7.94670e-06, Loss_f: 1.89430e-04
Iter: 2500, Loss: 8.24929e-04, Loss_0: 4.38318e-04, Loss_b: 3.44515e-05, Loss_f: 3.52160e-04
Iter: 2600, Loss: 2.39748e-03, Loss_0: 4.89474e-04, Loss_b: 1.86672e-04, Loss_f: 1.72134e-03
Iter: 2700, Loss: 1.13181e-03, Loss_0: 3.60580e-04, Loss_b: 7.59453e-05, Loss_f: 6.95284e-04
Iter: 2800, Loss: 1.14325e-03, Loss_0: 2.58883e-04, Loss_b: 1.22654e-04, Loss_f: 7.61710e-04
Iter: 2900, Loss: 1.34112e-03, Loss_0: 2.00250e-04, Loss_b: 6.53520e-05, Loss_f: 1.07552e-03
Iter: 3000, Loss: 3.58561e-04, Loss_0: 1.87474e-04, Loss_b: 3.67791e-06, Loss_f: 1.67409e-04
Iter: 3100, Loss: 2.84820e-04, Loss_0: 1.58315e-04, Loss_b: 1.47354e-06, Loss_f: 1.25031e-04
Iter: 3200, Loss: 3.33697e-04, Loss_0: 1.35770e-04, Loss_b: 7.11990e-06, Loss_f: 1.90807e-04
Iter: 3300, Loss: 7.45213e-04, Loss_0: 1.89911e-04, Loss_b: 2.41558e-04, Loss_f: 3.13743e-04
