Start Training:
Iter: 0, Loss: 3.03078e-01, Loss_0: 4.16570e-02, Loss_b: 2.39959e-01, Loss_f: 2.14624e-02
Iter: 100, Loss: 1.17181e-02, Loss_0: 1.15839e-02, Loss_b: 3.85605e-05, Loss_f: 9.56455e-05
Iter: 200, Loss: 1.15551e-02, Loss_0: 1.14453e-02, Loss_b: 2.43128e-05, Loss_f: 8.54370e-05
Iter: 300, Loss: 1.13261e-02, Loss_0: 1.12056e-02, Loss_b: 2.43282e-05, Loss_f: 9.60970e-05
Iter: 400, Loss: 1.09663e-02, Loss_0: 1.08129e-02, Loss_b: 2.38569e-05, Loss_f: 1.29521e-04
Iter: 500, Loss: 1.03280e-02, Loss_0: 1.00924e-02, Loss_b: 2.18070e-05, Loss_f: 2.13752e-04
Iter: 600, Loss: 9.01834e-03, Loss_0: 8.62932e-03, Loss_b: 1.32542e-05, Loss_f: 3.75763e-04
Iter: 700, Loss: 6.74477e-03, Loss_0: 6.39639e-03, Loss_b: 1.38917e-06, Loss_f: 3.46994e-04
Iter: 800, Loss: 5.93104e-03, Loss_0: 5.58567e-03, Loss_b: 8.30083e-06, Loss_f: 3.37072e-04
Iter: 900, Loss: 5.62034e-03, Loss_0: 5.33094e-03, Loss_b: 7.08275e-06, Loss_f: 2.82317e-04
Iter: 1000, Loss: 5.42163e-03, Loss_0: 5.13050e-03, Loss_b: 4.69553e-06, Loss_f: 2.86430e-04
Iter: 1100, Loss: 5.30769e-03, Loss_0: 5.00799e-03, Loss_b: 4.15819e-06, Loss_f: 2.95547e-04
Iter: 1200, Loss: 5.21561e-03, Loss_0: 4.92948e-03, Loss_b: 3.87706e-06, Loss_f: 2.82254e-04
Iter: 1300, Loss: 5.14734e-03, Loss_0: 4.88346e-03, Loss_b: 3.75079e-06, Loss_f: 2.60134e-04
Iter: 1400, Loss: 5.03417e-03, Loss_0: 4.79431e-03, Loss_b: 2.33316e-06, Loss_f: 2.37530e-04
Iter: 1500, Loss: 4.90405e-03, Loss_0: 4.70191e-03, Loss_b: 2.22593e-06, Loss_f: 1.99914e-04
Iter: 1600, Loss: 5.10907e-03, Loss_0: 4.62848e-03, Loss_b: 1.02133e-04, Loss_f: 3.78459e-04
Iter: 1700, Loss: 4.56029e-03, Loss_0: 4.41471e-03, Loss_b: 2.32102e-06, Loss_f: 1.43265e-04
Iter: 1800, Loss: 4.33952e-03, Loss_0: 4.21831e-03, Loss_b: 3.07960e-06, Loss_f: 1.18137e-04
Iter: 1900, Loss: 4.37015e-03, Loss_0: 4.06703e-03, Loss_b: 1.06951e-04, Loss_f: 1.96160e-04
Iter: 2000, Loss: 3.86522e-03, Loss_0: 3.72581e-03, Loss_b: 5.51849e-06, Loss_f: 1.33892e-04
Iter: 2100, Loss: 4.25037e-03, Loss_0: 3.49207e-03, Loss_b: 3.79221e-04, Loss_f: 3.79079e-04
Iter: 2200, Loss: 3.30113e-03, Loss_0: 3.09848e-03, Loss_b: 3.74584e-06, Loss_f: 1.98910e-04
Iter: 2300, Loss: 6.77067e-03, Loss_0: 3.05631e-03, Loss_b: 2.98229e-03, Loss_f: 7.32066e-04
Iter: 2400, Loss: 2.35208e-03, Loss_0: 2.13918e-03, Loss_b: 4.46791e-06, Loss_f: 2.08439e-04
Iter: 2500, Loss: 2.27626e-03, Loss_0: 1.86800e-03, Loss_b: 8.64087e-05, Loss_f: 3.21844e-04
Iter: 2600, Loss: 1.90482e-03, Loss_0: 1.69512e-03, Loss_b: 1.56937e-05, Loss_f: 1.94006e-04
Iter: 2700, Loss: 1.68590e-03, Loss_0: 1.47713e-03, Loss_b: 4.02108e-06, Loss_f: 2.04743e-04
Iter: 2800, Loss: 1.53554e-03, Loss_0: 1.30374e-03, Loss_b: 1.80136e-05, Loss_f: 2.13784e-04
Iter: 2900, Loss: 1.45973e-03, Loss_0: 1.14104e-03, Loss_b: 7.28598e-05, Loss_f: 2.45828e-04
Iter: 3000, Loss: 1.31814e-03, Loss_0: 1.03889e-03, Loss_b: 2.32003e-05, Loss_f: 2.56045e-04
Iter: 3100, Loss: 1.24321e-03, Loss_0: 9.72578e-04, Loss_b: 8.91788e-06, Loss_f: 2.61712e-04
Iter: 3200, Loss: 1.10383e-03, Loss_0: 8.90180e-04, Loss_b: 7.54209e-06, Loss_f: 2.06105e-04
Iter: 3300, Loss: 2.55866e-03, Loss_0: 1.02949e-03, Loss_b: 2.65067e-06, Loss_f: 1.52652e-03
Iter: 3400, Loss: 9.48557e-04, Loss_0: 7.32553e-04, Loss_b: 1.87230e-06, Loss_f: 2.14132e-04
Iter: 3500, Loss: 1.00606e-03, Loss_0: 7.19906e-04, Loss_b: 6.09698e-05, Loss_f: 2.25184e-04
Iter: 3600, Loss: 8.30575e-04, Loss_0: 6.29004e-04, Loss_b: 8.06918e-07, Loss_f: 2.00765e-04
Iter: 3700, Loss: 1.58100e-03, Loss_0: 6.80515e-04, Loss_b: 5.96946e-04, Loss_f: 3.03538e-04
Iter: 3800, Loss: 9.94879e-04, Loss_0: 5.61685e-04, Loss_b: 6.20674e-05, Loss_f: 3.71127e-04
Iter: 3900, Loss: 7.12012e-04, Loss_0: 5.01181e-04, Loss_b: 3.75839e-07, Loss_f: 2.10455e-04
Iter: 4000, Loss: 6.22820e-04, Loss_0: 4.37188e-04, Loss_b: 4.20939e-07, Loss_f: 1.85212e-04
Iter: 4100, Loss: 1.52766e-03, Loss_0: 4.68256e-04, Loss_b: 4.71482e-05, Loss_f: 1.01226e-03
Iter: 4200, Loss: 1.02761e-03, Loss_0: 3.75645e-04, Loss_b: 5.08738e-06, Loss_f: 6.46873e-04
Iter: 4300, Loss: 4.95850e-04, Loss_0: 3.47337e-04, Loss_b: 6.92567e-06, Loss_f: 1.41588e-04
Iter: 4400, Loss: 5.72969e-04, Loss_0: 3.49034e-04, Loss_b: 1.40749e-05, Loss_f: 2.09859e-04
Iter: 4500, Loss: 4.41036e-04, Loss_0: 3.01913e-04, Loss_b: 1.17922e-06, Loss_f: 1.37943e-04
Iter: 4600, Loss: 4.50946e-04, Loss_0: 3.11512e-04, Loss_b: 5.97102e-07, Loss_f: 1.38838e-04
Iter: 4700, Loss: 4.28721e-04, Loss_0: 3.13958e-04, Loss_b: 6.23710e-06, Loss_f: 1.08526e-04
Iter: 4800, Loss: 6.34243e-04, Loss_0: 3.53319e-04, Loss_b: 8.41534e-06, Loss_f: 2.72509e-04
Iter: 4900, Loss: 6.46003e-04, Loss_0: 3.07013e-04, Loss_b: 2.04857e-04, Loss_f: 1.34133e-04
Iter: 5000, Loss: 1.30715e-03, Loss_0: 2.44761e-04, Loss_b: 1.30521e-05, Loss_f: 1.04934e-03
Iter: 5100, Loss: 4.93548e-04, Loss_0: 2.02125e-04, Loss_b: 1.05065e-05, Loss_f: 2.80917e-04
Iter: 5200, Loss: 3.51376e-04, Loss_0: 2.67191e-04, Loss_b: 5.57439e-07, Loss_f: 8.36275e-05
Iter: 5300, Loss: 5.52404e-04, Loss_0: 2.12233e-04, Loss_b: 2.24214e-05, Loss_f: 3.17750e-04
Iter: 5400, Loss: 2.38728e-04, Loss_0: 1.53327e-04, Loss_b: 1.52162e-05, Loss_f: 7.01847e-05
Iter: 5500, Loss: 2.83257e-04, Loss_0: 1.97743e-04, Loss_b: 3.56264e-07, Loss_f: 8.51579e-05
Iter: 5600, Loss: 2.25104e-04, Loss_0: 1.40641e-04, Loss_b: 1.80483e-07, Loss_f: 8.42833e-05
Iter: 5700, Loss: 1.74624e-04, Loss_0: 1.09348e-04, Loss_b: 8.15219e-07, Loss_f: 6.44603e-05
Iter: 5800, Loss: 1.65402e-04, Loss_0: 8.67846e-05, Loss_b: 4.84954e-06, Loss_f: 7.37677e-05
Iter: 5900, Loss: 1.38819e-03, Loss_0: 3.80520e-04, Loss_b: 8.96492e-06, Loss_f: 9.98707e-04
Iter: 6000, Loss: 4.24159e-04, Loss_0: 1.53222e-04, Loss_b: 8.87221e-05, Loss_f: 1.82214e-04
Iter: 6100, Loss: 1.70218e-04, Loss_0: 1.23747e-04, Loss_b: 1.04794e-06, Loss_f: 4.54231e-05
Iter: 6200, Loss: 2.23646e-03, Loss_0: 9.94142e-05, Loss_b: 7.32611e-05, Loss_f: 2.06378e-03
Iter: 6300, Loss: 3.49974e-04, Loss_0: 1.25063e-04, Loss_b: 9.68724e-05, Loss_f: 1.28039e-04
Iter: 6400, Loss: 1.09927e-04, Loss_0: 7.31513e-05, Loss_b: 4.52351e-07, Loss_f: 3.63232e-05
Iter: 6500, Loss: 1.11889e-04, Loss_0: 7.23862e-05, Loss_b: 1.72810e-07, Loss_f: 3.93296e-05
Iter: 6600, Loss: 7.98205e-05, Loss_0: 5.25643e-05, Loss_b: 1.07990e-07, Loss_f: 2.71482e-05
Iter: 6700, Loss: 7.57089e-05, Loss_0: 4.48682e-05, Loss_b: 2.38662e-07, Loss_f: 3.06021e-05
Iter: 6800, Loss: 8.84908e-04, Loss_0: 1.97944e-04, Loss_b: 1.75276e-04, Loss_f: 5.11689e-04
Iter: 6900, Loss: 1.31859e-04, Loss_0: 6.19650e-05, Loss_b: 1.33887e-05, Loss_f: 5.65056e-05
Iter: 7000, Loss: 6.83707e-05, Loss_0: 4.14135e-05, Loss_b: 1.87779e-07, Loss_f: 2.67694e-05
Iter: 7100, Loss: 5.59887e-05, Loss_0: 3.39029e-05, Loss_b: 6.21081e-07, Loss_f: 2.14647e-05
Iter: 7200, Loss: 5.10648e-04, Loss_0: 5.49678e-05, Loss_b: 1.47134e-07, Loss_f: 4.55533e-04
Iter: 7300, Loss: 6.79836e-05, Loss_0: 5.08432e-05, Loss_b: 1.49069e-07, Loss_f: 1.69913e-05
Iter: 7400, Loss: 6.43184e-05, Loss_0: 3.33504e-05, Loss_b: 4.26949e-08, Loss_f: 3.09254e-05
Iter: 7500, Loss: 5.92680e-04, Loss_0: 4.36424e-05, Loss_b: 2.13087e-06, Loss_f: 5.46906e-04
Iter: 7600, Loss: 2.25476e-04, Loss_0: 9.80829e-05, Loss_b: 4.23100e-07, Loss_f: 1.26971e-04
Iter: 7700, Loss: 8.20702e-05, Loss_0: 4.92021e-05, Loss_b: 1.51344e-05, Loss_f: 1.77338e-05
Iter: 7800, Loss: 7.03828e-05, Loss_0: 4.32757e-05, Loss_b: 2.32789e-07, Loss_f: 2.68743e-05
Iter: 7900, Loss: 1.08486e-04, Loss_0: 3.09978e-05, Loss_b: 4.11733e-05, Loss_f: 3.63153e-05
Iter: 8000, Loss: 5.25860e-05, Loss_0: 2.99036e-05, Loss_b: 1.87190e-06, Loss_f: 2.08105e-05
Iter: 8100, Loss: 5.01527e-05, Loss_0: 1.94520e-05, Loss_b: 1.59984e-05, Loss_f: 1.47023e-05
Iter: 8200, Loss: 1.08040e-04, Loss_0: 3.98545e-05, Loss_b: 2.12367e-07, Loss_f: 6.79726e-05
Iter: 8300, Loss: 5.26075e-05, Loss_0: 2.97882e-05, Loss_b: 8.63117e-09, Loss_f: 2.28107e-05
Iter: 8400, Loss: 1.79709e-03, Loss_0: 2.93794e-05, Loss_b: 1.63928e-05, Loss_f: 1.75132e-03
Iter: 8500, Loss: 1.81206e-05, Loss_0: 9.24247e-06, Loss_b: 1.13523e-07, Loss_f: 8.76458e-06
Iter: 8600, Loss: 1.56375e-05, Loss_0: 7.75084e-06, Loss_b: 2.57815e-07, Loss_f: 7.62880e-06
