Start Training:
Iter: 0, Loss: 1.33508e-01, Loss_0: 1.91219e-02, Loss_b: 8.63950e-02, Loss_f: 2.79911e-02
Iter: 100, Loss: 1.60790e-02, Loss_0: 1.59782e-02, Loss_b: 6.83612e-05, Loss_f: 3.24202e-05
Iter: 200, Loss: 1.59604e-02, Loss_0: 1.58579e-02, Loss_b: 5.32594e-05, Loss_f: 4.92901e-05
Iter: 300, Loss: 1.58454e-02, Loss_0: 1.57280e-02, Loss_b: 5.21950e-05, Loss_f: 6.51355e-05
Iter: 400, Loss: 1.56339e-02, Loss_0: 1.55078e-02, Loss_b: 5.01160e-05, Loss_f: 7.60609e-05
Iter: 500, Loss: 1.52310e-02, Loss_0: 1.50926e-02, Loss_b: 3.97363e-05, Loss_f: 9.86036e-05
Iter: 600, Loss: 1.47946e-02, Loss_0: 1.46469e-02, Loss_b: 1.83174e-05, Loss_f: 1.29416e-04
Iter: 700, Loss: 1.45639e-02, Loss_0: 1.44251e-02, Loss_b: 1.10001e-05, Loss_f: 1.27844e-04
Iter: 800, Loss: 1.41354e-02, Loss_0: 1.39950e-02, Loss_b: 6.57315e-06, Loss_f: 1.33765e-04
Iter: 900, Loss: 1.22560e-02, Loss_0: 1.20850e-02, Loss_b: 7.95106e-06, Loss_f: 1.62959e-04
Iter: 1000, Loss: 7.19235e-03, Loss_0: 6.62912e-03, Loss_b: 2.22675e-05, Loss_f: 5.40962e-04
Iter: 1100, Loss: 4.56320e-03, Loss_0: 3.92529e-03, Loss_b: 5.06542e-05, Loss_f: 5.87261e-04
Iter: 1200, Loss: 3.61875e-03, Loss_0: 2.81882e-03, Loss_b: 3.86693e-04, Loss_f: 4.13230e-04
Iter: 1300, Loss: 3.08496e-03, Loss_0: 2.25253e-03, Loss_b: 1.53497e-04, Loss_f: 6.78938e-04
Iter: 1400, Loss: 2.60021e-03, Loss_0: 2.23400e-03, Loss_b: 1.38513e-06, Loss_f: 3.64824e-04
Iter: 1500, Loss: 2.76297e-03, Loss_0: 2.00884e-03, Loss_b: 2.39015e-04, Loss_f: 5.15111e-04
Iter: 1600, Loss: 2.29183e-03, Loss_0: 1.64002e-03, Loss_b: 1.01748e-04, Loss_f: 5.50061e-04
Iter: 1700, Loss: 9.82415e-03, Loss_0: 2.07860e-03, Loss_b: 2.13693e-03, Loss_f: 5.60863e-03
Iter: 1800, Loss: 3.15945e-03, Loss_0: 1.46806e-03, Loss_b: 4.51728e-04, Loss_f: 1.23966e-03
Iter: 1900, Loss: 2.01418e-03, Loss_0: 1.23341e-03, Loss_b: 1.90413e-04, Loss_f: 5.90361e-04
Iter: 2000, Loss: 5.33426e-03, Loss_0: 1.93567e-03, Loss_b: 2.58877e-03, Loss_f: 8.09822e-04
Iter: 2100, Loss: 1.92759e-03, Loss_0: 6.75874e-04, Loss_b: 1.31536e-04, Loss_f: 1.12018e-03
Iter: 2200, Loss: 9.16928e-04, Loss_0: 5.31632e-04, Loss_b: 2.26912e-05, Loss_f: 3.62605e-04
Iter: 2300, Loss: 8.33380e-04, Loss_0: 5.17813e-04, Loss_b: 9.07631e-05, Loss_f: 2.24804e-04
Iter: 2400, Loss: 6.44232e-04, Loss_0: 4.33440e-04, Loss_b: 4.28728e-05, Loss_f: 1.67919e-04
Iter: 2500, Loss: 4.01442e-04, Loss_0: 2.80198e-04, Loss_b: 1.61218e-06, Loss_f: 1.19633e-04
Iter: 2600, Loss: 1.17542e-03, Loss_0: 3.40327e-04, Loss_b: 1.75669e-04, Loss_f: 6.59427e-04
Iter: 2700, Loss: 5.60993e-04, Loss_0: 2.89937e-04, Loss_b: 9.78296e-05, Loss_f: 1.73226e-04
Iter: 2800, Loss: 2.57096e-04, Loss_0: 1.66759e-04, Loss_b: 7.27863e-07, Loss_f: 8.96088e-05
Iter: 2900, Loss: 2.15505e-04, Loss_0: 1.29145e-04, Loss_b: 8.52018e-07, Loss_f: 8.55083e-05
Iter: 3000, Loss: 1.86708e-04, Loss_0: 1.13391e-04, Loss_b: 3.20924e-07, Loss_f: 7.29963e-05
Iter: 3100, Loss: 1.06178e-03, Loss_0: 1.00803e-04, Loss_b: 4.32367e-05, Loss_f: 9.17738e-04
Iter: 3200, Loss: 4.25528e-04, Loss_0: 2.05062e-04, Loss_b: 9.40528e-05, Loss_f: 1.26413e-04
Iter: 3300, Loss: 1.85391e-04, Loss_0: 1.07953e-04, Loss_b: 1.14341e-05, Loss_f: 6.60039e-05
Iter: 3400, Loss: 1.41143e-04, Loss_0: 7.53107e-05, Loss_b: 4.51215e-06, Loss_f: 6.13205e-05
Iter: 3500, Loss: 1.34523e-04, Loss_0: 6.13220e-05, Loss_b: 1.44927e-06, Loss_f: 7.17512e-05
Iter: 3600, Loss: 8.97369e-04, Loss_0: 1.27591e-04, Loss_b: 2.70594e-04, Loss_f: 4.99184e-04
Iter: 3700, Loss: 2.16916e-04, Loss_0: 1.04697e-04, Loss_b: 3.52866e-05, Loss_f: 7.69322e-05
Iter: 3800, Loss: 1.27762e-04, Loss_0: 6.13579e-05, Loss_b: 1.10796e-06, Loss_f: 6.52966e-05
Iter: 3900, Loss: 9.47470e-05, Loss_0: 4.87195e-05, Loss_b: 5.06726e-07, Loss_f: 4.55208e-05
Iter: 4000, Loss: 8.15327e-05, Loss_0: 4.02711e-05, Loss_b: 2.11632e-07, Loss_f: 4.10499e-05
Iter: 4100, Loss: 9.75587e-05, Loss_0: 5.51992e-05, Loss_b: 8.27853e-08, Loss_f: 4.22767e-05
Iter: 4200, Loss: 3.26861e-04, Loss_0: 1.14889e-04, Loss_b: 3.99178e-05, Loss_f: 1.72054e-04
Iter: 4300, Loss: 1.30493e-03, Loss_0: 1.43332e-04, Loss_b: 2.43881e-06, Loss_f: 1.15916e-03
Iter: 4400, Loss: 6.26957e-05, Loss_0: 2.94908e-05, Loss_b: 5.47122e-07, Loss_f: 3.26577e-05
Iter: 4500, Loss: 6.39125e-05, Loss_0: 3.24112e-05, Loss_b: 7.96189e-07, Loss_f: 3.07052e-05
