Start Training:
Iter: 0, Loss: 2.61577e+00, Loss_0: 1.15415e-01, Loss_b: 1.33959e-01, Loss_f: 2.36640e+00
Iter: 100, Loss: 7.02997e-03, Loss_0: 6.88937e-03, Loss_b: 5.27501e-05, Loss_f: 8.78553e-05
Iter: 200, Loss: 6.80839e-03, Loss_0: 6.63180e-03, Loss_b: 5.87120e-05, Loss_f: 1.17873e-04
Iter: 300, Loss: 6.53660e-03, Loss_0: 6.30726e-03, Loss_b: 5.60748e-05, Loss_f: 1.73271e-04
Iter: 400, Loss: 6.02845e-03, Loss_0: 5.77771e-03, Loss_b: 5.10741e-05, Loss_f: 1.99670e-04
Iter: 500, Loss: 5.15222e-03, Loss_0: 4.89109e-03, Loss_b: 3.45354e-05, Loss_f: 2.26600e-04
Iter: 600, Loss: 4.50745e-03, Loss_0: 4.20202e-03, Loss_b: 1.61574e-05, Loss_f: 2.89273e-04
Iter: 700, Loss: 4.33139e-03, Loss_0: 4.05761e-03, Loss_b: 9.87580e-06, Loss_f: 2.63909e-04
Iter: 800, Loss: 4.21783e-03, Loss_0: 3.99947e-03, Loss_b: 6.87724e-06, Loss_f: 2.11482e-04
Iter: 900, Loss: 4.12705e-03, Loss_0: 3.94901e-03, Loss_b: 4.99557e-06, Loss_f: 1.73051e-04
Iter: 1000, Loss: 4.05133e-03, Loss_0: 3.89931e-03, Loss_b: 3.45705e-06, Loss_f: 1.48560e-04
Iter: 1100, Loss: 3.98344e-03, Loss_0: 3.84710e-03, Loss_b: 2.24615e-06, Loss_f: 1.34094e-04
Iter: 1200, Loss: 3.91743e-03, Loss_0: 3.78939e-03, Loss_b: 1.69246e-06, Loss_f: 1.26353e-04
Iter: 1300, Loss: 3.84760e-03, Loss_0: 3.72319e-03, Loss_b: 1.96843e-06, Loss_f: 1.22441e-04
Iter: 1400, Loss: 3.76629e-03, Loss_0: 3.64436e-03, Loss_b: 2.78796e-06, Loss_f: 1.19149e-04
Iter: 1500, Loss: 3.70480e-03, Loss_0: 3.57561e-03, Loss_b: 2.60629e-05, Loss_f: 1.03133e-04
Iter: 1600, Loss: 3.56224e-03, Loss_0: 3.45715e-03, Loss_b: 3.18989e-06, Loss_f: 1.01902e-04
Iter: 1700, Loss: 1.37653e-02, Loss_0: 4.49758e-03, Loss_b: 9.13795e-03, Loss_f: 1.29815e-04
Iter: 1800, Loss: 3.19450e-03, Loss_0: 3.11505e-03, Loss_b: 1.25095e-06, Loss_f: 7.81986e-05
Iter: 1900, Loss: 2.88562e-03, Loss_0: 2.78029e-03, Loss_b: 1.22424e-06, Loss_f: 1.04111e-04
Iter: 2000, Loss: 2.74425e-03, Loss_0: 2.61545e-03, Loss_b: 1.11122e-05, Loss_f: 1.17682e-04
Iter: 2100, Loss: 2.17328e-03, Loss_0: 2.07087e-03, Loss_b: 2.01037e-06, Loss_f: 1.00399e-04
Iter: 2200, Loss: 1.67350e-03, Loss_0: 1.54990e-03, Loss_b: 1.43385e-06, Loss_f: 1.22163e-04
Iter: 2300, Loss: 1.53691e-03, Loss_0: 1.40927e-03, Loss_b: 7.02420e-06, Loss_f: 1.20622e-04
Iter: 2400, Loss: 1.37417e-03, Loss_0: 1.21966e-03, Loss_b: 2.80322e-06, Loss_f: 1.51704e-04
Iter: 2500, Loss: 1.25375e-03, Loss_0: 1.07949e-03, Loss_b: 5.11637e-06, Loss_f: 1.69141e-04
Iter: 2600, Loss: 1.15395e-03, Loss_0: 9.61486e-04, Loss_b: 7.79127e-06, Loss_f: 1.84672e-04
Iter: 2700, Loss: 1.94235e-03, Loss_0: 1.06116e-03, Loss_b: 7.29480e-04, Loss_f: 1.51715e-04
Iter: 2800, Loss: 1.01416e-03, Loss_0: 8.15956e-04, Loss_b: 1.05467e-05, Loss_f: 1.87658e-04
Iter: 2900, Loss: 9.42386e-04, Loss_0: 7.45565e-04, Loss_b: 1.07399e-05, Loss_f: 1.86081e-04
Iter: 3000, Loss: 9.07265e-04, Loss_0: 6.84174e-04, Loss_b: 4.27142e-05, Loss_f: 1.80377e-04
Iter: 3100, Loss: 8.38893e-04, Loss_0: 6.55926e-04, Loss_b: 9.73576e-06, Loss_f: 1.73231e-04
Iter: 3200, Loss: 7.84240e-04, Loss_0: 6.05985e-04, Loss_b: 8.92467e-06, Loss_f: 1.69330e-04
Iter: 3300, Loss: 7.35416e-04, Loss_0: 5.61528e-04, Loss_b: 7.84225e-06, Loss_f: 1.66046e-04
Iter: 3400, Loss: 7.53309e-04, Loss_0: 5.79146e-04, Loss_b: 3.18804e-05, Loss_f: 1.42283e-04
Iter: 3500, Loss: 6.70703e-04, Loss_0: 5.07870e-04, Loss_b: 5.95173e-06, Loss_f: 1.56882e-04
Iter: 3600, Loss: 6.30409e-04, Loss_0: 4.72039e-04, Loss_b: 4.35254e-06, Loss_f: 1.54018e-04
Iter: 3700, Loss: 6.12845e-04, Loss_0: 4.41417e-04, Loss_b: 2.55836e-05, Loss_f: 1.45845e-04
Iter: 3800, Loss: 5.70463e-04, Loss_0: 4.23087e-04, Loss_b: 2.66904e-06, Loss_f: 1.44707e-04
Iter: 3900, Loss: 5.26560e-04, Loss_0: 3.86016e-04, Loss_b: 1.17012e-06, Loss_f: 1.39375e-04
Iter: 4000, Loss: 4.80998e-04, Loss_0: 3.47733e-04, Loss_b: 5.34747e-07, Loss_f: 1.32730e-04
Iter: 4100, Loss: 4.49455e-04, Loss_0: 3.24308e-04, Loss_b: 2.31497e-06, Loss_f: 1.22833e-04
Iter: 4200, Loss: 3.90262e-04, Loss_0: 2.77147e-04, Loss_b: 2.16945e-07, Loss_f: 1.12898e-04
Iter: 4300, Loss: 6.01275e-04, Loss_0: 3.00735e-04, Loss_b: 1.79211e-04, Loss_f: 1.21329e-04
Iter: 4400, Loss: 2.75917e-04, Loss_0: 1.88628e-04, Loss_b: 6.72179e-07, Loss_f: 8.66175e-05
Iter: 4500, Loss: 2.58321e-04, Loss_0: 1.63938e-04, Loss_b: 1.77109e-05, Loss_f: 7.66720e-05
Iter: 4600, Loss: 1.63871e-04, Loss_0: 9.78829e-05, Loss_b: 5.16387e-06, Loss_f: 6.08241e-05
Iter: 4700, Loss: 1.16186e-04, Loss_0: 6.59378e-05, Loss_b: 1.53828e-06, Loss_f: 4.87097e-05
Iter: 4800, Loss: 8.92630e-05, Loss_0: 4.51050e-05, Loss_b: 4.03133e-06, Loss_f: 4.01267e-05
Iter: 4900, Loss: 7.11314e-05, Loss_0: 3.02968e-05, Loss_b: 7.80587e-06, Loss_f: 3.30288e-05
Iter: 5000, Loss: 1.49021e-03, Loss_0: 1.78488e-04, Loss_b: 1.13876e-03, Loss_f: 1.72963e-04
Iter: 5100, Loss: 2.53836e-04, Loss_0: 5.06933e-05, Loss_b: 1.51715e-04, Loss_f: 5.14279e-05
Iter: 5200, Loss: 4.41778e-04, Loss_0: 7.77916e-05, Loss_b: 2.87274e-04, Loss_f: 7.67124e-05
Iter: 5300, Loss: 1.87503e-04, Loss_0: 3.35460e-05, Loss_b: 1.15517e-04, Loss_f: 3.84405e-05
Iter: 5400, Loss: 2.08552e-05, Loss_0: 6.03105e-06, Loss_b: 2.22710e-06, Loss_f: 1.25970e-05
Iter: 5500, Loss: 1.93231e-05, Loss_0: 5.09475e-06, Loss_b: 2.72423e-06, Loss_f: 1.15042e-05
Iter: 5600, Loss: 1.48717e-05, Loss_0: 3.88670e-06, Loss_b: 1.01709e-06, Loss_f: 9.96792e-06
Iter: 5700, Loss: 1.45222e-05, Loss_0: 3.89109e-06, Loss_b: 1.31199e-06, Loss_f: 9.31911e-06
Iter: 5800, Loss: 5.02742e-05, Loss_0: 8.19480e-06, Loss_b: 2.72109e-05, Loss_f: 1.48685e-05
Iter: 5900, Loss: 3.23899e-05, Loss_0: 6.29367e-06, Loss_b: 1.49953e-05, Loss_f: 1.11009e-05
Iter: 6000, Loss: 1.23723e-03, Loss_0: 1.40973e-04, Loss_b: 9.60856e-04, Loss_f: 1.35399e-04
Iter: 6100, Loss: 2.34842e-04, Loss_0: 3.65780e-05, Loss_b: 1.59521e-04, Loss_f: 3.87433e-05
Iter: 6200, Loss: 8.92356e-06, Loss_0: 1.93529e-06, Loss_b: 7.74657e-08, Loss_f: 6.91080e-06
Iter: 6300, Loss: 1.98426e-04, Loss_0: 3.16082e-05, Loss_b: 1.28879e-04, Loss_f: 3.79383e-05
Iter: 6400, Loss: 8.14420e-06, Loss_0: 1.64436e-06, Loss_b: 1.04527e-07, Loss_f: 6.39531e-06
Iter: 6500, Loss: 1.53400e-05, Loss_0: 3.77101e-06, Loss_b: 3.54191e-07, Loss_f: 1.12148e-05
Iter: 6600, Loss: 4.20601e-04, Loss_0: 3.29252e-05, Loss_b: 3.53867e-04, Loss_f: 3.38090e-05
Iter: 6700, Loss: 6.85487e-06, Loss_0: 1.14012e-06, Loss_b: 2.26257e-07, Loss_f: 5.48850e-06
Iter: 6800, Loss: 4.14270e-05, Loss_0: 1.18721e-05, Loss_b: 2.37989e-07, Loss_f: 2.93169e-05
Iter: 6900, Loss: 9.14401e-05, Loss_0: 7.14532e-06, Loss_b: 6.74843e-05, Loss_f: 1.68105e-05
