Start Training:
Iter: 0, Loss: 1.24436e+00, Loss_0: 1.04355e-01, Loss_b: 4.88857e-01, Loss_f: 6.51148e-01
Iter: 100, Loss: 1.09396e-02, Loss_0: 1.08115e-02, Loss_b: 1.53913e-05, Loss_f: 1.12683e-04
Iter: 200, Loss: 1.07289e-02, Loss_0: 1.05891e-02, Loss_b: 1.52006e-05, Loss_f: 1.24594e-04
Iter: 300, Loss: 1.05926e-02, Loss_0: 1.04189e-02, Loss_b: 1.84655e-05, Loss_f: 1.55229e-04
Iter: 400, Loss: 1.04700e-02, Loss_0: 1.02728e-02, Loss_b: 1.95744e-05, Loss_f: 1.77541e-04
Iter: 500, Loss: 1.02880e-02, Loss_0: 1.00902e-02, Loss_b: 1.97462e-05, Loss_f: 1.78074e-04
Iter: 600, Loss: 9.89469e-03, Loss_0: 9.72117e-03, Loss_b: 1.48104e-05, Loss_f: 1.58713e-04
Iter: 700, Loss: 9.05210e-03, Loss_0: 8.91665e-03, Loss_b: 2.27828e-06, Loss_f: 1.33179e-04
Iter: 800, Loss: 8.68537e-03, Loss_0: 8.58570e-03, Loss_b: 1.86450e-05, Loss_f: 8.10209e-05
Iter: 900, Loss: 8.64104e-03, Loss_0: 8.58002e-03, Loss_b: 1.26434e-05, Loss_f: 4.83845e-05
Iter: 1000, Loss: 8.62490e-03, Loss_0: 8.57985e-03, Loss_b: 9.39210e-06, Loss_f: 3.56595e-05
Iter: 1100, Loss: 8.61561e-03, Loss_0: 8.57795e-03, Loss_b: 7.87722e-06, Loss_f: 2.97758e-05
Iter: 1200, Loss: 8.60825e-03, Loss_0: 8.57495e-03, Loss_b: 7.16243e-06, Loss_f: 2.61435e-05
Iter: 1300, Loss: 8.60155e-03, Loss_0: 8.57129e-03, Loss_b: 6.85017e-06, Loss_f: 2.34166e-05
Iter: 1400, Loss: 8.59516e-03, Loss_0: 8.56724e-03, Loss_b: 6.75194e-06, Loss_f: 2.11686e-05
Iter: 1500, Loss: 8.58893e-03, Loss_0: 8.56291e-03, Loss_b: 6.76888e-06, Loss_f: 1.92509e-05
Iter: 1600, Loss: 8.58280e-03, Loss_0: 8.55835e-03, Loss_b: 6.84803e-06, Loss_f: 1.76075e-05
Iter: 1700, Loss: 8.57668e-03, Loss_0: 8.55350e-03, Loss_b: 6.95918e-06, Loss_f: 1.62181e-05
Iter: 1800, Loss: 8.57046e-03, Loss_0: 8.54830e-03, Loss_b: 7.08028e-06, Loss_f: 1.50814e-05
Iter: 1900, Loss: 8.56399e-03, Loss_0: 8.54258e-03, Loss_b: 7.20485e-06, Loss_f: 1.42134e-05
Iter: 2000, Loss: 8.55946e-03, Loss_0: 8.54113e-03, Loss_b: 4.92894e-06, Loss_f: 1.34001e-05
Iter: 2100, Loss: 8.55104e-03, Loss_0: 8.53025e-03, Loss_b: 7.62787e-06, Loss_f: 1.31588e-05
Iter: 2200, Loss: 8.54560e-03, Loss_0: 8.52679e-03, Loss_b: 5.95966e-06, Loss_f: 1.28480e-05
Iter: 2300, Loss: 8.53745e-03, Loss_0: 8.51628e-03, Loss_b: 7.86953e-06, Loss_f: 1.33013e-05
Iter: 2400, Loss: 8.53198e-03, Loss_0: 8.51182e-03, Loss_b: 6.93544e-06, Loss_f: 1.32301e-05
Iter: 2500, Loss: 8.52163e-03, Loss_0: 8.49906e-03, Loss_b: 7.98683e-06, Loss_f: 1.45865e-05
Iter: 2600, Loss: 8.53625e-03, Loss_0: 8.50958e-03, Loss_b: 1.25063e-05, Loss_f: 1.41656e-05
Iter: 2700, Loss: 8.49996e-03, Loss_0: 8.47489e-03, Loss_b: 8.44900e-06, Loss_f: 1.66231e-05
Iter: 2800, Loss: 8.47130e-03, Loss_0: 8.44133e-03, Loss_b: 9.21775e-06, Loss_f: 2.07487e-05
Iter: 2900, Loss: 8.46522e-03, Loss_0: 8.43944e-03, Loss_b: 7.94477e-06, Loss_f: 1.78331e-05
