Start Training:
Iter: 0, Loss: 1.02319e-01, Loss_0: 1.78018e-02, Loss_b: 4.68660e-02, Loss_f: 3.76515e-02
Iter: 100, Loss: 1.14806e-02, Loss_0: 1.10517e-02, Loss_b: 2.51760e-06, Loss_f: 4.26330e-04
Iter: 200, Loss: 1.03749e-02, Loss_0: 9.78225e-03, Loss_b: 1.05891e-05, Loss_f: 5.82096e-04
Iter: 300, Loss: 8.40684e-03, Loss_0: 8.08723e-03, Loss_b: 5.06320e-06, Loss_f: 3.14553e-04
Iter: 400, Loss: 8.19264e-03, Loss_0: 7.97417e-03, Loss_b: 9.41893e-06, Loss_f: 2.09043e-04
Iter: 500, Loss: 8.01586e-03, Loss_0: 7.81170e-03, Loss_b: 4.05348e-05, Loss_f: 1.63625e-04
Iter: 600, Loss: 8.02406e-03, Loss_0: 7.45447e-03, Loss_b: 3.87016e-04, Loss_f: 1.82569e-04
Iter: 700, Loss: 7.13463e-03, Loss_0: 6.83300e-03, Loss_b: 9.08584e-05, Loss_f: 2.10780e-04
Iter: 800, Loss: 5.79130e-03, Loss_0: 5.55305e-03, Loss_b: 4.66199e-05, Loss_f: 1.91631e-04
Iter: 900, Loss: 4.31312e-03, Loss_0: 4.01227e-03, Loss_b: 3.32637e-06, Loss_f: 2.97521e-04
Iter: 1000, Loss: 5.03431e-03, Loss_0: 3.34420e-03, Loss_b: 1.28430e-03, Loss_f: 4.05816e-04
Iter: 1100, Loss: 3.02662e-03, Loss_0: 2.82439e-03, Loss_b: 7.92410e-06, Loss_f: 1.94305e-04
Iter: 1200, Loss: 2.84413e-03, Loss_0: 2.58048e-03, Loss_b: 6.99759e-06, Loss_f: 2.56649e-04
Iter: 1300, Loss: 2.86226e-03, Loss_0: 2.46791e-03, Loss_b: 9.44958e-05, Loss_f: 2.99862e-04
Iter: 1400, Loss: 2.65040e-03, Loss_0: 2.34342e-03, Loss_b: 5.42499e-05, Loss_f: 2.52732e-04
Iter: 1500, Loss: 2.68997e-03, Loss_0: 2.28817e-03, Loss_b: 1.57470e-04, Loss_f: 2.44326e-04
Iter: 1600, Loss: 2.74821e-03, Loss_0: 2.25727e-03, Loss_b: 3.48307e-05, Loss_f: 4.56110e-04
Iter: 1700, Loss: 2.44491e-03, Loss_0: 2.18883e-03, Loss_b: 3.62560e-05, Loss_f: 2.19822e-04
Iter: 1800, Loss: 2.36636e-03, Loss_0: 2.10032e-03, Loss_b: 4.33140e-07, Loss_f: 2.65602e-04
Iter: 1900, Loss: 3.56127e-03, Loss_0: 2.16864e-03, Loss_b: 6.11898e-04, Loss_f: 7.80729e-04
Iter: 2000, Loss: 2.33954e-03, Loss_0: 2.05985e-03, Loss_b: 2.12180e-05, Loss_f: 2.58468e-04
