Start Training:
Iter: 0, Loss: 1.09673e-01, Loss_0: 1.58804e-02, Loss_b: 6.30136e-02, Loss_f: 3.07792e-02
Iter: 100, Loss: 1.13390e-02, Loss_0: 1.10685e-02, Loss_b: 1.44591e-05, Loss_f: 2.56096e-04
Iter: 200, Loss: 9.78938e-03, Loss_0: 9.38696e-03, Loss_b: 1.30325e-05, Loss_f: 3.89390e-04
Iter: 300, Loss: 8.41740e-03, Loss_0: 8.10217e-03, Loss_b: 3.31169e-06, Loss_f: 3.11920e-04
Iter: 400, Loss: 8.23914e-03, Loss_0: 8.01252e-03, Loss_b: 8.42326e-06, Loss_f: 2.18195e-04
Iter: 500, Loss: 8.12769e-03, Loss_0: 7.93146e-03, Loss_b: 1.98272e-05, Loss_f: 1.76407e-04
Iter: 600, Loss: 8.07904e-03, Loss_0: 7.89544e-03, Loss_b: 3.21891e-05, Loss_f: 1.51404e-04
Iter: 700, Loss: 7.92575e-03, Loss_0: 7.74849e-03, Loss_b: 2.23220e-05, Loss_f: 1.54935e-04
Iter: 800, Loss: 7.84776e-03, Loss_0: 7.66546e-03, Loss_b: 2.05674e-05, Loss_f: 1.61741e-04
Iter: 900, Loss: 7.69123e-03, Loss_0: 7.47934e-03, Loss_b: 2.02061e-05, Loss_f: 1.91679e-04
Iter: 1000, Loss: 7.57218e-03, Loss_0: 7.35794e-03, Loss_b: 1.82817e-05, Loss_f: 1.95958e-04
Iter: 1100, Loss: 7.25471e-03, Loss_0: 7.02074e-03, Loss_b: 6.83495e-06, Loss_f: 2.27137e-04
Iter: 1200, Loss: 7.02338e-03, Loss_0: 6.77896e-03, Loss_b: 8.03435e-05, Loss_f: 1.64080e-04
Iter: 1300, Loss: 6.23639e-03, Loss_0: 6.04052e-03, Loss_b: 6.59411e-06, Loss_f: 1.89271e-04
Iter: 1400, Loss: 5.11542e-03, Loss_0: 4.90526e-03, Loss_b: 5.75747e-06, Loss_f: 2.04401e-04
Iter: 1500, Loss: 4.24567e-03, Loss_0: 4.01792e-03, Loss_b: 1.64517e-05, Loss_f: 2.11300e-04
Iter: 1600, Loss: 3.47451e-03, Loss_0: 3.24366e-03, Loss_b: 1.06122e-05, Loss_f: 2.20238e-04
Iter: 1700, Loss: 3.15576e-03, Loss_0: 2.96113e-03, Loss_b: 2.17367e-05, Loss_f: 1.72890e-04
Iter: 1800, Loss: 3.03575e-03, Loss_0: 2.79966e-03, Loss_b: 8.93477e-05, Loss_f: 1.46742e-04
Iter: 1900, Loss: 2.74772e-03, Loss_0: 2.59239e-03, Loss_b: 3.45146e-06, Loss_f: 1.51877e-04
Iter: 2000, Loss: 2.67694e-03, Loss_0: 2.53121e-03, Loss_b: 2.69437e-05, Loss_f: 1.18791e-04
Iter: 2100, Loss: 3.79081e-03, Loss_0: 3.55895e-03, Loss_b: 1.11915e-06, Loss_f: 2.30747e-04
Iter: 2200, Loss: 2.61291e-03, Loss_0: 2.50773e-03, Loss_b: 8.27319e-07, Loss_f: 1.04358e-04
Iter: 2300, Loss: 2.52438e-03, Loss_0: 2.40550e-03, Loss_b: 1.83045e-07, Loss_f: 1.18695e-04
Iter: 2400, Loss: 2.46462e-03, Loss_0: 2.33568e-03, Loss_b: 6.85655e-07, Loss_f: 1.28247e-04
Iter: 2500, Loss: 2.42335e-03, Loss_0: 2.29577e-03, Loss_b: 8.06261e-07, Loss_f: 1.26767e-04
Iter: 2600, Loss: 2.40122e-03, Loss_0: 2.27968e-03, Loss_b: 1.08752e-06, Loss_f: 1.20453e-04
Iter: 2700, Loss: 2.38414e-03, Loss_0: 2.26344e-03, Loss_b: 1.22550e-06, Loss_f: 1.19478e-04
Iter: 2800, Loss: 2.54942e-03, Loss_0: 2.27327e-03, Loss_b: 6.78011e-05, Loss_f: 2.08356e-04
Iter: 2900, Loss: 2.40126e-03, Loss_0: 2.27513e-03, Loss_b: 8.90527e-06, Loss_f: 1.17228e-04
Iter: 3000, Loss: 2.37672e-03, Loss_0: 2.21954e-03, Loss_b: 2.88604e-06, Loss_f: 1.54297e-04
Iter: 3100, Loss: 2.35866e-03, Loss_0: 2.23601e-03, Loss_b: 1.56974e-06, Loss_f: 1.21075e-04
Iter: 3200, Loss: 2.37787e-03, Loss_0: 2.22828e-03, Loss_b: 2.36962e-05, Loss_f: 1.25890e-04
Iter: 3300, Loss: 2.30575e-03, Loss_0: 2.19713e-03, Loss_b: 9.55120e-07, Loss_f: 1.07665e-04
Iter: 3400, Loss: 2.46968e-03, Loss_0: 2.21168e-03, Loss_b: 1.27334e-04, Loss_f: 1.30666e-04
Iter: 3500, Loss: 2.29175e-03, Loss_0: 2.18636e-03, Loss_b: 9.46451e-07, Loss_f: 1.04443e-04
Iter: 3600, Loss: 2.26218e-03, Loss_0: 2.15553e-03, Loss_b: 7.31858e-07, Loss_f: 1.05916e-04
Iter: 3700, Loss: 2.32129e-03, Loss_0: 2.15671e-03, Loss_b: 3.89732e-05, Loss_f: 1.25612e-04
Iter: 3800, Loss: 2.23546e-03, Loss_0: 2.12362e-03, Loss_b: 5.46773e-07, Loss_f: 1.11295e-04
Iter: 3900, Loss: 2.45768e-03, Loss_0: 2.14607e-03, Loss_b: 9.44256e-05, Loss_f: 2.17190e-04
Iter: 4000, Loss: 2.40102e-03, Loss_0: 2.13169e-03, Loss_b: 4.03422e-05, Loss_f: 2.28983e-04
Iter: 4100, Loss: 2.19075e-03, Loss_0: 2.07598e-03, Loss_b: 4.24550e-06, Loss_f: 1.10527e-04
Iter: 4200, Loss: 2.19420e-03, Loss_0: 2.04922e-03, Loss_b: 4.82649e-07, Loss_f: 1.44504e-04
Iter: 4300, Loss: 2.31984e-03, Loss_0: 2.05867e-03, Loss_b: 1.10259e-04, Loss_f: 1.50909e-04
Iter: 4400, Loss: 2.11965e-03, Loss_0: 1.99238e-03, Loss_b: 1.73725e-07, Loss_f: 1.27105e-04
Iter: 4500, Loss: 2.49788e-03, Loss_0: 2.01141e-03, Loss_b: 9.80746e-06, Loss_f: 4.76653e-04
Iter: 4600, Loss: 2.08638e-03, Loss_0: 1.96162e-03, Loss_b: 3.73521e-06, Loss_f: 1.21024e-04
Iter: 4700, Loss: 2.41608e-03, Loss_0: 2.18239e-03, Loss_b: 2.51278e-06, Loss_f: 2.31173e-04
Iter: 4800, Loss: 2.62354e-03, Loss_0: 1.95770e-03, Loss_b: 4.10291e-04, Loss_f: 2.55546e-04
Iter: 4900, Loss: 3.13008e-03, Loss_0: 1.84263e-03, Loss_b: 5.84679e-06, Loss_f: 1.28161e-03
Iter: 5000, Loss: 1.97703e-03, Loss_0: 1.83059e-03, Loss_b: 6.02711e-06, Loss_f: 1.40418e-04
Iter: 5100, Loss: 1.50161e-03, Loss_0: 1.17423e-03, Loss_b: 2.82863e-06, Loss_f: 3.24546e-04
Iter: 5200, Loss: 9.42695e-04, Loss_0: 6.36711e-04, Loss_b: 3.08903e-06, Loss_f: 3.02895e-04
Iter: 5300, Loss: 4.79913e-04, Loss_0: 4.11343e-04, Loss_b: 1.75695e-06, Loss_f: 6.68136e-05
Iter: 5400, Loss: 4.06023e-04, Loss_0: 3.47221e-04, Loss_b: 8.62096e-08, Loss_f: 5.87157e-05
Iter: 5500, Loss: 3.08664e-04, Loss_0: 2.48156e-04, Loss_b: 4.00020e-06, Loss_f: 5.65080e-05
Iter: 5600, Loss: 2.18547e-04, Loss_0: 1.37893e-04, Loss_b: 3.04086e-06, Loss_f: 7.76129e-05
Iter: 5700, Loss: 1.45537e-04, Loss_0: 6.57146e-05, Loss_b: 1.14762e-06, Loss_f: 7.86749e-05
Iter: 5800, Loss: 1.05016e-04, Loss_0: 5.07059e-05, Loss_b: 1.34594e-06, Loss_f: 5.29644e-05
Iter: 5900, Loss: 8.20211e-05, Loss_0: 3.67144e-05, Loss_b: 1.20650e-06, Loss_f: 4.41002e-05
Iter: 6000, Loss: 6.07930e-05, Loss_0: 2.72934e-05, Loss_b: 8.01558e-07, Loss_f: 3.26980e-05
Iter: 6100, Loss: 4.13497e-05, Loss_0: 1.89023e-05, Loss_b: 1.08583e-07, Loss_f: 2.23389e-05
Iter: 6200, Loss: 3.15382e-05, Loss_0: 1.33159e-05, Loss_b: 3.58355e-07, Loss_f: 1.78639e-05
Iter: 6300, Loss: 2.59511e-05, Loss_0: 1.15304e-05, Loss_b: 2.81639e-07, Loss_f: 1.41391e-05
Iter: 6400, Loss: 2.03813e-05, Loss_0: 8.82088e-06, Loss_b: 1.87597e-08, Loss_f: 1.15416e-05
Iter: 6500, Loss: 1.69468e-05, Loss_0: 7.32972e-06, Loss_b: 3.52557e-08, Loss_f: 9.58184e-06
Iter: 6600, Loss: 1.39646e-05, Loss_0: 5.98456e-06, Loss_b: 2.36783e-08, Loss_f: 7.95633e-06
Iter: 6700, Loss: 1.09598e-05, Loss_0: 4.64479e-06, Loss_b: 2.75114e-08, Loss_f: 6.28753e-06
Iter: 6800, Loss: 9.23394e-06, Loss_0: 3.91084e-06, Loss_b: 3.70020e-08, Loss_f: 5.28611e-06
Iter: 6900, Loss: 7.64537e-06, Loss_0: 2.71766e-06, Loss_b: 3.30925e-08, Loss_f: 4.89462e-06
Iter: 7000, Loss: 6.09376e-06, Loss_0: 1.89314e-06, Loss_b: 1.77132e-08, Loss_f: 4.18291e-06
Iter: 7100, Loss: 4.82504e-06, Loss_0: 8.38111e-07, Loss_b: 6.00244e-08, Loss_f: 3.92691e-06
Iter: 7200, Loss: 3.59521e-06, Loss_0: 5.18306e-07, Loss_b: 1.05867e-07, Loss_f: 2.97103e-06
Iter: 7300, Loss: 2.91353e-06, Loss_0: 4.39136e-07, Loss_b: 5.87142e-08, Loss_f: 2.41568e-06
Iter: 7400, Loss: 2.91668e-06, Loss_0: 5.11860e-07, Loss_b: 1.56577e-07, Loss_f: 2.24824e-06
Iter: 7500, Loss: 2.08446e-06, Loss_0: 2.64124e-07, Loss_b: 4.56412e-08, Loss_f: 1.77470e-06
Training time: 945.6877
