Start Training:
Iter: 0, Loss: 1.43933e+00, Loss_0: 1.99439e-01, Loss_b: 2.16031e-02, Loss_f: 1.21828e+00
Iter: 100, Loss: 1.17445e-02, Loss_0: 1.13339e-02, Loss_b: 2.65839e-05, Loss_f: 3.84013e-04
Iter: 200, Loss: 1.15336e-02, Loss_0: 1.10882e-02, Loss_b: 2.19514e-05, Loss_f: 4.23525e-04
Iter: 300, Loss: 1.11962e-02, Loss_0: 1.07184e-02, Loss_b: 2.13865e-05, Loss_f: 4.56368e-04
Iter: 400, Loss: 1.04448e-02, Loss_0: 9.97368e-03, Loss_b: 1.28554e-05, Loss_f: 4.58264e-04
Iter: 500, Loss: 8.94084e-03, Loss_0: 8.62257e-03, Loss_b: 3.50826e-06, Loss_f: 3.14758e-04
Iter: 600, Loss: 8.31860e-03, Loss_0: 8.11368e-03, Loss_b: 1.08201e-05, Loss_f: 1.94098e-04
Iter: 700, Loss: 8.25604e-03, Loss_0: 8.06591e-03, Loss_b: 1.48136e-05, Loss_f: 1.75318e-04
Iter: 800, Loss: 8.21204e-03, Loss_0: 8.03232e-03, Loss_b: 1.90768e-05, Loss_f: 1.60639e-04
Iter: 900, Loss: 8.16748e-03, Loss_0: 7.99730e-03, Loss_b: 2.26058e-05, Loss_f: 1.47577e-04
Iter: 1000, Loss: 8.11948e-03, Loss_0: 7.95890e-03, Loss_b: 2.50392e-05, Loss_f: 1.35546e-04
Iter: 1100, Loss: 8.06687e-03, Loss_0: 7.91464e-03, Loss_b: 2.64260e-05, Loss_f: 1.25800e-04
Iter: 1200, Loss: 8.00938e-03, Loss_0: 7.86154e-03, Loss_b: 2.70650e-05, Loss_f: 1.20774e-04
Iter: 1300, Loss: 7.94580e-03, Loss_0: 7.79532e-03, Loss_b: 2.75413e-05, Loss_f: 1.22939e-04
Iter: 1400, Loss: 7.89150e-03, Loss_0: 7.72498e-03, Loss_b: 3.60614e-05, Loss_f: 1.30460e-04
Iter: 1500, Loss: 7.80212e-03, Loss_0: 7.62846e-03, Loss_b: 2.87466e-05, Loss_f: 1.44916e-04
Iter: 1600, Loss: 7.73661e-03, Loss_0: 7.51938e-03, Loss_b: 5.43881e-05, Loss_f: 1.62845e-04
Iter: 1700, Loss: 7.55575e-03, Loss_0: 7.33675e-03, Loss_b: 2.73355e-05, Loss_f: 1.91672e-04
Iter: 1800, Loss: 7.34928e-03, Loss_0: 7.10777e-03, Loss_b: 2.64000e-05, Loss_f: 2.15104e-04
Iter: 1900, Loss: 6.82591e-03, Loss_0: 6.55092e-03, Loss_b: 1.63711e-05, Loss_f: 2.58627e-04
Iter: 2000, Loss: 6.01720e-03, Loss_0: 5.74254e-03, Loss_b: 1.63826e-05, Loss_f: 2.58284e-04
Iter: 2100, Loss: 4.83178e-03, Loss_0: 4.54308e-03, Loss_b: 2.80557e-06, Loss_f: 2.85896e-04
Iter: 2200, Loss: 9.63173e-03, Loss_0: 4.61795e-03, Loss_b: 4.43828e-03, Loss_f: 5.75493e-04
Iter: 2300, Loss: 3.67311e-03, Loss_0: 3.35702e-03, Loss_b: 6.98586e-06, Loss_f: 3.09102e-04
Iter: 2400, Loss: 3.33304e-03, Loss_0: 3.06490e-03, Loss_b: 7.08771e-06, Loss_f: 2.61051e-04
Iter: 2500, Loss: 3.06521e-03, Loss_0: 2.85248e-03, Loss_b: 5.19764e-06, Loss_f: 2.07526e-04
Iter: 2600, Loss: 3.31996e-03, Loss_0: 2.81586e-03, Loss_b: 3.50550e-04, Loss_f: 1.53549e-04
Iter: 2700, Loss: 2.75338e-03, Loss_0: 2.60930e-03, Loss_b: 2.88100e-06, Loss_f: 1.41201e-04
Iter: 2800, Loss: 2.66188e-03, Loss_0: 2.51989e-03, Loss_b: 2.78177e-06, Loss_f: 1.39208e-04
Iter: 2900, Loss: 2.67460e-03, Loss_0: 2.49852e-03, Loss_b: 4.81639e-05, Loss_f: 1.27919e-04
Iter: 3000, Loss: 2.62649e-03, Loss_0: 2.45647e-03, Loss_b: 4.49711e-05, Loss_f: 1.25048e-04
Iter: 3100, Loss: 2.55399e-03, Loss_0: 2.42636e-03, Loss_b: 2.28655e-06, Loss_f: 1.25335e-04
Iter: 3200, Loss: 2.54202e-03, Loss_0: 2.40033e-03, Loss_b: 3.11834e-05, Loss_f: 1.10499e-04
Iter: 3300, Loss: 2.49795e-03, Loss_0: 2.37034e-03, Loss_b: 1.31301e-05, Loss_f: 1.14482e-04
Iter: 3400, Loss: 2.59482e-03, Loss_0: 2.32742e-03, Loss_b: 1.50095e-05, Loss_f: 2.52386e-04
Iter: 3500, Loss: 2.51126e-03, Loss_0: 2.34819e-03, Loss_b: 5.07421e-05, Loss_f: 1.12333e-04
Iter: 3600, Loss: 2.40194e-03, Loss_0: 2.28213e-03, Loss_b: 4.39964e-06, Loss_f: 1.15411e-04
Iter: 3700, Loss: 2.37107e-03, Loss_0: 2.24946e-03, Loss_b: 4.87906e-06, Loss_f: 1.16729e-04
Iter: 3800, Loss: 2.38034e-03, Loss_0: 2.25668e-03, Loss_b: 8.76927e-06, Loss_f: 1.14894e-04
