Start Training:
Iter: 0, Loss: 1.72284e-01, Loss_0: 5.67314e-02, Loss_b: 6.39681e-02, Loss_f: 5.15846e-02
Iter: 100, Loss: 1.47270e-02, Loss_0: 1.42512e-02, Loss_b: 2.00476e-06, Loss_f: 4.73874e-04
Iter: 200, Loss: 1.34952e-02, Loss_0: 1.30215e-02, Loss_b: 2.30935e-06, Loss_f: 4.71373e-04
Iter: 300, Loss: 1.15684e-02, Loss_0: 1.12326e-02, Loss_b: 5.56679e-05, Loss_f: 2.80155e-04
Iter: 400, Loss: 1.13069e-02, Loss_0: 1.10778e-02, Loss_b: 1.52180e-05, Loss_f: 2.13838e-04
Iter: 500, Loss: 1.12098e-02, Loss_0: 1.10219e-02, Loss_b: 1.97588e-05, Loss_f: 1.68147e-04
Iter: 600, Loss: 1.11043e-02, Loss_0: 1.09364e-02, Loss_b: 2.06025e-05, Loss_f: 1.47249e-04
Iter: 700, Loss: 1.10287e-02, Loss_0: 1.08803e-02, Loss_b: 1.72352e-05, Loss_f: 1.31133e-04
Iter: 800, Loss: 1.09025e-02, Loss_0: 1.07602e-02, Loss_b: 1.55393e-05, Loss_f: 1.26722e-04
Iter: 900, Loss: 1.08984e-02, Loss_0: 1.06897e-02, Loss_b: 9.50139e-05, Loss_f: 1.13699e-04
Iter: 1000, Loss: 1.06910e-02, Loss_0: 1.05514e-02, Loss_b: 1.22649e-05, Loss_f: 1.27330e-04
Iter: 1100, Loss: 1.04804e-02, Loss_0: 1.03205e-02, Loss_b: 1.52365e-05, Loss_f: 1.44696e-04
Iter: 1200, Loss: 1.03297e-02, Loss_0: 1.01765e-02, Loss_b: 1.52273e-05, Loss_f: 1.37990e-04
Iter: 1300, Loss: 9.71972e-03, Loss_0: 9.54137e-03, Loss_b: 1.08374e-05, Loss_f: 1.67512e-04
Iter: 1400, Loss: 8.65159e-03, Loss_0: 8.40180e-03, Loss_b: 1.91547e-05, Loss_f: 2.30630e-04
Iter: 1500, Loss: 6.15757e-03, Loss_0: 5.87289e-03, Loss_b: 1.35481e-05, Loss_f: 2.71127e-04
Iter: 1600, Loss: 4.38038e-03, Loss_0: 3.93724e-03, Loss_b: 2.29486e-05, Loss_f: 4.20183e-04
Iter: 1700, Loss: 3.75100e-03, Loss_0: 3.32215e-03, Loss_b: 8.77428e-05, Loss_f: 3.41107e-04
Iter: 1800, Loss: 3.31202e-03, Loss_0: 2.97491e-03, Loss_b: 5.87528e-06, Loss_f: 3.31229e-04
Iter: 1900, Loss: 3.18890e-03, Loss_0: 2.78600e-03, Loss_b: 3.61941e-06, Loss_f: 3.99272e-04
Iter: 2000, Loss: 2.88204e-03, Loss_0: 2.61101e-03, Loss_b: 6.20166e-06, Loss_f: 2.64823e-04
Iter: 2100, Loss: 3.85828e-03, Loss_0: 2.69662e-03, Loss_b: 8.62814e-04, Loss_f: 2.98846e-04
Iter: 2200, Loss: 5.84078e-03, Loss_0: 2.52932e-03, Loss_b: 2.13229e-03, Loss_f: 1.17918e-03
Iter: 2300, Loss: 2.53990e-03, Loss_0: 2.28340e-03, Loss_b: 3.43063e-05, Loss_f: 2.22202e-04
Iter: 2400, Loss: 4.05886e-03, Loss_0: 2.39485e-03, Loss_b: 1.20322e-03, Loss_f: 4.60799e-04
Iter: 2500, Loss: 2.27783e-03, Loss_0: 2.10680e-03, Loss_b: 2.23573e-06, Loss_f: 1.68796e-04
Iter: 2600, Loss: 2.25843e-03, Loss_0: 2.08565e-03, Loss_b: 1.37118e-05, Loss_f: 1.59074e-04
Iter: 2700, Loss: 2.88422e-03, Loss_0: 2.06255e-03, Loss_b: 6.22155e-05, Loss_f: 7.59456e-04
Iter: 2800, Loss: 2.17055e-03, Loss_0: 1.99810e-03, Loss_b: 6.63073e-06, Loss_f: 1.65816e-04
Iter: 2900, Loss: 2.18951e-03, Loss_0: 1.98665e-03, Loss_b: 3.88613e-05, Loss_f: 1.64003e-04
Iter: 3000, Loss: 2.27122e-03, Loss_0: 1.99305e-03, Loss_b: 6.72312e-05, Loss_f: 2.10944e-04
Iter: 3100, Loss: 2.10320e-03, Loss_0: 1.93382e-03, Loss_b: 7.74850e-07, Loss_f: 1.68601e-04
Iter: 3200, Loss: 2.07044e-03, Loss_0: 1.89978e-03, Loss_b: 3.38929e-07, Loss_f: 1.70322e-04
Iter: 3300, Loss: 2.41758e-03, Loss_0: 1.93833e-03, Loss_b: 1.15947e-04, Loss_f: 3.63303e-04
Iter: 3400, Loss: 2.05619e-03, Loss_0: 1.87830e-03, Loss_b: 1.75979e-05, Loss_f: 1.60297e-04
Iter: 3500, Loss: 2.00536e-03, Loss_0: 1.83508e-03, Loss_b: 2.46864e-07, Loss_f: 1.70028e-04
Iter: 3600, Loss: 2.08679e-03, Loss_0: 1.81705e-03, Loss_b: 2.14562e-07, Loss_f: 2.69525e-04
Iter: 3700, Loss: 2.06191e-03, Loss_0: 1.78462e-03, Loss_b: 1.12123e-05, Loss_f: 2.66071e-04
Iter: 3800, Loss: 2.01105e-03, Loss_0: 1.80972e-03, Loss_b: 4.61777e-05, Loss_f: 1.55154e-04
Iter: 3900, Loss: 1.91388e-03, Loss_0: 1.73720e-03, Loss_b: 5.42929e-06, Loss_f: 1.71252e-04
Iter: 4000, Loss: 1.89825e-03, Loss_0: 1.71015e-03, Loss_b: 2.14414e-05, Loss_f: 1.66667e-04
