Start Training:
Iter: 0, Loss: 8.21866e-02, Loss_0: 7.42587e-02, Loss_b: 1.47491e-03, Loss_f: 6.45302e-03
Iter: 100, Loss: 8.93211e-03, Loss_0: 8.67964e-03, Loss_b: 4.90009e-06, Loss_f: 2.47569e-04
Iter: 200, Loss: 8.12893e-03, Loss_0: 7.58938e-03, Loss_b: 1.21441e-04, Loss_f: 4.18111e-04
Iter: 300, Loss: 7.75184e-03, Loss_0: 7.28882e-03, Loss_b: 2.42497e-04, Loss_f: 2.20526e-04
Iter: 400, Loss: 7.28560e-03, Loss_0: 7.08196e-03, Loss_b: 1.13031e-05, Loss_f: 1.92341e-04
Iter: 500, Loss: 7.17218e-03, Loss_0: 6.92902e-03, Loss_b: 1.49677e-05, Loss_f: 2.28196e-04
Iter: 600, Loss: 7.21444e-03, Loss_0: 6.81330e-03, Loss_b: 1.63303e-04, Loss_f: 2.37833e-04
Iter: 700, Loss: 6.79956e-03, Loss_0: 6.51297e-03, Loss_b: 5.58018e-06, Loss_f: 2.81008e-04
Iter: 800, Loss: 6.57574e-03, Loss_0: 6.21696e-03, Loss_b: 8.06829e-05, Loss_f: 2.78096e-04
Iter: 900, Loss: 5.98146e-03, Loss_0: 5.68419e-03, Loss_b: 1.84194e-06, Loss_f: 2.95435e-04
Iter: 1000, Loss: 7.30609e-03, Loss_0: 5.11365e-03, Loss_b: 1.87980e-03, Loss_f: 3.12635e-04
Iter: 1100, Loss: 4.22844e-03, Loss_0: 3.88432e-03, Loss_b: 1.46259e-05, Loss_f: 3.29494e-04
Iter: 1200, Loss: 3.91076e-03, Loss_0: 3.51919e-03, Loss_b: 1.45634e-05, Loss_f: 3.77002e-04
Iter: 1300, Loss: 3.71360e-03, Loss_0: 3.32978e-03, Loss_b: 2.58163e-05, Loss_f: 3.57998e-04
Iter: 1400, Loss: 3.50983e-03, Loss_0: 3.17533e-03, Loss_b: 1.06535e-05, Loss_f: 3.23845e-04
Iter: 1500, Loss: 3.28819e-03, Loss_0: 2.99952e-03, Loss_b: 6.74545e-06, Loss_f: 2.81928e-04
Iter: 1600, Loss: 7.20373e-03, Loss_0: 3.28730e-03, Loss_b: 3.54140e-03, Loss_f: 3.75029e-04
Iter: 1700, Loss: 2.91116e-03, Loss_0: 2.69440e-03, Loss_b: 3.01235e-06, Loss_f: 2.13742e-04
Iter: 1800, Loss: 2.75128e-03, Loss_0: 2.55651e-03, Loss_b: 2.10881e-06, Loss_f: 1.92661e-04
Iter: 1900, Loss: 3.05991e-03, Loss_0: 2.53473e-03, Loss_b: 3.34445e-04, Loss_f: 1.90737e-04
Iter: 2000, Loss: 2.50912e-03, Loss_0: 2.33809e-03, Loss_b: 5.87426e-07, Loss_f: 1.70444e-04
Iter: 2100, Loss: 2.40187e-03, Loss_0: 2.23142e-03, Loss_b: 1.76615e-07, Loss_f: 1.70267e-04
Iter: 2200, Loss: 2.30747e-03, Loss_0: 2.12882e-03, Loss_b: 5.35211e-06, Loss_f: 1.73299e-04
Iter: 2300, Loss: 2.21817e-03, Loss_0: 2.04131e-03, Loss_b: 6.35442e-07, Loss_f: 1.76219e-04
Iter: 2400, Loss: 2.13387e-03, Loss_0: 1.95264e-03, Loss_b: 3.38581e-07, Loss_f: 1.80899e-04
Iter: 2500, Loss: 2.12606e-03, Loss_0: 1.89179e-03, Loss_b: 4.85362e-05, Loss_f: 1.85735e-04
Iter: 2600, Loss: 1.98733e-03, Loss_0: 1.80895e-03, Loss_b: 3.94116e-07, Loss_f: 1.77989e-04
Iter: 2700, Loss: 2.01909e-03, Loss_0: 1.76127e-03, Loss_b: 3.05467e-05, Loss_f: 2.27280e-04
Iter: 2800, Loss: 1.86054e-03, Loss_0: 1.68690e-03, Loss_b: 3.95927e-07, Loss_f: 1.73247e-04
Iter: 2900, Loss: 1.81383e-03, Loss_0: 1.63358e-03, Loss_b: 1.99174e-06, Loss_f: 1.78255e-04
Iter: 3000, Loss: 1.78615e-03, Loss_0: 1.59483e-03, Loss_b: 2.06054e-05, Loss_f: 1.70710e-04
Iter: 3100, Loss: 1.81253e-03, Loss_0: 1.53992e-03, Loss_b: 4.38878e-05, Loss_f: 2.28719e-04
