Start Training:
Iter: 0, Loss: 8.39192e-01, Loss_0: 4.94295e-01, Loss_1: 8.26579e-02, Loss_b: 2.47168e-01, Loss_f: 1.50717e-02
Iter: 100, Loss: 1.38757e-02, Loss_0: 3.82248e-05, Loss_1: 1.38150e-02, Loss_b: 1.27206e-05, Loss_f: 9.77343e-06
Iter: 200, Loss: 1.34668e-02, Loss_0: 1.15971e-05, Loss_1: 1.34230e-02, Loss_b: 2.24896e-05, Loss_f: 9.75991e-06
Iter: 300, Loss: 1.27699e-02, Loss_0: 1.96464e-06, Loss_1: 1.27158e-02, Loss_b: 9.77437e-06, Loss_f: 4.23207e-05
Iter: 400, Loss: 1.13863e-02, Loss_0: 1.62005e-07, Loss_1: 1.12112e-02, Loss_b: 1.76090e-06, Loss_f: 1.73174e-04
Iter: 500, Loss: 9.84138e-03, Loss_0: 9.20474e-07, Loss_1: 9.54203e-03, Loss_b: 3.15434e-05, Loss_f: 2.66880e-04
Iter: 600, Loss: 9.41231e-03, Loss_0: 2.50025e-06, Loss_1: 9.11651e-03, Loss_b: 3.36009e-05, Loss_f: 2.59694e-04
Iter: 700, Loss: 9.20817e-03, Loss_0: 2.62752e-06, Loss_1: 8.96770e-03, Loss_b: 1.71504e-05, Loss_f: 2.20692e-04
Iter: 800, Loss: 9.03917e-03, Loss_0: 1.66865e-06, Loss_1: 8.83756e-03, Loss_b: 1.10407e-05, Loss_f: 1.88901e-04
Iter: 900, Loss: 8.88196e-03, Loss_0: 1.36387e-07, Loss_1: 8.70440e-03, Loss_b: 9.47701e-06, Loss_f: 1.67951e-04
Iter: 1000, Loss: 8.74749e-03, Loss_0: 9.68216e-08, Loss_1: 8.56869e-03, Loss_b: 1.05539e-05, Loss_f: 1.68142e-04
Iter: 1100, Loss: 8.65891e-03, Loss_0: 8.58503e-08, Loss_1: 8.45949e-03, Loss_b: 1.35964e-05, Loss_f: 1.85734e-04
Iter: 1200, Loss: 8.59496e-03, Loss_0: 3.75466e-08, Loss_1: 8.36748e-03, Loss_b: 1.84838e-05, Loss_f: 2.08959e-04
Iter: 1300, Loss: 8.53336e-03, Loss_0: 1.95387e-08, Loss_1: 8.27717e-03, Loss_b: 2.39490e-05, Loss_f: 2.32218e-04
Iter: 1400, Loss: 8.45374e-03, Loss_0: 1.62293e-08, Loss_1: 8.17494e-03, Loss_b: 2.84425e-05, Loss_f: 2.50343e-04
Iter: 1500, Loss: 8.41046e-03, Loss_0: 1.36977e-05, Loss_1: 8.06851e-03, Loss_b: 6.11194e-05, Loss_f: 2.67129e-04
Iter: 1600, Loss: 8.16203e-03, Loss_0: 1.45813e-05, Loss_1: 7.79746e-03, Loss_b: 1.03051e-04, Loss_f: 2.46940e-04
Iter: 1700, Loss: 7.72941e-03, Loss_0: 4.41232e-08, Loss_1: 7.47886e-03, Loss_b: 9.69908e-06, Loss_f: 2.40810e-04
Iter: 1800, Loss: 9.71214e-03, Loss_0: 2.84648e-04, Loss_1: 7.22782e-03, Loss_b: 1.92570e-03, Loss_f: 2.73973e-04
Iter: 1900, Loss: 6.50465e-03, Loss_0: 1.48293e-07, Loss_1: 6.26915e-03, Loss_b: 4.92411e-06, Loss_f: 2.30422e-04
