Start Training:
Iter: 0, Loss: 2.69347e+00, Loss_0: 6.52104e-01, Loss_1: 1.18837e-01, Loss_b: 1.03558e+00, Loss_f: 8.86951e-01
Iter: 100, Loss: 5.61019e-03, Loss_0: 1.18572e-04, Loss_1: 5.44539e-03, Loss_b: 3.70256e-06, Loss_f: 4.25295e-05
Iter: 200, Loss: 5.31928e-03, Loss_0: 1.92934e-05, Loss_1: 5.22200e-03, Loss_b: 1.69263e-05, Loss_f: 6.10583e-05
Iter: 300, Loss: 5.13792e-03, Loss_0: 6.40896e-06, Loss_1: 5.03024e-03, Loss_b: 1.29499e-05, Loss_f: 8.83239e-05
Iter: 400, Loss: 4.98072e-03, Loss_0: 6.38333e-06, Loss_1: 4.84280e-03, Loss_b: 1.01906e-05, Loss_f: 1.21347e-04
Iter: 500, Loss: 4.83567e-03, Loss_0: 6.35495e-06, Loss_1: 4.66272e-03, Loss_b: 8.32519e-06, Loss_f: 1.58273e-04
Iter: 600, Loss: 4.69867e-03, Loss_0: 6.17704e-06, Loss_1: 4.48857e-03, Loss_b: 7.15297e-06, Loss_f: 1.96769e-04
Iter: 700, Loss: 4.56337e-03, Loss_0: 6.06097e-06, Loss_1: 4.31714e-03, Loss_b: 6.49003e-06, Loss_f: 2.33683e-04
Iter: 800, Loss: 4.42224e-03, Loss_0: 6.06870e-06, Loss_1: 4.14462e-03, Loss_b: 6.12763e-06, Loss_f: 2.65422e-04
Iter: 900, Loss: 4.26767e-03, Loss_0: 6.22553e-06, Loss_1: 3.96732e-03, Loss_b: 5.93115e-06, Loss_f: 2.88202e-04
Iter: 1000, Loss: 4.09242e-03, Loss_0: 6.54991e-06, Loss_1: 3.78201e-03, Loss_b: 5.84788e-06, Loss_f: 2.98013e-04
Iter: 1100, Loss: 3.89066e-03, Loss_0: 7.05144e-06, Loss_1: 3.58686e-03, Loss_b: 5.86622e-06, Loss_f: 2.90883e-04
Iter: 1200, Loss: 3.66105e-03, Loss_0: 7.72046e-06, Loss_1: 3.38306e-03, Loss_b: 5.92723e-06, Loss_f: 2.64349e-04
