Start Training:
Iter: 0, Loss: 2.53354e-01, Loss_0: 1.17102e-01, Loss_1: 4.04606e-02, Loss_b: 4.80643e-02, Loss_f: 4.77276e-02
Iter: 100, Loss: 1.12663e-02, Loss_0: 1.27001e-06, Loss_1: 1.11903e-02, Loss_b: 2.85822e-05, Loss_f: 4.61520e-05
Iter: 200, Loss: 8.27958e-03, Loss_0: 1.80839e-08, Loss_1: 7.95370e-03, Loss_b: 1.36653e-05, Loss_f: 3.12196e-04
Iter: 300, Loss: 5.07386e-03, Loss_0: 8.08938e-08, Loss_1: 4.53965e-03, Loss_b: 2.48888e-05, Loss_f: 5.09247e-04
Iter: 400, Loss: 4.54376e-03, Loss_0: 6.53798e-09, Loss_1: 3.93806e-03, Loss_b: 2.43516e-05, Loss_f: 5.81338e-04
Iter: 500, Loss: 4.25107e-03, Loss_0: 2.90226e-08, Loss_1: 3.68664e-03, Loss_b: 2.10789e-05, Loss_f: 5.43324e-04
Iter: 600, Loss: 3.86534e-03, Loss_0: 2.19342e-07, Loss_1: 3.37144e-03, Loss_b: 1.81751e-05, Loss_f: 4.75503e-04
Iter: 700, Loss: 3.44097e-03, Loss_0: 1.66904e-07, Loss_1: 3.02283e-03, Loss_b: 8.28433e-06, Loss_f: 4.09691e-04
Iter: 800, Loss: 3.12578e-03, Loss_0: 2.64782e-07, Loss_1: 2.73910e-03, Loss_b: 1.92674e-06, Loss_f: 3.84482e-04
Iter: 900, Loss: 2.96803e-03, Loss_0: 2.49737e-07, Loss_1: 2.59311e-03, Loss_b: 2.70214e-06, Loss_f: 3.71966e-04
Iter: 1000, Loss: 2.89874e-03, Loss_0: 2.35948e-06, Loss_1: 2.51753e-03, Loss_b: 2.01621e-05, Loss_f: 3.58689e-04
Iter: 1100, Loss: 2.82589e-03, Loss_0: 1.12031e-07, Loss_1: 2.47562e-03, Loss_b: 8.22833e-06, Loss_f: 3.41934e-04
Iter: 1200, Loss: 2.94802e-03, Loss_0: 2.41803e-05, Loss_1: 2.46417e-03, Loss_b: 1.31291e-04, Loss_f: 3.28382e-04
Iter: 1300, Loss: 2.74936e-03, Loss_0: 4.59476e-08, Loss_1: 2.44263e-03, Loss_b: 9.68063e-06, Loss_f: 2.97006e-04
Iter: 1400, Loss: 2.71193e-03, Loss_0: 3.66412e-08, Loss_1: 2.42662e-03, Loss_b: 1.02351e-05, Loss_f: 2.75034e-04
Iter: 1500, Loss: 2.70766e-03, Loss_0: 2.66751e-06, Loss_1: 2.44018e-03, Loss_b: 1.88553e-05, Loss_f: 2.45954e-04
Iter: 1600, Loss: 2.64971e-03, Loss_0: 1.90822e-08, Loss_1: 2.40272e-03, Loss_b: 1.05926e-05, Loss_f: 2.36372e-04
Iter: 1700, Loss: 2.61674e-03, Loss_0: 2.34125e-08, Loss_1: 2.38618e-03, Loss_b: 1.05789e-05, Loss_f: 2.19958e-04
Iter: 1800, Loss: 2.58693e-03, Loss_0: 3.65888e-08, Loss_1: 2.37006e-03, Loss_b: 1.00881e-05, Loss_f: 2.06747e-04
Iter: 1900, Loss: 2.56786e-03, Loss_0: 8.99417e-08, Loss_1: 2.36181e-03, Loss_b: 1.03663e-05, Loss_f: 1.95587e-04
Iter: 2000, Loss: 2.54323e-03, Loss_0: 1.22195e-08, Loss_1: 2.34307e-03, Loss_b: 9.34795e-06, Loss_f: 1.90798e-04
Iter: 2100, Loss: 2.52016e-03, Loss_0: 1.74770e-08, Loss_1: 2.32595e-03, Loss_b: 8.65651e-06, Loss_f: 1.85529e-04
Iter: 2200, Loss: 2.50289e-03, Loss_0: 1.30062e-08, Loss_1: 2.31666e-03, Loss_b: 7.81608e-06, Loss_f: 1.78402e-04
Iter: 2300, Loss: 2.47462e-03, Loss_0: 7.85753e-08, Loss_1: 2.28974e-03, Loss_b: 7.74409e-06, Loss_f: 1.77059e-04
Iter: 2400, Loss: 2.44281e-03, Loss_0: 4.30140e-08, Loss_1: 2.26221e-03, Loss_b: 7.04266e-06, Loss_f: 1.73519e-04
Iter: 2500, Loss: 2.40321e-03, Loss_0: 3.70794e-08, Loss_1: 2.22625e-03, Loss_b: 6.81514e-06, Loss_f: 1.70112e-04
Iter: 2600, Loss: 2.36644e-03, Loss_0: 3.49133e-08, Loss_1: 2.19870e-03, Loss_b: 6.38141e-06, Loss_f: 1.61325e-04
Iter: 2700, Loss: 2.32309e-03, Loss_0: 2.33163e-08, Loss_1: 2.15541e-03, Loss_b: 6.20061e-06, Loss_f: 1.61451e-04
Iter: 2800, Loss: 2.31515e-03, Loss_0: 1.62359e-05, Loss_1: 2.12184e-03, Loss_b: 8.42685e-06, Loss_f: 1.68652e-04
Iter: 2900, Loss: 2.29249e-03, Loss_0: 2.94256e-06, Loss_1: 2.08708e-03, Loss_b: 3.59573e-05, Loss_f: 1.66512e-04
Iter: 3000, Loss: 2.21372e-03, Loss_0: 3.32584e-08, Loss_1: 2.04185e-03, Loss_b: 6.12409e-06, Loss_f: 1.65717e-04
Iter: 3100, Loss: 2.16879e-03, Loss_0: 2.61533e-08, Loss_1: 1.99409e-03, Loss_b: 5.53396e-06, Loss_f: 1.69146e-04
Iter: 3200, Loss: 2.14088e-03, Loss_0: 2.26206e-07, Loss_1: 1.96235e-03, Loss_b: 1.63464e-05, Loss_f: 1.61954e-04
Iter: 3300, Loss: 2.04756e-03, Loss_0: 4.55751e-08, Loss_1: 1.87585e-03, Loss_b: 5.50773e-06, Loss_f: 1.66158e-04
Iter: 3400, Loss: 1.92775e-03, Loss_0: 6.48125e-08, Loss_1: 1.76122e-03, Loss_b: 5.60304e-06, Loss_f: 1.60861e-04
Iter: 3500, Loss: 1.78551e-03, Loss_0: 3.74491e-07, Loss_1: 1.64020e-03, Loss_b: 4.69241e-06, Loss_f: 1.40238e-04
Iter: 3600, Loss: 1.53317e-03, Loss_0: 1.65173e-08, Loss_1: 1.38852e-03, Loss_b: 5.44611e-06, Loss_f: 1.39190e-04
Iter: 3700, Loss: 1.32404e-03, Loss_0: 5.62346e-06, Loss_1: 1.14501e-03, Loss_b: 3.44520e-05, Loss_f: 1.38953e-04
Iter: 3800, Loss: 1.05680e-03, Loss_0: 2.69893e-08, Loss_1: 9.11052e-04, Loss_b: 2.95392e-06, Loss_f: 1.42763e-04
Iter: 3900, Loss: 8.83929e-04, Loss_0: 8.95696e-09, Loss_1: 7.20987e-04, Loss_b: 2.48458e-06, Loss_f: 1.60448e-04
Iter: 4000, Loss: 2.25653e-03, Loss_0: 1.23356e-05, Loss_1: 7.26614e-04, Loss_b: 9.46422e-04, Loss_f: 5.71161e-04
Iter: 4100, Loss: 6.28246e-04, Loss_0: 2.03835e-08, Loss_1: 4.75827e-04, Loss_b: 3.79896e-06, Loss_f: 1.48599e-04
Iter: 4200, Loss: 6.08452e-04, Loss_0: 2.59753e-08, Loss_1: 3.75916e-04, Loss_b: 6.47891e-05, Loss_f: 1.67721e-04
Iter: 4300, Loss: 5.26319e-04, Loss_0: 2.81600e-06, Loss_1: 2.80173e-04, Loss_b: 6.16189e-05, Loss_f: 1.81711e-04
Iter: 4400, Loss: 3.45278e-04, Loss_0: 2.95573e-08, Loss_1: 2.28556e-04, Loss_b: 5.00134e-06, Loss_f: 1.11691e-04
Iter: 4500, Loss: 6.17238e-04, Loss_0: 3.56118e-06, Loss_1: 1.85468e-04, Loss_b: 1.53800e-04, Loss_f: 2.74409e-04
Iter: 4600, Loss: 2.44484e-04, Loss_0: 2.01933e-07, Loss_1: 1.55929e-04, Loss_b: 1.98333e-06, Loss_f: 8.63703e-05
Iter: 4700, Loss: 2.74358e-04, Loss_0: 1.76289e-07, Loss_1: 1.28583e-04, Loss_b: 3.20352e-05, Loss_f: 1.13564e-04
Iter: 4800, Loss: 2.44679e-04, Loss_0: 1.39439e-06, Loss_1: 1.12425e-04, Loss_b: 3.52475e-05, Loss_f: 9.56125e-05
Iter: 4900, Loss: 3.91221e-04, Loss_0: 3.83626e-05, Loss_1: 1.36347e-04, Loss_b: 1.22415e-04, Loss_f: 9.40961e-05
Iter: 5000, Loss: 6.64249e-04, Loss_0: 4.57544e-07, Loss_1: 1.40406e-04, Loss_b: 1.82564e-04, Loss_f: 3.40822e-04
Iter: 5100, Loss: 2.98833e-04, Loss_0: 2.33001e-06, Loss_1: 9.52324e-05, Loss_b: 7.66962e-05, Loss_f: 1.24574e-04
Iter: 5200, Loss: 1.85544e-04, Loss_0: 1.23931e-05, Loss_1: 8.48421e-05, Loss_b: 2.52082e-05, Loss_f: 6.31007e-05
Iter: 5300, Loss: 1.37550e-04, Loss_0: 1.60843e-06, Loss_1: 7.45942e-05, Loss_b: 3.57086e-06, Loss_f: 5.77765e-05
Iter: 5400, Loss: 1.50491e-04, Loss_0: 4.28737e-06, Loss_1: 7.62239e-05, Loss_b: 2.89582e-07, Loss_f: 6.96906e-05
Iter: 5500, Loss: 1.46828e-04, Loss_0: 8.12750e-07, Loss_1: 6.64219e-05, Loss_b: 5.67840e-06, Loss_f: 7.39153e-05
Iter: 5600, Loss: 2.53414e-04, Loss_0: 1.02958e-05, Loss_1: 7.93110e-05, Loss_b: 8.17667e-05, Loss_f: 8.20404e-05
Iter: 5700, Loss: 2.29428e-04, Loss_0: 1.92409e-05, Loss_1: 8.27626e-05, Loss_b: 6.16774e-05, Loss_f: 6.57469e-05
Iter: 5800, Loss: 1.22507e-04, Loss_0: 6.67883e-08, Loss_1: 6.46844e-05, Loss_b: 3.61504e-06, Loss_f: 5.41409e-05
Iter: 5900, Loss: 2.23289e-04, Loss_0: 2.04804e-07, Loss_1: 7.06738e-05, Loss_b: 3.07673e-05, Loss_f: 1.21643e-04
