Start Training:
Iter: 0, Loss: 2.27285e-01, Loss_0: 9.38696e-02, Loss_1: 2.43780e-02, Loss_b: 9.39536e-02, Loss_f: 1.50842e-02
Iter: 100, Loss: 1.03165e-02, Loss_0: 3.32864e-07, Loss_1: 1.01026e-02, Loss_b: 1.43252e-06, Loss_f: 2.12138e-04
Iter: 200, Loss: 8.69142e-03, Loss_0: 6.14028e-07, Loss_1: 8.43625e-03, Loss_b: 9.26206e-06, Loss_f: 2.45297e-04
Iter: 300, Loss: 8.22502e-03, Loss_0: 2.38442e-05, Loss_1: 8.05695e-03, Loss_b: 1.68448e-05, Loss_f: 1.27378e-04
Iter: 400, Loss: 8.04438e-03, Loss_0: 1.86134e-06, Loss_1: 7.92460e-03, Loss_b: 7.76834e-06, Loss_f: 1.10152e-04
Iter: 500, Loss: 8.11728e-03, Loss_0: 4.62286e-05, Loss_1: 7.86684e-03, Loss_b: 1.21920e-04, Loss_f: 8.22917e-05
Iter: 600, Loss: 7.92573e-03, Loss_0: 9.96925e-07, Loss_1: 7.82646e-03, Loss_b: 1.44671e-05, Loss_f: 8.38052e-05
Iter: 700, Loss: 7.88366e-03, Loss_0: 3.84254e-06, Loss_1: 7.77643e-03, Loss_b: 2.81931e-05, Loss_f: 7.51979e-05
Iter: 800, Loss: 7.83862e-03, Loss_0: 5.01760e-07, Loss_1: 7.75266e-03, Loss_b: 1.32043e-05, Loss_f: 7.22475e-05
Iter: 900, Loss: 7.76923e-03, Loss_0: 3.00992e-07, Loss_1: 7.68955e-03, Loss_b: 9.50799e-06, Loss_f: 6.98786e-05
Iter: 1000, Loss: 8.03075e-03, Loss_0: 5.55694e-05, Loss_1: 7.66477e-03, Loss_b: 2.36681e-04, Loss_f: 7.37226e-05
Iter: 1100, Loss: 7.57500e-03, Loss_0: 3.51296e-07, Loss_1: 7.49935e-03, Loss_b: 4.48179e-06, Loss_f: 7.08137e-05
Iter: 1200, Loss: 7.27947e-03, Loss_0: 3.18116e-07, Loss_1: 7.17859e-03, Loss_b: 1.88669e-06, Loss_f: 9.86742e-05
Iter: 1300, Loss: 6.77661e-03, Loss_0: 2.40484e-06, Loss_1: 6.64554e-03, Loss_b: 4.95279e-06, Loss_f: 1.23713e-04
Iter: 1400, Loss: 5.65397e-03, Loss_0: 7.19135e-07, Loss_1: 5.50173e-03, Loss_b: 1.09856e-05, Loss_f: 1.40535e-04
Iter: 1500, Loss: 3.79376e-03, Loss_0: 7.39556e-07, Loss_1: 3.55625e-03, Loss_b: 7.93623e-06, Loss_f: 2.28840e-04
Iter: 1600, Loss: 2.83420e-03, Loss_0: 2.15548e-04, Loss_1: 2.32600e-03, Loss_b: 2.30802e-05, Loss_f: 2.69575e-04
Iter: 1700, Loss: 1.85218e-03, Loss_0: 1.79085e-07, Loss_1: 1.64872e-03, Loss_b: 3.62488e-06, Loss_f: 1.99650e-04
Iter: 1800, Loss: 1.85460e-03, Loss_0: 4.84186e-05, Loss_1: 1.39806e-03, Loss_b: 1.36690e-04, Loss_f: 2.71435e-04
Iter: 1900, Loss: 1.40961e-03, Loss_0: 2.41852e-06, Loss_1: 1.21096e-03, Loss_b: 5.78322e-06, Loss_f: 1.90445e-04
Iter: 2000, Loss: 1.37753e-03, Loss_0: 1.56277e-05, Loss_1: 1.12674e-03, Loss_b: 7.54683e-05, Loss_f: 1.59701e-04
Iter: 2100, Loss: 1.25161e-03, Loss_0: 2.54652e-06, Loss_1: 1.00136e-03, Loss_b: 6.48839e-05, Loss_f: 1.82821e-04
Iter: 2200, Loss: 1.07362e-03, Loss_0: 4.83048e-07, Loss_1: 8.89147e-04, Loss_b: 4.15644e-05, Loss_f: 1.42422e-04
Iter: 2300, Loss: 1.07055e-03, Loss_0: 1.87639e-05, Loss_1: 7.93395e-04, Loss_b: 1.39815e-04, Loss_f: 1.18579e-04
Iter: 2400, Loss: 7.68331e-04, Loss_0: 2.47567e-07, Loss_1: 6.64027e-04, Loss_b: 2.88927e-06, Loss_f: 1.01167e-04
Iter: 2500, Loss: 1.79502e-03, Loss_0: 1.30072e-04, Loss_1: 7.31984e-04, Loss_b: 7.62083e-04, Loss_f: 1.70885e-04
Iter: 2600, Loss: 6.37326e-04, Loss_0: 4.79913e-07, Loss_1: 4.94027e-04, Loss_b: 1.41304e-05, Loss_f: 1.28689e-04
Iter: 2700, Loss: 8.62841e-04, Loss_0: 1.51952e-06, Loss_1: 4.34961e-04, Loss_b: 1.54921e-04, Loss_f: 2.71440e-04
Iter: 2800, Loss: 7.55896e-04, Loss_0: 2.37571e-06, Loss_1: 4.30093e-04, Loss_b: 7.48691e-05, Loss_f: 2.48559e-04
Iter: 2900, Loss: 6.73174e-04, Loss_0: 3.50546e-06, Loss_1: 3.50187e-04, Loss_b: 1.11712e-04, Loss_f: 2.07770e-04
Iter: 3000, Loss: 7.48780e-04, Loss_0: 1.16346e-06, Loss_1: 2.95508e-04, Loss_b: 8.21408e-05, Loss_f: 3.69968e-04
Iter: 3100, Loss: 5.78728e-04, Loss_0: 1.33220e-05, Loss_1: 2.95390e-04, Loss_b: 1.29543e-04, Loss_f: 1.40472e-04
Iter: 3200, Loss: 1.38398e-03, Loss_0: 4.11734e-05, Loss_1: 2.63161e-04, Loss_b: 2.96844e-05, Loss_f: 1.04996e-03
Iter: 3300, Loss: 3.41824e-04, Loss_0: 4.93018e-06, Loss_1: 2.11430e-04, Loss_b: 4.31777e-05, Loss_f: 8.22865e-05
Iter: 3400, Loss: 7.22842e-04, Loss_0: 1.52943e-06, Loss_1: 2.17825e-04, Loss_b: 9.14910e-05, Loss_f: 4.11996e-04
Iter: 3500, Loss: 7.31709e-04, Loss_0: 1.55238e-04, Loss_1: 2.10574e-04, Loss_b: 1.39994e-04, Loss_f: 2.25903e-04
Iter: 3600, Loss: 4.76416e-04, Loss_0: 6.37760e-06, Loss_1: 1.63855e-04, Loss_b: 1.07716e-05, Loss_f: 2.95412e-04
Iter: 3700, Loss: 2.39466e-04, Loss_0: 4.12831e-06, Loss_1: 1.50661e-04, Loss_b: 3.24427e-06, Loss_f: 8.14321e-05
Iter: 3800, Loss: 2.45698e-04, Loss_0: 1.54592e-06, Loss_1: 1.38365e-04, Loss_b: 1.75117e-05, Loss_f: 8.82752e-05
Iter: 3900, Loss: 1.99827e-04, Loss_0: 6.56097e-07, Loss_1: 1.21636e-04, Loss_b: 2.77056e-07, Loss_f: 7.72583e-05
Iter: 4000, Loss: 2.02895e-04, Loss_0: 2.05459e-06, Loss_1: 1.39185e-04, Loss_b: 1.38358e-06, Loss_f: 6.02711e-05
Iter: 4100, Loss: 1.70768e-04, Loss_0: 1.98654e-07, Loss_1: 1.09157e-04, Loss_b: 6.24174e-08, Loss_f: 6.13500e-05
Iter: 4200, Loss: 2.65374e-04, Loss_0: 9.52372e-07, Loss_1: 1.00585e-04, Loss_b: 1.26302e-05, Loss_f: 1.51206e-04
Iter: 4300, Loss: 4.51708e-04, Loss_0: 3.71088e-06, Loss_1: 1.04530e-04, Loss_b: 4.71035e-05, Loss_f: 2.96363e-04
Iter: 4400, Loss: 1.91537e-04, Loss_0: 6.58525e-06, Loss_1: 9.75064e-05, Loss_b: 1.74109e-05, Loss_f: 7.00342e-05
Iter: 4500, Loss: 1.73131e-04, Loss_0: 2.93713e-06, Loss_1: 8.22577e-05, Loss_b: 3.82475e-06, Loss_f: 8.41115e-05
Iter: 4600, Loss: 1.99955e-04, Loss_0: 4.78762e-06, Loss_1: 8.21969e-05, Loss_b: 2.97977e-05, Loss_f: 8.31727e-05
Iter: 4700, Loss: 9.98112e-04, Loss_0: 2.80192e-06, Loss_1: 9.71754e-05, Loss_b: 9.14690e-05, Loss_f: 8.06666e-04
Iter: 4800, Loss: 9.90042e-05, Loss_0: 2.99655e-07, Loss_1: 6.07513e-05, Loss_b: 9.43238e-07, Loss_f: 3.70100e-05
Iter: 4900, Loss: 2.96853e-04, Loss_0: 5.38924e-06, Loss_1: 8.83712e-05, Loss_b: 4.63023e-07, Loss_f: 2.02629e-04
Iter: 5000, Loss: 9.10767e-05, Loss_0: 1.01902e-06, Loss_1: 5.19920e-05, Loss_b: 3.08100e-06, Loss_f: 3.49847e-05
Iter: 5100, Loss: 4.99033e-04, Loss_0: 9.67708e-06, Loss_1: 7.33183e-05, Loss_b: 8.91341e-05, Loss_f: 3.26903e-04
Iter: 5200, Loss: 3.56419e-04, Loss_0: 3.54472e-05, Loss_1: 7.78128e-05, Loss_b: 1.62637e-04, Loss_f: 8.05213e-05
Iter: 5300, Loss: 8.40574e-05, Loss_0: 2.74590e-07, Loss_1: 4.25848e-05, Loss_b: 3.89506e-07, Loss_f: 4.08084e-05
Iter: 5400, Loss: 1.38557e-04, Loss_0: 8.51136e-06, Loss_1: 5.44989e-05, Loss_b: 3.32415e-05, Loss_f: 4.23053e-05
Iter: 5500, Loss: 6.12751e-04, Loss_0: 4.71706e-05, Loss_1: 9.33921e-05, Loss_b: 2.96240e-04, Loss_f: 1.75949e-04
Iter: 5600, Loss: 4.23542e-04, Loss_0: 3.66265e-05, Loss_1: 6.43438e-05, Loss_b: 6.43032e-05, Loss_f: 2.58269e-04
Iter: 5700, Loss: 3.04539e-04, Loss_0: 3.17846e-05, Loss_1: 7.00976e-05, Loss_b: 1.28901e-04, Loss_f: 7.37555e-05
Iter: 5800, Loss: 6.59157e-05, Loss_0: 5.75782e-07, Loss_1: 3.24861e-05, Loss_b: 2.58347e-06, Loss_f: 3.02703e-05
