Start Training:
Iter: 0, Loss: 4.25754e-01, Loss_0: 2.19268e-01, Loss_1: 3.09630e-02, Loss_b: 1.30533e-01, Loss_f: 4.49897e-02
Iter: 100, Loss: 1.28352e-02, Loss_0: 1.69412e-04, Loss_1: 1.26195e-02, Loss_b: 1.82654e-05, Loss_f: 2.79578e-05
Iter: 200, Loss: 1.23595e-02, Loss_0: 1.66721e-04, Loss_1: 1.21659e-02, Loss_b: 4.96101e-06, Loss_f: 2.18493e-05
Iter: 300, Loss: 1.15969e-02, Loss_0: 1.66289e-04, Loss_1: 1.13690e-02, Loss_b: 5.49395e-06, Loss_f: 5.61065e-05
Iter: 400, Loss: 1.00768e-02, Loss_0: 1.66020e-04, Loss_1: 9.74896e-03, Loss_b: 2.54944e-06, Loss_f: 1.59293e-04
Iter: 500, Loss: 8.63069e-03, Loss_0: 1.66081e-04, Loss_1: 8.17432e-03, Loss_b: 3.35765e-06, Loss_f: 2.86926e-04
Iter: 600, Loss: 8.34950e-03, Loss_0: 1.65946e-04, Loss_1: 7.93049e-03, Loss_b: 4.95587e-06, Loss_f: 2.48108e-04
Iter: 700, Loss: 8.23979e-03, Loss_0: 1.65812e-04, Loss_1: 7.86468e-03, Loss_b: 2.78703e-06, Loss_f: 2.06507e-04
Iter: 800, Loss: 8.15315e-03, Loss_0: 1.65716e-04, Loss_1: 7.80385e-03, Loss_b: 8.28300e-07, Loss_f: 1.82754e-04
Iter: 900, Loss: 8.07383e-03, Loss_0: 1.65585e-04, Loss_1: 7.73933e-03, Loss_b: 5.77018e-07, Loss_f: 1.68336e-04
Iter: 1000, Loss: 7.99958e-03, Loss_0: 1.65456e-04, Loss_1: 7.67139e-03, Loss_b: 1.85659e-06, Loss_f: 1.60880e-04
Iter: 1100, Loss: 7.92798e-03, Loss_0: 1.65340e-04, Loss_1: 7.60092e-03, Loss_b: 3.65177e-06, Loss_f: 1.58062e-04
Iter: 1200, Loss: 7.85429e-03, Loss_0: 1.65257e-04, Loss_1: 7.52750e-03, Loss_b: 4.77953e-06, Loss_f: 1.56757e-04
Iter: 1300, Loss: 7.79164e-03, Loss_0: 1.65263e-04, Loss_1: 7.46760e-03, Loss_b: 4.51082e-06, Loss_f: 1.54265e-04
Iter: 1400, Loss: 7.70510e-03, Loss_0: 1.65220e-04, Loss_1: 7.38914e-03, Loss_b: 2.88011e-06, Loss_f: 1.47854e-04
Iter: 1500, Loss: 7.63821e-03, Loss_0: 1.65524e-04, Loss_1: 7.33218e-03, Loss_b: 1.46426e-06, Loss_f: 1.39038e-04
Iter: 1600, Loss: 7.54457e-03, Loss_0: 1.65244e-04, Loss_1: 7.24246e-03, Loss_b: 1.08481e-06, Loss_f: 1.35780e-04
Iter: 1700, Loss: 7.45604e-03, Loss_0: 1.65277e-04, Loss_1: 7.14904e-03, Loss_b: 2.40900e-06, Loss_f: 1.39315e-04
Iter: 1800, Loss: 7.40068e-03, Loss_0: 1.65356e-04, Loss_1: 7.09978e-03, Loss_b: 3.91841e-06, Loss_f: 1.31624e-04
Iter: 1900, Loss: 7.30383e-03, Loss_0: 1.65297e-04, Loss_1: 6.99715e-03, Loss_b: 3.80893e-06, Loss_f: 1.37577e-04
Iter: 2000, Loss: 7.18367e-03, Loss_0: 1.65256e-04, Loss_1: 6.87472e-03, Loss_b: 4.89579e-06, Loss_f: 1.38801e-04
Iter: 2100, Loss: 7.10249e-03, Loss_0: 1.65436e-04, Loss_1: 6.80234e-03, Loss_b: 5.40567e-06, Loss_f: 1.29304e-04
Iter: 2200, Loss: 6.91585e-03, Loss_0: 1.65364e-04, Loss_1: 6.60911e-03, Loss_b: 4.85561e-06, Loss_f: 1.36516e-04
Iter: 2300, Loss: 6.63635e-03, Loss_0: 1.65331e-04, Loss_1: 6.33784e-03, Loss_b: 3.14310e-06, Loss_f: 1.30029e-04
Iter: 2400, Loss: 6.29631e-03, Loss_0: 1.65969e-04, Loss_1: 6.00289e-03, Loss_b: 1.80688e-06, Loss_f: 1.25645e-04
Iter: 2500, Loss: 5.90398e-03, Loss_0: 1.65655e-04, Loss_1: 5.60887e-03, Loss_b: 6.42198e-06, Loss_f: 1.23032e-04
Iter: 2600, Loss: 5.28328e-03, Loss_0: 1.65531e-04, Loss_1: 4.96730e-03, Loss_b: 6.68580e-06, Loss_f: 1.43757e-04
Iter: 2700, Loss: 4.73932e-03, Loss_0: 1.66245e-04, Loss_1: 4.40707e-03, Loss_b: 1.04457e-05, Loss_f: 1.55558e-04
Iter: 2800, Loss: 3.93712e-03, Loss_0: 1.65729e-04, Loss_1: 3.55611e-03, Loss_b: 1.42110e-05, Loss_f: 2.01072e-04
Iter: 2900, Loss: 3.19348e-03, Loss_0: 1.66273e-04, Loss_1: 2.84197e-03, Loss_b: 1.92581e-05, Loss_f: 1.65982e-04
Iter: 3000, Loss: 2.54009e-03, Loss_0: 1.66693e-04, Loss_1: 2.22448e-03, Loss_b: 1.81893e-06, Loss_f: 1.47103e-04
Iter: 3100, Loss: 3.82940e-03, Loss_0: 1.09086e-03, Loss_1: 1.92326e-03, Loss_b: 3.50632e-06, Loss_f: 8.11765e-04
Iter: 3200, Loss: 2.05180e-03, Loss_0: 1.65436e-04, Loss_1: 1.72815e-03, Loss_b: 1.35671e-06, Loss_f: 1.56855e-04
Iter: 3300, Loss: 1.99396e-03, Loss_0: 1.80071e-04, Loss_1: 1.65662e-03, Loss_b: 1.43681e-06, Loss_f: 1.55834e-04
Iter: 3400, Loss: 2.36085e-03, Loss_0: 3.98356e-04, Loss_1: 1.59388e-03, Loss_b: 2.02431e-06, Loss_f: 3.66591e-04
Iter: 3500, Loss: 2.17416e-03, Loss_0: 2.58674e-04, Loss_1: 1.58741e-03, Loss_b: 9.85895e-05, Loss_f: 2.29487e-04
Iter: 3600, Loss: 1.86216e-03, Loss_0: 1.67601e-04, Loss_1: 1.54329e-03, Loss_b: 2.57202e-06, Loss_f: 1.48702e-04
Iter: 3700, Loss: 2.17718e-03, Loss_0: 2.75383e-04, Loss_1: 1.53382e-03, Loss_b: 6.68026e-05, Loss_f: 3.01179e-04
Iter: 3800, Loss: 1.90722e-03, Loss_0: 2.08192e-04, Loss_1: 1.50402e-03, Loss_b: 9.27111e-06, Loss_f: 1.85741e-04
Iter: 3900, Loss: 1.79394e-03, Loss_0: 1.74675e-04, Loss_1: 1.47677e-03, Loss_b: 3.53848e-06, Loss_f: 1.38949e-04
Iter: 4000, Loss: 1.84390e-03, Loss_0: 1.70043e-04, Loss_1: 1.47024e-03, Loss_b: 7.53581e-05, Loss_f: 1.28257e-04
