Start Training:
Iter: 0, Loss: 2.28818e+00, Loss_0: 1.04675e+00, Loss_1: 1.15751e-01, Loss_b: 8.85591e-01, Loss_f: 2.40095e-01
Iter: 100, Loss: 1.25290e-02, Loss_0: 2.11571e-04, Loss_1: 1.21168e-02, Loss_b: 3.83988e-05, Loss_f: 1.62228e-04
Iter: 200, Loss: 1.17637e-02, Loss_0: 1.77520e-04, Loss_1: 1.13417e-02, Loss_b: 1.44404e-05, Loss_f: 2.30024e-04
Iter: 300, Loss: 1.10956e-02, Loss_0: 1.63624e-04, Loss_1: 1.05623e-02, Loss_b: 1.61347e-05, Loss_f: 3.53465e-04
Iter: 400, Loss: 1.03290e-02, Loss_0: 1.61752e-04, Loss_1: 9.73623e-03, Loss_b: 9.48093e-06, Loss_f: 4.21522e-04
Iter: 500, Loss: 9.44600e-03, Loss_0: 1.63460e-04, Loss_1: 8.87593e-03, Loss_b: 2.81881e-06, Loss_f: 4.03784e-04
Iter: 600, Loss: 8.78178e-03, Loss_0: 1.64601e-04, Loss_1: 8.27042e-03, Loss_b: 7.91333e-06, Loss_f: 3.38844e-04
Iter: 700, Loss: 8.48880e-03, Loss_0: 1.63269e-04, Loss_1: 8.02636e-03, Loss_b: 1.46525e-05, Loss_f: 2.84523e-04
Iter: 800, Loss: 8.35307e-03, Loss_0: 1.61888e-04, Loss_1: 7.93226e-03, Loss_b: 1.42254e-05, Loss_f: 2.44698e-04
Iter: 900, Loss: 8.25918e-03, Loss_0: 1.61302e-04, Loss_1: 7.87355e-03, Loss_b: 1.03367e-05, Loss_f: 2.13991e-04
Iter: 1000, Loss: 8.17994e-03, Loss_0: 1.61134e-04, Loss_1: 7.82290e-03, Loss_b: 6.00360e-06, Loss_f: 1.89905e-04
Iter: 1100, Loss: 8.10888e-03, Loss_0: 1.61159e-04, Loss_1: 7.77384e-03, Loss_b: 2.56692e-06, Loss_f: 1.71312e-04
Iter: 1200, Loss: 8.04596e-03, Loss_0: 1.61287e-04, Loss_1: 7.72543e-03, Loss_b: 8.56169e-07, Loss_f: 1.58382e-04
Iter: 1300, Loss: 7.99365e-03, Loss_0: 1.61443e-04, Loss_1: 7.67946e-03, Loss_b: 1.20464e-06, Loss_f: 1.51548e-04
Iter: 1400, Loss: 7.95333e-03, Loss_0: 1.61545e-04, Loss_1: 7.63866e-03, Loss_b: 3.12178e-06, Loss_f: 1.50005e-04
Iter: 1500, Loss: 7.92315e-03, Loss_0: 1.61545e-04, Loss_1: 7.60474e-03, Loss_b: 5.48841e-06, Loss_f: 1.51382e-04
Iter: 1600, Loss: 7.90578e-03, Loss_0: 1.62307e-04, Loss_1: 7.58370e-03, Loss_b: 7.61144e-06, Loss_f: 1.52160e-04
Iter: 1700, Loss: 7.88346e-03, Loss_0: 1.61491e-04, Loss_1: 7.55920e-03, Loss_b: 8.01720e-06, Loss_f: 1.54753e-04
Iter: 1800, Loss: 8.06201e-03, Loss_0: 2.18177e-04, Loss_1: 7.56097e-03, Loss_b: 1.32477e-04, Loss_f: 1.50384e-04
Iter: 1900, Loss: 7.85147e-03, Loss_0: 1.61873e-04, Loss_1: 7.52703e-03, Loss_b: 7.69201e-06, Loss_f: 1.54876e-04
Iter: 2000, Loss: 7.83168e-03, Loss_0: 1.61467e-04, Loss_1: 7.50672e-03, Loss_b: 7.46709e-06, Loss_f: 1.56025e-04
Iter: 2100, Loss: 7.81126e-03, Loss_0: 1.61365e-04, Loss_1: 7.48662e-03, Loss_b: 6.94501e-06, Loss_f: 1.56331e-04
Iter: 2200, Loss: 7.82929e-03, Loss_0: 1.71200e-04, Loss_1: 7.48290e-03, Loss_b: 2.69897e-05, Loss_f: 1.48203e-04
