Start Training:
Iter: 0, Loss: 2.67524e-01, Loss_0: 1.70813e-01, Loss_1: 2.36857e-02, Loss_b: 7.06996e-02, Loss_f: 2.32566e-03
Iter: 100, Loss: 1.04989e-02, Loss_0: 1.66142e-04, Loss_1: 1.00848e-02, Loss_b: 1.13346e-05, Loss_f: 2.36634e-04
Iter: 200, Loss: 8.40043e-03, Loss_0: 1.68567e-04, Loss_1: 7.88828e-03, Loss_b: 1.36189e-05, Loss_f: 3.29967e-04
Iter: 300, Loss: 8.11897e-03, Loss_0: 1.68584e-04, Loss_1: 7.73571e-03, Loss_b: 2.33046e-06, Loss_f: 2.12346e-04
Iter: 400, Loss: 8.02221e-03, Loss_0: 1.67911e-04, Loss_1: 7.66495e-03, Loss_b: 2.34987e-06, Loss_f: 1.86996e-04
Iter: 500, Loss: 7.94779e-03, Loss_0: 1.66763e-04, Loss_1: 7.59942e-03, Loss_b: 5.20862e-06, Loss_f: 1.76402e-04
Iter: 600, Loss: 7.91422e-03, Loss_0: 1.73160e-04, Loss_1: 7.54946e-03, Loss_b: 2.01324e-05, Loss_f: 1.71469e-04
Iter: 700, Loss: 7.82464e-03, Loss_0: 1.65506e-04, Loss_1: 7.48491e-03, Loss_b: 6.36430e-06, Loss_f: 1.67867e-04
Iter: 800, Loss: 7.97476e-03, Loss_0: 2.19855e-04, Loss_1: 7.45843e-03, Loss_b: 1.46589e-04, Loss_f: 1.49885e-04
Iter: 900, Loss: 7.69875e-03, Loss_0: 1.65091e-04, Loss_1: 7.36602e-03, Loss_b: 2.72004e-06, Loss_f: 1.64924e-04
Iter: 1000, Loss: 7.62296e-03, Loss_0: 1.64474e-04, Loss_1: 7.28640e-03, Loss_b: 1.58979e-06, Loss_f: 1.70498e-04
Iter: 1100, Loss: 7.57848e-03, Loss_0: 1.65212e-04, Loss_1: 7.23858e-03, Loss_b: 3.71541e-06, Loss_f: 1.70969e-04
