Start Training:
Iter: 0, Loss: 3.74274e-02, Loss_0: 6.42993e-04, Loss_1: 2.37777e-02, Loss_b: 8.31625e-03, Loss_f: 4.69041e-03
Iter: 100, Loss: 1.05203e-02, Loss_0: 6.81607e-06, Loss_1: 1.04123e-02, Loss_b: 4.33249e-06, Loss_f: 9.69286e-05
Iter: 200, Loss: 8.28812e-03, Loss_0: 6.53345e-07, Loss_1: 7.92300e-03, Loss_b: 4.37162e-06, Loss_f: 3.60092e-04
Iter: 300, Loss: 6.59793e-03, Loss_0: 2.22412e-06, Loss_1: 6.46183e-03, Loss_b: 5.72794e-06, Loss_f: 1.28147e-04
Iter: 400, Loss: 6.25979e-03, Loss_0: 7.25110e-07, Loss_1: 6.13717e-03, Loss_b: 1.67203e-06, Loss_f: 1.20221e-04
Iter: 500, Loss: 6.16186e-03, Loss_0: 1.07160e-06, Loss_1: 6.02122e-03, Loss_b: 8.49766e-06, Loss_f: 1.31067e-04
Iter: 600, Loss: 6.07722e-03, Loss_0: 5.67770e-07, Loss_1: 5.92553e-03, Loss_b: 1.51964e-06, Loss_f: 1.49608e-04
Iter: 700, Loss: 7.14875e-03, Loss_0: 1.48461e-04, Loss_1: 6.00826e-03, Loss_b: 8.05428e-04, Loss_f: 1.86595e-04
Iter: 800, Loss: 5.93516e-03, Loss_0: 4.40906e-07, Loss_1: 5.79433e-03, Loss_b: 1.62728e-06, Loss_f: 1.38764e-04
Iter: 900, Loss: 5.80166e-03, Loss_0: 3.19388e-07, Loss_1: 5.66891e-03, Loss_b: 2.49405e-06, Loss_f: 1.29932e-04
Iter: 1000, Loss: 5.80422e-03, Loss_0: 2.14314e-05, Loss_1: 5.55094e-03, Loss_b: 1.27960e-04, Loss_f: 1.03888e-04
Iter: 1100, Loss: 5.42291e-03, Loss_0: 3.31328e-07, Loss_1: 5.30731e-03, Loss_b: 1.77399e-06, Loss_f: 1.13496e-04
Iter: 1200, Loss: 5.08197e-03, Loss_0: 2.96611e-07, Loss_1: 4.98221e-03, Loss_b: 1.95464e-06, Loss_f: 9.75046e-05
Iter: 1300, Loss: 4.58682e-03, Loss_0: 5.78703e-07, Loss_1: 4.50962e-03, Loss_b: 4.64354e-06, Loss_f: 7.19788e-05
Iter: 1400, Loss: 3.62263e-03, Loss_0: 8.59929e-07, Loss_1: 3.54753e-03, Loss_b: 7.96090e-06, Loss_f: 6.62832e-05
Iter: 1500, Loss: 7.92520e-03, Loss_0: 5.36044e-04, Loss_1: 3.39248e-03, Loss_b: 3.73162e-03, Loss_f: 2.65055e-04
Iter: 1600, Loss: 2.10600e-03, Loss_0: 4.75327e-07, Loss_1: 1.96912e-03, Loss_b: 3.73824e-06, Loss_f: 1.32658e-04
Iter: 1700, Loss: 1.80297e-03, Loss_0: 2.23172e-07, Loss_1: 1.66279e-03, Loss_b: 2.56660e-06, Loss_f: 1.37394e-04
Iter: 1800, Loss: 2.23542e-03, Loss_0: 3.77471e-05, Loss_1: 1.59080e-03, Loss_b: 4.59270e-04, Loss_f: 1.47612e-04
Iter: 1900, Loss: 1.49926e-03, Loss_0: 2.46598e-07, Loss_1: 1.38604e-03, Loss_b: 2.04069e-06, Loss_f: 1.10933e-04
Iter: 2000, Loss: 1.45842e-03, Loss_0: 9.96424e-07, Loss_1: 1.34630e-03, Loss_b: 2.27163e-06, Loss_f: 1.08846e-04
Iter: 2100, Loss: 2.08678e-03, Loss_0: 1.36235e-04, Loss_1: 1.36433e-03, Loss_b: 2.99363e-04, Loss_f: 2.86846e-04
Iter: 2200, Loss: 1.40148e-03, Loss_0: 2.25609e-07, Loss_1: 1.29963e-03, Loss_b: 1.91422e-06, Loss_f: 9.97120e-05
Iter: 2300, Loss: 1.41463e-03, Loss_0: 1.06729e-05, Loss_1: 1.28866e-03, Loss_b: 1.60471e-06, Loss_f: 1.13690e-04
Iter: 2400, Loss: 1.36061e-03, Loss_0: 2.13295e-07, Loss_1: 1.26568e-03, Loss_b: 1.22299e-06, Loss_f: 9.34927e-05
Iter: 2500, Loss: 1.34255e-03, Loss_0: 3.80431e-07, Loss_1: 1.25053e-03, Loss_b: 1.96087e-06, Loss_f: 8.96707e-05
Iter: 2600, Loss: 1.36916e-03, Loss_0: 2.60632e-06, Loss_1: 1.24318e-03, Loss_b: 3.64687e-05, Loss_f: 8.68981e-05
Iter: 2700, Loss: 1.29237e-03, Loss_0: 3.40437e-07, Loss_1: 1.20593e-03, Loss_b: 7.09864e-07, Loss_f: 8.53906e-05
Iter: 2800, Loss: 1.26162e-03, Loss_0: 2.71944e-07, Loss_1: 1.17919e-03, Loss_b: 4.62762e-07, Loss_f: 8.16989e-05
Iter: 2900, Loss: 1.74237e-03, Loss_0: 7.04336e-05, Loss_1: 1.18736e-03, Loss_b: 1.93216e-04, Loss_f: 2.91357e-04
Iter: 3000, Loss: 1.21303e-03, Loss_0: 4.92889e-06, Loss_1: 1.11253e-03, Loss_b: 3.87325e-06, Loss_f: 9.16950e-05
Iter: 3100, Loss: 1.13649e-03, Loss_0: 2.46793e-07, Loss_1: 1.06517e-03, Loss_b: 1.12682e-06, Loss_f: 6.99472e-05
Iter: 3200, Loss: 1.09955e-03, Loss_0: 1.60509e-06, Loss_1: 1.01810e-03, Loss_b: 8.67137e-07, Loss_f: 7.89735e-05
Iter: 3300, Loss: 1.60600e-03, Loss_0: 5.81282e-05, Loss_1: 1.01923e-03, Loss_b: 3.27574e-04, Loss_f: 2.01075e-04
Iter: 3400, Loss: 9.86675e-04, Loss_0: 4.18475e-07, Loss_1: 9.13150e-04, Loss_b: 1.36896e-05, Loss_f: 5.94170e-05
Iter: 3500, Loss: 1.07428e-03, Loss_0: 2.61431e-07, Loss_1: 8.87813e-04, Loss_b: 9.33896e-05, Loss_f: 9.28194e-05
Iter: 3600, Loss: 8.91940e-04, Loss_0: 8.67410e-07, Loss_1: 8.10956e-04, Loss_b: 2.20996e-06, Loss_f: 7.79061e-05
Iter: 3700, Loss: 8.86069e-04, Loss_0: 6.35010e-06, Loss_1: 7.67815e-04, Loss_b: 2.19011e-05, Loss_f: 9.00032e-05
Iter: 3800, Loss: 8.88787e-04, Loss_0: 8.54946e-06, Loss_1: 7.24756e-04, Loss_b: 1.43136e-05, Loss_f: 1.41168e-04
Iter: 3900, Loss: 8.08206e-04, Loss_0: 5.40064e-06, Loss_1: 7.07934e-04, Loss_b: 1.54079e-05, Loss_f: 7.94634e-05
Iter: 4000, Loss: 7.31455e-04, Loss_0: 1.07513e-06, Loss_1: 6.58370e-04, Loss_b: 5.31261e-06, Loss_f: 6.66975e-05
