Start Training:
Iter: 0, Loss: 2.14582e-01, Loss_0: 1.64635e-02, Loss_b: 1.88131e-01, Loss_f: 9.98732e-03
Iter: 100, Loss: 3.14315e-03, Loss_0: 3.11539e-03, Loss_b: 1.40527e-05, Loss_f: 1.37081e-05
Iter: 200, Loss: 2.94652e-03, Loss_0: 2.89697e-03, Loss_b: 1.30416e-05, Loss_f: 3.64998e-05
Iter: 300, Loss: 2.80603e-03, Loss_0: 2.71516e-03, Loss_b: 1.40428e-05, Loss_f: 7.68328e-05
Iter: 400, Loss: 2.66656e-03, Loss_0: 2.55624e-03, Loss_b: 1.38214e-05, Loss_f: 9.64946e-05
Iter: 500, Loss: 2.48633e-03, Loss_0: 2.37787e-03, Loss_b: 1.17158e-05, Loss_f: 9.67363e-05
Iter: 600, Loss: 2.21799e-03, Loss_0: 2.11989e-03, Loss_b: 7.52792e-06, Loss_f: 9.05681e-05
Iter: 700, Loss: 1.82949e-03, Loss_0: 1.73981e-03, Loss_b: 9.32285e-06, Loss_f: 8.03547e-05
Iter: 800, Loss: 1.61353e-03, Loss_0: 1.53251e-03, Loss_b: 1.63328e-05, Loss_f: 6.46879e-05
Iter: 900, Loss: 1.52628e-03, Loss_0: 1.46423e-03, Loss_b: 1.27798e-05, Loss_f: 4.92697e-05
Iter: 1000, Loss: 1.43769e-03, Loss_0: 1.38167e-03, Loss_b: 1.15552e-05, Loss_f: 4.44674e-05
Iter: 1100, Loss: 1.31043e-03, Loss_0: 1.25590e-03, Loss_b: 1.27063e-05, Loss_f: 4.18209e-05
Iter: 1200, Loss: 1.22619e-03, Loss_0: 1.09018e-03, Loss_b: 8.55171e-05, Loss_f: 5.04903e-05
Iter: 1300, Loss: 7.84270e-04, Loss_0: 7.10835e-04, Loss_b: 1.84970e-05, Loss_f: 5.49381e-05
Iter: 1400, Loss: 5.18467e-04, Loss_0: 4.38253e-04, Loss_b: 6.41795e-06, Loss_f: 7.37965e-05
Iter: 1500, Loss: 3.70184e-04, Loss_0: 2.78595e-04, Loss_b: 7.26868e-06, Loss_f: 8.43202e-05
Iter: 1600, Loss: 2.68984e-04, Loss_0: 1.84428e-04, Loss_b: 2.43911e-06, Loss_f: 8.21160e-05
Iter: 1700, Loss: 2.58695e-04, Loss_0: 1.63333e-04, Loss_b: 3.72325e-05, Loss_f: 5.81301e-05
Iter: 1800, Loss: 1.61605e-04, Loss_0: 1.00825e-04, Loss_b: 1.19284e-06, Loss_f: 5.95876e-05
Iter: 1900, Loss: 1.25723e-04, Loss_0: 7.32497e-05, Loss_b: 9.27727e-07, Loss_f: 5.15458e-05
Iter: 2000, Loss: 3.10732e-03, Loss_0: 4.38275e-04, Loss_b: 2.52812e-03, Loss_f: 1.40921e-04
Iter: 2100, Loss: 8.46861e-05, Loss_0: 4.60320e-05, Loss_b: 3.91811e-07, Loss_f: 3.82623e-05
Iter: 2200, Loss: 6.90585e-05, Loss_0: 3.45375e-05, Loss_b: 4.38074e-07, Loss_f: 3.40829e-05
Iter: 2300, Loss: 5.49779e-05, Loss_0: 2.65756e-05, Loss_b: 3.38484e-07, Loss_f: 2.80638e-05
Iter: 2400, Loss: 4.50388e-05, Loss_0: 2.18421e-05, Loss_b: 1.23009e-06, Loss_f: 2.19665e-05
Iter: 2500, Loss: 3.37089e-05, Loss_0: 1.52661e-05, Loss_b: 2.96862e-07, Loss_f: 1.81459e-05
Iter: 2600, Loss: 2.78832e-05, Loss_0: 1.06937e-05, Loss_b: 9.29886e-07, Loss_f: 1.62596e-05
Iter: 2700, Loss: 2.48024e-05, Loss_0: 9.76144e-06, Loss_b: 4.41363e-07, Loss_f: 1.45996e-05
Iter: 2800, Loss: 2.25671e-05, Loss_0: 7.75563e-06, Loss_b: 1.61611e-07, Loss_f: 1.46498e-05
Iter: 2900, Loss: 5.83197e-05, Loss_0: 1.09221e-05, Loss_b: 3.03100e-05, Loss_f: 1.70876e-05
Iter: 3000, Loss: 2.08853e-05, Loss_0: 6.88802e-06, Loss_b: 1.12679e-07, Loss_f: 1.38846e-05
Iter: 3100, Loss: 2.00638e-05, Loss_0: 6.07122e-06, Loss_b: 1.12625e-07, Loss_f: 1.38799e-05
Iter: 3200, Loss: 2.92717e-05, Loss_0: 1.00134e-05, Loss_b: 6.78944e-06, Loss_f: 1.24688e-05
Iter: 3300, Loss: 1.90021e-05, Loss_0: 5.82981e-06, Loss_b: 9.21476e-08, Loss_f: 1.30802e-05
Iter: 3400, Loss: 2.00777e-05, Loss_0: 5.08153e-06, Loss_b: 1.51281e-06, Loss_f: 1.34833e-05
Iter: 3500, Loss: 1.83316e-05, Loss_0: 6.17540e-06, Loss_b: 7.80181e-08, Loss_f: 1.20782e-05
Iter: 3600, Loss: 1.74219e-05, Loss_0: 5.12833e-06, Loss_b: 9.19911e-08, Loss_f: 1.22016e-05
Iter: 3700, Loss: 2.81864e-05, Loss_0: 6.58663e-06, Loss_b: 8.85511e-06, Loss_f: 1.27447e-05
Iter: 3800, Loss: 1.65905e-05, Loss_0: 4.98292e-06, Loss_b: 7.93394e-08, Loss_f: 1.15282e-05
Iter: 3900, Loss: 1.37059e-03, Loss_0: 1.19534e-04, Loss_b: 1.16095e-03, Loss_f: 9.00981e-05
Iter: 4000, Loss: 1.59408e-05, Loss_0: 4.99866e-06, Loss_b: 1.34157e-07, Loss_f: 1.08079e-05
Iter: 4100, Loss: 1.53036e-05, Loss_0: 4.45413e-06, Loss_b: 7.60504e-08, Loss_f: 1.07734e-05
Iter: 4200, Loss: 1.56097e-05, Loss_0: 5.42486e-06, Loss_b: 2.62383e-07, Loss_f: 9.92244e-06
Iter: 4300, Loss: 1.45958e-05, Loss_0: 4.29051e-06, Loss_b: 7.51675e-08, Loss_f: 1.02301e-05
Iter: 4400, Loss: 7.08463e-05, Loss_0: 1.25623e-05, Loss_b: 3.82858e-05, Loss_f: 1.99983e-05
Iter: 4500, Loss: 1.40627e-05, Loss_0: 4.31410e-06, Loss_b: 6.15715e-08, Loss_f: 9.68699e-06
Iter: 4600, Loss: 1.35716e-05, Loss_0: 3.92299e-06, Loss_b: 6.49434e-08, Loss_f: 9.58370e-06
Iter: 4700, Loss: 1.66353e-05, Loss_0: 5.44753e-06, Loss_b: 1.62654e-06, Loss_f: 9.56120e-06
Iter: 4800, Loss: 1.30150e-05, Loss_0: 3.84913e-06, Loss_b: 6.10398e-08, Loss_f: 9.10483e-06
Iter: 4900, Loss: 2.47434e-05, Loss_0: 1.07154e-05, Loss_b: 1.33942e-06, Loss_f: 1.26885e-05
Iter: 5000, Loss: 1.24520e-05, Loss_0: 3.71278e-06, Loss_b: 7.06263e-08, Loss_f: 8.66859e-06
Iter: 5100, Loss: 6.88465e-05, Loss_0: 1.42829e-05, Loss_b: 4.52459e-05, Loss_f: 9.31768e-06
Iter: 5200, Loss: 1.18858e-05, Loss_0: 3.51658e-06, Loss_b: 6.38569e-08, Loss_f: 8.30539e-06
Iter: 5300, Loss: 1.93125e-05, Loss_0: 5.01051e-06, Loss_b: 3.57221e-06, Loss_f: 1.07298e-05
Iter: 5400, Loss: 1.13594e-05, Loss_0: 3.35691e-06, Loss_b: 2.65396e-08, Loss_f: 7.97591e-06
Iter: 5500, Loss: 1.12179e-05, Loss_0: 3.40664e-06, Loss_b: 1.08522e-07, Loss_f: 7.70275e-06
Iter: 5600, Loss: 1.13071e-05, Loss_0: 3.67775e-06, Loss_b: 2.52314e-07, Loss_f: 7.37709e-06
Iter: 5700, Loss: 4.24446e-05, Loss_0: 1.00261e-05, Loss_b: 1.97767e-05, Loss_f: 1.26418e-05
Iter: 5800, Loss: 1.03945e-05, Loss_0: 3.06976e-06, Loss_b: 2.56690e-08, Loss_f: 7.29907e-06
Iter: 5900, Loss: 1.06325e-05, Loss_0: 3.53580e-06, Loss_b: 1.42766e-07, Loss_f: 6.95394e-06
Iter: 6000, Loss: 3.37591e-05, Loss_0: 8.17263e-06, Loss_b: 1.72463e-05, Loss_f: 8.34018e-06
Iter: 6100, Loss: 8.69102e-05, Loss_0: 1.01903e-05, Loss_b: 4.19295e-05, Loss_f: 3.47903e-05
Iter: 6200, Loss: 2.31289e-05, Loss_0: 5.70120e-06, Loss_b: 4.76182e-06, Loss_f: 1.26659e-05
Iter: 6300, Loss: 6.46333e-05, Loss_0: 1.26243e-05, Loss_b: 2.26716e-05, Loss_f: 2.93374e-05
Iter: 6400, Loss: 9.24382e-06, Loss_0: 2.80381e-06, Loss_b: 2.47196e-08, Loss_f: 6.41529e-06
Iter: 6500, Loss: 9.24078e-06, Loss_0: 2.91312e-06, Loss_b: 8.90732e-08, Loss_f: 6.23859e-06
Iter: 6600, Loss: 2.98523e-05, Loss_0: 6.58585e-06, Loss_b: 8.37715e-06, Loss_f: 1.48893e-05
Iter: 6700, Loss: 1.87098e-04, Loss_0: 3.26892e-05, Loss_b: 1.36520e-04, Loss_f: 1.78891e-05
Iter: 6800, Loss: 8.48293e-06, Loss_0: 2.44553e-06, Loss_b: 1.66865e-08, Loss_f: 6.02071e-06
Iter: 6900, Loss: 8.49164e-06, Loss_0: 2.43104e-06, Loss_b: 9.63790e-08, Loss_f: 5.96422e-06
Iter: 7000, Loss: 1.33720e-05, Loss_0: 3.51188e-06, Loss_b: 1.68242e-06, Loss_f: 8.17775e-06
Iter: 7100, Loss: 3.05491e-05, Loss_0: 7.61474e-06, Loss_b: 1.65581e-05, Loss_f: 6.37623e-06
Iter: 7200, Loss: 1.27061e-05, Loss_0: 3.12439e-06, Loss_b: 1.01938e-06, Loss_f: 8.56232e-06
Iter: 7300, Loss: 8.29866e-06, Loss_0: 2.17917e-06, Loss_b: 4.98196e-07, Loss_f: 5.62130e-06
Iter: 7400, Loss: 9.29425e-05, Loss_0: 1.07654e-05, Loss_b: 7.30532e-05, Loss_f: 9.12396e-06
