Start Training:
Iter: 0, Loss: 5.71118e-01, Loss_0: 3.51738e-01, Loss_1: 3.20008e-02, Loss_b: 1.80343e-01, Loss_f: 7.03588e-03
Iter: 100, Loss: 1.21305e-02, Loss_0: 4.34558e-04, Loss_1: 1.15963e-02, Loss_b: 2.51198e-05, Loss_f: 7.44840e-05
Iter: 200, Loss: 1.10254e-02, Loss_0: 4.13270e-04, Loss_1: 1.05416e-02, Loss_b: 6.18940e-06, Loss_f: 6.43579e-05
Iter: 300, Loss: 8.42514e-03, Loss_0: 4.05032e-04, Loss_1: 7.72221e-03, Loss_b: 5.40325e-06, Loss_f: 2.92499e-04
Iter: 400, Loss: 6.84548e-03, Loss_0: 3.98360e-04, Loss_1: 6.15255e-03, Loss_b: 8.08748e-06, Loss_f: 2.86479e-04
Iter: 500, Loss: 6.65044e-03, Loss_0: 3.96983e-04, Loss_1: 5.98699e-03, Loss_b: 3.47840e-06, Loss_f: 2.62996e-04
Iter: 600, Loss: 6.55241e-03, Loss_0: 4.03194e-04, Loss_1: 5.87300e-03, Loss_b: 1.65480e-05, Loss_f: 2.59670e-04
Iter: 700, Loss: 6.82210e-03, Loss_0: 4.94399e-04, Loss_1: 5.80795e-03, Loss_b: 2.76445e-04, Loss_f: 2.43306e-04
Iter: 800, Loss: 6.35595e-03, Loss_0: 3.98381e-04, Loss_1: 5.70093e-03, Loss_b: 1.32441e-05, Loss_f: 2.43395e-04
Iter: 900, Loss: 6.23886e-03, Loss_0: 3.95095e-04, Loss_1: 5.60889e-03, Loss_b: 6.76519e-06, Loss_f: 2.28102e-04
Iter: 1000, Loss: 6.15201e-03, Loss_0: 3.96372e-04, Loss_1: 5.53035e-03, Loss_b: 2.39598e-05, Loss_f: 2.01332e-04
Iter: 1100, Loss: 6.01160e-03, Loss_0: 3.93059e-04, Loss_1: 5.42610e-03, Loss_b: 5.93959e-06, Loss_f: 1.86506e-04
Iter: 1200, Loss: 5.91151e-03, Loss_0: 3.93880e-04, Loss_1: 5.34082e-03, Loss_b: 4.67100e-06, Loss_f: 1.72141e-04
Iter: 1300, Loss: 5.78414e-03, Loss_0: 3.93743e-04, Loss_1: 5.23345e-03, Loss_b: 2.43416e-06, Loss_f: 1.54510e-04
Iter: 1400, Loss: 5.68633e-03, Loss_0: 3.93692e-04, Loss_1: 5.14880e-03, Loss_b: 9.14949e-07, Loss_f: 1.42922e-04
Iter: 1500, Loss: 5.56233e-03, Loss_0: 3.93535e-04, Loss_1: 5.03082e-03, Loss_b: 3.56114e-07, Loss_f: 1.37627e-04
Iter: 1600, Loss: 5.48053e-03, Loss_0: 3.93279e-04, Loss_1: 4.94792e-03, Loss_b: 2.84800e-06, Loss_f: 1.36479e-04
Iter: 1700, Loss: 5.34021e-03, Loss_0: 3.93143e-04, Loss_1: 4.80217e-03, Loss_b: 7.56258e-07, Loss_f: 1.44138e-04
Iter: 1800, Loss: 5.49537e-03, Loss_0: 4.25872e-04, Loss_1: 4.75681e-03, Loss_b: 1.94259e-04, Loss_f: 1.18434e-04
Iter: 1900, Loss: 4.91146e-03, Loss_0: 3.92946e-04, Loss_1: 4.35657e-03, Loss_b: 4.41662e-06, Loss_f: 1.57519e-04
Iter: 2000, Loss: 4.24488e-03, Loss_0: 3.93267e-04, Loss_1: 3.66209e-03, Loss_b: 1.14579e-05, Loss_f: 1.78058e-04
Iter: 2100, Loss: 3.59016e-03, Loss_0: 3.94122e-04, Loss_1: 3.00896e-03, Loss_b: 1.89104e-05, Loss_f: 1.68175e-04
Iter: 2200, Loss: 2.90399e-03, Loss_0: 3.89812e-04, Loss_1: 2.32083e-03, Loss_b: 1.07506e-05, Loss_f: 1.82589e-04
Iter: 2300, Loss: 2.60318e-03, Loss_0: 3.91520e-04, Loss_1: 2.00622e-03, Loss_b: 9.24079e-06, Loss_f: 1.96191e-04
Iter: 2400, Loss: 2.36427e-03, Loss_0: 3.90785e-04, Loss_1: 1.77612e-03, Loss_b: 6.99524e-06, Loss_f: 1.90361e-04
Iter: 2500, Loss: 2.15569e-03, Loss_0: 3.90603e-04, Loss_1: 1.59314e-03, Loss_b: 5.76896e-06, Loss_f: 1.66180e-04
Iter: 2600, Loss: 1.97535e-03, Loss_0: 3.90538e-04, Loss_1: 1.44220e-03, Loss_b: 3.94454e-06, Loss_f: 1.38669e-04
Iter: 2700, Loss: 1.87017e-03, Loss_0: 3.91987e-04, Loss_1: 1.36006e-03, Loss_b: 2.13894e-06, Loss_f: 1.15985e-04
Iter: 2800, Loss: 1.77222e-03, Loss_0: 3.91370e-04, Loss_1: 1.27916e-03, Loss_b: 5.67477e-07, Loss_f: 1.01127e-04
Iter: 2900, Loss: 1.71431e-03, Loss_0: 3.91012e-04, Loss_1: 1.23142e-03, Loss_b: 1.05944e-07, Loss_f: 9.17650e-05
Iter: 3000, Loss: 1.75198e-03, Loss_0: 3.96264e-04, Loss_1: 1.23191e-03, Loss_b: 4.00648e-05, Loss_f: 8.37367e-05
Iter: 3100, Loss: 1.67227e-03, Loss_0: 3.91381e-04, Loss_1: 1.19615e-03, Loss_b: 1.22954e-07, Loss_f: 8.46234e-05
Iter: 3200, Loss: 1.65659e-03, Loss_0: 3.91085e-04, Loss_1: 1.18211e-03, Loss_b: 2.52314e-07, Loss_f: 8.31479e-05
Iter: 3300, Loss: 1.64462e-03, Loss_0: 3.90884e-04, Loss_1: 1.17171e-03, Loss_b: 3.21007e-07, Loss_f: 8.17054e-05
Iter: 3400, Loss: 1.64426e-03, Loss_0: 3.92560e-04, Loss_1: 1.17143e-03, Loss_b: 2.26674e-06, Loss_f: 7.80110e-05
Iter: 3500, Loss: 1.62937e-03, Loss_0: 3.91131e-04, Loss_1: 1.15926e-03, Loss_b: 2.65123e-07, Loss_f: 7.87166e-05
Iter: 3600, Loss: 1.62046e-03, Loss_0: 3.90905e-04, Loss_1: 1.15154e-03, Loss_b: 2.99127e-07, Loss_f: 7.77122e-05
Iter: 3700, Loss: 1.63458e-03, Loss_0: 3.92387e-04, Loss_1: 1.15434e-03, Loss_b: 1.13654e-06, Loss_f: 8.67146e-05
Iter: 3800, Loss: 1.60810e-03, Loss_0: 3.90887e-04, Loss_1: 1.14190e-03, Loss_b: 2.23212e-07, Loss_f: 7.50883e-05
Iter: 3900, Loss: 1.60006e-03, Loss_0: 3.90675e-04, Loss_1: 1.13462e-03, Loss_b: 2.65390e-07, Loss_f: 7.44990e-05
Iter: 4000, Loss: 3.08399e-03, Loss_0: 4.99228e-04, Loss_1: 1.31163e-03, Loss_b: 1.10035e-03, Loss_f: 1.72780e-04
Iter: 4100, Loss: 1.58793e-03, Loss_0: 3.90210e-04, Loss_1: 1.12524e-03, Loss_b: 2.02580e-07, Loss_f: 7.22753e-05
Iter: 4200, Loss: 1.57964e-03, Loss_0: 3.89958e-04, Loss_1: 1.11722e-03, Loss_b: 2.69246e-07, Loss_f: 7.21980e-05
Iter: 4300, Loss: 1.57130e-03, Loss_0: 3.89724e-04, Loss_1: 1.10990e-03, Loss_b: 2.90936e-07, Loss_f: 7.13855e-05
Iter: 4400, Loss: 1.56883e-03, Loss_0: 3.90790e-04, Loss_1: 1.10707e-03, Loss_b: 2.12668e-06, Loss_f: 6.88415e-05
Iter: 4500, Loss: 1.55665e-03, Loss_0: 3.90076e-04, Loss_1: 1.09675e-03, Loss_b: 2.82221e-07, Loss_f: 6.95474e-05
Iter: 4600, Loss: 1.54692e-03, Loss_0: 3.89756e-04, Loss_1: 1.08812e-03, Loss_b: 3.04045e-07, Loss_f: 6.87337e-05
Iter: 4700, Loss: 1.57967e-03, Loss_0: 4.10417e-04, Loss_1: 1.08908e-03, Loss_b: 5.46948e-07, Loss_f: 7.96266e-05
Iter: 4800, Loss: 1.53023e-03, Loss_0: 3.89095e-04, Loss_1: 1.07383e-03, Loss_b: 3.22502e-07, Loss_f: 6.69771e-05
Iter: 4900, Loss: 1.51866e-03, Loss_0: 3.88832e-04, Loss_1: 1.06317e-03, Loss_b: 3.40681e-07, Loss_f: 6.63151e-05
Iter: 5000, Loss: 1.51589e-03, Loss_0: 3.91154e-04, Loss_1: 1.05589e-03, Loss_b: 2.95842e-06, Loss_f: 6.58830e-05
Iter: 5100, Loss: 1.10016e-03, Loss_0: 3.87032e-04, Loss_1: 6.21346e-04, Loss_b: 4.94336e-06, Loss_f: 8.68363e-05
Iter: 5200, Loss: 7.67368e-04, Loss_0: 3.88247e-04, Loss_1: 3.33118e-04, Loss_b: 1.31778e-06, Loss_f: 4.46855e-05
Iter: 5300, Loss: 6.59282e-04, Loss_0: 3.94002e-04, Loss_1: 2.19173e-04, Loss_b: 1.49945e-06, Loss_f: 4.46070e-05
Iter: 5400, Loss: 5.63368e-04, Loss_0: 3.93667e-04, Loss_1: 1.24660e-04, Loss_b: 1.36053e-06, Loss_f: 4.36804e-05
Iter: 5500, Loss: 5.01009e-04, Loss_0: 3.90478e-04, Loss_1: 6.40383e-05, Loss_b: 1.07412e-06, Loss_f: 4.54178e-05
Iter: 5600, Loss: 4.60387e-04, Loss_0: 3.89168e-04, Loss_1: 4.16737e-05, Loss_b: 1.63635e-07, Loss_f: 2.93815e-05
Iter: 5700, Loss: 4.38876e-04, Loss_0: 3.88978e-04, Loss_1: 2.70678e-05, Loss_b: 1.03174e-07, Loss_f: 2.27269e-05
Iter: 5800, Loss: 4.16975e-04, Loss_0: 3.88432e-04, Loss_1: 1.47523e-05, Loss_b: 1.14267e-08, Loss_f: 1.37791e-05
Iter: 5900, Loss: 4.09606e-04, Loss_0: 3.88169e-04, Loss_1: 7.74111e-06, Loss_b: 3.66526e-08, Loss_f: 1.36591e-05
Iter: 6000, Loss: 4.05613e-04, Loss_0: 3.87842e-04, Loss_1: 7.02082e-06, Loss_b: 4.32578e-08, Loss_f: 1.07075e-05
Iter: 6100, Loss: 4.01939e-04, Loss_0: 3.86876e-04, Loss_1: 6.59880e-06, Loss_b: 1.55875e-08, Loss_f: 8.44884e-06
Iter: 6200, Loss: 3.98552e-04, Loss_0: 3.86587e-04, Loss_1: 5.33134e-06, Loss_b: 2.54665e-08, Loss_f: 6.60816e-06
Iter: 6300, Loss: 3.97446e-04, Loss_0: 3.86545e-04, Loss_1: 5.40720e-06, Loss_b: 9.50669e-09, Loss_f: 5.48464e-06
Iter: 6400, Loss: 3.96263e-04, Loss_0: 3.86624e-04, Loss_1: 4.81273e-06, Loss_b: 6.27295e-09, Loss_f: 4.81967e-06
Iter: 6500, Loss: 3.94549e-04, Loss_0: 3.86329e-04, Loss_1: 4.04803e-06, Loss_b: 1.74961e-08, Loss_f: 4.15453e-06
Iter: 6600, Loss: 3.93408e-04, Loss_0: 3.86278e-04, Loss_1: 3.49349e-06, Loss_b: 3.20784e-09, Loss_f: 3.63245e-06
