Start Training:
Iter: 0, Loss: 1.79758e-01, Loss_0: 1.37325e-01, Loss_1: 2.89735e-02, Loss_b: 4.02372e-03, Loss_f: 9.43628e-03
Iter: 100, Loss: 9.99962e-03, Loss_0: 4.88600e-06, Loss_1: 9.96279e-03, Loss_b: 7.37327e-06, Loss_f: 2.45697e-05
Iter: 200, Loss: 7.02493e-03, Loss_0: 3.87590e-06, Loss_1: 6.64641e-03, Loss_b: 5.61834e-06, Loss_f: 3.69026e-04
Iter: 300, Loss: 5.38453e-03, Loss_0: 2.69787e-06, Loss_1: 5.15931e-03, Loss_b: 1.43758e-05, Loss_f: 2.08141e-04
Iter: 400, Loss: 4.85436e-03, Loss_0: 1.56636e-06, Loss_1: 4.66941e-03, Loss_b: 1.18195e-06, Loss_f: 1.82204e-04
Iter: 500, Loss: 4.62261e-03, Loss_0: 2.12907e-06, Loss_1: 4.43069e-03, Loss_b: 1.57765e-05, Loss_f: 1.74007e-04
Iter: 600, Loss: 4.47488e-03, Loss_0: 1.68738e-07, Loss_1: 4.30639e-03, Loss_b: 1.08479e-06, Loss_f: 1.67240e-04
Iter: 700, Loss: 4.41641e-03, Loss_0: 2.36595e-06, Loss_1: 4.24649e-03, Loss_b: 1.50153e-05, Loss_f: 1.52537e-04
Iter: 800, Loss: 4.32703e-03, Loss_0: 1.70367e-07, Loss_1: 4.17782e-03, Loss_b: 5.69084e-07, Loss_f: 1.48480e-04
Iter: 900, Loss: 4.25790e-03, Loss_0: 1.66946e-07, Loss_1: 4.11799e-03, Loss_b: 4.59971e-07, Loss_f: 1.39281e-04
Iter: 1000, Loss: 4.19427e-03, Loss_0: 1.78274e-07, Loss_1: 4.06125e-03, Loss_b: 2.74837e-07, Loss_f: 1.32565e-04
Iter: 1100, Loss: 4.11890e-03, Loss_0: 1.69240e-07, Loss_1: 3.98968e-03, Loss_b: 2.84393e-07, Loss_f: 1.28774e-04
Iter: 1200, Loss: 4.03591e-03, Loss_0: 1.60382e-07, Loss_1: 3.90961e-03, Loss_b: 3.39322e-07, Loss_f: 1.25799e-04
Iter: 1300, Loss: 3.95781e-03, Loss_0: 6.84183e-07, Loss_1: 3.82967e-03, Loss_b: 3.23467e-06, Loss_f: 1.24221e-04
Iter: 1400, Loss: 3.85467e-03, Loss_0: 1.47718e-07, Loss_1: 3.72832e-03, Loss_b: 5.55721e-07, Loss_f: 1.25647e-04
Iter: 1500, Loss: 3.74545e-03, Loss_0: 1.37279e-07, Loss_1: 3.61734e-03, Loss_b: 7.42050e-07, Loss_f: 1.27230e-04
Iter: 1600, Loss: 3.77527e-03, Loss_0: 1.66456e-05, Loss_1: 3.53927e-03, Loss_b: 9.92751e-05, Loss_f: 1.20084e-04
Iter: 1700, Loss: 3.51956e-03, Loss_0: 1.26904e-07, Loss_1: 3.38602e-03, Loss_b: 8.89446e-07, Loss_f: 1.32525e-04
Iter: 1800, Loss: 3.36793e-03, Loss_0: 1.49139e-07, Loss_1: 3.23144e-03, Loss_b: 6.35467e-07, Loss_f: 1.35698e-04
Iter: 1900, Loss: 3.43441e-03, Loss_0: 2.45042e-05, Loss_1: 3.13789e-03, Loss_b: 1.33326e-04, Loss_f: 1.38691e-04
Iter: 2000, Loss: 3.04970e-03, Loss_0: 1.79467e-07, Loss_1: 2.91509e-03, Loss_b: 9.44072e-07, Loss_f: 1.33490e-04
Iter: 2100, Loss: 2.83597e-03, Loss_0: 2.23671e-07, Loss_1: 2.70292e-03, Loss_b: 8.11489e-07, Loss_f: 1.32014e-04
Iter: 2200, Loss: 9.56951e-03, Loss_0: 8.01559e-04, Loss_1: 3.41207e-03, Loss_b: 5.17782e-03, Loss_f: 1.78059e-04
Iter: 2300, Loss: 2.43095e-03, Loss_0: 1.46952e-07, Loss_1: 2.30538e-03, Loss_b: 5.62631e-07, Loss_f: 1.24856e-04
Iter: 2400, Loss: 2.14319e-03, Loss_0: 1.94000e-07, Loss_1: 2.01490e-03, Loss_b: 2.36995e-06, Loss_f: 1.25726e-04
Iter: 2500, Loss: 1.00622e-02, Loss_0: 7.60429e-04, Loss_1: 2.79734e-03, Loss_b: 6.36425e-03, Loss_f: 1.40140e-04
Iter: 2600, Loss: 1.67176e-03, Loss_0: 2.72164e-07, Loss_1: 1.53629e-03, Loss_b: 8.06591e-06, Loss_f: 1.27123e-04
Iter: 2700, Loss: 1.47428e-03, Loss_0: 3.76618e-07, Loss_1: 1.32556e-03, Loss_b: 1.13590e-05, Loss_f: 1.36986e-04
Iter: 2800, Loss: 1.33518e-03, Loss_0: 3.50297e-07, Loss_1: 1.18552e-03, Loss_b: 9.69866e-06, Loss_f: 1.39609e-04
Iter: 2900, Loss: 1.95042e-03, Loss_0: 7.94173e-05, Loss_1: 1.24045e-03, Loss_b: 5.04432e-04, Loss_f: 1.26117e-04
Iter: 3000, Loss: 1.18936e-03, Loss_0: 3.36619e-07, Loss_1: 1.05502e-03, Loss_b: 4.69767e-06, Loss_f: 1.29306e-04
Iter: 3100, Loss: 1.12932e-03, Loss_0: 3.35969e-07, Loss_1: 1.00302e-03, Loss_b: 2.78018e-06, Loss_f: 1.23182e-04
Iter: 3200, Loss: 1.08256e-03, Loss_0: 3.41980e-07, Loss_1: 9.66058e-04, Loss_b: 1.47129e-06, Loss_f: 1.14687e-04
Iter: 3300, Loss: 1.11029e-03, Loss_0: 3.87200e-06, Loss_1: 9.70806e-04, Loss_b: 3.25432e-05, Loss_f: 1.03073e-04
Iter: 3400, Loss: 1.02892e-03, Loss_0: 2.74129e-07, Loss_1: 9.28250e-04, Loss_b: 6.83190e-07, Loss_f: 9.97098e-05
Iter: 3500, Loss: 1.00185e-03, Loss_0: 2.93485e-07, Loss_1: 9.08298e-04, Loss_b: 4.01758e-07, Loss_f: 9.28572e-05
Iter: 3600, Loss: 9.78714e-04, Loss_0: 3.07228e-07, Loss_1: 8.92039e-04, Loss_b: 2.56666e-07, Loss_f: 8.61108e-05
