Start Training:
Iter: 0, Loss: 4.73566e-02, Loss_0: 1.47330e-02, Loss_1: 1.92616e-02, Loss_b: 1.29323e-02, Loss_f: 4.29658e-04
Iter: 100, Loss: 1.30299e-02, Loss_0: 7.04585e-07, Loss_1: 1.30114e-02, Loss_b: 1.61636e-06, Loss_f: 1.62089e-05
Iter: 200, Loss: 1.16135e-02, Loss_0: 1.33037e-06, Loss_1: 1.15123e-02, Loss_b: 2.85557e-05, Loss_f: 7.13228e-05
Iter: 300, Loss: 7.29104e-03, Loss_0: 3.06498e-06, Loss_1: 6.90534e-03, Loss_b: 1.01716e-05, Loss_f: 3.72461e-04
Iter: 400, Loss: 6.50702e-03, Loss_0: 3.18590e-06, Loss_1: 6.07324e-03, Loss_b: 1.25527e-05, Loss_f: 4.18042e-04
Iter: 500, Loss: 5.72940e-03, Loss_0: 2.41031e-06, Loss_1: 5.42869e-03, Loss_b: 3.15751e-05, Loss_f: 2.66722e-04
Iter: 600, Loss: 5.46281e-03, Loss_0: 4.08543e-05, Loss_1: 4.76821e-03, Loss_b: 4.77666e-04, Loss_f: 1.76081e-04
Iter: 700, Loss: 4.01087e-03, Loss_0: 1.76778e-06, Loss_1: 3.75831e-03, Loss_b: 2.63228e-05, Loss_f: 2.24469e-04
Iter: 800, Loss: 3.52660e-03, Loss_0: 7.89045e-07, Loss_1: 3.20285e-03, Loss_b: 4.16003e-05, Loss_f: 2.81366e-04
Iter: 900, Loss: 3.09381e-03, Loss_0: 1.10345e-07, Loss_1: 2.77938e-03, Loss_b: 2.25172e-05, Loss_f: 2.91805e-04
Iter: 1000, Loss: 2.67539e-03, Loss_0: 9.35591e-08, Loss_1: 2.38348e-03, Loss_b: 2.03117e-05, Loss_f: 2.71511e-04
Iter: 1100, Loss: 2.33031e-03, Loss_0: 4.67598e-07, Loss_1: 2.08442e-03, Loss_b: 1.64282e-05, Loss_f: 2.28987e-04
Iter: 1200, Loss: 1.97546e-03, Loss_0: 5.03548e-07, Loss_1: 1.80238e-03, Loss_b: 6.77719e-06, Loss_f: 1.65807e-04
Iter: 1300, Loss: 2.93981e-03, Loss_0: 1.49205e-06, Loss_1: 1.76324e-03, Loss_b: 9.84996e-04, Loss_f: 1.90087e-04
Iter: 1400, Loss: 1.50890e-03, Loss_0: 5.02887e-07, Loss_1: 1.38321e-03, Loss_b: 2.56402e-07, Loss_f: 1.24926e-04
Iter: 1500, Loss: 1.88356e-03, Loss_0: 1.00408e-04, Loss_1: 1.30786e-03, Loss_b: 3.21913e-04, Loss_f: 1.53373e-04
Iter: 1600, Loss: 1.17578e-03, Loss_0: 2.03850e-07, Loss_1: 1.05652e-03, Loss_b: 4.50275e-07, Loss_f: 1.18599e-04
Iter: 1700, Loss: 1.10819e-03, Loss_0: 5.09507e-07, Loss_1: 8.89992e-04, Loss_b: 9.09003e-05, Loss_f: 1.26792e-04
Iter: 1800, Loss: 8.49684e-04, Loss_0: 1.49649e-07, Loss_1: 7.36292e-04, Loss_b: 1.61729e-06, Loss_f: 1.11625e-04
Iter: 1900, Loss: 7.06745e-04, Loss_0: 3.02852e-07, Loss_1: 5.88747e-04, Loss_b: 2.89705e-06, Loss_f: 1.14798e-04
Iter: 2000, Loss: 6.08013e-04, Loss_0: 1.21604e-07, Loss_1: 4.89459e-04, Loss_b: 2.19819e-06, Loss_f: 1.16234e-04
Iter: 2100, Loss: 5.29456e-04, Loss_0: 1.43217e-07, Loss_1: 4.14001e-04, Loss_b: 2.11121e-06, Loss_f: 1.13201e-04
Iter: 2200, Loss: 4.87459e-04, Loss_0: 1.04607e-05, Loss_1: 3.67295e-04, Loss_b: 1.38979e-06, Loss_f: 1.08314e-04
Iter: 2300, Loss: 1.39030e-03, Loss_0: 6.05387e-05, Loss_1: 4.03544e-04, Loss_b: 4.19881e-04, Loss_f: 5.06339e-04
Iter: 2400, Loss: 7.38872e-04, Loss_0: 7.56425e-05, Loss_1: 3.30643e-04, Loss_b: 1.78166e-04, Loss_f: 1.54420e-04
Iter: 2500, Loss: 3.89468e-04, Loss_0: 2.16292e-05, Loss_1: 2.64529e-04, Loss_b: 9.48561e-07, Loss_f: 1.02361e-04
Iter: 2600, Loss: 4.10507e-04, Loss_0: 3.11073e-06, Loss_1: 2.42571e-04, Loss_b: 4.68236e-05, Loss_f: 1.18002e-04
Iter: 2700, Loss: 7.69923e-04, Loss_0: 9.41246e-07, Loss_1: 2.72979e-04, Loss_b: 2.43740e-04, Loss_f: 2.52262e-04
Iter: 2800, Loss: 3.76700e-04, Loss_0: 3.32212e-05, Loss_1: 2.18051e-04, Loss_b: 3.37610e-05, Loss_f: 9.16669e-05
Iter: 2900, Loss: 3.13474e-04, Loss_0: 1.82099e-05, Loss_1: 1.95902e-04, Loss_b: 4.66713e-07, Loss_f: 9.88949e-05
