Start Training:
Iter: 0, Loss: 1.30758e+00, Loss_0: 4.88938e-01, Loss_1: 7.87871e-02, Loss_b: 4.45956e-01, Loss_f: 2.93894e-01
Iter: 100, Loss: 1.19053e-02, Loss_0: 3.00600e-05, Loss_1: 1.16150e-02, Loss_b: 7.20327e-05, Loss_f: 1.88153e-04
Iter: 200, Loss: 1.07760e-02, Loss_0: 2.19312e-05, Loss_1: 1.04941e-02, Loss_b: 4.68820e-05, Loss_f: 2.13117e-04
Iter: 300, Loss: 9.17032e-03, Loss_0: 1.58530e-05, Loss_1: 8.78710e-03, Loss_b: 2.13397e-05, Loss_f: 3.46026e-04
Iter: 400, Loss: 7.30063e-03, Loss_0: 1.20699e-05, Loss_1: 6.91518e-03, Loss_b: 2.32750e-05, Loss_f: 3.50103e-04
Iter: 500, Loss: 6.28674e-03, Loss_0: 1.07455e-05, Loss_1: 5.86173e-03, Loss_b: 5.21334e-05, Loss_f: 3.62130e-04
Iter: 600, Loss: 5.98974e-03, Loss_0: 8.80815e-06, Loss_1: 5.53243e-03, Loss_b: 5.83169e-05, Loss_f: 3.90179e-04
Iter: 700, Loss: 5.86280e-03, Loss_0: 7.56789e-06, Loss_1: 5.40765e-03, Loss_b: 5.50057e-05, Loss_f: 3.92578e-04
Iter: 800, Loss: 5.78042e-03, Loss_0: 6.61249e-06, Loss_1: 5.33593e-03, Loss_b: 5.21683e-05, Loss_f: 3.85714e-04
Iter: 900, Loss: 5.71024e-03, Loss_0: 5.82107e-06, Loss_1: 5.28153e-03, Loss_b: 5.04509e-05, Loss_f: 3.72438e-04
Iter: 1000, Loss: 5.64368e-03, Loss_0: 5.14588e-06, Loss_1: 5.23434e-03, Loss_b: 4.93810e-05, Loss_f: 3.54813e-04
Iter: 1100, Loss: 5.57976e-03, Loss_0: 4.56064e-06, Loss_1: 5.19171e-03, Loss_b: 4.82974e-05, Loss_f: 3.35191e-04
Iter: 1200, Loss: 5.51929e-03, Loss_0: 4.04951e-06, Loss_1: 5.15282e-03, Loss_b: 4.65124e-05, Loss_f: 3.15909e-04
Iter: 1300, Loss: 5.46226e-03, Loss_0: 3.60473e-06, Loss_1: 5.11627e-03, Loss_b: 4.35533e-05, Loss_f: 2.98831e-04
Iter: 1400, Loss: 5.48033e-03, Loss_0: 2.94647e-05, Loss_1: 5.08531e-03, Loss_b: 8.07225e-05, Loss_f: 2.84835e-04
Iter: 1500, Loss: 5.35749e-03, Loss_0: 2.94141e-06, Loss_1: 5.04507e-03, Loss_b: 3.51916e-05, Loss_f: 2.74282e-04
Iter: 1600, Loss: 5.32110e-03, Loss_0: 7.47358e-06, Loss_1: 5.01499e-03, Loss_b: 3.75737e-05, Loss_f: 2.61063e-04
