Start Training:
Iter: 0, Loss: 3.40815e-01, Loss_0: 6.28773e-02, Loss_1: 4.14253e-02, Loss_b: 2.28346e-01, Loss_f: 8.16625e-03
Iter: 100, Loss: 1.62596e-02, Loss_0: 5.01982e-03, Loss_1: 1.11398e-02, Loss_b: 5.65162e-05, Loss_f: 4.34566e-05
Iter: 200, Loss: 1.58837e-02, Loss_0: 5.01532e-03, Loss_1: 1.07718e-02, Loss_b: 4.57950e-05, Loss_f: 5.07929e-05
Iter: 300, Loss: 1.52601e-02, Loss_0: 5.01319e-03, Loss_1: 1.01529e-02, Loss_b: 3.90438e-05, Loss_f: 5.48885e-05
Iter: 400, Loss: 1.37455e-02, Loss_0: 5.01047e-03, Loss_1: 8.60815e-03, Loss_b: 3.50559e-05, Loss_f: 9.18320e-05
Iter: 500, Loss: 1.12433e-02, Loss_0: 5.00645e-03, Loss_1: 5.99656e-03, Loss_b: 8.87527e-06, Loss_f: 2.31446e-04
Iter: 600, Loss: 1.04704e-02, Loss_0: 4.99544e-03, Loss_1: 5.15338e-03, Loss_b: 5.42948e-05, Loss_f: 2.67304e-04
Iter: 700, Loss: 1.02361e-02, Loss_0: 4.99321e-03, Loss_1: 4.89404e-03, Loss_b: 7.21258e-05, Loss_f: 2.76753e-04
Iter: 800, Loss: 1.00124e-02, Loss_0: 4.98808e-03, Loss_1: 4.70268e-03, Loss_b: 6.90742e-05, Loss_f: 2.52581e-04
Iter: 900, Loss: 9.80494e-03, Loss_0: 4.98232e-03, Loss_1: 4.55875e-03, Loss_b: 4.64490e-05, Loss_f: 2.17422e-04
Iter: 1000, Loss: 1.04054e-02, Loss_0: 5.31778e-03, Loss_1: 4.52711e-03, Loss_b: 3.55078e-04, Loss_f: 2.05414e-04
Iter: 1100, Loss: 9.52133e-03, Loss_0: 4.97719e-03, Loss_1: 4.34127e-03, Loss_b: 1.78299e-05, Loss_f: 1.85037e-04
Iter: 1200, Loss: 9.42397e-03, Loss_0: 4.97352e-03, Loss_1: 4.25771e-03, Loss_b: 1.14749e-05, Loss_f: 1.81269e-04
Iter: 1300, Loss: 9.36143e-03, Loss_0: 4.97520e-03, Loss_1: 4.20026e-03, Loss_b: 7.77598e-06, Loss_f: 1.78191e-04
Iter: 1400, Loss: 9.28965e-03, Loss_0: 4.97227e-03, Loss_1: 4.13924e-03, Loss_b: 4.11789e-06, Loss_f: 1.74021e-04
Iter: 1500, Loss: 9.22692e-03, Loss_0: 4.97156e-03, Loss_1: 4.08074e-03, Loss_b: 5.27502e-06, Loss_f: 1.69335e-04
Iter: 1600, Loss: 9.16631e-03, Loss_0: 4.97164e-03, Loss_1: 4.03147e-03, Loss_b: 2.13515e-06, Loss_f: 1.61073e-04
Iter: 1700, Loss: 9.09583e-03, Loss_0: 4.96875e-03, Loss_1: 3.97267e-03, Loss_b: 1.37125e-06, Loss_f: 1.53045e-04
Iter: 1800, Loss: 1.08930e-02, Loss_0: 5.56136e-03, Loss_1: 4.12740e-03, Loss_b: 1.03753e-03, Loss_f: 1.66756e-04
Iter: 1900, Loss: 8.96061e-03, Loss_0: 4.97023e-03, Loss_1: 3.84853e-03, Loss_b: 1.90811e-06, Loss_f: 1.39940e-04
Iter: 2000, Loss: 8.85828e-03, Loss_0: 4.96660e-03, Loss_1: 3.75778e-03, Loss_b: 1.82016e-06, Loss_f: 1.32081e-04
Iter: 2100, Loss: 8.71783e-03, Loss_0: 4.96342e-03, Loss_1: 3.62843e-03, Loss_b: 2.39881e-06, Loss_f: 1.23575e-04
Iter: 2200, Loss: 9.03460e-03, Loss_0: 4.99205e-03, Loss_1: 3.50700e-03, Loss_b: 3.98609e-04, Loss_f: 1.36939e-04
Iter: 2300, Loss: 8.29004e-03, Loss_0: 4.96137e-03, Loss_1: 3.20815e-03, Loss_b: 6.05785e-06, Loss_f: 1.14458e-04
Iter: 2400, Loss: 7.90151e-03, Loss_0: 4.95659e-03, Loss_1: 2.80699e-03, Loss_b: 9.39327e-06, Loss_f: 1.28537e-04
Iter: 2500, Loss: 7.52364e-03, Loss_0: 4.95790e-03, Loss_1: 2.40849e-03, Loss_b: 1.94173e-05, Loss_f: 1.37836e-04
Iter: 2600, Loss: 7.07094e-03, Loss_0: 4.94810e-03, Loss_1: 1.96552e-03, Loss_b: 1.37531e-05, Loss_f: 1.43561e-04
Iter: 2700, Loss: 6.77224e-03, Loss_0: 4.93974e-03, Loss_1: 1.66608e-03, Loss_b: 9.64203e-06, Loss_f: 1.56777e-04
Iter: 2800, Loss: 6.85653e-03, Loss_0: 4.97060e-03, Loss_1: 1.58383e-03, Loss_b: 1.65904e-04, Loss_f: 1.36200e-04
Iter: 2900, Loss: 6.51939e-03, Loss_0: 4.93237e-03, Loss_1: 1.44255e-03, Loss_b: 4.83115e-06, Loss_f: 1.39637e-04
Iter: 3000, Loss: 6.44351e-03, Loss_0: 4.92926e-03, Loss_1: 1.37736e-03, Loss_b: 3.51769e-06, Loss_f: 1.33365e-04
Iter: 3100, Loss: 6.38857e-03, Loss_0: 4.92680e-03, Loss_1: 1.33132e-03, Loss_b: 2.64460e-06, Loss_f: 1.27810e-04
Iter: 3200, Loss: 6.35931e-03, Loss_0: 4.92539e-03, Loss_1: 1.31044e-03, Loss_b: 2.26626e-06, Loss_f: 1.21222e-04
Iter: 3300, Loss: 6.32569e-03, Loss_0: 4.92340e-03, Loss_1: 1.27966e-03, Loss_b: 1.67866e-06, Loss_f: 1.20951e-04
Iter: 3400, Loss: 6.31308e-03, Loss_0: 4.93386e-03, Loss_1: 1.25366e-03, Loss_b: 1.71076e-06, Loss_f: 1.23846e-04
Iter: 3500, Loss: 6.95562e-03, Loss_0: 4.95992e-03, Loss_1: 1.31942e-03, Loss_b: 5.32550e-04, Loss_f: 1.43728e-04
Iter: 3600, Loss: 6.26323e-03, Loss_0: 4.91968e-03, Loss_1: 1.22556e-03, Loss_b: 1.11265e-06, Loss_f: 1.16873e-04
Iter: 3700, Loss: 6.30559e-03, Loss_0: 4.94456e-03, Loss_1: 1.22274e-03, Loss_b: 1.92390e-05, Loss_f: 1.19046e-04
Iter: 3800, Loss: 6.23196e-03, Loss_0: 4.91349e-03, Loss_1: 1.20112e-03, Loss_b: 7.74131e-07, Loss_f: 1.16578e-04
Iter: 3900, Loss: 6.22246e-03, Loss_0: 4.91596e-03, Loss_1: 1.19028e-03, Loss_b: 8.00400e-07, Loss_f: 1.15418e-04
Iter: 4000, Loss: 6.31931e-03, Loss_0: 4.90981e-03, Loss_1: 1.19089e-03, Loss_b: 9.56056e-05, Loss_f: 1.22997e-04
Iter: 4100, Loss: 6.20282e-03, Loss_0: 4.91388e-03, Loss_1: 1.17527e-03, Loss_b: 5.04446e-07, Loss_f: 1.13165e-04
Iter: 4200, Loss: 6.17550e-03, Loss_0: 4.89548e-03, Loss_1: 1.16335e-03, Loss_b: 2.39052e-06, Loss_f: 1.14278e-04
Iter: 4300, Loss: 6.14708e-03, Loss_0: 4.87723e-03, Loss_1: 1.15545e-03, Loss_b: 5.60049e-07, Loss_f: 1.13841e-04
Iter: 4400, Loss: 6.12761e-03, Loss_0: 4.86078e-03, Loss_1: 1.15138e-03, Loss_b: 3.95926e-06, Loss_f: 1.11495e-04
Iter: 4500, Loss: 7.25632e-03, Loss_0: 4.97767e-03, Loss_1: 1.27413e-03, Loss_b: 8.54342e-04, Loss_f: 1.50169e-04
Iter: 4600, Loss: 6.42242e-03, Loss_0: 5.08550e-03, Loss_1: 1.15006e-03, Loss_b: 4.92314e-05, Loss_f: 1.37625e-04
Iter: 4700, Loss: 6.09998e-03, Loss_0: 4.80154e-03, Loss_1: 1.14496e-03, Loss_b: 4.78457e-05, Loss_f: 1.05643e-04
Iter: 4800, Loss: 6.26322e-03, Loss_0: 5.00697e-03, Loss_1: 1.14519e-03, Loss_b: 2.02151e-06, Loss_f: 1.09034e-04
Iter: 4900, Loss: 6.94041e-03, Loss_0: 4.89736e-03, Loss_1: 1.22033e-03, Loss_b: 6.92079e-04, Loss_f: 1.30652e-04
Iter: 5000, Loss: 5.98881e-03, Loss_0: 4.77879e-03, Loss_1: 1.10272e-03, Loss_b: 1.75189e-06, Loss_f: 1.05545e-04
Iter: 5100, Loss: 5.84200e-03, Loss_0: 4.73261e-03, Loss_1: 9.99245e-04, Loss_b: 6.32626e-07, Loss_f: 1.09517e-04
Iter: 5200, Loss: 5.69485e-03, Loss_0: 4.70135e-03, Loss_1: 9.20831e-04, Loss_b: 1.58229e-06, Loss_f: 7.10889e-05
Iter: 5300, Loss: 5.54660e-03, Loss_0: 4.67885e-03, Loss_1: 7.71246e-04, Loss_b: 1.88584e-06, Loss_f: 9.46115e-05
Iter: 5400, Loss: 5.38050e-03, Loss_0: 4.66987e-03, Loss_1: 6.17584e-04, Loss_b: 7.51331e-06, Loss_f: 8.55300e-05
Iter: 5500, Loss: 5.28439e-03, Loss_0: 4.66664e-03, Loss_1: 5.29256e-04, Loss_b: 7.04374e-06, Loss_f: 8.14496e-05
