Start Training:
Iter: 0, Loss: 3.53603e+00, Loss_0: 2.58046e+00, Loss_1: 2.91488e-01, Loss_b: 3.51601e-02, Loss_f: 6.28925e-01
Iter: 100, Loss: 1.70073e-02, Loss_0: 5.15568e-03, Loss_1: 1.15897e-02, Loss_b: 9.44540e-05, Loss_f: 1.67468e-04
Iter: 200, Loss: 1.66700e-02, Loss_0: 5.15570e-03, Loss_1: 1.13652e-02, Loss_b: 4.45646e-05, Loss_f: 1.04622e-04
Iter: 300, Loss: 1.63435e-02, Loss_0: 5.15569e-03, Loss_1: 1.10786e-02, Loss_b: 4.06099e-05, Loss_f: 6.85616e-05
Iter: 400, Loss: 1.59797e-02, Loss_0: 5.15551e-03, Loss_1: 1.07240e-02, Loss_b: 4.31738e-05, Loss_f: 5.71051e-05
Iter: 500, Loss: 1.54635e-02, Loss_0: 5.15500e-03, Loss_1: 1.01920e-02, Loss_b: 4.85072e-05, Loss_f: 6.79176e-05
Iter: 600, Loss: 1.45150e-02, Loss_0: 5.15402e-03, Loss_1: 9.20486e-03, Loss_b: 4.72128e-05, Loss_f: 1.08886e-04
Iter: 700, Loss: 1.26836e-02, Loss_0: 5.15246e-03, Loss_1: 7.30573e-03, Loss_b: 2.02921e-05, Loss_f: 2.05122e-04
Iter: 800, Loss: 1.09587e-02, Loss_0: 5.14969e-03, Loss_1: 5.51404e-03, Loss_b: 1.29767e-05, Loss_f: 2.82030e-04
Iter: 900, Loss: 1.03837e-02, Loss_0: 5.14691e-03, Loss_1: 4.89238e-03, Loss_b: 3.87526e-05, Loss_f: 3.05609e-04
Iter: 1000, Loss: 1.02033e-02, Loss_0: 5.14492e-03, Loss_1: 4.69002e-03, Loss_b: 4.44395e-05, Loss_f: 3.23918e-04
Iter: 1100, Loss: 1.00920e-02, Loss_0: 5.14413e-03, Loss_1: 4.58321e-03, Loss_b: 3.70894e-05, Loss_f: 3.27548e-04
Iter: 1200, Loss: 1.00054e-02, Loss_0: 5.14387e-03, Loss_1: 4.50578e-03, Loss_b: 3.08325e-05, Loss_f: 3.24882e-04
Iter: 1300, Loss: 9.93455e-03, Loss_0: 5.14363e-03, Loss_1: 4.44363e-03, Loss_b: 2.76269e-05, Loss_f: 3.19660e-04
