Start Training:
Iter: 0, Loss: 1.17103e+00, Loss_0: 6.95568e-01, Loss_1: 7.12936e-02, Loss_b: 3.62886e-01, Loss_f: 4.12831e-02
Iter: 100, Loss: 1.34492e-02, Loss_0: 3.00849e-06, Loss_1: 1.34263e-02, Loss_b: 5.58851e-06, Loss_f: 1.43032e-05
Iter: 200, Loss: 1.30551e-02, Loss_0: 2.13496e-06, Loss_1: 1.30314e-02, Loss_b: 3.93519e-06, Loss_f: 1.76360e-05
Iter: 300, Loss: 1.21357e-02, Loss_0: 2.26357e-06, Loss_1: 1.20959e-02, Loss_b: 9.44784e-07, Loss_f: 3.66175e-05
Iter: 400, Loss: 1.02018e-02, Loss_0: 4.01656e-06, Loss_1: 1.01052e-02, Loss_b: 6.24754e-06, Loss_f: 8.63275e-05
Iter: 500, Loss: 9.00461e-03, Loss_0: 7.11959e-08, Loss_1: 8.79769e-03, Loss_b: 9.28087e-06, Loss_f: 1.97564e-04
Iter: 600, Loss: 8.78852e-03, Loss_0: 6.37187e-07, Loss_1: 8.54405e-03, Loss_b: 5.32773e-06, Loss_f: 2.38502e-04
Iter: 700, Loss: 8.71480e-03, Loss_0: 6.67692e-07, Loss_1: 8.46655e-03, Loss_b: 5.16498e-06, Loss_f: 2.42410e-04
Iter: 800, Loss: 8.68719e-03, Loss_0: 4.50814e-07, Loss_1: 8.43517e-03, Loss_b: 6.33875e-06, Loss_f: 2.45233e-04
Iter: 900, Loss: 8.66784e-03, Loss_0: 3.15861e-07, Loss_1: 8.41658e-03, Loss_b: 7.24817e-06, Loss_f: 2.43696e-04
Iter: 1000, Loss: 8.64819e-03, Loss_0: 4.13449e-07, Loss_1: 8.39966e-03, Loss_b: 7.96200e-06, Loss_f: 2.40160e-04
Iter: 1100, Loss: 8.62664e-03, Loss_0: 4.04772e-07, Loss_1: 8.38091e-03, Loss_b: 8.53245e-06, Loss_f: 2.36786e-04
Iter: 1200, Loss: 8.60066e-03, Loss_0: 3.18654e-07, Loss_1: 8.35670e-03, Loss_b: 9.20185e-06, Loss_f: 2.34431e-04
Iter: 1300, Loss: 8.56692e-03, Loss_0: 3.48435e-07, Loss_1: 8.32338e-03, Loss_b: 1.00417e-05, Loss_f: 2.33149e-04
Iter: 1400, Loss: 8.51834e-03, Loss_0: 4.86793e-07, Loss_1: 8.27314e-03, Loss_b: 1.11548e-05, Loss_f: 2.33564e-04
Iter: 1500, Loss: 8.43673e-03, Loss_0: 6.77165e-07, Loss_1: 8.18558e-03, Loss_b: 1.28509e-05, Loss_f: 2.37616e-04
