Start Training:
Iter: 0, Loss: 4.66900e-01, Loss_0: 3.18333e-01, Loss_1: 3.62946e-02, Loss_b: 1.08786e-01, Loss_f: 3.48607e-03
Iter: 100, Loss: 1.31362e-02, Loss_0: 2.91019e-05, Loss_1: 1.30224e-02, Loss_b: 1.76288e-05, Loss_f: 6.70306e-05
Iter: 200, Loss: 1.27771e-02, Loss_0: 9.51614e-06, Loss_1: 1.27280e-02, Loss_b: 6.13279e-06, Loss_f: 3.34982e-05
Iter: 300, Loss: 1.21216e-02, Loss_0: 4.36994e-06, Loss_1: 1.20698e-02, Loss_b: 6.12029e-06, Loss_f: 4.13232e-05
Iter: 400, Loss: 1.05930e-02, Loss_0: 1.59274e-06, Loss_1: 1.05063e-02, Loss_b: 1.19105e-05, Loss_f: 7.32616e-05
Iter: 500, Loss: 8.65428e-03, Loss_0: 9.50946e-07, Loss_1: 8.46141e-03, Loss_b: 1.08541e-05, Loss_f: 1.81065e-04
Iter: 600, Loss: 8.25315e-03, Loss_0: 1.12190e-06, Loss_1: 8.02869e-03, Loss_b: 5.19628e-06, Loss_f: 2.18141e-04
Iter: 700, Loss: 7.98193e-03, Loss_0: 1.13661e-06, Loss_1: 7.75821e-03, Loss_b: 2.77877e-06, Loss_f: 2.19812e-04
Iter: 800, Loss: 7.70792e-03, Loss_0: 1.15435e-06, Loss_1: 7.45889e-03, Loss_b: 3.72388e-06, Loss_f: 2.44156e-04
Iter: 900, Loss: 7.42508e-03, Loss_0: 1.42329e-06, Loss_1: 7.14713e-03, Loss_b: 9.66791e-06, Loss_f: 2.66862e-04
Iter: 1000, Loss: 7.07425e-03, Loss_0: 2.84093e-06, Loss_1: 6.78524e-03, Loss_b: 3.19496e-05, Loss_f: 2.54214e-04
Iter: 1100, Loss: 6.82091e-03, Loss_0: 2.04421e-05, Loss_1: 6.35060e-03, Loss_b: 2.28800e-04, Loss_f: 2.21069e-04
Iter: 1200, Loss: 5.99738e-03, Loss_0: 9.14229e-06, Loss_1: 5.70340e-03, Loss_b: 1.03952e-04, Loss_f: 1.80887e-04
Iter: 1300, Loss: 5.08636e-03, Loss_0: 1.09075e-06, Loss_1: 4.90448e-03, Loss_b: 1.12704e-05, Loss_f: 1.69521e-04
Iter: 1400, Loss: 3.84032e-03, Loss_0: 6.47376e-06, Loss_1: 3.63146e-03, Loss_b: 3.18775e-05, Loss_f: 1.70508e-04
Iter: 1500, Loss: 2.71662e-03, Loss_0: 2.40495e-06, Loss_1: 2.49392e-03, Loss_b: 8.85184e-06, Loss_f: 2.11436e-04
Iter: 1600, Loss: 2.05621e-03, Loss_0: 2.31252e-06, Loss_1: 1.84971e-03, Loss_b: 4.82499e-06, Loss_f: 1.99367e-04
Iter: 1700, Loss: 1.57823e-03, Loss_0: 2.81446e-06, Loss_1: 1.39724e-03, Loss_b: 2.26585e-05, Loss_f: 1.55511e-04
Iter: 1800, Loss: 1.23221e-03, Loss_0: 7.68129e-07, Loss_1: 1.09090e-03, Loss_b: 1.73494e-07, Loss_f: 1.40365e-04
