Start Training:
Iter: 0, Loss: 2.10274e+00, Loss_0: 1.27234e+00, Loss_1: 5.92182e-02, Loss_b: 2.99776e-01, Loss_f: 4.71410e-01
Iter: 100, Loss: 1.36629e-02, Loss_0: 4.76857e-06, Loss_1: 1.34697e-02, Loss_b: 2.16606e-05, Loss_f: 1.66753e-04
Iter: 200, Loss: 1.32892e-02, Loss_0: 6.33658e-07, Loss_1: 1.30039e-02, Loss_b: 2.19344e-05, Loss_f: 2.62756e-04
Iter: 300, Loss: 1.26398e-02, Loss_0: 2.29644e-06, Loss_1: 1.22735e-02, Loss_b: 1.49168e-05, Loss_f: 3.49080e-04
Iter: 400, Loss: 1.12075e-02, Loss_0: 6.73491e-06, Loss_1: 1.07890e-02, Loss_b: 5.91135e-06, Loss_f: 4.05799e-04
Iter: 500, Loss: 8.30278e-03, Loss_0: 1.96331e-05, Loss_1: 7.80260e-03, Loss_b: 7.15195e-06, Loss_f: 4.73402e-04
Iter: 600, Loss: 6.87061e-03, Loss_0: 1.54888e-05, Loss_1: 6.10310e-03, Loss_b: 1.11429e-05, Loss_f: 7.40877e-04
Iter: 700, Loss: 6.61886e-03, Loss_0: 4.65162e-06, Loss_1: 5.86402e-03, Loss_b: 1.65624e-05, Loss_f: 7.33626e-04
Iter: 800, Loss: 6.47016e-03, Loss_0: 1.58921e-06, Loss_1: 5.75775e-03, Loss_b: 1.95889e-05, Loss_f: 6.91233e-04
Iter: 900, Loss: 6.33322e-03, Loss_0: 6.91531e-07, Loss_1: 5.67110e-03, Loss_b: 1.91178e-05, Loss_f: 6.42306e-04
Iter: 1000, Loss: 6.18334e-03, Loss_0: 4.42834e-07, Loss_1: 5.58293e-03, Loss_b: 1.66397e-05, Loss_f: 5.83326e-04
Iter: 1100, Loss: 6.00698e-03, Loss_0: 4.09030e-07, Loss_1: 5.47857e-03, Loss_b: 1.29268e-05, Loss_f: 5.15072e-04
Iter: 1200, Loss: 5.80011e-03, Loss_0: 4.68649e-07, Loss_1: 5.34248e-03, Loss_b: 8.37066e-06, Loss_f: 4.48793e-04
Iter: 1300, Loss: 5.57559e-03, Loss_0: 5.68737e-07, Loss_1: 5.16415e-03, Loss_b: 4.37069e-06, Loss_f: 4.06500e-04
Iter: 1400, Loss: 5.31108e-03, Loss_0: 7.16026e-07, Loss_1: 4.94309e-03, Loss_b: 2.61018e-06, Loss_f: 3.64668e-04
Iter: 1500, Loss: 4.96773e-03, Loss_0: 7.77812e-07, Loss_1: 4.65906e-03, Loss_b: 2.56020e-06, Loss_f: 3.05326e-04
Iter: 1600, Loss: 4.58936e-03, Loss_0: 9.59112e-07, Loss_1: 4.30642e-03, Loss_b: 2.51827e-06, Loss_f: 2.79469e-04
Iter: 1700, Loss: 4.22965e-03, Loss_0: 5.32701e-07, Loss_1: 3.94296e-03, Loss_b: 4.81224e-06, Loss_f: 2.81342e-04
