Start Training:
Iter: 0, Loss: 1.02486e-01, Loss_0: 6.28274e-02, Loss_1: 2.37693e-02, Loss_b: 1.39806e-02, Loss_f: 1.90910e-03
Iter: 100, Loss: 1.31352e-02, Loss_0: 1.02734e-06, Loss_1: 1.30956e-02, Loss_b: 1.91171e-06, Loss_f: 3.66435e-05
Iter: 200, Loss: 1.02794e-02, Loss_0: 3.78185e-06, Loss_1: 9.87332e-03, Loss_b: 4.93459e-06, Loss_f: 3.97323e-04
Iter: 300, Loss: 5.44980e-03, Loss_0: 8.79998e-08, Loss_1: 4.79693e-03, Loss_b: 4.25275e-06, Loss_f: 6.48533e-04
Iter: 400, Loss: 5.08165e-03, Loss_0: 8.34452e-06, Loss_1: 4.38953e-03, Loss_b: 4.10981e-05, Loss_f: 6.42678e-04
Iter: 500, Loss: 4.78541e-03, Loss_0: 6.84827e-08, Loss_1: 4.15392e-03, Loss_b: 2.29636e-05, Loss_f: 6.08461e-04
Iter: 600, Loss: 4.51902e-03, Loss_0: 5.19722e-07, Loss_1: 3.96956e-03, Loss_b: 1.83619e-05, Loss_f: 5.30572e-04
Iter: 700, Loss: 4.06519e-03, Loss_0: 1.83415e-07, Loss_1: 3.68089e-03, Loss_b: 3.39294e-06, Loss_f: 3.80724e-04
Iter: 800, Loss: 3.75115e-03, Loss_0: 1.45199e-07, Loss_1: 3.46727e-03, Loss_b: 3.58148e-07, Loss_f: 2.83371e-04
Iter: 900, Loss: 3.48876e-03, Loss_0: 8.92348e-08, Loss_1: 3.25468e-03, Loss_b: 1.17836e-06, Loss_f: 2.32814e-04
Iter: 1000, Loss: 3.24805e-03, Loss_0: 8.76778e-08, Loss_1: 3.03731e-03, Loss_b: 1.38221e-06, Loss_f: 2.09266e-04
Iter: 1100, Loss: 2.95499e-03, Loss_0: 3.99039e-06, Loss_1: 2.75812e-03, Loss_b: 1.47043e-05, Loss_f: 1.78180e-04
Iter: 1200, Loss: 2.34599e-03, Loss_0: 1.42200e-07, Loss_1: 2.22543e-03, Loss_b: 1.64414e-06, Loss_f: 1.18777e-04
Iter: 1300, Loss: 2.01731e-03, Loss_0: 1.85994e-05, Loss_1: 1.84875e-03, Loss_b: 1.15830e-05, Loss_f: 1.38378e-04
Iter: 1400, Loss: 1.70558e-03, Loss_0: 7.54938e-08, Loss_1: 1.54593e-03, Loss_b: 1.73513e-06, Loss_f: 1.57840e-04
Iter: 1500, Loss: 2.96119e-03, Loss_0: 3.87950e-04, Loss_1: 1.49805e-03, Loss_b: 6.62036e-04, Loss_f: 4.13158e-04
Iter: 1600, Loss: 1.28381e-03, Loss_0: 7.68719e-08, Loss_1: 1.08310e-03, Loss_b: 3.34063e-06, Loss_f: 1.97294e-04
Iter: 1700, Loss: 1.08695e-03, Loss_0: 8.18992e-08, Loss_1: 8.69481e-04, Loss_b: 4.34313e-06, Loss_f: 2.13042e-04
Iter: 1800, Loss: 9.52177e-04, Loss_0: 2.80523e-07, Loss_1: 7.43752e-04, Loss_b: 3.83366e-06, Loss_f: 2.04310e-04
Iter: 1900, Loss: 7.72050e-04, Loss_0: 7.83646e-08, Loss_1: 5.82436e-04, Loss_b: 3.06172e-06, Loss_f: 1.86475e-04
Iter: 2000, Loss: 8.15603e-04, Loss_0: 5.37953e-06, Loss_1: 5.39916e-04, Loss_b: 1.05512e-04, Loss_f: 1.64796e-04
Iter: 2100, Loss: 5.63442e-04, Loss_0: 1.06892e-07, Loss_1: 3.93769e-04, Loss_b: 1.24914e-06, Loss_f: 1.68316e-04
Iter: 2200, Loss: 4.77732e-04, Loss_0: 9.48423e-08, Loss_1: 3.18937e-04, Loss_b: 6.70032e-07, Loss_f: 1.58030e-04
Iter: 2300, Loss: 7.16736e-04, Loss_0: 8.04053e-05, Loss_1: 3.31922e-04, Loss_b: 5.94198e-05, Loss_f: 2.44989e-04
Iter: 2400, Loss: 3.53607e-04, Loss_0: 8.16005e-08, Loss_1: 2.26071e-04, Loss_b: 2.26313e-07, Loss_f: 1.27228e-04
Iter: 2500, Loss: 2.83579e-04, Loss_0: 8.22459e-08, Loss_1: 1.75643e-04, Loss_b: 1.14820e-07, Loss_f: 1.07739e-04
Iter: 2600, Loss: 2.46124e-04, Loss_0: 9.33762e-07, Loss_1: 1.53850e-04, Loss_b: 1.63025e-06, Loss_f: 8.97104e-05
Iter: 2700, Loss: 2.57548e-04, Loss_0: 1.03710e-06, Loss_1: 1.31081e-04, Loss_b: 4.22922e-05, Loss_f: 8.31383e-05
Iter: 2800, Loss: 6.33401e-04, Loss_0: 2.74285e-05, Loss_1: 1.39328e-04, Loss_b: 2.87506e-04, Loss_f: 1.79139e-04
Iter: 2900, Loss: 1.49154e-04, Loss_0: 1.33873e-06, Loss_1: 8.58729e-05, Loss_b: 2.03597e-06, Loss_f: 5.99066e-05
Iter: 3000, Loss: 1.76021e-04, Loss_0: 4.74691e-07, Loss_1: 8.21385e-05, Loss_b: 1.40618e-05, Loss_f: 7.93464e-05
Iter: 3100, Loss: 1.29253e-04, Loss_0: 1.84394e-06, Loss_1: 6.33967e-05, Loss_b: 4.02349e-08, Loss_f: 6.39720e-05
Iter: 3200, Loss: 1.06270e-04, Loss_0: 1.17891e-07, Loss_1: 6.31372e-05, Loss_b: 1.73180e-06, Loss_f: 4.12829e-05
Iter: 3300, Loss: 1.45103e-04, Loss_0: 5.68375e-06, Loss_1: 6.50006e-05, Loss_b: 2.32142e-05, Loss_f: 5.12044e-05
Iter: 3400, Loss: 2.47123e-04, Loss_0: 7.05930e-06, Loss_1: 8.05238e-05, Loss_b: 8.75062e-05, Loss_f: 7.20341e-05
Iter: 3500, Loss: 3.51663e-04, Loss_0: 1.60794e-05, Loss_1: 6.83434e-05, Loss_b: 1.54732e-04, Loss_f: 1.12508e-04
Iter: 3600, Loss: 1.94034e-04, Loss_0: 5.85771e-06, Loss_1: 3.81537e-05, Loss_b: 1.07370e-05, Loss_f: 1.39286e-04
Iter: 3700, Loss: 1.05841e-04, Loss_0: 1.96409e-07, Loss_1: 3.53844e-05, Loss_b: 1.66002e-05, Loss_f: 5.36604e-05
Iter: 3800, Loss: 1.38858e-04, Loss_0: 1.00945e-07, Loss_1: 4.53418e-05, Loss_b: 2.73133e-05, Loss_f: 6.61023e-05
Iter: 3900, Loss: 1.41018e-04, Loss_0: 1.25388e-05, Loss_1: 6.81943e-05, Loss_b: 1.04327e-05, Loss_f: 4.98522e-05
Iter: 4000, Loss: 1.72699e-04, Loss_0: 9.50888e-06, Loss_1: 5.56671e-05, Loss_b: 5.61050e-05, Loss_f: 5.14177e-05
Iter: 4100, Loss: 8.86751e-05, Loss_0: 1.03948e-06, Loss_1: 3.00449e-05, Loss_b: 1.84416e-05, Loss_f: 3.91491e-05
Iter: 4200, Loss: 2.00481e-04, Loss_0: 3.56815e-06, Loss_1: 3.77680e-05, Loss_b: 6.75705e-05, Loss_f: 9.15740e-05
Iter: 4300, Loss: 9.72150e-04, Loss_0: 5.99774e-05, Loss_1: 1.37987e-04, Loss_b: 4.98143e-04, Loss_f: 2.76042e-04
Iter: 4400, Loss: 3.18831e-04, Loss_0: 2.37969e-06, Loss_1: 4.97512e-05, Loss_b: 9.84503e-05, Loss_f: 1.68249e-04
Iter: 4500, Loss: 1.02622e-04, Loss_0: 2.43038e-07, Loss_1: 2.80894e-05, Loss_b: 1.50945e-05, Loss_f: 5.91948e-05
Iter: 4600, Loss: 7.57482e-05, Loss_0: 1.17838e-06, Loss_1: 2.56511e-05, Loss_b: 1.76791e-05, Loss_f: 3.12395e-05
Iter: 4700, Loss: 5.26163e-05, Loss_0: 3.37808e-07, Loss_1: 2.00882e-05, Loss_b: 9.98805e-06, Loss_f: 2.22023e-05
Iter: 4800, Loss: 1.83139e-04, Loss_0: 1.55053e-05, Loss_1: 4.12931e-05, Loss_b: 5.97075e-05, Loss_f: 6.66331e-05
Iter: 4900, Loss: 2.06468e-04, Loss_0: 3.57568e-05, Loss_1: 8.73891e-05, Loss_b: 4.69460e-05, Loss_f: 3.63760e-05
Iter: 5000, Loss: 3.92813e-04, Loss_0: 2.75123e-05, Loss_1: 8.75694e-05, Loss_b: 1.75103e-04, Loss_f: 1.02628e-04
Iter: 5100, Loss: 4.43374e-05, Loss_0: 1.01216e-06, Loss_1: 2.51694e-05, Loss_b: 1.25282e-07, Loss_f: 1.80305e-05
Iter: 5200, Loss: 3.94449e-04, Loss_0: 7.97869e-07, Loss_1: 4.41708e-05, Loss_b: 8.75274e-05, Loss_f: 2.61953e-04
Iter: 5300, Loss: 3.45775e-05, Loss_0: 1.08949e-07, Loss_1: 1.70391e-05, Loss_b: 2.58483e-06, Loss_f: 1.48446e-05
Iter: 5400, Loss: 1.96072e-04, Loss_0: 1.00088e-05, Loss_1: 3.63911e-05, Loss_b: 8.31402e-05, Loss_f: 6.65315e-05
Iter: 5500, Loss: 5.98939e-04, Loss_0: 9.75725e-06, Loss_1: 6.55019e-05, Loss_b: 2.50193e-04, Loss_f: 2.73487e-04
Iter: 5600, Loss: 3.19913e-04, Loss_0: 1.02213e-07, Loss_1: 3.82188e-05, Loss_b: 5.10033e-05, Loss_f: 2.30589e-04
Iter: 5700, Loss: 5.99354e-05, Loss_0: 1.23825e-06, Loss_1: 2.05467e-05, Loss_b: 3.78076e-06, Loss_f: 3.43697e-05
Iter: 5800, Loss: 9.15307e-05, Loss_0: 6.43419e-06, Loss_1: 2.26070e-05, Loss_b: 2.12110e-05, Loss_f: 4.12785e-05
Iter: 5900, Loss: 2.93074e-05, Loss_0: 9.43222e-07, Loss_1: 1.53479e-05, Loss_b: 1.32966e-06, Loss_f: 1.16867e-05
