Start Training:
Iter: 0, Loss: 1.51971e-01, Loss_0: 1.26229e-03, Loss_1: 3.25961e-02, Loss_b: 1.16659e-01, Loss_f: 1.45330e-03
Iter: 100, Loss: 1.30684e-02, Loss_0: 1.49050e-05, Loss_1: 1.29606e-02, Loss_b: 3.68079e-06, Loss_f: 8.91500e-05
Iter: 200, Loss: 1.27222e-02, Loss_0: 5.02300e-06, Loss_1: 1.25829e-02, Loss_b: 7.42429e-06, Loss_f: 1.26911e-04
Iter: 300, Loss: 1.20888e-02, Loss_0: 2.13343e-06, Loss_1: 1.18825e-02, Loss_b: 7.60418e-06, Loss_f: 1.96591e-04
Iter: 400, Loss: 1.03358e-02, Loss_0: 2.88978e-06, Loss_1: 9.93750e-03, Loss_b: 1.26311e-05, Loss_f: 3.82822e-04
Iter: 500, Loss: 7.69567e-03, Loss_0: 7.70296e-06, Loss_1: 7.08863e-03, Loss_b: 8.36932e-06, Loss_f: 5.90973e-04
Iter: 600, Loss: 6.81860e-03, Loss_0: 6.48674e-07, Loss_1: 6.33315e-03, Loss_b: 6.46184e-06, Loss_f: 4.78335e-04
Iter: 700, Loss: 6.34629e-03, Loss_0: 2.32451e-07, Loss_1: 5.96195e-03, Loss_b: 1.00076e-05, Loss_f: 3.74102e-04
Iter: 800, Loss: 5.96646e-03, Loss_0: 2.55021e-07, Loss_1: 5.63402e-03, Loss_b: 6.93701e-06, Loss_f: 3.25254e-04
Iter: 900, Loss: 5.64597e-03, Loss_0: 2.81492e-07, Loss_1: 5.36088e-03, Loss_b: 1.59219e-06, Loss_f: 2.83222e-04
Iter: 1000, Loss: 5.31970e-03, Loss_0: 2.90552e-07, Loss_1: 5.08789e-03, Loss_b: 5.38370e-07, Loss_f: 2.30977e-04
Iter: 1100, Loss: 4.99555e-03, Loss_0: 1.41037e-06, Loss_1: 4.80112e-03, Loss_b: 9.72921e-06, Loss_f: 1.83289e-04
Iter: 1200, Loss: 4.55627e-03, Loss_0: 4.70926e-07, Loss_1: 4.37790e-03, Loss_b: 2.60863e-06, Loss_f: 1.75294e-04
Iter: 1300, Loss: 4.19183e-03, Loss_0: 8.31026e-07, Loss_1: 4.01210e-03, Loss_b: 1.10635e-05, Loss_f: 1.67831e-04
Iter: 1400, Loss: 3.80764e-03, Loss_0: 1.11174e-06, Loss_1: 3.61861e-03, Loss_b: 2.79133e-06, Loss_f: 1.85131e-04
Iter: 1500, Loss: 3.52047e-03, Loss_0: 9.86300e-07, Loss_1: 3.33480e-03, Loss_b: 7.77691e-06, Loss_f: 1.76906e-04
Iter: 1600, Loss: 3.13316e-03, Loss_0: 4.65996e-07, Loss_1: 2.97778e-03, Loss_b: 4.13438e-06, Loss_f: 1.50776e-04
Iter: 1700, Loss: 3.06129e-03, Loss_0: 1.63733e-04, Loss_1: 2.68125e-03, Loss_b: 4.63417e-05, Loss_f: 1.69961e-04
Iter: 1800, Loss: 2.47152e-03, Loss_0: 4.09099e-07, Loss_1: 2.31939e-03, Loss_b: 6.30025e-06, Loss_f: 1.45419e-04
Iter: 1900, Loss: 4.69771e-03, Loss_0: 4.32428e-06, Loss_1: 2.62224e-03, Loss_b: 1.66857e-03, Loss_f: 4.02572e-04
Iter: 2000, Loss: 2.05791e-03, Loss_0: 1.84388e-07, Loss_1: 1.90149e-03, Loss_b: 5.95250e-06, Loss_f: 1.50292e-04
Iter: 2100, Loss: 2.11135e-03, Loss_0: 1.00463e-04, Loss_1: 1.77020e-03, Loss_b: 1.31151e-05, Loss_f: 2.27579e-04
Iter: 2200, Loss: 1.73344e-03, Loss_0: 3.86160e-07, Loss_1: 1.54442e-03, Loss_b: 3.33298e-05, Loss_f: 1.55310e-04
Iter: 2300, Loss: 1.57298e-03, Loss_0: 3.15322e-07, Loss_1: 1.42169e-03, Loss_b: 3.88199e-06, Loss_f: 1.47088e-04
Iter: 2400, Loss: 1.57239e-03, Loss_0: 2.74583e-05, Loss_1: 1.32718e-03, Loss_b: 5.81603e-05, Loss_f: 1.59597e-04
