Start Training:
Iter: 0, Loss: 6.85022e-01, Loss_0: 5.15783e-02, Loss_b: 1.96265e-01, Loss_f: 4.37179e-01
Iter: 100, Loss: 7.34207e-03, Loss_0: 7.15500e-03, Loss_b: 7.52444e-06, Loss_f: 1.79540e-04
Iter: 200, Loss: 7.11482e-03, Loss_0: 6.92314e-03, Loss_b: 1.32192e-05, Loss_f: 1.78459e-04
Iter: 300, Loss: 6.80821e-03, Loss_0: 6.58394e-03, Loss_b: 1.26974e-05, Loss_f: 2.11575e-04
Iter: 400, Loss: 6.35507e-03, Loss_0: 6.08303e-03, Loss_b: 1.22848e-05, Loss_f: 2.59761e-04
Iter: 500, Loss: 5.62800e-03, Loss_0: 5.30716e-03, Loss_b: 1.15449e-05, Loss_f: 3.09302e-04
Iter: 600, Loss: 4.46538e-03, Loss_0: 4.13348e-03, Loss_b: 9.26601e-06, Loss_f: 3.22632e-04
Iter: 700, Loss: 3.06489e-03, Loss_0: 2.80857e-03, Loss_b: 2.80943e-06, Loss_f: 2.53513e-04
Iter: 800, Loss: 2.35925e-03, Loss_0: 2.17092e-03, Loss_b: 8.43482e-07, Loss_f: 1.87494e-04
Iter: 900, Loss: 2.22050e-03, Loss_0: 2.04598e-03, Loss_b: 2.94607e-06, Loss_f: 1.71580e-04
Iter: 1000, Loss: 2.17088e-03, Loss_0: 2.00811e-03, Loss_b: 3.75575e-06, Loss_f: 1.59010e-04
Iter: 1100, Loss: 2.14355e-03, Loss_0: 1.98605e-03, Loss_b: 4.01383e-06, Loss_f: 1.53487e-04
Iter: 1200, Loss: 2.12554e-03, Loss_0: 1.97087e-03, Loss_b: 3.96170e-06, Loss_f: 1.50706e-04
Iter: 1300, Loss: 2.11210e-03, Loss_0: 1.95992e-03, Loss_b: 3.77413e-06, Loss_f: 1.48404e-04
Iter: 1400, Loss: 2.10122e-03, Loss_0: 1.95170e-03, Loss_b: 3.57039e-06, Loss_f: 1.45948e-04
Iter: 1500, Loss: 2.09188e-03, Loss_0: 1.94530e-03, Loss_b: 3.40072e-06, Loss_f: 1.43178e-04
Iter: 1600, Loss: 2.08352e-03, Loss_0: 1.94012e-03, Loss_b: 3.26792e-06, Loss_f: 1.40129e-04
Iter: 1700, Loss: 2.07586e-03, Loss_0: 1.93579e-03, Loss_b: 3.15987e-06, Loss_f: 1.36910e-04
Iter: 1800, Loss: 2.06873e-03, Loss_0: 1.93204e-03, Loss_b: 3.06502e-06, Loss_f: 1.33622e-04
Iter: 1900, Loss: 2.13250e-03, Loss_0: 1.93211e-03, Loss_b: 1.70457e-06, Loss_f: 1.98687e-04
Iter: 2000, Loss: 2.05500e-03, Loss_0: 1.92647e-03, Loss_b: 2.83439e-06, Loss_f: 1.25701e-04
Iter: 2100, Loss: 2.04928e-03, Loss_0: 1.92334e-03, Loss_b: 2.76040e-06, Loss_f: 1.23179e-04
Iter: 2200, Loss: 2.04738e-03, Loss_0: 1.93356e-03, Loss_b: 1.30140e-06, Loss_f: 1.12512e-04
Iter: 2300, Loss: 2.03706e-03, Loss_0: 1.92029e-03, Loss_b: 2.30476e-06, Loss_f: 1.14467e-04
Iter: 2400, Loss: 2.03206e-03, Loss_0: 1.91689e-03, Loss_b: 2.34532e-06, Loss_f: 1.12828e-04
Iter: 2500, Loss: 2.02734e-03, Loss_0: 1.91526e-03, Loss_b: 2.35256e-06, Loss_f: 1.09721e-04
Iter: 2600, Loss: 2.02259e-03, Loss_0: 1.91408e-03, Loss_b: 2.34215e-06, Loss_f: 1.06172e-04
Iter: 2700, Loss: 2.01775e-03, Loss_0: 1.91304e-03, Loss_b: 2.31665e-06, Loss_f: 1.02394e-04
Iter: 2800, Loss: 2.01277e-03, Loss_0: 1.91209e-03, Loss_b: 2.26530e-06, Loss_f: 9.84125e-05
Iter: 2900, Loss: 2.01223e-03, Loss_0: 1.91786e-03, Loss_b: 8.48241e-07, Loss_f: 9.35254e-05
Iter: 3000, Loss: 2.00491e-03, Loss_0: 1.91114e-03, Loss_b: 2.10381e-06, Loss_f: 9.16709e-05
Iter: 3100, Loss: 1.99964e-03, Loss_0: 1.90977e-03, Loss_b: 2.12604e-06, Loss_f: 8.77448e-05
Iter: 3200, Loss: 2.02497e-03, Loss_0: 1.92177e-03, Loss_b: 1.20402e-05, Loss_f: 9.11627e-05
Iter: 3300, Loss: 1.99249e-03, Loss_0: 1.91005e-03, Loss_b: 1.56777e-06, Loss_f: 8.08754e-05
Iter: 3400, Loss: 1.98699e-03, Loss_0: 1.90718e-03, Loss_b: 2.07512e-06, Loss_f: 7.77336e-05
Iter: 3500, Loss: 2.51369e-03, Loss_0: 1.94620e-03, Loss_b: 4.45281e-04, Loss_f: 1.22208e-04
