Start Training:
Iter: 0, Loss: 2.35828e-01, Loss_0: 1.00068e-01, Loss_1: 1.94189e-02, Loss_b: 2.90837e-03, Loss_f: 1.13432e-01
Iter: 100, Loss: 1.09971e-02, Loss_0: 1.32854e-04, Loss_1: 1.08476e-02, Loss_b: 2.37852e-06, Loss_f: 1.42740e-05
Iter: 200, Loss: 9.73629e-03, Loss_0: 1.32530e-04, Loss_1: 9.51997e-03, Loss_b: 3.30320e-06, Loss_f: 8.04849e-05
Iter: 300, Loss: 5.91645e-03, Loss_0: 1.32546e-04, Loss_1: 5.17375e-03, Loss_b: 1.55415e-05, Loss_f: 5.94617e-04
Iter: 400, Loss: 3.50666e-03, Loss_0: 1.32664e-04, Loss_1: 2.86257e-03, Loss_b: 6.11356e-06, Loss_f: 5.05316e-04
Iter: 500, Loss: 3.26729e-03, Loss_0: 1.32375e-04, Loss_1: 2.69424e-03, Loss_b: 7.37857e-05, Loss_f: 3.66885e-04
Iter: 600, Loss: 3.05901e-03, Loss_0: 1.31968e-04, Loss_1: 2.58910e-03, Loss_b: 9.54984e-07, Loss_f: 3.36988e-04
Iter: 700, Loss: 2.94246e-03, Loss_0: 1.32255e-04, Loss_1: 2.52271e-03, Loss_b: 1.20504e-05, Loss_f: 2.75441e-04
Iter: 800, Loss: 2.83036e-03, Loss_0: 1.32335e-04, Loss_1: 2.45428e-03, Loss_b: 5.61456e-06, Loss_f: 2.38132e-04
Iter: 900, Loss: 2.74400e-03, Loss_0: 1.32205e-04, Loss_1: 2.40978e-03, Loss_b: 3.71811e-07, Loss_f: 2.01642e-04
Iter: 1000, Loss: 2.89228e-03, Loss_0: 1.32199e-04, Loss_1: 2.41942e-03, Loss_b: 1.74613e-04, Loss_f: 1.66050e-04
Iter: 1100, Loss: 2.61911e-03, Loss_0: 1.32197e-04, Loss_1: 2.33411e-03, Loss_b: 2.64780e-07, Loss_f: 1.52541e-04
Iter: 1200, Loss: 3.14040e-03, Loss_0: 1.32268e-04, Loss_1: 2.35080e-03, Loss_b: 4.93918e-04, Loss_f: 1.63414e-04
Iter: 1300, Loss: 2.52165e-03, Loss_0: 1.32203e-04, Loss_1: 2.26461e-03, Loss_b: 1.64920e-07, Loss_f: 1.24677e-04
Iter: 1400, Loss: 2.47020e-03, Loss_0: 1.32201e-04, Loss_1: 2.22491e-03, Loss_b: 1.41203e-07, Loss_f: 1.12953e-04
