Start Training:
Iter: 0, Loss: 1.42815e-01, Loss_0: 3.30184e-02, Loss_b: 4.55424e-02, Loss_f: 6.42539e-02
Iter: 100, Loss: 1.17126e-02, Loss_0: 1.14961e-02, Loss_b: 4.03550e-05, Loss_f: 1.76108e-04
Iter: 200, Loss: 1.13402e-02, Loss_0: 1.11064e-02, Loss_b: 4.16334e-05, Loss_f: 1.92198e-04
Iter: 300, Loss: 1.09801e-02, Loss_0: 1.06959e-02, Loss_b: 4.13175e-05, Loss_f: 2.42823e-04
Iter: 400, Loss: 1.03927e-02, Loss_0: 1.00099e-02, Loss_b: 3.86462e-05, Loss_f: 3.44167e-04
Iter: 500, Loss: 9.31304e-03, Loss_0: 8.82924e-03, Loss_b: 2.94536e-05, Loss_f: 4.54347e-04
Iter: 600, Loss: 7.28749e-03, Loss_0: 6.83248e-03, Loss_b: 1.33127e-05, Loss_f: 4.41701e-04
Iter: 700, Loss: 5.26164e-03, Loss_0: 4.80013e-03, Loss_b: 3.53695e-06, Loss_f: 4.57973e-04
Iter: 800, Loss: 4.34869e-03, Loss_0: 3.87852e-03, Loss_b: 2.01241e-06, Loss_f: 4.68151e-04
Iter: 900, Loss: 4.08579e-03, Loss_0: 3.62897e-03, Loss_b: 4.01398e-06, Loss_f: 4.52815e-04
Iter: 1000, Loss: 3.95985e-03, Loss_0: 3.54749e-03, Loss_b: 3.53701e-06, Loss_f: 4.08825e-04
Iter: 1100, Loss: 3.86647e-03, Loss_0: 3.49236e-03, Loss_b: 2.63098e-06, Loss_f: 3.71472e-04
Iter: 1200, Loss: 3.78641e-03, Loss_0: 3.44008e-03, Loss_b: 1.96891e-06, Loss_f: 3.44363e-04
Iter: 1300, Loss: 3.71383e-03, Loss_0: 3.38822e-03, Loss_b: 1.55342e-06, Loss_f: 3.24062e-04
Iter: 1400, Loss: 3.64691e-03, Loss_0: 3.33745e-03, Loss_b: 1.31428e-06, Loss_f: 3.08141e-04
Iter: 1500, Loss: 3.58466e-03, Loss_0: 3.28836e-03, Loss_b: 1.20358e-06, Loss_f: 2.95096e-04
Iter: 1600, Loss: 3.52594e-03, Loss_0: 3.24086e-03, Loss_b: 1.18906e-06, Loss_f: 2.83888e-04
Iter: 1700, Loss: 3.46935e-03, Loss_0: 3.19435e-03, Loss_b: 1.24320e-06, Loss_f: 2.73761e-04
Iter: 1800, Loss: 3.41344e-03, Loss_0: 3.14796e-03, Loss_b: 1.33737e-06, Loss_f: 2.64138e-04
Iter: 1900, Loss: 3.35662e-03, Loss_0: 3.10068e-03, Loss_b: 1.43926e-06, Loss_f: 2.54495e-04
Iter: 2000, Loss: 3.29704e-03, Loss_0: 3.05133e-03, Loss_b: 1.51863e-06, Loss_f: 2.44193e-04
Iter: 2100, Loss: 3.23213e-03, Loss_0: 2.99830e-03, Loss_b: 1.54901e-06, Loss_f: 2.32283e-04
Iter: 2200, Loss: 3.15799e-03, Loss_0: 2.93905e-03, Loss_b: 1.52979e-06, Loss_f: 2.17415e-04
Iter: 2300, Loss: 3.06894e-03, Loss_0: 2.86922e-03, Loss_b: 1.53852e-06, Loss_f: 1.98186e-04
Iter: 2400, Loss: 3.01894e-03, Loss_0: 2.77675e-03, Loss_b: 5.89491e-05, Loss_f: 1.83244e-04
Iter: 2500, Loss: 2.82945e-03, Loss_0: 2.67444e-03, Loss_b: 2.65663e-06, Loss_f: 1.52356e-04
Iter: 2600, Loss: 2.68796e-03, Loss_0: 2.54383e-03, Loss_b: 5.95863e-06, Loss_f: 1.38170e-04
Iter: 2700, Loss: 3.28372e-03, Loss_0: 2.41881e-03, Loss_b: 5.85441e-04, Loss_f: 2.79464e-04
Iter: 2800, Loss: 2.35926e-03, Loss_0: 2.21571e-03, Loss_b: 3.73896e-06, Loss_f: 1.39810e-04
Iter: 2900, Loss: 2.15800e-03, Loss_0: 2.00600e-03, Loss_b: 2.59669e-06, Loss_f: 1.49399e-04
Iter: 3000, Loss: 1.83851e-03, Loss_0: 1.69628e-03, Loss_b: 3.20626e-06, Loss_f: 1.39025e-04
Iter: 3100, Loss: 1.52521e-03, Loss_0: 1.38733e-03, Loss_b: 2.66508e-07, Loss_f: 1.37610e-04
Iter: 3200, Loss: 1.35468e-03, Loss_0: 1.18504e-03, Loss_b: 3.89413e-06, Loss_f: 1.65745e-04
Iter: 3300, Loss: 1.23171e-03, Loss_0: 1.06891e-03, Loss_b: 3.21552e-06, Loss_f: 1.59590e-04
