Start Training:
Iter: 0, Loss: 1.35480e+00, Loss_0: 3.88348e-02, Loss_1: 1.33660e-01, Loss_b: 7.42656e-01, Loss_f: 4.39647e-01
Iter: 100, Loss: 1.11536e-02, Loss_0: 2.96417e-04, Loss_1: 1.06711e-02, Loss_b: 8.72511e-05, Loss_f: 9.87561e-05
Iter: 200, Loss: 1.07917e-02, Loss_0: 2.94997e-04, Loss_1: 1.02761e-02, Loss_b: 3.57117e-05, Loss_f: 1.84973e-04
Iter: 300, Loss: 1.01067e-02, Loss_0: 2.95004e-04, Loss_1: 9.51416e-03, Loss_b: 3.19122e-05, Loss_f: 2.65636e-04
Iter: 400, Loss: 8.42045e-03, Loss_0: 2.95017e-04, Loss_1: 7.66009e-03, Loss_b: 2.60248e-05, Loss_f: 4.39315e-04
Iter: 500, Loss: 5.79691e-03, Loss_0: 2.94972e-04, Loss_1: 4.87299e-03, Loss_b: 1.93807e-05, Loss_f: 6.09569e-04
Iter: 600, Loss: 4.41285e-03, Loss_0: 2.94958e-04, Loss_1: 3.69523e-03, Loss_b: 6.46032e-06, Loss_f: 4.16204e-04
Iter: 700, Loss: 4.07312e-03, Loss_0: 2.94956e-04, Loss_1: 3.43307e-03, Loss_b: 6.43699e-06, Loss_f: 3.38662e-04
Iter: 800, Loss: 3.90814e-03, Loss_0: 2.94957e-04, Loss_1: 3.30782e-03, Loss_b: 5.56858e-06, Loss_f: 2.99799e-04
Iter: 900, Loss: 3.78055e-03, Loss_0: 2.94958e-04, Loss_1: 3.20816e-03, Loss_b: 3.93744e-06, Loss_f: 2.73496e-04
Iter: 1000, Loss: 3.67775e-03, Loss_0: 2.94957e-04, Loss_1: 3.12186e-03, Loss_b: 2.44855e-06, Loss_f: 2.58493e-04
Iter: 1100, Loss: 3.59623e-03, Loss_0: 2.94955e-04, Loss_1: 3.04840e-03, Loss_b: 1.45922e-06, Loss_f: 2.51418e-04
Iter: 1200, Loss: 3.52912e-03, Loss_0: 2.94954e-04, Loss_1: 2.98550e-03, Loss_b: 9.85272e-07, Loss_f: 2.47675e-04
Iter: 1300, Loss: 3.46845e-03, Loss_0: 2.94954e-04, Loss_1: 2.92967e-03, Loss_b: 8.38942e-07, Loss_f: 2.42981e-04
Iter: 1400, Loss: 3.40898e-03, Loss_0: 2.94954e-04, Loss_1: 2.87751e-03, Loss_b: 8.49715e-07, Loss_f: 2.35658e-04
Iter: 1500, Loss: 3.34746e-03, Loss_0: 2.94956e-04, Loss_1: 2.82666e-03, Loss_b: 9.07425e-07, Loss_f: 2.24940e-04
Iter: 1600, Loss: 3.28112e-03, Loss_0: 2.94958e-04, Loss_1: 2.77558e-03, Loss_b: 9.36764e-07, Loss_f: 2.09647e-04
Iter: 1700, Loss: 3.20814e-03, Loss_0: 2.94961e-04, Loss_1: 2.72290e-03, Loss_b: 9.16587e-07, Loss_f: 1.89360e-04
Iter: 1800, Loss: 4.66968e-03, Loss_0: 5.02245e-04, Loss_1: 2.83054e-03, Loss_b: 1.01875e-03, Loss_f: 3.18143e-04
Iter: 1900, Loss: 3.06278e-03, Loss_0: 2.94983e-04, Loss_1: 2.62193e-03, Loss_b: 6.38058e-07, Loss_f: 1.45230e-04
Iter: 2000, Loss: 2.98795e-03, Loss_0: 2.94971e-04, Loss_1: 2.56221e-03, Loss_b: 1.11040e-06, Loss_f: 1.29656e-04
Iter: 2100, Loss: 3.05634e-03, Loss_0: 3.15044e-04, Loss_1: 2.54144e-03, Loss_b: 6.69416e-05, Loss_f: 1.32913e-04
Iter: 2200, Loss: 2.86518e-03, Loss_0: 2.94971e-04, Loss_1: 2.45609e-03, Loss_b: 1.49618e-06, Loss_f: 1.12629e-04
Iter: 2300, Loss: 2.80023e-03, Loss_0: 2.94970e-04, Loss_1: 2.39435e-03, Loss_b: 1.45542e-06, Loss_f: 1.09454e-04
Iter: 2400, Loss: 3.13313e-03, Loss_0: 3.46802e-04, Loss_1: 2.37045e-03, Loss_b: 3.05698e-04, Loss_f: 1.10173e-04
Iter: 2500, Loss: 2.67119e-03, Loss_0: 2.94975e-04, Loss_1: 2.27557e-03, Loss_b: 1.40233e-06, Loss_f: 9.92415e-05
Iter: 2600, Loss: 2.58439e-03, Loss_0: 2.94991e-04, Loss_1: 2.19390e-03, Loss_b: 1.38801e-06, Loss_f: 9.41050e-05
Iter: 2700, Loss: 2.55762e-03, Loss_0: 3.10606e-04, Loss_1: 2.14173e-03, Loss_b: 1.85299e-05, Loss_f: 8.67584e-05
Iter: 2800, Loss: 2.38283e-03, Loss_0: 2.95055e-04, Loss_1: 2.01105e-03, Loss_b: 1.48945e-06, Loss_f: 7.52343e-05
Iter: 2900, Loss: 2.23585e-03, Loss_0: 2.95091e-04, Loss_1: 1.87070e-03, Loss_b: 1.95073e-06, Loss_f: 6.81132e-05
Iter: 3000, Loss: 2.10148e-03, Loss_0: 2.95334e-04, Loss_1: 1.73090e-03, Loss_b: 1.49597e-05, Loss_f: 6.02875e-05
Iter: 3100, Loss: 1.91845e-03, Loss_0: 2.95014e-04, Loss_1: 1.55183e-03, Loss_b: 2.77196e-06, Loss_f: 6.88365e-05
Iter: 3200, Loss: 1.77469e-03, Loss_0: 2.95165e-04, Loss_1: 1.40622e-03, Loss_b: 5.46649e-08, Loss_f: 7.32541e-05
Iter: 3300, Loss: 1.59552e-03, Loss_0: 2.95017e-04, Loss_1: 1.21457e-03, Loss_b: 2.30292e-06, Loss_f: 8.36216e-05
Iter: 3400, Loss: 1.43155e-03, Loss_0: 2.95070e-04, Loss_1: 1.03951e-03, Loss_b: 4.95111e-07, Loss_f: 9.64734e-05
Iter: 3500, Loss: 1.32988e-03, Loss_0: 2.95135e-04, Loss_1: 9.29117e-04, Loss_b: 8.42006e-07, Loss_f: 1.04786e-04
Iter: 3600, Loss: 1.22568e-03, Loss_0: 2.95018e-04, Loss_1: 8.12890e-04, Loss_b: 1.64028e-06, Loss_f: 1.16133e-04
Iter: 3700, Loss: 1.14536e-03, Loss_0: 2.95016e-04, Loss_1: 7.27860e-04, Loss_b: 1.69834e-06, Loss_f: 1.20782e-04
Iter: 3800, Loss: 1.22139e-03, Loss_0: 2.99222e-04, Loss_1: 7.19568e-04, Loss_b: 7.77690e-05, Loss_f: 1.24831e-04
Iter: 3900, Loss: 1.06535e-03, Loss_0: 2.95581e-04, Loss_1: 6.45894e-04, Loss_b: 1.25749e-06, Loss_f: 1.22618e-04
Iter: 4000, Loss: 1.03629e-03, Loss_0: 2.94987e-04, Loss_1: 6.18029e-04, Loss_b: 1.42738e-06, Loss_f: 1.21850e-04
Iter: 4100, Loss: 1.01635e-03, Loss_0: 2.95255e-04, Loss_1: 5.96922e-04, Loss_b: 1.77684e-06, Loss_f: 1.22394e-04
Iter: 4200, Loss: 1.00206e-03, Loss_0: 2.95027e-04, Loss_1: 5.89347e-04, Loss_b: 7.05783e-07, Loss_f: 1.16981e-04
Iter: 4300, Loss: 9.98215e-04, Loss_0: 2.94984e-04, Loss_1: 5.83029e-04, Loss_b: 8.39761e-06, Loss_f: 1.11804e-04
Iter: 4400, Loss: 1.01826e-03, Loss_0: 2.98125e-04, Loss_1: 5.80025e-04, Loss_b: 3.23108e-05, Loss_f: 1.07802e-04
Iter: 4500, Loss: 1.00100e-03, Loss_0: 2.96209e-04, Loss_1: 5.80443e-04, Loss_b: 1.81766e-05, Loss_f: 1.06176e-04
Iter: 4600, Loss: 1.07557e-03, Loss_0: 3.10832e-04, Loss_1: 5.71508e-04, Loss_b: 9.05808e-06, Loss_f: 1.84170e-04
Iter: 4700, Loss: 9.62833e-04, Loss_0: 2.95094e-04, Loss_1: 5.60600e-04, Loss_b: 5.35409e-06, Loss_f: 1.01785e-04
Iter: 4800, Loss: 1.67228e-03, Loss_0: 4.02255e-04, Loss_1: 6.00220e-04, Loss_b: 3.96450e-04, Loss_f: 2.73356e-04
Iter: 4900, Loss: 1.30869e-03, Loss_0: 3.62989e-04, Loss_1: 5.72421e-04, Loss_b: 4.94160e-05, Loss_f: 3.23859e-04
Iter: 5000, Loss: 9.83585e-04, Loss_0: 2.99668e-04, Loss_1: 5.59440e-04, Loss_b: 6.88516e-06, Loss_f: 1.17592e-04
Iter: 5100, Loss: 8.72159e-04, Loss_0: 2.91733e-04, Loss_1: 5.13649e-04, Loss_b: 2.45873e-06, Loss_f: 6.43186e-05
Iter: 5200, Loss: 8.15988e-04, Loss_0: 2.89600e-04, Loss_1: 4.83373e-04, Loss_b: 5.83450e-07, Loss_f: 4.24313e-05
Iter: 5300, Loss: 7.64617e-04, Loss_0: 2.93277e-04, Loss_1: 4.35452e-04, Loss_b: 1.75672e-07, Loss_f: 3.57122e-05
