Start Training:
Iter: 0, Loss: 9.08391e-01, Loss_0: 2.25307e-01, Loss_1: 9.42985e-02, Loss_b: 4.36810e-01, Loss_f: 1.51976e-01
Iter: 100, Loss: 1.11472e-02, Loss_0: 4.11181e-04, Loss_1: 1.06117e-02, Loss_b: 7.16039e-05, Loss_f: 5.26607e-05
Iter: 200, Loss: 1.03639e-02, Loss_0: 4.01788e-04, Loss_1: 9.86793e-03, Loss_b: 2.43832e-05, Loss_f: 6.97773e-05
Iter: 300, Loss: 9.32850e-03, Loss_0: 3.97038e-04, Loss_1: 8.70401e-03, Loss_b: 1.78764e-05, Loss_f: 2.09574e-04
Iter: 400, Loss: 7.22268e-03, Loss_0: 3.96586e-04, Loss_1: 6.46826e-03, Loss_b: 2.24690e-05, Loss_f: 3.35362e-04
Iter: 500, Loss: 4.95109e-03, Loss_0: 3.97423e-04, Loss_1: 4.06088e-03, Loss_b: 1.16745e-05, Loss_f: 4.81114e-04
Iter: 600, Loss: 4.00011e-03, Loss_0: 3.98131e-04, Loss_1: 3.25516e-03, Loss_b: 8.19456e-07, Loss_f: 3.45995e-04
Iter: 700, Loss: 3.64228e-03, Loss_0: 3.96903e-04, Loss_1: 2.94020e-03, Loss_b: 2.85907e-06, Loss_f: 3.02313e-04
Iter: 800, Loss: 3.44852e-03, Loss_0: 3.96683e-04, Loss_1: 2.75492e-03, Loss_b: 2.35473e-06, Loss_f: 2.94563e-04
Iter: 900, Loss: 3.33481e-03, Loss_0: 3.96643e-04, Loss_1: 2.64589e-03, Loss_b: 1.31258e-06, Loss_f: 2.90964e-04
Iter: 1000, Loss: 3.25741e-03, Loss_0: 3.96612e-04, Loss_1: 2.57850e-03, Loss_b: 8.45424e-07, Loss_f: 2.81457e-04
Iter: 1100, Loss: 3.31841e-03, Loss_0: 4.19966e-04, Loss_1: 2.54700e-03, Loss_b: 9.92890e-05, Loss_f: 2.52153e-04
Iter: 1200, Loss: 3.13399e-03, Loss_0: 3.96618e-04, Loss_1: 2.48786e-03, Loss_b: 6.73022e-07, Loss_f: 2.48838e-04
Iter: 1300, Loss: 3.17453e-03, Loss_0: 4.04588e-04, Loss_1: 2.47371e-03, Loss_b: 7.96662e-05, Loss_f: 2.16564e-04
Iter: 1400, Loss: 3.02362e-03, Loss_0: 3.96615e-04, Loss_1: 2.41227e-03, Loss_b: 6.55033e-07, Loss_f: 2.14075e-04
