Start Training:
Iter: 0, Loss: 1.07994e+00, Loss_0: 9.99563e-01, Loss_1: 3.90311e-02, Loss_b: 3.71267e-02, Loss_f: 4.21452e-03
Iter: 100, Loss: 1.29374e-02, Loss_0: 1.15686e-05, Loss_1: 1.28406e-02, Loss_b: 2.40332e-05, Loss_f: 6.11692e-05
Iter: 200, Loss: 1.21915e-02, Loss_0: 1.09829e-06, Loss_1: 1.21300e-02, Loss_b: 1.86707e-05, Loss_f: 4.17291e-05
Iter: 300, Loss: 9.98762e-03, Loss_0: 1.39733e-06, Loss_1: 9.84540e-03, Loss_b: 2.30579e-05, Loss_f: 1.17765e-04
Iter: 400, Loss: 7.92623e-03, Loss_0: 1.67326e-06, Loss_1: 7.63702e-03, Loss_b: 1.17291e-05, Loss_f: 2.75814e-04
Iter: 500, Loss: 7.36543e-03, Loss_0: 1.23637e-06, Loss_1: 7.00451e-03, Loss_b: 1.36037e-05, Loss_f: 3.46074e-04
Iter: 600, Loss: 6.92290e-03, Loss_0: 2.60394e-06, Loss_1: 6.51203e-03, Loss_b: 2.06244e-05, Loss_f: 3.87642e-04
Iter: 700, Loss: 6.57076e-03, Loss_0: 3.08317e-06, Loss_1: 6.16943e-03, Loss_b: 3.45955e-05, Loss_f: 3.63648e-04
Iter: 800, Loss: 6.26904e-03, Loss_0: 2.07762e-06, Loss_1: 5.93657e-03, Loss_b: 2.98608e-05, Loss_f: 3.00533e-04
Iter: 900, Loss: 6.00942e-03, Loss_0: 1.71854e-06, Loss_1: 5.78000e-03, Loss_b: 1.18243e-05, Loss_f: 2.15880e-04
Iter: 1000, Loss: 7.21814e-03, Loss_0: 1.07410e-04, Loss_1: 5.78217e-03, Loss_b: 1.16304e-03, Loss_f: 1.65514e-04
Iter: 1100, Loss: 5.54550e-03, Loss_0: 1.16525e-06, Loss_1: 5.41374e-03, Loss_b: 1.95789e-07, Loss_f: 1.30394e-04
Iter: 1200, Loss: 5.67389e-03, Loss_0: 2.94829e-05, Loss_1: 5.26334e-03, Loss_b: 2.58832e-04, Loss_f: 1.22239e-04
Iter: 1300, Loss: 5.13291e-03, Loss_0: 1.12717e-06, Loss_1: 5.04204e-03, Loss_b: 1.67487e-07, Loss_f: 8.95768e-05
Iter: 1400, Loss: 4.91038e-03, Loss_0: 1.49176e-06, Loss_1: 4.82712e-03, Loss_b: 3.59673e-06, Loss_f: 7.81783e-05
Iter: 1500, Loss: 4.69883e-03, Loss_0: 1.09783e-06, Loss_1: 4.61627e-03, Loss_b: 2.65162e-06, Loss_f: 7.88138e-05
Iter: 1600, Loss: 4.38558e-03, Loss_0: 1.17939e-06, Loss_1: 4.30292e-03, Loss_b: 3.38953e-06, Loss_f: 7.80890e-05
Iter: 1700, Loss: 9.50699e-03, Loss_0: 3.73924e-04, Loss_1: 4.54570e-03, Loss_b: 4.33111e-03, Loss_f: 2.56263e-04
Iter: 1800, Loss: 3.56405e-03, Loss_0: 1.45520e-06, Loss_1: 3.45652e-03, Loss_b: 5.38683e-06, Loss_f: 1.00694e-04
