Start Training:
Iter: 0, Loss: 2.26089e+00, Loss_0: 5.43253e-03, Loss_1: 6.64203e-02, Loss_b: 5.76878e-01, Loss_f: 1.61216e+00
Iter: 100, Loss: 7.36927e-03, Loss_0: 2.84140e-05, Loss_1: 6.68162e-03, Loss_b: 8.26347e-05, Loss_f: 5.76602e-04
Iter: 200, Loss: 6.94630e-03, Loss_0: 2.50763e-05, Loss_1: 6.63990e-03, Loss_b: 2.84533e-05, Loss_f: 2.52872e-04
Iter: 300, Loss: 6.71336e-03, Loss_0: 2.51288e-05, Loss_1: 6.55338e-03, Loss_b: 1.43487e-05, Loss_f: 1.20495e-04
Iter: 400, Loss: 6.56153e-03, Loss_0: 2.51697e-05, Loss_1: 6.44289e-03, Loss_b: 1.05029e-05, Loss_f: 8.29657e-05
Iter: 500, Loss: 6.43597e-03, Loss_0: 2.51963e-05, Loss_1: 6.31384e-03, Loss_b: 8.94362e-06, Loss_f: 8.79900e-05
Iter: 600, Loss: 6.31720e-03, Loss_0: 2.52153e-05, Loss_1: 6.17019e-03, Loss_b: 7.88210e-06, Loss_f: 1.13912e-04
Iter: 700, Loss: 6.19715e-03, Loss_0: 2.52305e-05, Loss_1: 6.01316e-03, Loss_b: 7.12168e-06, Loss_f: 1.51635e-04
Iter: 800, Loss: 6.06847e-03, Loss_0: 2.52429e-05, Loss_1: 5.84078e-03, Loss_b: 6.68057e-06, Loss_f: 1.95760e-04
Iter: 900, Loss: 5.92008e-03, Loss_0: 2.52525e-05, Loss_1: 5.64658e-03, Loss_b: 6.66595e-06, Loss_f: 2.41579e-04
Iter: 1000, Loss: 5.73472e-03, Loss_0: 2.52578e-05, Loss_1: 5.41736e-03, Loss_b: 7.37940e-06, Loss_f: 2.84726e-04
Iter: 1100, Loss: 5.48573e-03, Loss_0: 2.52554e-05, Loss_1: 5.12986e-03, Loss_b: 9.45741e-06, Loss_f: 3.21155e-04
Iter: 1200, Loss: 5.13074e-03, Loss_0: 2.52389e-05, Loss_1: 4.74568e-03, Loss_b: 1.38698e-05, Loss_f: 3.45956e-04
Iter: 1300, Loss: 4.60632e-03, Loss_0: 2.51984e-05, Loss_1: 4.20575e-03, Loss_b: 2.15956e-05, Loss_f: 3.53770e-04
Iter: 1400, Loss: 3.85375e-03, Loss_0: 2.51321e-05, Loss_1: 3.44330e-03, Loss_b: 3.30014e-05, Loss_f: 3.52316e-04
Iter: 1500, Loss: 2.92473e-03, Loss_0: 2.50652e-05, Loss_1: 2.47549e-03, Loss_b: 4.42821e-05, Loss_f: 3.79886e-04
Iter: 1600, Loss: 2.04174e-03, Loss_0: 2.50444e-05, Loss_1: 1.53640e-03, Loss_b: 4.31946e-05, Loss_f: 4.37103e-04
Iter: 1700, Loss: 1.38101e-03, Loss_0: 2.51292e-05, Loss_1: 9.02237e-04, Loss_b: 2.83644e-05, Loss_f: 4.25283e-04
Iter: 1800, Loss: 9.59895e-04, Loss_0: 2.53351e-05, Loss_1: 5.71474e-04, Loss_b: 1.32535e-05, Loss_f: 3.49833e-04
Iter: 1900, Loss: 7.56755e-04, Loss_0: 2.53839e-05, Loss_1: 4.25297e-04, Loss_b: 5.89395e-06, Loss_f: 3.00180e-04
Iter: 2000, Loss: 6.50950e-04, Loss_0: 2.52366e-05, Loss_1: 3.54172e-04, Loss_b: 3.63431e-06, Loss_f: 2.67907e-04
Iter: 2100, Loss: 5.79659e-04, Loss_0: 2.50889e-05, Loss_1: 3.01937e-04, Loss_b: 2.76428e-06, Loss_f: 2.49868e-04
Iter: 2200, Loss: 5.26633e-04, Loss_0: 2.49953e-05, Loss_1: 2.62531e-04, Loss_b: 2.14536e-06, Loss_f: 2.36962e-04
Iter: 2300, Loss: 4.81262e-04, Loss_0: 2.49493e-05, Loss_1: 2.31794e-04, Loss_b: 1.60336e-06, Loss_f: 2.22916e-04
