Start Training:
Iter: 0, Loss: 1.38630e-01, Loss_0: 9.39678e-02, Loss_1: 1.34175e-02, Loss_b: 2.26398e-02, Loss_f: 8.60469e-03
Iter: 100, Loss: 5.12437e-03, Loss_0: 8.80244e-06, Loss_1: 5.00188e-03, Loss_b: 6.55078e-05, Loss_f: 4.81762e-05
Iter: 200, Loss: 4.92234e-03, Loss_0: 7.67515e-06, Loss_1: 4.82043e-03, Loss_b: 4.62833e-05, Loss_f: 4.79546e-05
Iter: 300, Loss: 4.62099e-03, Loss_0: 7.41720e-06, Loss_1: 4.52727e-03, Loss_b: 3.08451e-05, Loss_f: 5.54616e-05
Iter: 400, Loss: 4.03247e-03, Loss_0: 7.19706e-06, Loss_1: 3.89725e-03, Loss_b: 1.58029e-05, Loss_f: 1.12218e-04
Iter: 500, Loss: 3.33280e-03, Loss_0: 6.97328e-06, Loss_1: 3.15826e-03, Loss_b: 1.28458e-05, Loss_f: 1.54725e-04
Iter: 600, Loss: 3.07392e-03, Loss_0: 6.99138e-06, Loss_1: 2.95075e-03, Loss_b: 1.63220e-05, Loss_f: 9.98561e-05
Iter: 700, Loss: 3.01357e-03, Loss_0: 7.04221e-06, Loss_1: 2.91928e-03, Loss_b: 1.18173e-05, Loss_f: 7.54341e-05
Iter: 800, Loss: 3.02295e-03, Loss_0: 1.01080e-05, Loss_1: 2.90476e-03, Loss_b: 4.79251e-05, Loss_f: 6.01580e-05
Iter: 900, Loss: 2.96649e-03, Loss_0: 7.10793e-06, Loss_1: 2.90033e-03, Loss_b: 6.53826e-06, Loss_f: 5.25193e-05
Iter: 1000, Loss: 2.95056e-03, Loss_0: 7.08754e-06, Loss_1: 2.89331e-03, Loss_b: 4.80204e-06, Loss_f: 4.53644e-05
Iter: 1100, Loss: 3.52695e-03, Loss_0: 3.61092e-05, Loss_1: 2.93969e-03, Loss_b: 5.12675e-04, Loss_f: 3.84742e-05
Iter: 1200, Loss: 2.93787e-03, Loss_0: 7.11043e-06, Loss_1: 2.88742e-03, Loss_b: 3.33149e-06, Loss_f: 4.00098e-05
Iter: 1300, Loss: 2.92922e-03, Loss_0: 7.08691e-06, Loss_1: 2.88142e-03, Loss_b: 2.58991e-06, Loss_f: 3.81276e-05
Iter: 1400, Loss: 2.92301e-03, Loss_0: 7.05227e-06, Loss_1: 2.87665e-03, Loss_b: 2.04498e-06, Loss_f: 3.72608e-05
Iter: 1500, Loss: 2.94272e-03, Loss_0: 1.50023e-05, Loss_1: 2.89530e-03, Loss_b: 1.77168e-06, Loss_f: 3.06423e-05
Iter: 1600, Loss: 2.91678e-03, Loss_0: 7.01333e-06, Loss_1: 2.87125e-03, Loss_b: 2.18157e-06, Loss_f: 3.63375e-05
Iter: 1700, Loss: 2.91042e-03, Loss_0: 6.99273e-06, Loss_1: 2.86512e-03, Loss_b: 1.89964e-06, Loss_f: 3.64125e-05
Iter: 1800, Loss: 2.90388e-03, Loss_0: 6.96924e-06, Loss_1: 2.85873e-03, Loss_b: 1.93892e-06, Loss_f: 3.62342e-05
Iter: 1900, Loss: 2.90403e-03, Loss_0: 7.04361e-06, Loss_1: 2.85917e-03, Loss_b: 3.28864e-06, Loss_f: 3.45285e-05
Iter: 2000, Loss: 2.89220e-03, Loss_0: 6.84843e-06, Loss_1: 2.84785e-03, Loss_b: 2.43946e-06, Loss_f: 3.50586e-05
Iter: 2100, Loss: 2.95733e-03, Loss_0: 7.31859e-06, Loss_1: 2.86839e-03, Loss_b: 5.49377e-05, Loss_f: 2.66877e-05
Iter: 2200, Loss: 2.86898e-03, Loss_0: 7.03974e-06, Loss_1: 2.82398e-03, Loss_b: 3.50889e-06, Loss_f: 3.44547e-05
Iter: 2300, Loss: 2.85647e-03, Loss_0: 6.92797e-06, Loss_1: 2.81301e-03, Loss_b: 3.74170e-06, Loss_f: 3.27942e-05
Iter: 2400, Loss: 4.53488e-03, Loss_0: 7.59627e-06, Loss_1: 2.93225e-03, Loss_b: 1.55111e-03, Loss_f: 4.39308e-05
Iter: 2500, Loss: 2.82116e-03, Loss_0: 6.92250e-06, Loss_1: 2.77917e-03, Loss_b: 3.68798e-06, Loss_f: 3.13740e-05
Iter: 2600, Loss: 2.71645e-03, Loss_0: 6.88713e-06, Loss_1: 2.67620e-03, Loss_b: 6.02419e-06, Loss_f: 2.73358e-05
Iter: 2700, Loss: 2.98764e-03, Loss_0: 6.89120e-06, Loss_1: 2.91469e-03, Loss_b: 5.85991e-06, Loss_f: 6.02025e-05
Iter: 2800, Loss: 2.93470e-03, Loss_0: 6.84214e-06, Loss_1: 2.88781e-03, Loss_b: 3.00447e-06, Loss_f: 3.70361e-05
Iter: 2900, Loss: 2.90645e-03, Loss_0: 6.85152e-06, Loss_1: 2.86663e-03, Loss_b: 1.85862e-06, Loss_f: 3.11073e-05
Iter: 3000, Loss: 2.89016e-03, Loss_0: 7.22527e-06, Loss_1: 2.85132e-03, Loss_b: 1.50270e-06, Loss_f: 3.01168e-05
Iter: 3100, Loss: 2.87446e-03, Loss_0: 6.90933e-06, Loss_1: 2.83569e-03, Loss_b: 1.65261e-06, Loss_f: 3.02078e-05
Iter: 3200, Loss: 2.85984e-03, Loss_0: 6.90851e-06, Loss_1: 2.82049e-03, Loss_b: 1.89384e-06, Loss_f: 3.05447e-05
Iter: 3300, Loss: 2.84271e-03, Loss_0: 6.90891e-06, Loss_1: 2.80231e-03, Loss_b: 2.18843e-06, Loss_f: 3.13100e-05
Iter: 3400, Loss: 2.82002e-03, Loss_0: 6.91242e-06, Loss_1: 2.77797e-03, Loss_b: 2.47207e-06, Loss_f: 3.26662e-05
Iter: 3500, Loss: 2.81446e-03, Loss_0: 1.95751e-05, Loss_1: 2.75367e-03, Loss_b: 3.16162e-06, Loss_f: 3.80527e-05
Iter: 3600, Loss: 2.74361e-03, Loss_0: 6.86609e-06, Loss_1: 2.69523e-03, Loss_b: 2.71457e-06, Loss_f: 3.87998e-05
Iter: 3700, Loss: 2.75390e-03, Loss_0: 7.09115e-06, Loss_1: 2.71631e-03, Loss_b: 2.16605e-06, Loss_f: 2.83307e-05
Iter: 3800, Loss: 2.60074e-03, Loss_0: 7.04037e-06, Loss_1: 2.55179e-03, Loss_b: 2.06446e-06, Loss_f: 3.98430e-05
Iter: 3900, Loss: 2.72048e-03, Loss_0: 7.07810e-06, Loss_1: 2.67507e-03, Loss_b: 8.47856e-06, Loss_f: 2.98486e-05
