Start Training:
Iter: 0, Loss: 9.09805e-02, Loss_0: 3.53780e-03, Loss_1: 4.34604e-02, Loss_b: 9.75503e-04, Loss_f: 4.30068e-02
Iter: 100, Loss: 6.72762e-03, Loss_0: 1.88441e-04, Loss_1: 6.44957e-03, Loss_b: 3.14689e-05, Loss_f: 5.81386e-05
Iter: 200, Loss: 5.76854e-03, Loss_0: 1.88361e-04, Loss_1: 5.49842e-03, Loss_b: 2.30688e-05, Loss_f: 5.86898e-05
Iter: 300, Loss: 2.53127e-03, Loss_0: 1.88350e-04, Loss_1: 2.08436e-03, Loss_b: 4.49614e-05, Loss_f: 2.13602e-04
Iter: 400, Loss: 1.45516e-03, Loss_0: 1.88306e-04, Loss_1: 7.51292e-04, Loss_b: 5.96916e-05, Loss_f: 4.55871e-04
Iter: 500, Loss: 1.24185e-03, Loss_0: 1.88310e-04, Loss_1: 6.39458e-04, Loss_b: 4.07524e-05, Loss_f: 3.73328e-04
Iter: 600, Loss: 1.06947e-03, Loss_0: 1.88326e-04, Loss_1: 5.53533e-04, Loss_b: 3.26589e-05, Loss_f: 2.94952e-04
Iter: 700, Loss: 9.13251e-04, Loss_0: 1.88327e-04, Loss_1: 4.64857e-04, Loss_b: 3.45542e-05, Loss_f: 2.25512e-04
Iter: 800, Loss: 1.02674e-03, Loss_0: 2.06840e-04, Loss_1: 3.84702e-04, Loss_b: 2.20744e-04, Loss_f: 2.14449e-04
Iter: 900, Loss: 6.08150e-04, Loss_0: 1.88351e-04, Loss_1: 2.71123e-04, Loss_b: 1.78177e-05, Loss_f: 1.30858e-04
Iter: 1000, Loss: 5.98527e-04, Loss_0: 1.92395e-04, Loss_1: 2.04663e-04, Loss_b: 8.23270e-05, Loss_f: 1.19142e-04
Iter: 1100, Loss: 4.12784e-04, Loss_0: 1.88364e-04, Loss_1: 1.36037e-04, Loss_b: 7.68914e-06, Loss_f: 8.06939e-05
Iter: 1200, Loss: 5.82212e-04, Loss_0: 1.94720e-04, Loss_1: 1.27248e-04, Loss_b: 1.85384e-04, Loss_f: 7.48602e-05
Iter: 1300, Loss: 3.18456e-04, Loss_0: 1.88349e-04, Loss_1: 7.42120e-05, Loss_b: 7.48833e-06, Loss_f: 4.84075e-05
Iter: 1400, Loss: 2.91646e-04, Loss_0: 1.88344e-04, Loss_1: 5.40189e-05, Loss_b: 8.17477e-06, Loss_f: 4.11082e-05
Iter: 1500, Loss: 3.06964e-04, Loss_0: 1.93117e-04, Loss_1: 5.96743e-05, Loss_b: 1.17202e-05, Loss_f: 4.24530e-05
Iter: 1600, Loss: 2.70724e-04, Loss_0: 1.88337e-04, Loss_1: 3.96301e-05, Loss_b: 9.06030e-06, Loss_f: 3.36970e-05
Iter: 1700, Loss: 3.02561e-04, Loss_0: 1.93609e-04, Loss_1: 4.64093e-05, Loss_b: 9.89522e-06, Loss_f: 5.26475e-05
Iter: 1800, Loss: 3.23432e-04, Loss_0: 1.88795e-04, Loss_1: 3.57372e-05, Loss_b: 6.07678e-05, Loss_f: 3.81324e-05
Iter: 1900, Loss: 3.29533e-04, Loss_0: 2.26154e-04, Loss_1: 3.36798e-05, Loss_b: 2.73736e-05, Loss_f: 4.23263e-05
Iter: 2000, Loss: 2.52650e-04, Loss_0: 1.89820e-04, Loss_1: 2.83639e-05, Loss_b: 8.88860e-06, Loss_f: 2.55777e-05
Iter: 2100, Loss: 2.97725e-04, Loss_0: 2.13726e-04, Loss_1: 3.01382e-05, Loss_b: 8.59148e-06, Loss_f: 4.52697e-05
Iter: 2200, Loss: 3.13830e-04, Loss_0: 1.95865e-04, Loss_1: 3.60459e-05, Loss_b: 5.56252e-05, Loss_f: 2.62934e-05
