Start Training:
Iter: 0, Loss: 7.78145e-01, Loss_0: 2.98886e-02, Loss_b: 1.53776e-01, Loss_f: 5.94480e-01
Iter: 100, Loss: 1.14842e-02, Loss_0: 1.10968e-02, Loss_b: 5.52820e-06, Loss_f: 3.81813e-04
Iter: 200, Loss: 1.13012e-02, Loss_0: 1.10643e-02, Loss_b: 1.22722e-05, Loss_f: 2.24636e-04
Iter: 300, Loss: 1.10793e-02, Loss_0: 1.08786e-02, Loss_b: 1.26218e-05, Loss_f: 1.88098e-04
Iter: 400, Loss: 1.02838e-02, Loss_0: 1.00344e-02, Loss_b: 1.37189e-05, Loss_f: 2.35615e-04
Iter: 500, Loss: 7.30797e-03, Loss_0: 6.78040e-03, Loss_b: 9.67245e-06, Loss_f: 5.17901e-04
Iter: 600, Loss: 5.86507e-03, Loss_0: 5.12147e-03, Loss_b: 7.68918e-06, Loss_f: 7.35911e-04
Iter: 700, Loss: 5.66191e-03, Loss_0: 5.06668e-03, Loss_b: 5.54299e-06, Loss_f: 5.89682e-04
Iter: 800, Loss: 5.54420e-03, Loss_0: 5.02365e-03, Loss_b: 4.36127e-06, Loss_f: 5.16191e-04
Iter: 900, Loss: 5.44818e-03, Loss_0: 4.97535e-03, Loss_b: 3.85779e-06, Loss_f: 4.68974e-04
Iter: 1000, Loss: 5.35639e-03, Loss_0: 4.92244e-03, Loss_b: 3.57600e-06, Loss_f: 4.30375e-04
Iter: 1100, Loss: 5.26091e-03, Loss_0: 4.86285e-03, Loss_b: 3.30844e-06, Loss_f: 3.94758e-04
Iter: 1200, Loss: 5.15587e-03, Loss_0: 4.79171e-03, Loss_b: 2.96377e-06, Loss_f: 3.61200e-04
Iter: 1300, Loss: 5.04461e-03, Loss_0: 4.70631e-03, Loss_b: 2.69166e-06, Loss_f: 3.35615e-04
Iter: 1400, Loss: 4.93527e-03, Loss_0: 4.61665e-03, Loss_b: 2.69142e-06, Loss_f: 3.15924e-04
Iter: 1500, Loss: 4.82108e-03, Loss_0: 4.52816e-03, Loss_b: 2.33816e-06, Loss_f: 2.90589e-04
Iter: 1600, Loss: 4.71579e-03, Loss_0: 4.43927e-03, Loss_b: 1.85648e-06, Loss_f: 2.74660e-04
Iter: 1700, Loss: 4.65753e-03, Loss_0: 4.37991e-03, Loss_b: 5.24538e-06, Loss_f: 2.72372e-04
Iter: 1800, Loss: 4.59364e-03, Loss_0: 4.31019e-03, Loss_b: 1.47492e-06, Loss_f: 2.81974e-04
Iter: 1900, Loss: 4.55309e-03, Loss_0: 4.26365e-03, Loss_b: 1.34320e-06, Loss_f: 2.88099e-04
Iter: 2000, Loss: 4.51689e-03, Loss_0: 4.22801e-03, Loss_b: 5.22224e-07, Loss_f: 2.88352e-04
Iter: 2100, Loss: 4.47862e-03, Loss_0: 4.18498e-03, Loss_b: 1.05121e-06, Loss_f: 2.92583e-04
Iter: 2200, Loss: 4.43813e-03, Loss_0: 4.14396e-03, Loss_b: 9.73236e-07, Loss_f: 2.93200e-04
Iter: 2300, Loss: 4.39916e-03, Loss_0: 4.10011e-03, Loss_b: 5.83352e-06, Loss_f: 2.93211e-04
Iter: 2400, Loss: 4.34185e-03, Loss_0: 4.05303e-03, Loss_b: 9.01559e-07, Loss_f: 2.87922e-04
Iter: 2500, Loss: 4.27219e-03, Loss_0: 3.98646e-03, Loss_b: 9.96736e-07, Loss_f: 2.84727e-04
Iter: 2600, Loss: 4.18549e-03, Loss_0: 3.90802e-03, Loss_b: 1.12489e-06, Loss_f: 2.76347e-04
Iter: 2700, Loss: 4.04100e-03, Loss_0: 3.77226e-03, Loss_b: 1.39489e-06, Loss_f: 2.67350e-04
Iter: 2800, Loss: 3.85426e-03, Loss_0: 3.59192e-03, Loss_b: 5.85450e-06, Loss_f: 2.56487e-04
Iter: 2900, Loss: 3.55517e-03, Loss_0: 3.19620e-03, Loss_b: 1.05263e-04, Loss_f: 2.53704e-04
Iter: 3000, Loss: 2.94678e-03, Loss_0: 2.67401e-03, Loss_b: 5.54786e-06, Loss_f: 2.67222e-04
Iter: 3100, Loss: 2.45595e-03, Loss_0: 2.07007e-03, Loss_b: 7.50286e-05, Loss_f: 3.10852e-04
Iter: 3200, Loss: 1.75175e-03, Loss_0: 1.44806e-03, Loss_b: 1.29225e-05, Loss_f: 2.90762e-04
Iter: 3300, Loss: 3.67129e-03, Loss_0: 1.23133e-03, Loss_b: 1.09424e-03, Loss_f: 1.34571e-03
Iter: 3400, Loss: 1.06227e-03, Loss_0: 7.50962e-04, Loss_b: 2.49208e-05, Loss_f: 2.86384e-04
Iter: 3500, Loss: 1.17003e-03, Loss_0: 5.66191e-04, Loss_b: 1.62367e-04, Loss_f: 4.41468e-04
Iter: 3600, Loss: 8.51177e-04, Loss_0: 4.31764e-04, Loss_b: 6.91392e-05, Loss_f: 3.50273e-04
Iter: 3700, Loss: 1.46971e-03, Loss_0: 4.97726e-04, Loss_b: 2.80840e-04, Loss_f: 6.91142e-04
Iter: 3800, Loss: 8.38171e-04, Loss_0: 2.21084e-04, Loss_b: 1.06137e-04, Loss_f: 5.10949e-04
Iter: 3900, Loss: 7.50124e-04, Loss_0: 2.45273e-04, Loss_b: 1.65964e-04, Loss_f: 3.38887e-04
Iter: 4000, Loss: 2.34001e-04, Loss_0: 1.49336e-04, Loss_b: 1.32731e-07, Loss_f: 8.45323e-05
Iter: 4100, Loss: 2.95010e-04, Loss_0: 1.64707e-04, Loss_b: 7.31893e-06, Loss_f: 1.22984e-04
Iter: 4200, Loss: 2.75429e-04, Loss_0: 1.02044e-04, Loss_b: 1.19388e-05, Loss_f: 1.61446e-04
Iter: 4300, Loss: 3.34491e-04, Loss_0: 1.49234e-04, Loss_b: 3.47157e-06, Loss_f: 1.81785e-04
Iter: 4400, Loss: 7.62660e-04, Loss_0: 9.12542e-05, Loss_b: 1.21781e-04, Loss_f: 5.49625e-04
Iter: 4500, Loss: 3.65142e-04, Loss_0: 1.25115e-04, Loss_b: 5.09487e-05, Loss_f: 1.89079e-04
Iter: 4600, Loss: 1.41152e-04, Loss_0: 8.14312e-05, Loss_b: 1.46805e-07, Loss_f: 5.95744e-05
Iter: 4700, Loss: 1.52607e-04, Loss_0: 8.64813e-05, Loss_b: 2.84450e-06, Loss_f: 6.32810e-05
Iter: 4800, Loss: 5.71030e-04, Loss_0: 1.74881e-04, Loss_b: 1.36784e-04, Loss_f: 2.59365e-04
Iter: 4900, Loss: 1.56689e-04, Loss_0: 7.92554e-05, Loss_b: 6.41768e-06, Loss_f: 7.10157e-05
Iter: 5000, Loss: 1.44139e-03, Loss_0: 7.11410e-05, Loss_b: 2.03046e-04, Loss_f: 1.16720e-03
Iter: 5100, Loss: 1.14699e-04, Loss_0: 7.18158e-05, Loss_b: 9.33283e-07, Loss_f: 4.19498e-05
Iter: 5200, Loss: 9.20677e-05, Loss_0: 5.35750e-05, Loss_b: 9.03328e-08, Loss_f: 3.84024e-05
Iter: 5300, Loss: 9.05310e-04, Loss_0: 2.88335e-04, Loss_b: 3.20757e-04, Loss_f: 2.96218e-04
Iter: 5400, Loss: 1.64731e-04, Loss_0: 7.54948e-05, Loss_b: 3.43574e-05, Loss_f: 5.48790e-05
Iter: 5500, Loss: 6.95819e-05, Loss_0: 4.05954e-05, Loss_b: 2.00743e-07, Loss_f: 2.87858e-05
Iter: 5600, Loss: 3.97284e-04, Loss_0: 8.82864e-05, Loss_b: 1.32667e-04, Loss_f: 1.76331e-04
Iter: 5700, Loss: 8.68734e-05, Loss_0: 5.25360e-05, Loss_b: 5.76649e-06, Loss_f: 2.85710e-05
