Start Training:
Iter: 0, Loss: 5.25743e-02, Loss_0: 1.53232e-02, Loss_b: 2.32017e-02, Loss_f: 5.12797e-04, Loss_s: 1.35367e-02
Iter: 100, Loss: 8.80401e-03, Loss_0: 4.39884e-03, Loss_b: 8.91491e-06, Loss_f: 3.88123e-05, Loss_s: 4.35745e-03
Iter: 200, Loss: 5.93453e-03, Loss_0: 2.78357e-03, Loss_b: 1.31961e-05, Loss_f: 3.83864e-04, Loss_s: 2.75390e-03
Iter: 300, Loss: 5.25601e-03, Loss_0: 2.49122e-03, Loss_b: 1.79682e-05, Loss_f: 3.00353e-04, Loss_s: 2.44646e-03
Iter: 400, Loss: 5.18045e-03, Loss_0: 2.25786e-03, Loss_b: 4.99143e-04, Loss_f: 2.52590e-04, Loss_s: 2.17085e-03
Iter: 500, Loss: 3.29730e-03, Loss_0: 1.56584e-03, Loss_b: 1.12355e-05, Loss_f: 1.55278e-04, Loss_s: 1.56495e-03
Iter: 600, Loss: 2.18837e-03, Loss_0: 9.85479e-04, Loss_b: 4.01964e-05, Loss_f: 1.39676e-04, Loss_s: 1.02302e-03
Iter: 700, Loss: 1.40553e-03, Loss_0: 5.90268e-04, Loss_b: 3.09518e-06, Loss_f: 1.70344e-04, Loss_s: 6.41826e-04
Iter: 800, Loss: 1.12296e-03, Loss_0: 4.32838e-04, Loss_b: 2.13115e-05, Loss_f: 1.70986e-04, Loss_s: 4.97825e-04
Iter: 900, Loss: 9.35402e-04, Loss_0: 3.37982e-04, Loss_b: 5.19043e-06, Loss_f: 1.52355e-04, Loss_s: 4.39874e-04
Iter: 1000, Loss: 8.16096e-04, Loss_0: 2.84652e-04, Loss_b: 5.43750e-06, Loss_f: 1.30727e-04, Loss_s: 3.95280e-04
Iter: 1100, Loss: 7.55249e-04, Loss_0: 2.52250e-04, Loss_b: 9.33264e-06, Loss_f: 1.04546e-04, Loss_s: 3.89121e-04
Iter: 1200, Loss: 6.69911e-04, Loss_0: 2.30534e-04, Loss_b: 2.96463e-06, Loss_f: 9.24059e-05, Loss_s: 3.44007e-04
Iter: 1300, Loss: 6.11717e-04, Loss_0: 2.10171e-04, Loss_b: 2.09495e-06, Loss_f: 7.49099e-05, Loss_s: 3.24541e-04
Iter: 1400, Loss: 5.61937e-04, Loss_0: 1.93260e-04, Loss_b: 1.39552e-06, Loss_f: 5.77825e-05, Loss_s: 3.09499e-04
Iter: 1500, Loss: 5.31849e-04, Loss_0: 1.83253e-04, Loss_b: 1.37027e-06, Loss_f: 4.77787e-05, Loss_s: 2.99448e-04
Iter: 1600, Loss: 5.00198e-04, Loss_0: 1.70343e-04, Loss_b: 7.91687e-07, Loss_f: 3.75158e-05, Loss_s: 2.91547e-04
Iter: 1700, Loss: 4.81311e-04, Loss_0: 1.61398e-04, Loss_b: 7.45609e-07, Loss_f: 3.37906e-05, Loss_s: 2.85376e-04
Iter: 1800, Loss: 4.70443e-04, Loss_0: 1.55167e-04, Loss_b: 8.01521e-07, Loss_f: 3.23667e-05, Loss_s: 2.82108e-04
Iter: 1900, Loss: 4.65939e-04, Loss_0: 1.48696e-04, Loss_b: 1.26752e-06, Loss_f: 3.12585e-05, Loss_s: 2.84717e-04
Iter: 2000, Loss: 4.58173e-04, Loss_0: 1.46732e-04, Loss_b: 7.35722e-07, Loss_f: 3.01762e-05, Loss_s: 2.80529e-04
Iter: 2100, Loss: 4.52883e-04, Loss_0: 1.43468e-04, Loss_b: 7.27769e-07, Loss_f: 2.92925e-05, Loss_s: 2.79395e-04
Iter: 2200, Loss: 4.48405e-04, Loss_0: 1.40631e-04, Loss_b: 6.98385e-07, Loss_f: 2.87666e-05, Loss_s: 2.78310e-04
Iter: 2300, Loss: 5.15239e-04, Loss_0: 1.63069e-04, Loss_b: 5.55638e-05, Loss_f: 3.35666e-05, Loss_s: 2.63039e-04
Iter: 2400, Loss: 4.40887e-04, Loss_0: 1.35670e-04, Loss_b: 5.59249e-07, Loss_f: 2.80762e-05, Loss_s: 2.76582e-04
Iter: 2500, Loss: 4.36507e-04, Loss_0: 1.33750e-04, Loss_b: 5.27947e-07, Loss_f: 2.76825e-05, Loss_s: 2.74547e-04
