Start Training:
Iter: 0, Loss: 2.41822e-03, Loss0: 1.06738e-03, Loss_b: 5.78200e-10, Loss_f: 9.57508e-08, Loss_prev: 1.35075e-03
Iter: 100, Loss: 3.50485e-06, Loss0: 7.95613e-07, Loss_b: 1.28656e-08, Loss_f: 2.15969e-06, Loss_prev: 5.36687e-07
Iter: 200, Loss: 1.30811e-06, Loss0: 2.63128e-07, Loss_b: 5.20251e-09, Loss_f: 8.13134e-07, Loss_prev: 2.26643e-07
Iter: 300, Loss: 7.49322e-07, Loss0: 1.41111e-07, Loss_b: 3.54345e-09, Loss_f: 4.84646e-07, Loss_prev: 1.20022e-07
Iter: 400, Loss: 5.38555e-07, Loss0: 1.06280e-07, Loss_b: 2.46691e-09, Loss_f: 3.53355e-07, Loss_prev: 7.64528e-08
Iter: 500, Loss: 4.37303e-07, Loss0: 9.39084e-08, Loss_b: 2.09641e-09, Loss_f: 2.83969e-07, Loss_prev: 5.73289e-08
Iter: 600, Loss: 3.80661e-07, Loss0: 8.90210e-08, Loss_b: 2.36531e-09, Loss_f: 2.41302e-07, Loss_prev: 4.79718e-08
Iter: 700, Loss: 3.63102e-07, Loss0: 9.08642e-08, Loss_b: 9.12939e-09, Loss_f: 2.19593e-07, Loss_prev: 4.35158e-08
Iter: 800, Loss: 7.00293e-06, Loss0: 7.81173e-07, Loss_b: 3.63382e-06, Loss_f: 1.70658e-06, Loss_prev: 8.81360e-07
Iter: 900, Loss: 2.96469e-07, Loss0: 8.74469e-08, Loss_b: 1.60427e-09, Loss_f: 1.72938e-07, Loss_prev: 3.44801e-08
Iter: 1000, Loss: 1.48529e-05, Loss0: 1.21876e-06, Loss_b: 3.22828e-06, Loss_f: 8.47865e-06, Loss_prev: 1.92723e-06
Iter: 1100, Loss: 2.67468e-07, Loss0: 8.53339e-08, Loss_b: 1.90096e-09, Loss_f: 1.52820e-07, Loss_prev: 2.74127e-08
Iter: 1200, Loss: 2.48939e-07, Loss0: 8.14019e-08, Loss_b: 1.58690e-09, Loss_f: 1.41487e-07, Loss_prev: 2.44630e-08
