Start Training:
Iter: 0, Loss: 1.64549e+00, Loss0: 1.57055e-01, Loss_b: 7.15871e-03, Loss_f: 1.48128e+00, Loss_prev: 0.00000e+00
Iter: 100, Loss: 1.26411e-02, Loss0: 1.21156e-02, Loss_b: 6.74181e-05, Loss_f: 4.58099e-04, Loss_prev: 0.00000e+00
Iter: 200, Loss: 1.18902e-02, Loss0: 1.15596e-02, Loss_b: 7.60316e-05, Loss_f: 2.54553e-04, Loss_prev: 0.00000e+00
Iter: 300, Loss: 1.11626e-02, Loss0: 1.07624e-02, Loss_b: 6.51643e-05, Loss_f: 3.35073e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 9.99733e-03, Loss0: 9.46999e-03, Loss_b: 5.33364e-05, Loss_f: 4.74002e-04, Loss_prev: 0.00000e+00
Iter: 500, Loss: 7.92912e-03, Loss0: 7.48094e-03, Loss_b: 2.36800e-05, Loss_f: 4.24503e-04, Loss_prev: 0.00000e+00
Iter: 600, Loss: 6.74516e-03, Loss0: 6.11228e-03, Loss_b: 7.78986e-06, Loss_f: 6.25090e-04, Loss_prev: 0.00000e+00
Iter: 700, Loss: 6.54692e-03, Loss0: 5.89941e-03, Loss_b: 1.28916e-05, Loss_f: 6.34617e-04, Loss_prev: 0.00000e+00
Iter: 800, Loss: 6.42124e-03, Loss0: 5.81692e-03, Loss_b: 1.68054e-05, Loss_f: 5.87513e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 6.32147e-03, Loss0: 5.75377e-03, Loss_b: 2.01079e-05, Loss_f: 5.47594e-04, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 6.23364e-03, Loss0: 5.70027e-03, Loss_b: 2.23579e-05, Loss_f: 5.11009e-04, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 6.15082e-03, Loss0: 5.65106e-03, Loss_b: 2.33999e-05, Loss_f: 4.76365e-04, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 6.07001e-03, Loss0: 5.60151e-03, Loss_b: 2.33301e-05, Loss_f: 4.45172e-04, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 5.99138e-03, Loss0: 5.54685e-03, Loss_b: 2.25222e-05, Loss_f: 4.22006e-04, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 5.91604e-03, Loss0: 5.48277e-03, Loss_b: 2.15775e-05, Loss_f: 4.11693e-04, Loss_prev: 0.00000e+00
