Start Training:
Iter: 0, Loss: 2.38560e-02, Loss0: 2.10024e-02, Loss_b: 9.59534e-10, Loss_f: 5.28466e-07, Loss_prev: 2.85306e-03
Iter: 100, Loss: 1.92100e-04, Loss0: 1.78504e-05, Loss_b: 9.60393e-07, Loss_f: 8.43483e-05, Loss_prev: 8.89411e-05
Iter: 200, Loss: 1.24519e-03, Loss0: 4.40563e-05, Loss_b: 2.05264e-04, Loss_f: 8.33897e-04, Loss_prev: 1.61969e-04
Iter: 300, Loss: 6.77361e-05, Loss0: 5.50731e-06, Loss_b: 1.13569e-07, Loss_f: 2.39310e-05, Loss_prev: 3.81842e-05
Iter: 400, Loss: 1.68742e-04, Loss0: 6.18243e-06, Loss_b: 2.52362e-05, Loss_f: 9.88176e-05, Loss_prev: 3.85058e-05
Iter: 500, Loss: 5.56143e-04, Loss0: 2.21905e-05, Loss_b: 6.16259e-05, Loss_f: 4.31945e-04, Loss_prev: 4.03822e-05
Iter: 600, Loss: 1.23605e-04, Loss0: 5.31377e-06, Loss_b: 6.85029e-06, Loss_f: 6.76346e-05, Loss_prev: 4.38067e-05
Iter: 700, Loss: 4.47214e-04, Loss0: 1.15038e-05, Loss_b: 3.31284e-05, Loss_f: 3.59625e-04, Loss_prev: 4.29569e-05
Iter: 800, Loss: 4.78444e-05, Loss0: 2.32501e-06, Loss_b: 1.12329e-06, Loss_f: 2.53539e-05, Loss_prev: 1.90422e-05
Iter: 900, Loss: 1.47804e-04, Loss0: 7.95908e-06, Loss_b: 1.48240e-05, Loss_f: 1.01937e-04, Loss_prev: 2.30836e-05
Iter: 1000, Loss: 7.52266e-05, Loss0: 2.85562e-06, Loss_b: 6.09844e-06, Loss_f: 3.99709e-05, Loss_prev: 2.63017e-05
Iter: 1100, Loss: 7.29899e-05, Loss0: 3.65228e-06, Loss_b: 1.03755e-05, Loss_f: 3.45524e-05, Loss_prev: 2.44097e-05
Iter: 1200, Loss: 3.92119e-05, Loss0: 2.10065e-06, Loss_b: 3.19812e-06, Loss_f: 1.09740e-05, Loss_prev: 2.29391e-05
Iter: 1300, Loss: 3.07848e-04, Loss0: 1.77342e-05, Loss_b: 5.22867e-05, Loss_f: 1.97112e-04, Loss_prev: 4.07151e-05
Iter: 1400, Loss: 4.17766e-05, Loss0: 2.17134e-06, Loss_b: 1.93186e-06, Loss_f: 2.31157e-05, Loss_prev: 1.45577e-05
Iter: 1500, Loss: 1.11514e-04, Loss0: 6.48309e-06, Loss_b: 1.53598e-05, Loss_f: 5.26745e-05, Loss_prev: 3.69971e-05
Iter: 1600, Loss: 1.03822e-04, Loss0: 5.27207e-06, Loss_b: 1.79120e-05, Loss_f: 5.91073e-05, Loss_prev: 2.15308e-05
Iter: 1700, Loss: 2.95283e-05, Loss0: 2.08257e-06, Loss_b: 3.84589e-06, Loss_f: 1.15082e-05, Loss_prev: 1.20917e-05
Iter: 1800, Loss: 5.17208e-05, Loss0: 1.78953e-06, Loss_b: 5.59464e-06, Loss_f: 2.92157e-05, Loss_prev: 1.51209e-05
Iter: 1900, Loss: 1.22407e-04, Loss0: 4.15938e-06, Loss_b: 2.20107e-06, Loss_f: 7.04118e-05, Loss_prev: 4.56348e-05
Iter: 2000, Loss: 3.92415e-05, Loss0: 2.08156e-06, Loss_b: 2.67918e-06, Loss_f: 1.85742e-05, Loss_prev: 1.59066e-05
Iter: 2100, Loss: 3.99238e-05, Loss0: 1.68670e-06, Loss_b: 2.91842e-06, Loss_f: 1.39618e-05, Loss_prev: 2.13569e-05
Iter: 2200, Loss: 4.40581e-04, Loss0: 1.37202e-05, Loss_b: 4.60178e-05, Loss_f: 3.62501e-04, Loss_prev: 1.83425e-05
Iter: 2300, Loss: 8.02393e-05, Loss0: 3.52906e-06, Loss_b: 1.02915e-05, Loss_f: 5.32310e-05, Loss_prev: 1.31878e-05
Iter: 2400, Loss: 1.98956e-04, Loss0: 1.95802e-05, Loss_b: 2.52108e-06, Loss_f: 5.53838e-05, Loss_prev: 1.21471e-04
Iter: 2500, Loss: 1.67158e-05, Loss0: 1.04287e-06, Loss_b: 2.10831e-08, Loss_f: 5.87478e-06, Loss_prev: 9.77710e-06
Iter: 2600, Loss: 1.70976e-05, Loss0: 8.16390e-07, Loss_b: 2.72516e-07, Loss_f: 7.67763e-06, Loss_prev: 8.33105e-06
Iter: 2700, Loss: 4.94694e-05, Loss0: 2.76045e-06, Loss_b: 6.22183e-06, Loss_f: 2.51939e-05, Loss_prev: 1.52932e-05
Iter: 2800, Loss: 2.49496e-05, Loss0: 1.13244e-06, Loss_b: 1.28084e-06, Loss_f: 1.38454e-05, Loss_prev: 8.69087e-06
Iter: 2900, Loss: 1.95544e-05, Loss0: 6.76511e-07, Loss_b: 5.30562e-08, Loss_f: 4.29652e-06, Loss_prev: 1.45284e-05
Iter: 3000, Loss: 5.33103e-04, Loss0: 2.57178e-05, Loss_b: 8.82078e-05, Loss_f: 3.92124e-04, Loss_prev: 2.70543e-05
Iter: 3100, Loss: 7.76605e-05, Loss0: 2.56399e-06, Loss_b: 7.86937e-06, Loss_f: 5.89900e-05, Loss_prev: 8.23713e-06
Iter: 3200, Loss: 9.61330e-05, Loss0: 4.46795e-06, Loss_b: 1.39575e-05, Loss_f: 5.75444e-05, Loss_prev: 2.01632e-05
Iter: 3300, Loss: 4.58262e-05, Loss0: 1.64875e-06, Loss_b: 2.22899e-06, Loss_f: 3.19989e-05, Loss_prev: 9.94956e-06
Iter: 3400, Loss: 3.78100e-05, Loss0: 7.37019e-07, Loss_b: 3.54238e-07, Loss_f: 2.85025e-05, Loss_prev: 8.21626e-06
Iter: 3500, Loss: 8.16194e-05, Loss0: 3.05669e-06, Loss_b: 8.04797e-06, Loss_f: 6.07198e-05, Loss_prev: 9.79499e-06
