Start Training:
Iter: 0, Loss: 2.95261e-02, Loss0: 1.60718e-02, Loss_b: 9.34025e-03, Loss_f: 4.11408e-03, Loss_prev: 0.00000e+00
Iter: 100, Loss: 1.11654e-02, Loss0: 1.09645e-02, Loss_b: 8.20601e-06, Loss_f: 1.92660e-04, Loss_prev: 0.00000e+00
Iter: 200, Loss: 7.19411e-03, Loss0: 6.58763e-03, Loss_b: 8.70185e-06, Loss_f: 5.97782e-04, Loss_prev: 0.00000e+00
Iter: 300, Loss: 6.28703e-03, Loss0: 5.80288e-03, Loss_b: 1.03323e-05, Loss_f: 4.73814e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 5.74589e-03, Loss0: 5.30136e-03, Loss_b: 8.83948e-06, Loss_f: 4.35688e-04, Loss_prev: 0.00000e+00
Iter: 500, Loss: 5.50641e-03, Loss0: 5.02792e-03, Loss_b: 3.96420e-06, Loss_f: 4.74523e-04, Loss_prev: 0.00000e+00
Iter: 600, Loss: 5.36144e-03, Loss0: 4.90803e-03, Loss_b: 1.40557e-06, Loss_f: 4.52010e-04, Loss_prev: 0.00000e+00
Iter: 700, Loss: 5.15949e-03, Loss0: 4.75408e-03, Loss_b: 1.65737e-06, Loss_f: 4.03752e-04, Loss_prev: 0.00000e+00
Iter: 800, Loss: 4.87261e-03, Loss0: 4.52668e-03, Loss_b: 4.27789e-06, Loss_f: 3.41651e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 5.30353e-03, Loss0: 4.26383e-03, Loss_b: 7.70205e-04, Loss_f: 2.69497e-04, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 3.77030e-03, Loss0: 3.56483e-03, Loss_b: 3.46444e-06, Loss_f: 2.02002e-04, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 3.27870e-03, Loss0: 2.98175e-03, Loss_b: 6.43291e-06, Loss_f: 2.90515e-04, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 2.86352e-03, Loss0: 2.56102e-03, Loss_b: 7.20700e-06, Loss_f: 2.95293e-04, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 2.50479e-03, Loss0: 2.22882e-03, Loss_b: 7.25160e-06, Loss_f: 2.68717e-04, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 2.12537e-03, Loss0: 1.83693e-03, Loss_b: 6.58478e-06, Loss_f: 2.81859e-04, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 1.79688e-03, Loss0: 1.52766e-03, Loss_b: 2.72546e-06, Loss_f: 2.66496e-04, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 2.32510e-03, Loss0: 1.40366e-03, Loss_b: 4.94626e-04, Loss_f: 4.26813e-04, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 3.18694e-03, Loss0: 1.15220e-03, Loss_b: 9.74229e-04, Loss_f: 1.06051e-03, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 1.21722e-03, Loss0: 8.98289e-04, Loss_b: 1.03571e-04, Loss_f: 2.15360e-04, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 9.92791e-04, Loss0: 7.54294e-04, Loss_b: 2.12987e-05, Loss_f: 2.17198e-04, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 8.65780e-04, Loss0: 6.67733e-04, Loss_b: 1.14448e-05, Loss_f: 1.86602e-04, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 7.66897e-04, Loss0: 5.71348e-04, Loss_b: 1.24386e-05, Loss_f: 1.83110e-04, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 8.39084e-04, Loss0: 5.19310e-04, Loss_b: 8.14090e-05, Loss_f: 2.38366e-04, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 6.62367e-04, Loss0: 4.79362e-04, Loss_b: 2.33909e-05, Loss_f: 1.59615e-04, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 5.83273e-04, Loss0: 3.91086e-04, Loss_b: 9.82101e-06, Loss_f: 1.82367e-04, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 8.18288e-04, Loss0: 3.70404e-04, Loss_b: 2.30434e-04, Loss_f: 2.17450e-04, Loss_prev: 0.00000e+00
Iter: 2600, Loss: 5.06251e-04, Loss0: 2.85674e-04, Loss_b: 2.22404e-05, Loss_f: 1.98337e-04, Loss_prev: 0.00000e+00
Iter: 2700, Loss: 3.71132e-04, Loss0: 2.52380e-04, Loss_b: 1.80262e-06, Loss_f: 1.16950e-04, Loss_prev: 0.00000e+00
Iter: 2800, Loss: 3.65643e-04, Loss0: 2.18079e-04, Loss_b: 4.37480e-06, Loss_f: 1.43189e-04, Loss_prev: 0.00000e+00
Iter: 2900, Loss: 4.22427e-04, Loss0: 1.90438e-04, Loss_b: 8.65378e-05, Loss_f: 1.45451e-04, Loss_prev: 0.00000e+00
Iter: 3000, Loss: 1.47983e-03, Loss0: 1.94360e-04, Loss_b: 2.16408e-04, Loss_f: 1.06906e-03, Loss_prev: 0.00000e+00
Iter: 3100, Loss: 2.31772e-04, Loss0: 1.28009e-04, Loss_b: 6.30694e-06, Loss_f: 9.74560e-05, Loss_prev: 0.00000e+00
Iter: 3200, Loss: 7.01993e-04, Loss0: 2.05676e-04, Loss_b: 3.52453e-04, Loss_f: 1.43863e-04, Loss_prev: 0.00000e+00
Iter: 3300, Loss: 1.48857e-04, Loss0: 7.93159e-05, Loss_b: 4.63144e-06, Loss_f: 6.49100e-05, Loss_prev: 0.00000e+00
Iter: 3400, Loss: 1.88568e-04, Loss0: 8.56623e-05, Loss_b: 2.37396e-05, Loss_f: 7.91662e-05, Loss_prev: 0.00000e+00
Iter: 3500, Loss: 2.91746e-04, Loss0: 8.03791e-05, Loss_b: 6.93905e-05, Loss_f: 1.41976e-04, Loss_prev: 0.00000e+00
Iter: 3600, Loss: 3.24626e-04, Loss0: 5.59212e-05, Loss_b: 3.36261e-05, Loss_f: 2.35079e-04, Loss_prev: 0.00000e+00
Iter: 3700, Loss: 1.08351e-04, Loss0: 4.69151e-05, Loss_b: 1.19562e-05, Loss_f: 4.94794e-05, Loss_prev: 0.00000e+00
Iter: 3800, Loss: 1.74756e-04, Loss0: 4.90077e-05, Loss_b: 7.29866e-05, Loss_f: 5.27620e-05, Loss_prev: 0.00000e+00
Iter: 3900, Loss: 1.10374e-03, Loss0: 2.82990e-04, Loss_b: 4.30494e-04, Loss_f: 3.90261e-04, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 2.56050e-04, Loss0: 5.72031e-05, Loss_b: 1.10462e-04, Loss_f: 8.83848e-05, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 4.17979e-04, Loss0: 5.85480e-05, Loss_b: 1.80113e-04, Loss_f: 1.79318e-04, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 4.54087e-04, Loss0: 9.74966e-05, Loss_b: 2.32431e-04, Loss_f: 1.24159e-04, Loss_prev: 0.00000e+00
Iter: 4300, Loss: 1.10757e-04, Loss0: 3.04904e-05, Loss_b: 1.88383e-05, Loss_f: 6.14288e-05, Loss_prev: 0.00000e+00
Iter: 4400, Loss: 5.23574e-05, Loss0: 2.47389e-05, Loss_b: 2.26309e-06, Loss_f: 2.53554e-05, Loss_prev: 0.00000e+00
Iter: 4500, Loss: 7.43553e-05, Loss0: 2.67652e-05, Loss_b: 1.36185e-05, Loss_f: 3.39716e-05, Loss_prev: 0.00000e+00
Iter: 4600, Loss: 2.72574e-04, Loss0: 6.21390e-05, Loss_b: 1.20364e-04, Loss_f: 9.00713e-05, Loss_prev: 0.00000e+00
Iter: 4700, Loss: 2.77005e-04, Loss0: 2.52615e-05, Loss_b: 5.74926e-05, Loss_f: 1.94250e-04, Loss_prev: 0.00000e+00
Iter: 4800, Loss: 7.62629e-05, Loss0: 1.61024e-05, Loss_b: 1.91301e-06, Loss_f: 5.82474e-05, Loss_prev: 0.00000e+00
Iter: 4900, Loss: 2.89843e-04, Loss0: 6.51476e-05, Loss_b: 1.01293e-04, Loss_f: 1.23402e-04, Loss_prev: 0.00000e+00
Iter: 5000, Loss: 4.49053e-05, Loss0: 1.52816e-05, Loss_b: 5.61420e-06, Loss_f: 2.40095e-05, Loss_prev: 0.00000e+00
Iter: 5100, Loss: 8.27160e-05, Loss0: 2.81176e-05, Loss_b: 2.27629e-05, Loss_f: 3.18355e-05, Loss_prev: 0.00000e+00
Iter: 5200, Loss: 7.64031e-04, Loss0: 8.40848e-05, Loss_b: 3.45290e-04, Loss_f: 3.34656e-04, Loss_prev: 0.00000e+00
Iter: 5300, Loss: 5.42699e-05, Loss0: 1.63681e-05, Loss_b: 9.90519e-08, Loss_f: 3.78027e-05, Loss_prev: 0.00000e+00
Iter: 5400, Loss: 8.29985e-05, Loss0: 1.78985e-05, Loss_b: 1.01295e-05, Loss_f: 5.49704e-05, Loss_prev: 0.00000e+00
Iter: 5500, Loss: 5.79029e-05, Loss0: 1.25237e-05, Loss_b: 8.07172e-06, Loss_f: 3.73075e-05, Loss_prev: 0.00000e+00
Iter: 5600, Loss: 5.47611e-04, Loss0: 1.11327e-04, Loss_b: 2.31923e-04, Loss_f: 2.04362e-04, Loss_prev: 0.00000e+00
Iter: 5700, Loss: 3.67157e-05, Loss0: 1.08517e-05, Loss_b: 5.87626e-07, Loss_f: 2.52764e-05, Loss_prev: 0.00000e+00
Iter: 5800, Loss: 3.08498e-05, Loss0: 9.38866e-06, Loss_b: 8.91682e-07, Loss_f: 2.05695e-05, Loss_prev: 0.00000e+00
Iter: 5900, Loss: 2.12941e-03, Loss0: 8.96004e-05, Loss_b: 2.47229e-04, Loss_f: 1.79258e-03, Loss_prev: 0.00000e+00
Iter: 6000, Loss: 3.04448e-04, Loss0: 5.25864e-05, Loss_b: 1.55405e-04, Loss_f: 9.64567e-05, Loss_prev: 0.00000e+00
Iter: 6100, Loss: 8.19813e-05, Loss0: 1.24288e-05, Loss_b: 1.18366e-05, Loss_f: 5.77159e-05, Loss_prev: 0.00000e+00
Iter: 6200, Loss: 4.05779e-04, Loss0: 4.88211e-05, Loss_b: 1.84191e-04, Loss_f: 1.72768e-04, Loss_prev: 0.00000e+00
Iter: 6300, Loss: 3.40681e-05, Loss0: 1.11680e-05, Loss_b: 3.15017e-07, Loss_f: 2.25850e-05, Loss_prev: 0.00000e+00
Iter: 6400, Loss: 6.09013e-05, Loss0: 9.45343e-06, Loss_b: 1.55358e-05, Loss_f: 3.59121e-05, Loss_prev: 0.00000e+00
Iter: 6500, Loss: 2.39214e-04, Loss0: 1.60551e-05, Loss_b: 1.87476e-05, Loss_f: 2.04411e-04, Loss_prev: 0.00000e+00
Iter: 6600, Loss: 1.19451e-04, Loss0: 2.21427e-05, Loss_b: 3.70192e-05, Loss_f: 6.02890e-05, Loss_prev: 0.00000e+00
Iter: 6700, Loss: 4.13827e-05, Loss0: 1.31804e-05, Loss_b: 4.40611e-06, Loss_f: 2.37962e-05, Loss_prev: 0.00000e+00
Iter: 6800, Loss: 3.95622e-05, Loss0: 1.47518e-05, Loss_b: 1.89500e-06, Loss_f: 2.29154e-05, Loss_prev: 0.00000e+00
Iter: 6900, Loss: 2.36382e-05, Loss0: 9.14704e-06, Loss_b: 2.42402e-07, Loss_f: 1.42488e-05, Loss_prev: 0.00000e+00
Iter: 7000, Loss: 1.97808e-05, Loss0: 7.19605e-06, Loss_b: 4.94850e-07, Loss_f: 1.20899e-05, Loss_prev: 0.00000e+00
Iter: 7100, Loss: 3.09274e-05, Loss0: 1.45462e-05, Loss_b: 2.01009e-06, Loss_f: 1.43711e-05, Loss_prev: 0.00000e+00
Iter: 7200, Loss: 3.70880e-05, Loss0: 9.66397e-06, Loss_b: 1.10066e-05, Loss_f: 1.64174e-05, Loss_prev: 0.00000e+00
Iter: 7300, Loss: 8.69010e-05, Loss0: 6.71923e-06, Loss_b: 1.63279e-05, Loss_f: 6.38539e-05, Loss_prev: 0.00000e+00
Iter: 7400, Loss: 3.55057e-04, Loss0: 2.18133e-05, Loss_b: 6.10567e-05, Loss_f: 2.72187e-04, Loss_prev: 0.00000e+00
Iter: 7500, Loss: 3.89578e-05, Loss0: 8.15916e-06, Loss_b: 7.87978e-06, Loss_f: 2.29188e-05, Loss_prev: 0.00000e+00
Iter: 7600, Loss: 3.21851e-04, Loss0: 1.83691e-05, Loss_b: 3.83628e-05, Loss_f: 2.65120e-04, Loss_prev: 0.00000e+00
Iter: 7700, Loss: 4.82735e-05, Loss0: 1.07898e-05, Loss_b: 3.35757e-07, Loss_f: 3.71480e-05, Loss_prev: 0.00000e+00
Iter: 7800, Loss: 2.57137e-05, Loss0: 4.59098e-06, Loss_b: 1.24949e-06, Loss_f: 1.98732e-05, Loss_prev: 0.00000e+00
Iter: 7900, Loss: 3.39469e-05, Loss0: 8.27280e-06, Loss_b: 1.07827e-06, Loss_f: 2.45959e-05, Loss_prev: 0.00000e+00
Iter: 8000, Loss: 1.10627e-04, Loss0: 1.64671e-05, Loss_b: 5.62384e-05, Loss_f: 3.79212e-05, Loss_prev: 0.00000e+00
Iter: 8100, Loss: 5.15636e-04, Loss0: 4.73931e-05, Loss_b: 8.08558e-06, Loss_f: 4.60158e-04, Loss_prev: 0.00000e+00
Iter: 8200, Loss: 4.23025e-05, Loss0: 1.02905e-05, Loss_b: 7.04135e-06, Loss_f: 2.49707e-05, Loss_prev: 0.00000e+00
