Start Training:
Iter: 0, Loss: 4.34395e-02, Loss0: 1.99072e-02, Loss_b: 1.98163e-02, Loss_f: 3.71611e-03, Loss_prev: 0.00000e+00
Iter: 100, Loss: 6.89493e-03, Loss0: 6.65523e-03, Loss_b: 6.93612e-06, Loss_f: 2.32757e-04, Loss_prev: 0.00000e+00
Iter: 200, Loss: 6.13300e-03, Loss0: 5.65670e-03, Loss_b: 1.20109e-05, Loss_f: 4.64287e-04, Loss_prev: 0.00000e+00
Iter: 300, Loss: 3.99326e-03, Loss0: 3.49092e-03, Loss_b: 1.61734e-05, Loss_f: 4.86164e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 2.57347e-03, Loss0: 2.22899e-03, Loss_b: 4.86061e-06, Loss_f: 3.39626e-04, Loss_prev: 0.00000e+00
Iter: 500, Loss: 2.23179e-03, Loss0: 2.02971e-03, Loss_b: 4.82390e-06, Loss_f: 1.97257e-04, Loss_prev: 0.00000e+00
Iter: 600, Loss: 2.13544e-03, Loss0: 1.94852e-03, Loss_b: 3.65129e-06, Loss_f: 1.83267e-04, Loss_prev: 0.00000e+00
Iter: 700, Loss: 2.09375e-03, Loss0: 1.91307e-03, Loss_b: 4.39193e-06, Loss_f: 1.76282e-04, Loss_prev: 0.00000e+00
Iter: 800, Loss: 2.06741e-03, Loss0: 1.89455e-03, Loss_b: 2.42654e-06, Loss_f: 1.70439e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 5.46622e-03, Loss0: 2.21811e-03, Loss_b: 2.62742e-03, Loss_f: 6.20686e-04, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 2.04469e-03, Loss0: 1.88101e-03, Loss_b: 2.15820e-06, Loss_f: 1.61520e-04, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 2.03464e-03, Loss0: 1.87554e-03, Loss_b: 2.19080e-06, Loss_f: 1.56914e-04, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 4.46425e-03, Loss0: 2.16258e-03, Loss_b: 1.62781e-03, Loss_f: 6.73867e-04, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 2.02132e-03, Loss0: 1.87156e-03, Loss_b: 1.86391e-06, Loss_f: 1.47894e-04, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 2.01355e-03, Loss0: 1.86734e-03, Loss_b: 1.97423e-06, Loss_f: 1.44229e-04, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 2.00638e-03, Loss0: 1.86436e-03, Loss_b: 1.93218e-06, Loss_f: 1.40093e-04, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 2.00442e-03, Loss0: 1.86403e-03, Loss_b: 3.54998e-06, Loss_f: 1.36835e-04, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 1.99668e-03, Loss0: 1.86062e-03, Loss_b: 1.76747e-06, Loss_f: 1.34295e-04, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 1.99067e-03, Loss0: 1.85791e-03, Loss_b: 1.68002e-06, Loss_f: 1.31084e-04, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 1.99425e-03, Loss0: 1.85757e-03, Loss_b: 7.67616e-06, Loss_f: 1.29002e-04, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 1.98294e-03, Loss0: 1.85451e-03, Loss_b: 1.51849e-06, Loss_f: 1.26916e-04, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 1.97753e-03, Loss0: 1.85175e-03, Loss_b: 1.44747e-06, Loss_f: 1.24331e-04, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 2.05046e-03, Loss0: 1.85519e-03, Loss_b: 6.10882e-05, Loss_f: 1.34184e-04, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 1.97132e-03, Loss0: 1.84929e-03, Loss_b: 1.12065e-06, Loss_f: 1.20909e-04, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 1.96588e-03, Loss0: 1.84532e-03, Loss_b: 1.22454e-06, Loss_f: 1.19335e-04, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 1.96075e-03, Loss0: 1.84227e-03, Loss_b: 1.13267e-06, Loss_f: 1.17352e-04, Loss_prev: 0.00000e+00
Iter: 2600, Loss: 1.99131e-03, Loss0: 1.83988e-03, Loss_b: 4.42924e-06, Loss_f: 1.46999e-04, Loss_prev: 0.00000e+00
Iter: 2700, Loss: 1.96573e-03, Loss0: 1.83978e-03, Loss_b: 7.65994e-06, Loss_f: 1.18295e-04, Loss_prev: 0.00000e+00
Iter: 2800, Loss: 1.94764e-03, Loss0: 1.83333e-03, Loss_b: 9.08525e-07, Loss_f: 1.13401e-04, Loss_prev: 0.00000e+00
Iter: 2900, Loss: 1.96371e-03, Loss0: 1.83465e-03, Loss_b: 1.75160e-05, Loss_f: 1.11541e-04, Loss_prev: 0.00000e+00
Iter: 3000, Loss: 1.93976e-03, Loss0: 1.82701e-03, Loss_b: 8.46332e-07, Loss_f: 1.11901e-04, Loss_prev: 0.00000e+00
Iter: 3100, Loss: 2.46527e-03, Loss0: 1.95942e-03, Loss_b: 1.29365e-05, Loss_f: 4.92912e-04, Loss_prev: 0.00000e+00
Iter: 3200, Loss: 1.93038e-03, Loss0: 1.81884e-03, Loss_b: 6.71901e-07, Loss_f: 1.10869e-04, Loss_prev: 0.00000e+00
Iter: 3300, Loss: 1.92833e-03, Loss0: 1.81633e-03, Loss_b: 1.15042e-06, Loss_f: 1.10851e-04, Loss_prev: 0.00000e+00
Iter: 3400, Loss: 1.92111e-03, Loss0: 1.81067e-03, Loss_b: 7.05114e-07, Loss_f: 1.09734e-04, Loss_prev: 0.00000e+00
Iter: 3500, Loss: 1.91479e-03, Loss0: 1.80525e-03, Loss_b: 6.59970e-07, Loss_f: 1.08875e-04, Loss_prev: 0.00000e+00
Iter: 3600, Loss: 1.91363e-03, Loss0: 1.80266e-03, Loss_b: 2.78672e-06, Loss_f: 1.08188e-04, Loss_prev: 0.00000e+00
Iter: 3700, Loss: 1.90444e-03, Loss0: 1.79541e-03, Loss_b: 7.31530e-07, Loss_f: 1.08292e-04, Loss_prev: 0.00000e+00
Iter: 3800, Loss: 2.15371e-03, Loss0: 1.86409e-03, Loss_b: 1.80154e-06, Loss_f: 2.87818e-04, Loss_prev: 0.00000e+00
Iter: 3900, Loss: 1.88961e-03, Loss0: 1.78070e-03, Loss_b: 6.83872e-07, Loss_f: 1.08225e-04, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 1.89574e-03, Loss0: 1.79255e-03, Loss_b: 2.53517e-06, Loss_f: 1.00658e-04, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 1.87417e-03, Loss0: 1.76617e-03, Loss_b: 8.77007e-07, Loss_f: 1.07122e-04, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 1.86229e-03, Loss0: 1.75554e-03, Loss_b: 8.72818e-07, Loss_f: 1.05876e-04, Loss_prev: 0.00000e+00
Iter: 4300, Loss: 1.85785e-03, Loss0: 1.75066e-03, Loss_b: 2.41115e-06, Loss_f: 1.04777e-04, Loss_prev: 0.00000e+00
Iter: 4400, Loss: 1.84003e-03, Loss0: 1.73296e-03, Loss_b: 9.69516e-07, Loss_f: 1.06094e-04, Loss_prev: 0.00000e+00
Iter: 4500, Loss: 1.82217e-03, Loss0: 1.71761e-03, Loss_b: 1.03850e-06, Loss_f: 1.03517e-04, Loss_prev: 0.00000e+00
Iter: 4600, Loss: 1.81220e-03, Loss0: 1.70542e-03, Loss_b: 2.99432e-06, Loss_f: 1.03787e-04, Loss_prev: 0.00000e+00
Iter: 4700, Loss: 1.78650e-03, Loss0: 1.68609e-03, Loss_b: 1.15660e-06, Loss_f: 9.92469e-05, Loss_prev: 0.00000e+00
Iter: 4800, Loss: 1.75652e-03, Loss0: 1.65999e-03, Loss_b: 1.17721e-06, Loss_f: 9.53583e-05, Loss_prev: 0.00000e+00
Iter: 4900, Loss: 1.74366e-03, Loss0: 1.64386e-03, Loss_b: 1.74012e-06, Loss_f: 9.80545e-05, Loss_prev: 0.00000e+00
Iter: 5000, Loss: 1.70512e-03, Loss0: 1.61542e-03, Loss_b: 1.00791e-06, Loss_f: 8.86842e-05, Loss_prev: 0.00000e+00
Iter: 5100, Loss: 1.66207e-03, Loss0: 1.57687e-03, Loss_b: 8.57831e-07, Loss_f: 8.43381e-05, Loss_prev: 0.00000e+00
Iter: 5200, Loss: 2.41571e-03, Loss0: 1.66189e-03, Loss_b: 6.71015e-04, Loss_f: 8.28068e-05, Loss_prev: 0.00000e+00
Iter: 5300, Loss: 1.60686e-03, Loss0: 1.52823e-03, Loss_b: 4.92684e-07, Loss_f: 7.81340e-05, Loss_prev: 0.00000e+00
Iter: 5400, Loss: 1.56647e-03, Loss0: 1.48817e-03, Loss_b: 2.53810e-07, Loss_f: 7.80472e-05, Loss_prev: 0.00000e+00
Iter: 5500, Loss: 1.53017e-03, Loss0: 1.44965e-03, Loss_b: 9.40579e-08, Loss_f: 8.04282e-05, Loss_prev: 0.00000e+00
Iter: 5600, Loss: 1.49846e-03, Loss0: 1.41402e-03, Loss_b: 4.70037e-08, Loss_f: 8.43869e-05, Loss_prev: 0.00000e+00
Iter: 5700, Loss: 1.54749e-03, Loss0: 1.42002e-03, Loss_b: 5.05327e-05, Loss_f: 7.69366e-05, Loss_prev: 0.00000e+00
Iter: 5800, Loss: 1.46230e-03, Loss0: 1.37826e-03, Loss_b: 1.19009e-07, Loss_f: 8.39153e-05, Loss_prev: 0.00000e+00
Iter: 5900, Loss: 1.43657e-03, Loss0: 1.34642e-03, Loss_b: 2.19845e-07, Loss_f: 8.99318e-05, Loss_prev: 0.00000e+00
Iter: 6000, Loss: 1.41002e-03, Loss0: 1.31631e-03, Loss_b: 2.86211e-07, Loss_f: 9.34254e-05, Loss_prev: 0.00000e+00
Iter: 6100, Loss: 1.38067e-03, Loss0: 1.28561e-03, Loss_b: 2.96376e-07, Loss_f: 9.47663e-05, Loss_prev: 0.00000e+00
Iter: 6200, Loss: 1.36108e-03, Loss0: 1.27303e-03, Loss_b: 3.77965e-07, Loss_f: 8.76724e-05, Loss_prev: 0.00000e+00
Iter: 6300, Loss: 1.32633e-03, Loss0: 1.23422e-03, Loss_b: 1.57982e-07, Loss_f: 9.19560e-05, Loss_prev: 0.00000e+00
Iter: 6400, Loss: 1.29091e-03, Loss0: 1.19844e-03, Loss_b: 7.92284e-08, Loss_f: 9.23905e-05, Loss_prev: 0.00000e+00
Iter: 6500, Loss: 1.28955e-03, Loss0: 1.17093e-03, Loss_b: 2.94986e-05, Loss_f: 8.91134e-05, Loss_prev: 0.00000e+00
Iter: 6600, Loss: 1.22452e-03, Loss0: 1.13675e-03, Loss_b: 1.40013e-07, Loss_f: 8.76337e-05, Loss_prev: 0.00000e+00
Iter: 6700, Loss: 1.18067e-03, Loss0: 1.09183e-03, Loss_b: 1.55456e-07, Loss_f: 8.86766e-05, Loss_prev: 0.00000e+00
Iter: 6800, Loss: 1.13103e-03, Loss0: 1.03965e-03, Loss_b: 2.17596e-07, Loss_f: 9.11654e-05, Loss_prev: 0.00000e+00
Iter: 6900, Loss: 1.09261e-03, Loss0: 1.00293e-03, Loss_b: 1.56322e-06, Loss_f: 8.81206e-05, Loss_prev: 0.00000e+00
Iter: 7000, Loss: 1.02944e-03, Loss0: 9.32367e-04, Loss_b: 1.25292e-07, Loss_f: 9.69452e-05, Loss_prev: 0.00000e+00
Iter: 7100, Loss: 9.55698e-04, Loss0: 8.59036e-04, Loss_b: 7.71846e-08, Loss_f: 9.65846e-05, Loss_prev: 0.00000e+00
Iter: 7200, Loss: 9.11587e-04, Loss0: 8.24589e-04, Loss_b: 7.50059e-07, Loss_f: 8.62479e-05, Loss_prev: 0.00000e+00
Iter: 7300, Loss: 8.32756e-04, Loss0: 7.44690e-04, Loss_b: 1.17342e-07, Loss_f: 8.79479e-05, Loss_prev: 0.00000e+00
Iter: 7400, Loss: 7.81104e-04, Loss0: 6.94676e-04, Loss_b: 1.07380e-06, Loss_f: 8.53547e-05, Loss_prev: 0.00000e+00
Iter: 7500, Loss: 7.22924e-04, Loss0: 6.42295e-04, Loss_b: 6.85537e-07, Loss_f: 7.99438e-05, Loss_prev: 0.00000e+00
Iter: 7600, Loss: 6.76748e-04, Loss0: 6.01461e-04, Loss_b: 1.95776e-07, Loss_f: 7.50907e-05, Loss_prev: 0.00000e+00
Iter: 7700, Loss: 6.29188e-04, Loss0: 5.48986e-04, Loss_b: 2.60545e-06, Loss_f: 7.75969e-05, Loss_prev: 0.00000e+00
Iter: 7800, Loss: 5.95687e-04, Loss0: 4.98425e-04, Loss_b: 7.46096e-08, Loss_f: 9.71877e-05, Loss_prev: 0.00000e+00
Iter: 7900, Loss: 5.64283e-04, Loss0: 4.63939e-04, Loss_b: 4.53519e-06, Loss_f: 9.58096e-05, Loss_prev: 0.00000e+00
Iter: 8000, Loss: 5.06436e-04, Loss0: 4.23041e-04, Loss_b: 8.79443e-07, Loss_f: 8.25159e-05, Loss_prev: 0.00000e+00
Iter: 8100, Loss: 5.62290e-04, Loss0: 3.90800e-04, Loss_b: 5.28756e-05, Loss_f: 1.18614e-04, Loss_prev: 0.00000e+00
Iter: 8200, Loss: 4.34106e-04, Loss0: 3.44586e-04, Loss_b: 7.13002e-07, Loss_f: 8.88065e-05, Loss_prev: 0.00000e+00
Iter: 8300, Loss: 4.42154e-04, Loss0: 3.23526e-04, Loss_b: 3.37880e-05, Loss_f: 8.48405e-05, Loss_prev: 0.00000e+00
Iter: 8400, Loss: 4.19810e-04, Loss0: 2.84455e-04, Loss_b: 2.95225e-05, Loss_f: 1.05832e-04, Loss_prev: 0.00000e+00
Iter: 8500, Loss: 4.09790e-04, Loss0: 2.61131e-04, Loss_b: 5.31976e-05, Loss_f: 9.54616e-05, Loss_prev: 0.00000e+00
Iter: 8600, Loss: 4.12716e-04, Loss0: 2.53180e-04, Loss_b: 7.24488e-05, Loss_f: 8.70869e-05, Loss_prev: 0.00000e+00
Iter: 8700, Loss: 3.25156e-04, Loss0: 1.94450e-04, Loss_b: 4.94508e-06, Loss_f: 1.25761e-04, Loss_prev: 0.00000e+00
Iter: 8800, Loss: 2.96908e-04, Loss0: 1.78457e-04, Loss_b: 2.71431e-07, Loss_f: 1.18179e-04, Loss_prev: 0.00000e+00
Iter: 8900, Loss: 2.48338e-04, Loss0: 1.60504e-04, Loss_b: 5.80189e-06, Loss_f: 8.20324e-05, Loss_prev: 0.00000e+00
Iter: 9000, Loss: 3.23810e-04, Loss0: 1.41181e-04, Loss_b: 1.65713e-05, Loss_f: 1.66058e-04, Loss_prev: 0.00000e+00
Iter: 9100, Loss: 2.73009e-04, Loss0: 1.34131e-04, Loss_b: 7.36856e-05, Loss_f: 6.51923e-05, Loss_prev: 0.00000e+00
Iter: 9200, Loss: 1.79757e-04, Loss0: 8.98429e-05, Loss_b: 1.93845e-06, Loss_f: 8.79753e-05, Loss_prev: 0.00000e+00
Iter: 9300, Loss: 6.11731e-04, Loss0: 1.22852e-04, Loss_b: 1.79045e-04, Loss_f: 3.09834e-04, Loss_prev: 0.00000e+00
Iter: 9400, Loss: 4.70474e-04, Loss0: 1.64616e-04, Loss_b: 1.29108e-04, Loss_f: 1.76751e-04, Loss_prev: 0.00000e+00
Iter: 9500, Loss: 1.13861e-04, Loss0: 5.47249e-05, Loss_b: 4.71312e-07, Loss_f: 5.86651e-05, Loss_prev: 0.00000e+00
Iter: 9600, Loss: 1.69360e-04, Loss0: 6.10134e-05, Loss_b: 4.84433e-05, Loss_f: 5.99036e-05, Loss_prev: 0.00000e+00
Iter: 9700, Loss: 2.72853e-04, Loss0: 4.86604e-05, Loss_b: 7.18244e-05, Loss_f: 1.52368e-04, Loss_prev: 0.00000e+00
Iter: 9800, Loss: 1.41937e-04, Loss0: 5.25924e-05, Loss_b: 8.87226e-06, Loss_f: 8.04727e-05, Loss_prev: 0.00000e+00
Iter: 9900, Loss: 9.01854e-05, Loss0: 3.42135e-05, Loss_b: 3.03098e-07, Loss_f: 5.56688e-05, Loss_prev: 0.00000e+00
Iter: 10000, Loss: 1.05087e-04, Loss0: 3.01940e-05, Loss_b: 2.12356e-05, Loss_f: 5.36573e-05, Loss_prev: 0.00000e+00
Iter: 10100, Loss: 7.81534e-05, Loss0: 2.25358e-05, Loss_b: 6.15086e-06, Loss_f: 4.94667e-05, Loss_prev: 0.00000e+00
Iter: 10200, Loss: 6.15091e-05, Loss0: 3.10624e-05, Loss_b: 3.62137e-06, Loss_f: 2.68254e-05, Loss_prev: 0.00000e+00
Iter: 10300, Loss: 9.37607e-05, Loss0: 2.61275e-05, Loss_b: 2.89396e-05, Loss_f: 3.86936e-05, Loss_prev: 0.00000e+00
Iter: 10400, Loss: 9.10252e-05, Loss0: 2.69254e-05, Loss_b: 4.10154e-08, Loss_f: 6.40587e-05, Loss_prev: 0.00000e+00
Iter: 10500, Loss: 8.28036e-05, Loss0: 2.33009e-05, Loss_b: 1.28036e-05, Loss_f: 4.66990e-05, Loss_prev: 0.00000e+00
Iter: 10600, Loss: 7.96987e-05, Loss0: 2.98390e-05, Loss_b: 2.23596e-05, Loss_f: 2.75001e-05, Loss_prev: 0.00000e+00
Iter: 10700, Loss: 6.57939e-04, Loss0: 9.99762e-05, Loss_b: 9.68230e-05, Loss_f: 4.61139e-04, Loss_prev: 0.00000e+00
Iter: 10800, Loss: 4.50123e-05, Loss0: 1.98094e-05, Loss_b: 6.50081e-06, Loss_f: 1.87021e-05, Loss_prev: 0.00000e+00
Iter: 10900, Loss: 6.50073e-05, Loss0: 2.23461e-05, Loss_b: 2.34184e-05, Loss_f: 1.92428e-05, Loss_prev: 0.00000e+00
Iter: 11000, Loss: 3.10934e-05, Loss0: 1.53794e-05, Loss_b: 1.47870e-07, Loss_f: 1.55661e-05, Loss_prev: 0.00000e+00
Iter: 11100, Loss: 3.68256e-05, Loss0: 1.47117e-05, Loss_b: 1.11601e-06, Loss_f: 2.09980e-05, Loss_prev: 0.00000e+00
