Start Training:
Iter: 0, Loss: 6.91501e-01, Loss0: 4.99827e-02, Loss_b: 5.75730e-01, Loss_f: 6.57883e-02, Loss_prev: 0.00000e+00
Iter: 100, Loss: 1.60998e-02, Loss0: 1.60882e-02, Loss_b: 5.37241e-06, Loss_f: 6.27366e-06, Loss_prev: 0.00000e+00
Iter: 200, Loss: 1.50914e-02, Loss0: 1.49958e-02, Loss_b: 8.13432e-06, Loss_f: 8.74171e-05, Loss_prev: 0.00000e+00
Iter: 300, Loss: 1.40905e-02, Loss0: 1.38484e-02, Loss_b: 1.05296e-05, Loss_f: 2.31548e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 1.34033e-02, Loss0: 1.30577e-02, Loss_b: 1.29980e-05, Loss_f: 3.32611e-04, Loss_prev: 0.00000e+00
Iter: 500, Loss: 1.29593e-02, Loss0: 1.27010e-02, Loss_b: 6.20406e-06, Loss_f: 2.52067e-04, Loss_prev: 0.00000e+00
Iter: 600, Loss: 1.26867e-02, Loss0: 1.25154e-02, Loss_b: 2.71821e-06, Loss_f: 1.68584e-04, Loss_prev: 0.00000e+00
Iter: 700, Loss: 1.25589e-02, Loss0: 1.24164e-02, Loss_b: 6.49819e-06, Loss_f: 1.36012e-04, Loss_prev: 0.00000e+00
Iter: 800, Loss: 1.24730e-02, Loss0: 1.23486e-02, Loss_b: 9.72567e-06, Loss_f: 1.14655e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 1.23933e-02, Loss0: 1.22821e-02, Loss_b: 1.34362e-05, Loss_f: 9.77598e-05, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 1.23123e-02, Loss0: 1.22081e-02, Loss_b: 1.77697e-05, Loss_f: 8.64337e-05, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 1.22184e-02, Loss0: 1.21167e-02, Loss_b: 2.14969e-05, Loss_f: 8.01743e-05, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 1.20880e-02, Loss0: 1.19857e-02, Loss_b: 2.32369e-05, Loss_f: 7.90104e-05, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 1.18766e-02, Loss0: 1.17685e-02, Loss_b: 2.20957e-05, Loss_f: 8.59707e-05, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 1.15227e-02, Loss0: 1.13970e-02, Loss_b: 1.87148e-05, Loss_f: 1.06935e-04, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 1.08224e-02, Loss0: 1.06478e-02, Loss_b: 1.21778e-05, Loss_f: 1.62340e-04, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 9.42180e-03, Loss0: 9.10835e-03, Loss_b: 4.59547e-06, Loss_f: 3.08857e-04, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 7.42417e-03, Loss0: 6.96829e-03, Loss_b: 6.78529e-06, Loss_f: 4.49087e-04, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 5.72328e-03, Loss0: 5.20963e-03, Loss_b: 1.05440e-05, Loss_f: 5.03111e-04, Loss_prev: 0.00000e+00
