Start Training:
Iter: 0, Loss: 3.30981e-02, Loss0: 2.56475e-02, Loss_b: 2.54305e-09, Loss_f: 1.69569e-06, Loss_prev: 7.44894e-03
Iter: 100, Loss: 3.14772e-03, Loss0: 1.50445e-03, Loss_b: 2.48636e-06, Loss_f: 7.53761e-04, Loss_prev: 8.87022e-04
Iter: 200, Loss: 2.32233e-03, Loss0: 9.57223e-04, Loss_b: 8.71003e-06, Loss_f: 6.12587e-04, Loss_prev: 7.43813e-04
Iter: 300, Loss: 1.87862e-03, Loss0: 7.00608e-04, Loss_b: 7.53874e-06, Loss_f: 5.37870e-04, Loss_prev: 6.32605e-04
Iter: 400, Loss: 1.51828e-03, Loss0: 5.39382e-04, Loss_b: 4.17429e-06, Loss_f: 4.65932e-04, Loss_prev: 5.08794e-04
Iter: 500, Loss: 1.23328e-03, Loss0: 4.31472e-04, Loss_b: 1.63307e-06, Loss_f: 3.98633e-04, Loss_prev: 4.01541e-04
Iter: 600, Loss: 1.06030e-03, Loss0: 3.66777e-04, Loss_b: 7.25019e-07, Loss_f: 3.53164e-04, Loss_prev: 3.39633e-04
Iter: 700, Loss: 9.49664e-04, Loss0: 3.26094e-04, Loss_b: 5.87579e-07, Loss_f: 3.17782e-04, Loss_prev: 3.05201e-04
Iter: 800, Loss: 8.70833e-04, Loss0: 2.95871e-04, Loss_b: 5.87598e-07, Loss_f: 2.89103e-04, Loss_prev: 2.85272e-04
Iter: 900, Loss: 8.10116e-04, Loss0: 2.70554e-04, Loss_b: 5.79901e-07, Loss_f: 2.66334e-04, Loss_prev: 2.72649e-04
Iter: 1000, Loss: 7.59883e-04, Loss0: 2.47796e-04, Loss_b: 5.34677e-07, Loss_f: 2.48050e-04, Loss_prev: 2.63502e-04
Iter: 1100, Loss: 7.15864e-04, Loss0: 2.26383e-04, Loss_b: 4.61346e-07, Loss_f: 2.33091e-04, Loss_prev: 2.55930e-04
Iter: 1200, Loss: 6.75275e-04, Loss0: 2.05416e-04, Loss_b: 3.79587e-07, Loss_f: 2.20581e-04, Loss_prev: 2.48898e-04
Iter: 1300, Loss: 6.35832e-04, Loss0: 1.83953e-04, Loss_b: 3.06709e-07, Loss_f: 2.09786e-04, Loss_prev: 2.41786e-04
Iter: 1400, Loss: 5.95434e-04, Loss0: 1.61002e-04, Loss_b: 2.50931e-07, Loss_f: 1.99944e-04, Loss_prev: 2.34238e-04
Iter: 1500, Loss: 5.53337e-04, Loss0: 1.36620e-04, Loss_b: 2.13589e-07, Loss_f: 1.90212e-04, Loss_prev: 2.26291e-04
Iter: 1600, Loss: 5.12726e-04, Loss0: 1.14022e-04, Loss_b: 1.92129e-07, Loss_f: 1.79889e-04, Loss_prev: 2.18624e-04
Iter: 1700, Loss: 4.78728e-04, Loss0: 9.72954e-05, Loss_b: 1.84287e-07, Loss_f: 1.69093e-04, Loss_prev: 2.12156e-04
Iter: 1800, Loss: 4.52636e-04, Loss0: 8.64212e-05, Loss_b: 1.87898e-07, Loss_f: 1.58941e-04, Loss_prev: 2.07085e-04
Iter: 1900, Loss: 4.32706e-04, Loss0: 7.91804e-05, Loss_b: 1.99402e-07, Loss_f: 1.50342e-04, Loss_prev: 2.02985e-04
Iter: 2000, Loss: 4.16903e-04, Loss0: 7.38319e-05, Loss_b: 2.13798e-07, Loss_f: 1.43391e-04, Loss_prev: 1.99466e-04
Iter: 2100, Loss: 4.03700e-04, Loss0: 6.94014e-05, Loss_b: 2.27626e-07, Loss_f: 1.37748e-04, Loss_prev: 1.96323e-04
Iter: 2200, Loss: 3.92103e-04, Loss0: 6.54039e-05, Loss_b: 2.39250e-07, Loss_f: 1.33019e-04, Loss_prev: 1.93441e-04
Iter: 2300, Loss: 4.51232e-04, Loss0: 7.54402e-05, Loss_b: 4.26157e-05, Loss_f: 1.18375e-04, Loss_prev: 2.14801e-04
Iter: 2400, Loss: 3.72453e-04, Loss0: 5.83248e-05, Loss_b: 2.33578e-07, Loss_f: 1.25716e-04, Loss_prev: 1.88179e-04
Iter: 2500, Loss: 3.63266e-04, Loss0: 5.47566e-05, Loss_b: 2.43033e-07, Loss_f: 1.22302e-04, Loss_prev: 1.85964e-04
Iter: 2600, Loss: 4.33505e-04, Loss0: 6.18917e-05, Loss_b: 4.47975e-05, Loss_f: 1.44249e-04, Loss_prev: 1.82567e-04
Iter: 2700, Loss: 3.47240e-04, Loss0: 4.84774e-05, Loss_b: 2.39525e-07, Loss_f: 1.16939e-04, Loss_prev: 1.81583e-04
Iter: 2800, Loss: 3.39330e-04, Loss0: 4.52124e-05, Loss_b: 2.64084e-07, Loss_f: 1.14393e-04, Loss_prev: 1.79460e-04
Iter: 2900, Loss: 3.31719e-04, Loss0: 4.21173e-05, Loss_b: 2.95461e-07, Loss_f: 1.12012e-04, Loss_prev: 1.77294e-04
Iter: 3000, Loss: 3.58784e-04, Loss0: 4.35355e-05, Loss_b: 1.90139e-05, Loss_f: 1.18719e-04, Loss_prev: 1.77516e-04
Iter: 3100, Loss: 3.19582e-04, Loss0: 3.73142e-05, Loss_b: 2.53114e-07, Loss_f: 1.07740e-04, Loss_prev: 1.74275e-04
Iter: 3200, Loss: 3.13026e-04, Loss0: 3.46458e-05, Loss_b: 2.95118e-07, Loss_f: 1.05696e-04, Loss_prev: 1.72390e-04
Iter: 3300, Loss: 3.06710e-04, Loss0: 3.22220e-05, Loss_b: 3.39474e-07, Loss_f: 1.03585e-04, Loss_prev: 1.70563e-04
Iter: 3400, Loss: 3.00535e-04, Loss0: 2.99574e-05, Loss_b: 3.84836e-07, Loss_f: 1.01387e-04, Loss_prev: 1.68805e-04
Iter: 3500, Loss: 3.08076e-04, Loss0: 3.03988e-05, Loss_b: 7.83139e-06, Loss_f: 9.65324e-05, Loss_prev: 1.73313e-04
Iter: 3600, Loss: 2.89344e-04, Loss0: 2.59906e-05, Loss_b: 6.10487e-07, Loss_f: 9.76800e-05, Loss_prev: 1.65063e-04
Iter: 3700, Loss: 2.84478e-04, Loss0: 2.43667e-05, Loss_b: 9.17584e-07, Loss_f: 9.58254e-05, Loss_prev: 1.63368e-04
Iter: 3800, Loss: 2.78245e-04, Loss0: 2.27229e-05, Loss_b: 5.19102e-07, Loss_f: 9.20237e-05, Loss_prev: 1.62980e-04
Iter: 3900, Loss: 6.41238e-04, Loss0: 8.07607e-05, Loss_b: 1.93630e-04, Loss_f: 1.33716e-04, Loss_prev: 2.33132e-04
Iter: 4000, Loss: 2.98332e-04, Loss0: 2.42242e-05, Loss_b: 1.58460e-05, Loss_f: 9.47713e-05, Loss_prev: 1.63491e-04
Iter: 4100, Loss: 2.85018e-04, Loss0: 2.21808e-05, Loss_b: 1.09347e-05, Loss_f: 8.52726e-05, Loss_prev: 1.66630e-04
Iter: 4200, Loss: 2.60926e-04, Loss0: 1.83192e-05, Loss_b: 1.64065e-06, Loss_f: 7.53771e-05, Loss_prev: 1.65589e-04
Iter: 4300, Loss: 4.91747e-04, Loss0: 5.11869e-05, Loss_b: 1.04167e-04, Loss_f: 1.36624e-04, Loss_prev: 1.99769e-04
Iter: 4400, Loss: 2.68739e-04, Loss0: 2.06247e-05, Loss_b: 5.45615e-06, Loss_f: 7.34417e-05, Loss_prev: 1.69217e-04
Iter: 4500, Loss: 3.58289e-04, Loss0: 4.03589e-05, Loss_b: 8.20823e-06, Loss_f: 1.07945e-04, Loss_prev: 2.01777e-04
Iter: 4600, Loss: 3.07055e-04, Loss0: 3.02002e-05, Loss_b: 1.24845e-06, Loss_f: 1.38329e-04, Loss_prev: 1.37277e-04
Iter: 4700, Loss: 2.62716e-04, Loss0: 1.93905e-05, Loss_b: 4.40367e-06, Loss_f: 7.02108e-05, Loss_prev: 1.68711e-04
Iter: 4800, Loss: 2.64953e-04, Loss0: 1.88224e-05, Loss_b: 1.35358e-05, Loss_f: 9.19750e-05, Loss_prev: 1.40619e-04
Iter: 4900, Loss: 2.57556e-04, Loss0: 1.71200e-05, Loss_b: 1.75503e-05, Loss_f: 7.71933e-05, Loss_prev: 1.45693e-04
Iter: 5000, Loss: 2.62133e-04, Loss0: 1.88551e-05, Loss_b: 2.41534e-05, Loss_f: 6.20612e-05, Loss_prev: 1.57063e-04
Iter: 5100, Loss: 1.77588e-04, Loss0: 1.06407e-05, Loss_b: 1.13789e-06, Loss_f: 7.69771e-05, Loss_prev: 8.88319e-05
Iter: 5200, Loss: 1.37452e-04, Loss0: 5.26394e-06, Loss_b: 2.97877e-07, Loss_f: 7.89702e-05, Loss_prev: 5.29204e-05
Iter: 5300, Loss: 1.22635e-04, Loss0: 6.17288e-06, Loss_b: 6.92580e-08, Loss_f: 7.26088e-05, Loss_prev: 4.37836e-05
Iter: 5400, Loss: 1.01068e-04, Loss0: 3.82197e-06, Loss_b: 1.24642e-07, Loss_f: 5.92667e-05, Loss_prev: 3.78550e-05
Iter: 5500, Loss: 8.64184e-05, Loss0: 2.71181e-06, Loss_b: 1.46099e-07, Loss_f: 5.47729e-05, Loss_prev: 2.87876e-05
Iter: 5600, Loss: 7.40185e-05, Loss0: 2.46441e-06, Loss_b: 6.81741e-08, Loss_f: 4.78707e-05, Loss_prev: 2.36152e-05
Iter: 5700, Loss: 5.63956e-05, Loss0: 1.82635e-06, Loss_b: 1.56270e-07, Loss_f: 3.73366e-05, Loss_prev: 1.70764e-05
Iter: 5800, Loss: 4.42753e-05, Loss0: 1.34278e-06, Loss_b: 5.59180e-08, Loss_f: 3.36363e-05, Loss_prev: 9.24040e-06
Iter: 5900, Loss: 3.46064e-05, Loss0: 1.38895e-06, Loss_b: 1.07366e-07, Loss_f: 2.51189e-05, Loss_prev: 7.99118e-06
Iter: 6000, Loss: 3.09636e-05, Loss0: 1.19134e-06, Loss_b: 2.02534e-07, Loss_f: 2.35875e-05, Loss_prev: 5.98215e-06
Iter: 6100, Loss: 2.68813e-05, Loss0: 1.37247e-06, Loss_b: 2.13513e-07, Loss_f: 1.93979e-05, Loss_prev: 5.89741e-06
Iter: 6200, Loss: 2.33974e-05, Loss0: 1.06728e-06, Loss_b: 1.16023e-07, Loss_f: 1.76790e-05, Loss_prev: 4.53509e-06
Iter: 6300, Loss: 2.01473e-05, Loss0: 6.91542e-07, Loss_b: 5.43146e-08, Loss_f: 1.59619e-05, Loss_prev: 3.43957e-06
Iter: 6400, Loss: 1.76189e-05, Loss0: 8.31127e-07, Loss_b: 5.39488e-08, Loss_f: 1.37772e-05, Loss_prev: 2.95663e-06
Iter: 6500, Loss: 1.55854e-05, Loss0: 6.41159e-07, Loss_b: 6.21208e-08, Loss_f: 1.26104e-05, Loss_prev: 2.27166e-06
Iter: 6600, Loss: 1.42481e-05, Loss0: 4.52752e-07, Loss_b: 2.09248e-08, Loss_f: 1.11497e-05, Loss_prev: 2.62472e-06
Iter: 6700, Loss: 1.20723e-05, Loss0: 5.79073e-07, Loss_b: 3.57448e-08, Loss_f: 9.27074e-06, Loss_prev: 2.18672e-06
