Start Training:
Iter: 0, Loss: 3.43023e-01, Loss0: 2.77793e-02, Loss_b: 2.10460e-01, Loss_f: 1.04784e-01, Loss_prev: 0.00000e+00
Iter: 100, Loss: 6.21143e-03, Loss0: 5.80314e-03, Loss_b: 5.82424e-06, Loss_f: 4.02461e-04, Loss_prev: 0.00000e+00
Iter: 200, Loss: 4.99027e-03, Loss0: 4.50433e-03, Loss_b: 1.19527e-05, Loss_f: 4.73988e-04, Loss_prev: 0.00000e+00
Iter: 300, Loss: 3.06722e-03, Loss0: 2.75333e-03, Loss_b: 9.30554e-06, Loss_f: 3.04588e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 2.54948e-03, Loss0: 2.25630e-03, Loss_b: 1.08432e-05, Loss_f: 2.82339e-04, Loss_prev: 0.00000e+00
Iter: 500, Loss: 2.44001e-03, Loss0: 2.18845e-03, Loss_b: 5.94253e-06, Loss_f: 2.45612e-04, Loss_prev: 0.00000e+00
Iter: 600, Loss: 2.36282e-03, Loss0: 2.13796e-03, Loss_b: 4.36588e-06, Loss_f: 2.20491e-04, Loss_prev: 0.00000e+00
Iter: 700, Loss: 2.28992e-03, Loss0: 2.08582e-03, Loss_b: 4.13255e-06, Loss_f: 1.99964e-04, Loss_prev: 0.00000e+00
Iter: 800, Loss: 2.22107e-03, Loss0: 2.03621e-03, Loss_b: 2.55009e-06, Loss_f: 1.82311e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 2.41890e-03, Loss0: 2.01075e-03, Loss_b: 2.32043e-04, Loss_f: 1.76111e-04, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 2.10488e-03, Loss0: 1.94856e-03, Loss_b: 2.95258e-06, Loss_f: 1.53365e-04, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 2.09430e-03, Loss0: 1.93217e-03, Loss_b: 8.33407e-06, Loss_f: 1.53800e-04, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 2.05306e-03, Loss0: 1.90531e-03, Loss_b: 2.73492e-06, Loss_f: 1.45015e-04, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 2.23362e-03, Loss0: 1.91410e-03, Loss_b: 1.65500e-04, Loss_f: 1.54019e-04, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 2.03859e-03, Loss0: 1.89283e-03, Loss_b: 3.07940e-06, Loss_f: 1.42682e-04, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 2.03443e-03, Loss0: 1.88913e-03, Loss_b: 3.22638e-06, Loss_f: 1.42064e-04, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 2.03346e-03, Loss0: 1.89271e-03, Loss_b: 2.47819e-06, Loss_f: 1.38280e-04, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 2.02989e-03, Loss0: 1.88735e-03, Loss_b: 3.32454e-06, Loss_f: 1.39218e-04, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 2.02750e-03, Loss0: 1.88581e-03, Loss_b: 3.55498e-06, Loss_f: 1.38139e-04, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 2.03691e-03, Loss0: 1.89042e-03, Loss_b: 1.37255e-05, Loss_f: 1.32764e-04, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 2.02477e-03, Loss0: 1.88581e-03, Loss_b: 3.43238e-06, Loss_f: 1.35532e-04, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 2.02278e-03, Loss0: 1.88450e-03, Loss_b: 3.67447e-06, Loss_f: 1.34603e-04, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 2.44203e-03, Loss0: 1.93404e-03, Loss_b: 3.50742e-04, Loss_f: 1.57252e-04, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 2.02055e-03, Loss0: 1.88518e-03, Loss_b: 3.46949e-06, Loss_f: 1.31896e-04, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 2.01859e-03, Loss0: 1.88362e-03, Loss_b: 3.71380e-06, Loss_f: 1.31253e-04, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 2.02110e-03, Loss0: 1.88180e-03, Loss_b: 9.72413e-06, Loss_f: 1.29575e-04, Loss_prev: 0.00000e+00
Iter: 2600, Loss: 2.01759e-03, Loss0: 1.88569e-03, Loss_b: 4.20515e-06, Loss_f: 1.27699e-04, Loss_prev: 0.00000e+00
Iter: 2700, Loss: 2.01494e-03, Loss0: 1.88314e-03, Loss_b: 3.64363e-06, Loss_f: 1.28155e-04, Loss_prev: 0.00000e+00
Iter: 2800, Loss: 2.01307e-03, Loss0: 1.88225e-03, Loss_b: 3.75684e-06, Loss_f: 1.27061e-04, Loss_prev: 0.00000e+00
Iter: 2900, Loss: 2.01287e-03, Loss0: 1.88086e-03, Loss_b: 6.72602e-06, Loss_f: 1.25284e-04, Loss_prev: 0.00000e+00
Iter: 3000, Loss: 2.01150e-03, Loss0: 1.88369e-03, Loss_b: 4.12963e-06, Loss_f: 1.23682e-04, Loss_prev: 0.00000e+00
Iter: 3100, Loss: 2.00900e-03, Loss0: 1.88164e-03, Loss_b: 3.65549e-06, Loss_f: 1.23702e-04, Loss_prev: 0.00000e+00
Iter: 3200, Loss: 2.00697e-03, Loss0: 1.88089e-03, Loss_b: 3.69974e-06, Loss_f: 1.22374e-04, Loss_prev: 0.00000e+00
Iter: 3300, Loss: 2.01932e-03, Loss0: 1.88770e-03, Loss_b: 1.55677e-05, Loss_f: 1.16047e-04, Loss_prev: 0.00000e+00
Iter: 3400, Loss: 2.00453e-03, Loss0: 1.88091e-03, Loss_b: 3.61364e-06, Loss_f: 1.20006e-04, Loss_prev: 0.00000e+00
Iter: 3500, Loss: 2.00228e-03, Loss0: 1.87989e-03, Loss_b: 3.59459e-06, Loss_f: 1.18794e-04, Loss_prev: 0.00000e+00
Iter: 3600, Loss: 2.00042e-03, Loss0: 1.87998e-03, Loss_b: 3.05619e-06, Loss_f: 1.17382e-04, Loss_prev: 0.00000e+00
Iter: 3700, Loss: 1.99991e-03, Loss0: 1.88068e-03, Loss_b: 3.40229e-06, Loss_f: 1.15830e-04, Loss_prev: 0.00000e+00
Iter: 3800, Loss: 1.99730e-03, Loss0: 1.87877e-03, Loss_b: 3.45001e-06, Loss_f: 1.15076e-04, Loss_prev: 0.00000e+00
Iter: 3900, Loss: 1.99475e-03, Loss0: 1.87809e-03, Loss_b: 3.36670e-06, Loss_f: 1.13300e-04, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 2.37937e-03, Loss0: 1.92334e-03, Loss_b: 3.31783e-04, Loss_f: 1.24245e-04, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 1.99179e-03, Loss0: 1.87767e-03, Loss_b: 3.13486e-06, Loss_f: 1.10981e-04, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 1.98901e-03, Loss0: 1.87660e-03, Loss_b: 3.13208e-06, Loss_f: 1.09277e-04, Loss_prev: 0.00000e+00
Iter: 4300, Loss: 1.98620e-03, Loss0: 1.87590e-03, Loss_b: 2.97536e-06, Loss_f: 1.07320e-04, Loss_prev: 0.00000e+00
Iter: 4400, Loss: 1.99726e-03, Loss0: 1.87668e-03, Loss_b: 1.58582e-05, Loss_f: 1.04717e-04, Loss_prev: 0.00000e+00
Iter: 4500, Loss: 1.98315e-03, Loss0: 1.87490e-03, Loss_b: 2.87015e-06, Loss_f: 1.05377e-04, Loss_prev: 0.00000e+00
Iter: 4600, Loss: 1.98038e-03, Loss0: 1.87409e-03, Loss_b: 2.67069e-06, Loss_f: 1.03619e-04, Loss_prev: 0.00000e+00
Iter: 4700, Loss: 1.97771e-03, Loss0: 1.87315e-03, Loss_b: 2.66785e-06, Loss_f: 1.01891e-04, Loss_prev: 0.00000e+00
Iter: 4800, Loss: 1.97797e-03, Loss0: 1.87254e-03, Loss_b: 3.85132e-06, Loss_f: 1.01574e-04, Loss_prev: 0.00000e+00
Iter: 4900, Loss: 1.97488e-03, Loss0: 1.87203e-03, Loss_b: 2.39502e-06, Loss_f: 1.00458e-04, Loss_prev: 0.00000e+00
Iter: 5000, Loss: 1.97246e-03, Loss0: 1.87111e-03, Loss_b: 2.21335e-06, Loss_f: 9.91351e-05, Loss_prev: 0.00000e+00
Iter: 5100, Loss: 2.27105e-03, Loss0: 1.90307e-03, Loss_b: 2.60347e-04, Loss_f: 1.07637e-04, Loss_prev: 0.00000e+00
Iter: 5200, Loss: 1.96997e-03, Loss0: 1.86983e-03, Loss_b: 2.01747e-06, Loss_f: 9.81266e-05, Loss_prev: 0.00000e+00
Iter: 5300, Loss: 1.96770e-03, Loss0: 1.86869e-03, Loss_b: 1.99865e-06, Loss_f: 9.70049e-05, Loss_prev: 0.00000e+00
Iter: 5400, Loss: 1.96560e-03, Loss0: 1.86760e-03, Loss_b: 1.87117e-06, Loss_f: 9.61332e-05, Loss_prev: 0.00000e+00
Iter: 5500, Loss: 1.97551e-03, Loss0: 1.87247e-03, Loss_b: 5.22222e-06, Loss_f: 9.78208e-05, Loss_prev: 0.00000e+00
Iter: 5600, Loss: 1.96329e-03, Loss0: 1.86601e-03, Loss_b: 1.83362e-06, Loss_f: 9.54369e-05, Loss_prev: 0.00000e+00
Iter: 5700, Loss: 1.96125e-03, Loss0: 1.86481e-03, Loss_b: 1.71874e-06, Loss_f: 9.47181e-05, Loss_prev: 0.00000e+00
Iter: 5800, Loss: 1.96066e-03, Loss0: 1.86490e-03, Loss_b: 1.02316e-06, Loss_f: 9.47285e-05, Loss_prev: 0.00000e+00
Iter: 5900, Loss: 1.95916e-03, Loss0: 1.86243e-03, Loss_b: 2.65691e-06, Loss_f: 9.40773e-05, Loss_prev: 0.00000e+00
Iter: 6000, Loss: 1.95679e-03, Loss0: 1.86174e-03, Loss_b: 1.59741e-06, Loss_f: 9.34494e-05, Loss_prev: 0.00000e+00
Iter: 6100, Loss: 1.95476e-03, Loss0: 1.86035e-03, Loss_b: 1.50022e-06, Loss_f: 9.29147e-05, Loss_prev: 0.00000e+00
Iter: 6200, Loss: 2.65084e-03, Loss0: 1.94037e-03, Loss_b: 5.82382e-04, Loss_f: 1.28088e-04, Loss_prev: 0.00000e+00
Iter: 6300, Loss: 1.95340e-03, Loss0: 1.85953e-03, Loss_b: 1.48836e-06, Loss_f: 9.23905e-05, Loss_prev: 0.00000e+00
Iter: 6400, Loss: 1.95102e-03, Loss0: 1.85797e-03, Loss_b: 1.48346e-06, Loss_f: 9.15639e-05, Loss_prev: 0.00000e+00
Iter: 6500, Loss: 1.94876e-03, Loss0: 1.85635e-03, Loss_b: 1.39033e-06, Loss_f: 9.10237e-05, Loss_prev: 0.00000e+00
Iter: 6600, Loss: 1.94642e-03, Loss0: 1.85462e-03, Loss_b: 1.32264e-06, Loss_f: 9.04812e-05, Loss_prev: 0.00000e+00
Iter: 6700, Loss: 1.94396e-03, Loss0: 1.85283e-03, Loss_b: 1.26520e-06, Loss_f: 8.98669e-05, Loss_prev: 0.00000e+00
Iter: 6800, Loss: 1.96597e-03, Loss0: 1.86280e-03, Loss_b: 8.42645e-06, Loss_f: 9.47387e-05, Loss_prev: 0.00000e+00
Iter: 6900, Loss: 1.94102e-03, Loss0: 1.85139e-03, Loss_b: 1.31142e-06, Loss_f: 8.83197e-05, Loss_prev: 0.00000e+00
Iter: 7000, Loss: 1.93812e-03, Loss0: 1.84930e-03, Loss_b: 1.24638e-06, Loss_f: 8.75699e-05, Loss_prev: 0.00000e+00
Iter: 7100, Loss: 1.93499e-03, Loss0: 1.84700e-03, Loss_b: 1.19745e-06, Loss_f: 8.67860e-05, Loss_prev: 0.00000e+00
Iter: 7200, Loss: 1.98289e-03, Loss0: 1.86452e-03, Loss_b: 3.23408e-05, Loss_f: 8.60328e-05, Loss_prev: 0.00000e+00
Iter: 7300, Loss: 1.92909e-03, Loss0: 1.84318e-03, Loss_b: 1.03331e-06, Loss_f: 8.48821e-05, Loss_prev: 0.00000e+00
Iter: 7400, Loss: 1.92695e-03, Loss0: 1.84090e-03, Loss_b: 1.30041e-06, Loss_f: 8.47477e-05, Loss_prev: 0.00000e+00
Iter: 7500, Loss: 1.92246e-03, Loss0: 1.83867e-03, Loss_b: 1.27934e-06, Loss_f: 8.25184e-05, Loss_prev: 0.00000e+00
Iter: 7600, Loss: 2.24729e-03, Loss0: 1.88189e-03, Loss_b: 1.53427e-04, Loss_f: 2.11976e-04, Loss_prev: 0.00000e+00
Iter: 7700, Loss: 1.91604e-03, Loss0: 1.83414e-03, Loss_b: 1.45937e-06, Loss_f: 8.04414e-05, Loss_prev: 0.00000e+00
Iter: 7800, Loss: 1.91099e-03, Loss0: 1.83006e-03, Loss_b: 1.40798e-06, Loss_f: 7.95226e-05, Loss_prev: 0.00000e+00
Iter: 7900, Loss: 2.75270e-03, Loss0: 1.90941e-03, Loss_b: 7.23098e-04, Loss_f: 1.20193e-04, Loss_prev: 0.00000e+00
Iter: 8000, Loss: 1.90342e-03, Loss0: 1.82432e-03, Loss_b: 1.80433e-06, Loss_f: 7.72940e-05, Loss_prev: 0.00000e+00
Iter: 8100, Loss: 1.89706e-03, Loss0: 1.81836e-03, Loss_b: 1.72409e-06, Loss_f: 7.69717e-05, Loss_prev: 0.00000e+00
Iter: 8200, Loss: 1.88973e-03, Loss0: 1.81139e-03, Loss_b: 1.83690e-06, Loss_f: 7.65016e-05, Loss_prev: 0.00000e+00
Iter: 8300, Loss: 1.88642e-03, Loss0: 1.80834e-03, Loss_b: 2.44528e-06, Loss_f: 7.56295e-05, Loss_prev: 0.00000e+00
Iter: 8400, Loss: 1.87624e-03, Loss0: 1.79877e-03, Loss_b: 1.99042e-06, Loss_f: 7.54787e-05, Loss_prev: 0.00000e+00
Iter: 8500, Loss: 1.86405e-03, Loss0: 1.78664e-03, Loss_b: 2.02549e-06, Loss_f: 7.53874e-05, Loss_prev: 0.00000e+00
Iter: 8600, Loss: 1.85929e-03, Loss0: 1.78108e-03, Loss_b: 4.57605e-06, Loss_f: 7.36403e-05, Loss_prev: 0.00000e+00
Iter: 8700, Loss: 1.83884e-03, Loss0: 1.76301e-03, Loss_b: 1.86819e-06, Loss_f: 7.39637e-05, Loss_prev: 0.00000e+00
Iter: 8800, Loss: 1.81125e-03, Loss0: 1.73699e-03, Loss_b: 1.60737e-06, Loss_f: 7.26585e-05, Loss_prev: 0.00000e+00
Iter: 8900, Loss: 1.79894e-03, Loss0: 1.71982e-03, Loss_b: 7.56020e-06, Loss_f: 7.15600e-05, Loss_prev: 0.00000e+00
Iter: 9000, Loss: 1.73422e-03, Loss0: 1.66921e-03, Loss_b: 9.10543e-07, Loss_f: 6.41035e-05, Loss_prev: 0.00000e+00
Iter: 9100, Loss: 1.66341e-03, Loss0: 1.60365e-03, Loss_b: 6.33447e-07, Loss_f: 5.91294e-05, Loss_prev: 0.00000e+00
Iter: 9200, Loss: 1.61746e-03, Loss0: 1.55437e-03, Loss_b: 7.72296e-06, Loss_f: 5.53758e-05, Loss_prev: 0.00000e+00
Iter: 9300, Loss: 1.53446e-03, Loss0: 1.47435e-03, Loss_b: 4.92851e-07, Loss_f: 5.96098e-05, Loss_prev: 0.00000e+00
Iter: 9400, Loss: 1.46821e-03, Loss0: 1.39881e-03, Loss_b: 6.23199e-07, Loss_f: 6.87809e-05, Loss_prev: 0.00000e+00
Iter: 9500, Loss: 2.59073e-03, Loss0: 1.47406e-03, Loss_b: 9.74635e-04, Loss_f: 1.42033e-04, Loss_prev: 0.00000e+00
