Start Training:
Iter: 0, Loss: 1.69057e-02, Loss0: 1.43622e-02, Loss_b: 3.88686e-09, Loss_f: 2.41086e-07, Loss_prev: 2.54325e-03
Iter: 100, Loss: 3.66666e-04, Loss0: 7.49986e-05, Loss_b: 2.58925e-07, Loss_f: 9.82800e-05, Loss_prev: 1.93128e-04
Iter: 200, Loss: 2.57034e-04, Loss0: 4.65210e-05, Loss_b: 5.42446e-07, Loss_f: 6.12258e-05, Loss_prev: 1.48745e-04
Iter: 300, Loss: 2.12847e-04, Loss0: 3.34831e-05, Loss_b: 6.14784e-07, Loss_f: 5.69587e-05, Loss_prev: 1.21791e-04
Iter: 400, Loss: 1.86356e-04, Loss0: 2.58294e-05, Loss_b: 5.06869e-07, Loss_f: 5.71747e-05, Loss_prev: 1.02846e-04
Iter: 500, Loss: 1.67485e-04, Loss0: 2.08224e-05, Loss_b: 3.77923e-07, Loss_f: 5.75855e-05, Loss_prev: 8.86988e-05
Iter: 600, Loss: 1.51992e-04, Loss0: 1.75522e-05, Loss_b: 2.45162e-07, Loss_f: 5.68103e-05, Loss_prev: 7.73842e-05
Iter: 700, Loss: 1.38166e-04, Loss0: 1.53373e-05, Loss_b: 1.31870e-07, Loss_f: 5.50161e-05, Loss_prev: 6.76810e-05
Iter: 800, Loss: 1.27799e-04, Loss0: 1.41611e-05, Loss_b: 6.69332e-07, Loss_f: 5.42959e-05, Loss_prev: 5.86722e-05
Iter: 900, Loss: 1.15268e-04, Loss0: 1.23499e-05, Loss_b: 4.33193e-08, Loss_f: 5.04876e-05, Loss_prev: 5.23869e-05
Iter: 1000, Loss: 1.09471e-04, Loss0: 1.10443e-05, Loss_b: 1.70968e-06, Loss_f: 4.69873e-05, Loss_prev: 4.97296e-05
Iter: 1100, Loss: 9.57032e-05, Loss0: 9.74018e-06, Loss_b: 4.65767e-08, Loss_f: 4.52730e-05, Loss_prev: 4.06435e-05
Iter: 1200, Loss: 8.51189e-05, Loss0: 8.32848e-06, Loss_b: 7.57776e-08, Loss_f: 4.22122e-05, Loss_prev: 3.45024e-05
Iter: 1300, Loss: 7.79018e-05, Loss0: 7.43100e-06, Loss_b: 2.06591e-07, Loss_f: 3.79798e-05, Loss_prev: 3.22844e-05
Iter: 1400, Loss: 6.64894e-05, Loss0: 6.03247e-06, Loss_b: 1.25812e-07, Loss_f: 3.54873e-05, Loss_prev: 2.48438e-05
Iter: 1500, Loss: 5.69820e-05, Loss0: 4.82213e-06, Loss_b: 1.45342e-07, Loss_f: 3.21988e-05, Loss_prev: 1.98157e-05
Iter: 1600, Loss: 7.68038e-05, Loss0: 6.00611e-06, Loss_b: 1.48788e-05, Loss_f: 3.27661e-05, Loss_prev: 2.31528e-05
Iter: 1700, Loss: 4.41108e-05, Loss0: 3.39241e-06, Loss_b: 1.18045e-07, Loss_f: 2.67546e-05, Loss_prev: 1.38457e-05
Iter: 1800, Loss: 3.82354e-05, Loss0: 2.70024e-06, Loss_b: 8.61745e-08, Loss_f: 2.44039e-05, Loss_prev: 1.10451e-05
Iter: 1900, Loss: 4.26141e-05, Loss0: 2.83353e-06, Loss_b: 5.61431e-06, Loss_f: 2.49921e-05, Loss_prev: 9.17421e-06
Iter: 2000, Loss: 3.21254e-05, Loss0: 2.19291e-06, Loss_b: 4.38809e-08, Loss_f: 2.10158e-05, Loss_prev: 8.87284e-06
Iter: 2100, Loss: 2.84816e-05, Loss0: 1.74374e-06, Loss_b: 3.38318e-08, Loss_f: 1.95123e-05, Loss_prev: 7.19174e-06
Iter: 2200, Loss: 2.55467e-05, Loss0: 1.44527e-06, Loss_b: 2.46202e-08, Loss_f: 1.79880e-05, Loss_prev: 6.08876e-06
Iter: 2300, Loss: 2.37838e-05, Loss0: 1.34497e-06, Loss_b: 3.40884e-08, Loss_f: 1.66762e-05, Loss_prev: 5.72856e-06
Iter: 2400, Loss: 2.13435e-05, Loss0: 1.14102e-06, Loss_b: 1.84979e-08, Loss_f: 1.53763e-05, Loss_prev: 4.80767e-06
Iter: 2500, Loss: 2.10030e-05, Loss0: 1.26700e-06, Loss_b: 1.55489e-07, Loss_f: 1.43378e-05, Loss_prev: 5.24273e-06
