Start Training:
Iter: 0, Loss: 2.31973e+00, Loss0: 9.27718e-02, Loss_b: 5.20386e-01, Loss_f: 1.70657e+00, Loss_prev: 0.00000e+00
Iter: 100, Loss: 1.14614e-02, Loss0: 1.03671e-02, Loss_b: 3.14733e-05, Loss_f: 1.06279e-03, Loss_prev: 0.00000e+00
Iter: 200, Loss: 1.08313e-02, Loss0: 1.01810e-02, Loss_b: 4.01969e-05, Loss_f: 6.10096e-04, Loss_prev: 0.00000e+00
Iter: 300, Loss: 1.02760e-02, Loss0: 9.79216e-03, Loss_b: 3.72065e-05, Loss_f: 4.46645e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 9.60552e-03, Loss0: 9.14727e-03, Loss_b: 3.39836e-05, Loss_f: 4.24263e-04, Loss_prev: 0.00000e+00
Iter: 500, Loss: 8.66875e-03, Loss0: 8.16676e-03, Loss_b: 2.89440e-05, Loss_f: 4.73054e-04, Loss_prev: 0.00000e+00
Iter: 600, Loss: 7.44592e-03, Loss0: 6.86462e-03, Loss_b: 1.97741e-05, Loss_f: 5.61522e-04, Loss_prev: 0.00000e+00
Iter: 700, Loss: 6.26925e-03, Loss0: 5.63289e-03, Loss_b: 8.45164e-06, Loss_f: 6.27908e-04, Loss_prev: 0.00000e+00
Iter: 800, Loss: 5.56389e-03, Loss0: 4.95812e-03, Loss_b: 4.44465e-06, Loss_f: 6.01334e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 5.20137e-03, Loss0: 4.69919e-03, Loss_b: 4.41109e-06, Loss_f: 4.97771e-04, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 4.95713e-03, Loss0: 4.56239e-03, Loss_b: 4.05957e-06, Loss_f: 3.90682e-04, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 4.76563e-03, Loss0: 4.44867e-03, Loss_b: 4.09554e-06, Loss_f: 3.12868e-04, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 4.60633e-03, Loss0: 4.33726e-03, Loss_b: 4.30004e-06, Loss_f: 2.64770e-04, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 4.46594e-03, Loss0: 4.22511e-03, Loss_b: 4.19576e-06, Loss_f: 2.36636e-04, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 4.33623e-03, Loss0: 4.11220e-03, Loss_b: 3.70157e-06, Loss_f: 2.20331e-04, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 4.21548e-03, Loss0: 3.99943e-03, Loss_b: 3.02062e-06, Loss_f: 2.13034e-04, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 4.10756e-03, Loss0: 3.88940e-03, Loss_b: 2.47192e-06, Loss_f: 2.15688e-04, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 4.01761e-03, Loss0: 3.78671e-03, Loss_b: 2.33481e-06, Loss_f: 2.28573e-04, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 3.94736e-03, Loss0: 3.69638e-03, Loss_b: 2.67951e-06, Loss_f: 2.48302e-04, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 3.89385e-03, Loss0: 3.62145e-03, Loss_b: 3.32169e-06, Loss_f: 2.69081e-04, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 3.85168e-03, Loss0: 3.56156e-03, Loss_b: 3.98289e-06, Loss_f: 2.86137e-04, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 3.81580e-03, Loss0: 3.51386e-03, Loss_b: 4.48887e-06, Loss_f: 2.97448e-04, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 3.78266e-03, Loss0: 3.47467e-03, Loss_b: 4.80925e-06, Loss_f: 3.03181e-04, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 3.75018e-03, Loss0: 3.44072e-03, Loss_b: 4.99130e-06, Loss_f: 3.04466e-04, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 3.71723e-03, Loss0: 3.40959e-03, Loss_b: 5.08867e-06, Loss_f: 3.02556e-04, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 3.68327e-03, Loss0: 3.37959e-03, Loss_b: 4.99573e-06, Loss_f: 2.98678e-04, Loss_prev: 0.00000e+00
Iter: 2600, Loss: 3.65175e-03, Loss0: 3.35319e-03, Loss_b: 4.55114e-06, Loss_f: 2.94004e-04, Loss_prev: 0.00000e+00
Iter: 2700, Loss: 3.61715e-03, Loss0: 3.32405e-03, Loss_b: 5.05557e-06, Loss_f: 2.88049e-04, Loss_prev: 0.00000e+00
Iter: 2800, Loss: 3.62270e-03, Loss0: 3.30652e-03, Loss_b: 2.29426e-05, Loss_f: 2.93234e-04, Loss_prev: 0.00000e+00
Iter: 2900, Loss: 3.55135e-03, Loss0: 3.26935e-03, Loss_b: 4.76310e-06, Loss_f: 2.77237e-04, Loss_prev: 0.00000e+00
Iter: 3000, Loss: 3.51647e-03, Loss0: 3.23916e-03, Loss_b: 4.61679e-06, Loss_f: 2.72694e-04, Loss_prev: 0.00000e+00
Iter: 3100, Loss: 3.48724e-03, Loss0: 3.21471e-03, Loss_b: 3.57201e-06, Loss_f: 2.68954e-04, Loss_prev: 0.00000e+00
Iter: 3200, Loss: 3.45061e-03, Loss0: 3.18308e-03, Loss_b: 4.22438e-06, Loss_f: 2.63306e-04, Loss_prev: 0.00000e+00
Iter: 3300, Loss: 3.41439e-03, Loss0: 3.15129e-03, Loss_b: 3.92327e-06, Loss_f: 2.59173e-04, Loss_prev: 0.00000e+00
Iter: 3400, Loss: 3.41151e-03, Loss0: 3.13316e-03, Loss_b: 1.41881e-05, Loss_f: 2.64161e-04, Loss_prev: 0.00000e+00
