Start Training:
Iter: 0, Loss: 1.06917e-02, Loss0: 9.87621e-03, Loss_b: 1.90711e-09, Loss_f: 6.64326e-07, Loss_prev: 8.14820e-04
Iter: 100, Loss: 3.22040e-04, Loss0: 3.46655e-05, Loss_b: 2.10968e-07, Loss_f: 1.49560e-04, Loss_prev: 1.37603e-04
Iter: 200, Loss: 1.66672e-04, Loss0: 2.26282e-05, Loss_b: 1.81033e-08, Loss_f: 8.04777e-05, Loss_prev: 6.35481e-05
Iter: 300, Loss: 1.00745e-04, Loss0: 1.43960e-05, Loss_b: 2.18779e-07, Loss_f: 5.27008e-05, Loss_prev: 3.34293e-05
Iter: 400, Loss: 6.61754e-05, Loss0: 9.05025e-06, Loss_b: 3.01992e-07, Loss_f: 3.73309e-05, Loss_prev: 1.94923e-05
Iter: 500, Loss: 4.40573e-05, Loss0: 5.91947e-06, Loss_b: 2.19254e-07, Loss_f: 2.67843e-05, Loss_prev: 1.11343e-05
Iter: 600, Loss: 3.02279e-05, Loss0: 4.18988e-06, Loss_b: 1.22015e-07, Loss_f: 1.95782e-05, Loss_prev: 6.33776e-06
Iter: 700, Loss: 2.19062e-05, Loss0: 3.16838e-06, Loss_b: 5.83008e-08, Loss_f: 1.48937e-05, Loss_prev: 3.78585e-06
Iter: 800, Loss: 1.68202e-05, Loss0: 2.50461e-06, Loss_b: 2.63498e-08, Loss_f: 1.18630e-05, Loss_prev: 2.42628e-06
Iter: 900, Loss: 1.34901e-05, Loss0: 2.03053e-06, Loss_b: 1.29443e-08, Loss_f: 9.79091e-06, Loss_prev: 1.65569e-06
Iter: 1000, Loss: 1.11150e-05, Loss0: 1.66529e-06, Loss_b: 8.08207e-09, Loss_f: 8.25639e-06, Loss_prev: 1.18528e-06
Iter: 1100, Loss: 9.30472e-06, Loss0: 1.37164e-06, Loss_b: 6.49178e-09, Loss_f: 7.04498e-06, Loss_prev: 8.81603e-07
Iter: 1200, Loss: 7.87054e-06, Loss0: 1.13194e-06, Loss_b: 6.00445e-09, Loss_f: 6.05272e-06, Loss_prev: 6.79875e-07
Iter: 1300, Loss: 8.02884e-06, Loss0: 1.08418e-06, Loss_b: 2.58761e-08, Loss_f: 6.08482e-06, Loss_prev: 8.33961e-07
Iter: 1400, Loss: 1.54401e-04, Loss0: 2.09152e-05, Loss_b: 1.12675e-05, Loss_f: 1.02096e-04, Loss_prev: 2.01224e-05
Iter: 1500, Loss: 5.45002e-06, Loss0: 6.86198e-07, Loss_b: 5.90732e-09, Loss_f: 4.16890e-06, Loss_prev: 5.89020e-07
Iter: 1600, Loss: 4.31306e-05, Loss0: 5.27536e-06, Loss_b: 2.84139e-06, Loss_f: 2.98477e-05, Loss_prev: 5.16612e-06
Iter: 1700, Loss: 7.94765e-05, Loss0: 8.15808e-06, Loss_b: 5.82932e-06, Loss_f: 4.98084e-05, Loss_prev: 1.56807e-05
Iter: 1800, Loss: 5.77996e-06, Loss0: 5.94883e-07, Loss_b: 1.28053e-07, Loss_f: 3.56750e-06, Loss_prev: 1.48953e-06
Iter: 1900, Loss: 2.29567e-04, Loss0: 2.89239e-05, Loss_b: 2.04959e-05, Loss_f: 1.52892e-04, Loss_prev: 2.72550e-05
Iter: 2000, Loss: 2.79030e-05, Loss0: 3.31652e-06, Loss_b: 7.66862e-06, Loss_f: 1.20059e-05, Loss_prev: 4.91187e-06
Iter: 2100, Loss: 8.21230e-05, Loss0: 7.58416e-06, Loss_b: 2.75465e-05, Loss_f: 3.95371e-05, Loss_prev: 7.45521e-06
Iter: 2200, Loss: 4.38408e-05, Loss0: 3.66889e-06, Loss_b: 1.11591e-06, Loss_f: 2.90323e-05, Loss_prev: 1.00237e-05
Iter: 2300, Loss: 3.13650e-05, Loss0: 2.71940e-06, Loss_b: 5.90867e-08, Loss_f: 2.53433e-05, Loss_prev: 3.24323e-06
Iter: 2400, Loss: 8.14744e-05, Loss0: 5.61409e-06, Loss_b: 1.60792e-05, Loss_f: 4.80249e-05, Loss_prev: 1.17562e-05
Iter: 2500, Loss: 1.30019e-04, Loss0: 1.24348e-05, Loss_b: 4.84228e-05, Loss_f: 5.46600e-05, Loss_prev: 1.45017e-05
Iter: 2600, Loss: 6.37000e-05, Loss0: 6.58818e-06, Loss_b: 9.35935e-06, Loss_f: 3.47840e-05, Loss_prev: 1.29685e-05
Iter: 2700, Loss: 2.48441e-04, Loss0: 2.48423e-05, Loss_b: 9.43672e-05, Loss_f: 1.04168e-04, Loss_prev: 2.50638e-05
Iter: 2800, Loss: 1.27926e-04, Loss0: 9.83335e-06, Loss_b: 2.95392e-06, Loss_f: 1.01625e-04, Loss_prev: 1.35133e-05
Iter: 2900, Loss: 3.02908e-04, Loss0: 2.15427e-05, Loss_b: 4.74249e-05, Loss_f: 1.92426e-04, Loss_prev: 4.15142e-05
Iter: 3000, Loss: 2.27891e-04, Loss0: 1.51752e-05, Loss_b: 2.03319e-05, Loss_f: 1.60420e-04, Loss_prev: 3.19640e-05
Iter: 3100, Loss: 5.72919e-05, Loss0: 3.89056e-06, Loss_b: 1.08401e-06, Loss_f: 4.62086e-05, Loss_prev: 6.10877e-06
Iter: 3200, Loss: 3.71150e-05, Loss0: 2.71400e-06, Loss_b: 7.26155e-06, Loss_f: 1.96929e-05, Loss_prev: 7.44656e-06
Iter: 3300, Loss: 6.81777e-05, Loss0: 4.83708e-06, Loss_b: 3.74453e-06, Loss_f: 5.29979e-05, Loss_prev: 6.59825e-06
Iter: 3400, Loss: 7.11460e-05, Loss0: 4.11015e-06, Loss_b: 2.98435e-06, Loss_f: 5.07518e-05, Loss_prev: 1.32997e-05
Iter: 3500, Loss: 4.75895e-05, Loss0: 3.56468e-06, Loss_b: 2.46072e-07, Loss_f: 3.51123e-05, Loss_prev: 8.66646e-06
Iter: 3600, Loss: 1.22697e-05, Loss0: 1.57562e-06, Loss_b: 1.98623e-06, Loss_f: 6.78441e-06, Loss_prev: 1.92346e-06
Iter: 3700, Loss: 3.28857e-04, Loss0: 3.02295e-05, Loss_b: 1.00714e-04, Loss_f: 1.57525e-04, Loss_prev: 4.03883e-05
Iter: 3800, Loss: 9.38622e-05, Loss0: 1.19450e-05, Loss_b: 1.24824e-05, Loss_f: 5.89069e-05, Loss_prev: 1.05278e-05
Iter: 3900, Loss: 1.57841e-04, Loss0: 2.04541e-05, Loss_b: 5.80319e-05, Loss_f: 6.07493e-05, Loss_prev: 1.86063e-05
