Start Training:
Iter: 0, Loss: 3.14820e-01, Loss_0: 3.44618e-02, Loss_b: 2.20731e-01, Loss_f: 5.96276e-02
Iter: 100, Loss: 1.23742e-04, Loss_0: 4.43132e-05, Loss_b: 6.09454e-05, Loss_f: 1.84829e-05
Iter: 200, Loss: 5.29844e-05, Loss_0: 1.88190e-05, Loss_b: 1.79168e-05, Loss_f: 1.62486e-05
Iter: 300, Loss: 2.79811e-05, Loss_0: 7.90672e-06, Loss_b: 8.23145e-06, Loss_f: 1.18429e-05
Iter: 400, Loss: 1.46889e-05, Loss_0: 3.60582e-06, Loss_b: 4.16681e-06, Loss_f: 6.91630e-06
Iter: 500, Loss: 7.04894e-06, Loss_0: 1.62969e-06, Loss_b: 2.05582e-06, Loss_f: 3.36343e-06
Iter: 600, Loss: 3.23440e-06, Loss_0: 7.17255e-07, Loss_b: 1.00558e-06, Loss_f: 1.51156e-06
Iter: 700, Loss: 1.66329e-06, Loss_0: 3.26776e-07, Loss_b: 5.44700e-07, Loss_f: 7.91816e-07
Iter: 800, Loss: 1.11360e-06, Loss_0: 1.70718e-07, Loss_b: 3.60643e-07, Loss_f: 5.82235e-07
Iter: 900, Loss: 9.30242e-07, Loss_0: 1.08244e-07, Loss_b: 2.87811e-07, Loss_f: 5.34187e-07
Iter: 1000, Loss: 8.55000e-07, Loss_0: 8.08093e-08, Loss_b: 2.55921e-07, Loss_f: 5.18270e-07
Iter: 1100, Loss: 8.08261e-07, Loss_0: 6.69006e-08, Loss_b: 2.38929e-07, Loss_f: 5.02431e-07
Iter: 1200, Loss: 7.69972e-07, Loss_0: 5.89206e-08, Loss_b: 2.27571e-07, Loss_f: 4.83480e-07
Iter: 1300, Loss: 7.35796e-07, Loss_0: 5.38118e-08, Loss_b: 2.18574e-07, Loss_f: 4.63411e-07
Iter: 1400, Loss: 7.04806e-07, Loss_0: 5.04440e-08, Loss_b: 2.10559e-07, Loss_f: 4.43802e-07
Iter: 1500, Loss: 6.76644e-07, Loss_0: 4.81456e-08, Loss_b: 2.03151e-07, Loss_f: 4.25348e-07
Iter: 1600, Loss: 6.51052e-07, Loss_0: 4.66560e-08, Loss_b: 1.96158e-07, Loss_f: 4.08237e-07
Iter: 1700, Loss: 6.27706e-07, Loss_0: 4.58005e-08, Loss_b: 1.89439e-07, Loss_f: 3.92467e-07
Iter: 1800, Loss: 6.06325e-07, Loss_0: 4.54342e-08, Loss_b: 1.82995e-07, Loss_f: 3.77896e-07
Iter: 1900, Loss: 5.86659e-07, Loss_0: 4.54399e-08, Loss_b: 1.76827e-07, Loss_f: 3.64393e-07
Iter: 2000, Loss: 5.68394e-07, Loss_0: 4.57069e-08, Loss_b: 1.70870e-07, Loss_f: 3.51818e-07
Iter: 2100, Loss: 5.51295e-07, Loss_0: 4.61818e-08, Loss_b: 1.65076e-07, Loss_f: 3.40037e-07
Iter: 2200, Loss: 5.35174e-07, Loss_0: 4.67457e-08, Loss_b: 1.59499e-07, Loss_f: 3.28929e-07
Iter: 2300, Loss: 5.19860e-07, Loss_0: 4.73499e-08, Loss_b: 1.54122e-07, Loss_f: 3.18388e-07
Iter: 2400, Loss: 5.05175e-07, Loss_0: 4.79708e-08, Loss_b: 1.48859e-07, Loss_f: 3.08346e-07
Iter: 2500, Loss: 3.90550e-06, Loss_0: 1.77354e-06, Loss_b: 1.65454e-06, Loss_f: 4.77423e-07
Iter: 2600, Loss: 4.35266e-07, Loss_0: 6.63896e-08, Loss_b: 1.34489e-07, Loss_f: 2.34387e-07
Iter: 2700, Loss: 4.00814e-07, Loss_0: 3.95224e-08, Loss_b: 1.19968e-07, Loss_f: 2.41323e-07
Iter: 2800, Loss: 3.91291e-07, Loss_0: 3.89318e-08, Loss_b: 1.14540e-07, Loss_f: 2.37819e-07
Iter: 2900, Loss: 3.82175e-07, Loss_0: 3.91964e-08, Loss_b: 1.11079e-07, Loss_f: 2.31900e-07
Iter: 3000, Loss: 9.47861e-06, Loss_0: 4.95538e-06, Loss_b: 3.79202e-06, Loss_f: 7.31208e-07
Iter: 3100, Loss: 3.18249e-07, Loss_0: 3.06952e-08, Loss_b: 1.06561e-07, Loss_f: 1.80993e-07
Iter: 3200, Loss: 3.07167e-07, Loss_0: 3.11816e-08, Loss_b: 9.18088e-08, Loss_f: 1.84177e-07
Iter: 3300, Loss: 3.00694e-07, Loss_0: 3.09845e-08, Loss_b: 8.86251e-08, Loss_f: 1.81084e-07
Iter: 3400, Loss: 2.94256e-07, Loss_0: 3.10370e-08, Loss_b: 8.61825e-08, Loss_f: 1.77036e-07
